date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,2.07,2.0887,1.98,2.02,3290,2.03378,1096
2024-05-24 00:00:00,2.05,2.1,2.035,2.1,2499,2.0657,864
2024-05-28 00:00:00,2.1,2.1594,2.1,2.15,1991,2.12911,804
2024-05-29 00:00:00,2.14,2.1775,2.1187,2.13,2026,2.14534,911
2024-05-30 00:00:00,2.14,2.24,2.14,2.18,4638,2.20728,1292
2024-05-31 00:00:00,2.16,2.234,2.12,2.16,3423,2.17281,1238
2024-06-03 00:00:00,2.2,2.2,2.11,2.13,2162,2.14187,1012
2024-06-04 00:00:00,2.11,2.12,2.03,2.05,2737,2.05825,1038
2024-06-05 00:00:00,2.06,2.09,2.03,2.08,1570,2.06549,650
2024-06-06 00:00:00,2.06,2.0793,2.005,2.04,1915,2.03551,755
2024-06-07 00:00:00,2.02,2.1,2.02,2.09,6025,2.07307,1186
2024-06-10 00:00:00,2.09,2.19,2.07,2.17,2391,2.1576,1007
2024-06-11 00:00:00,2.14,2.1692,2.14,2.16,1623,2.15178,717
2024-06-12 00:00:00,2.2,2.235,2.17,2.2,4633,2.20202,2039
2024-06-13 00:00:00,2.21,2.21,2.065,2.1,5325,2.1051,1381
2024-06-14 00:00:00,2.09,2.17,1.98,2.03,6103,2.03895,2106
2024-06-17 00:00:00,2.03,2.03,1.94,1.95,3339,1.97334,976
2024-06-18 00:00:00,1.95,2.01,1.92,2.0,4174,1.97672,1099
2024-06-20 00:00:00,2.0,2.015,1.95,1.96,3065,1.97381,934
2024-06-21 00:00:00,1.95,1.95,1.85,1.92,5719,1.90657,1187
2024-06-24 00:00:00,1.95,1.995,1.89,1.97,2932,1.94244,1003
2024-06-25 00:00:00,1.96,2.01,1.925,1.98,1126,1.97434,388
2024-06-26 00:00:00,1.97,2.0,1.94,1.96,2308,1.97086,965
2024-06-27 00:00:00,1.98,2.05,1.95,1.96,1961,1.99045,939
2024-06-28 00:00:00,2.0,2.1,2.0,2.03,5354,2.04305,1620
2024-07-01 00:00:00,2.04,2.08,1.96,1.99,3336,2.01569,1391
2024-07-02 00:00:00,2.0,2.07,1.94,2.05,3661,2.02761,1540
2024-07-03 00:00:00,2.05,2.05,1.98,1.98,1184,2.01089,365
