date,open,high,low,close,volume,average,barCount
2025-02-20 09:00:00,7.04,7.04,6.87,6.93,153,6.992,46
2025-02-20 10:00:00,6.93,6.97,6.83,6.94,973,6.91,414
2025-02-20 11:00:00,6.93,6.94,6.91,6.91,161,6.922,119
2025-02-20 12:00:00,6.93,6.95,6.92,6.92,66,6.929,56
2025-02-20 13:00:00,6.93,6.94,6.89,6.93,227,6.913,123
2025-02-20 14:00:00,6.92,6.94,6.89,6.9,268,6.911,160
2025-02-20 15:00:00,6.89,6.93,6.82,6.82,553,6.881,361
2025-02-20 16:00:00,6.82,6.82,6.82,6.82,360,6.82,5
2025-02-20 17:00:00,6.82,6.82,6.82,6.82,0,6.82,0
2025-02-20 18:00:00,6.82,6.82,6.82,6.82,0,6.82,0
2025-02-20 19:00:00,6.82,6.82,6.82,6.82,0,6.82,0
2025-02-21 04:00:00,6.2,6.2,6.2,6.2,3,6.2,3
2025-02-21 05:00:00,6.7,6.7,6.5,6.5,4,6.6,4
2025-02-21 06:00:00,6.55,6.55,6.55,6.55,2,6.55,2
2025-02-21 07:00:00,6.8,6.8,6.8,6.8,1,6.8,1
2025-02-21 08:00:00,6.8,6.8,6.8,6.8,0,6.8,0
2025-02-21 09:00:00,7.02,7.02,6.72,6.76,183,6.838,50
2025-02-21 10:00:00,6.75,6.78,6.7,6.71,336,6.739,192
2025-02-21 11:00:00,6.72,6.75,6.71,6.73,131,6.729,96
2025-02-21 12:00:00,6.73,6.74,6.62,6.64,528,6.687,312
2025-02-21 13:00:00,6.63,6.64,6.56,6.61,163,6.594,104
2025-02-21 14:00:00,6.6,6.66,6.6,6.62,278,6.625,125
2025-02-21 15:00:00,6.63,6.65,6.56,6.57,973,6.594,612
2025-02-21 16:00:00,6.57,6.57,6.57,6.57,930,6.57,10
2025-02-21 17:00:00,6.57,6.57,6.57,6.57,0,6.57,0
2025-02-21 18:00:00,6.57,6.57,6.57,6.57,0,6.57,0
2025-02-21 19:00:00,6.57,6.57,6.57,6.57,0,6.57,0
2025-02-24 04:00:00,6.9,6.9,6.9,6.9,1,6.9,1
2025-02-24 05:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-02-24 06:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-02-24 07:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-02-24 08:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-02-24 09:00:00,6.59,6.74,6.48,6.5,172,6.553,61
2025-02-24 10:00:00,6.49,6.54,6.43,6.45,157,6.487,123
2025-02-24 11:00:00,6.45,6.51,6.41,6.41,445,6.472,253
2025-02-24 12:00:00,6.41,6.42,6.39,6.41,219,6.405,80
2025-02-24 13:00:00,6.41,6.49,6.41,6.46,382,6.454,170
2025-02-24 14:00:00,6.45,6.53,6.45,6.5,246,6.477,132
2025-02-24 15:00:00,6.5,6.53,6.47,6.5,662,6.495,426
2025-02-24 16:00:00,6.5,6.5,6.5,6.5,728,6.5,3
2025-02-24 17:00:00,6.5,6.5,6.5,6.5,0,6.5,0
2025-02-24 18:00:00,6.5,6.5,6.5,6.5,0,6.5,0
2025-02-24 19:00:00,6.5,6.5,6.5,6.5,0,6.5,0
2025-02-25 04:00:00,7.4,7.4,7.0,7.0,3,7.267,3
2025-02-25 05:00:00,7.0,7.0,7.0,7.0,0,7.0,0
2025-02-25 06:00:00,6.55,6.55,6.55,6.55,1,6.55,1
2025-02-25 07:00:00,6.55,6.55,6.55,6.55,0,6.55,0
2025-02-25 08:00:00,6.55,6.55,6.55,6.55,0,6.55,0
2025-02-25 09:00:00,6.53,6.7,6.38,6.43,217,6.461,123
2025-02-25 10:00:00,6.41,6.48,6.33,6.46,432,6.402,269
2025-02-25 11:00:00,6.47,6.5,6.43,6.49,267,6.449,212
2025-02-25 12:00:00,6.48,6.49,6.39,6.45,248,6.435,185
2025-02-25 13:00:00,6.45,6.47,6.41,6.44,220,6.432,168
2025-02-25 14:00:00,6.44,6.5,6.43,6.49,191,6.463,167
2025-02-25 15:00:00,6.49,6.5,6.37,6.38,785,6.413,539
2025-02-25 16:00:00,6.38,6.38,6.38,6.38,685,6.38,7
2025-02-25 17:00:00,6.38,6.38,6.38,6.38,0,6.38,0
2025-02-25 18:00:00,6.38,6.38,6.38,6.38,0,6.38,0
2025-02-25 19:00:00,6.38,6.38,6.38,6.38,0,6.38,0
2025-02-26 09:00:00,6.42,6.43,6.28,6.41,282,6.364,95
2025-02-26 10:00:00,6.42,6.48,6.33,6.36,194,6.394,129
2025-02-26 11:00:00,6.37,6.44,6.35,6.43,91,6.406,71
2025-02-26 12:00:00,6.44,6.45,6.35,6.36,108,6.389,68
2025-02-26 13:00:00,6.35,6.39,6.34,6.36,147,6.361,111
2025-02-26 14:00:00,6.35,6.41,6.35,6.36,101,6.384,85
2025-02-26 15:00:00,6.37,6.43,6.36,6.43,416,6.397,242
2025-02-26 16:00:00,6.43,6.43,6.43,6.43,904,6.43,9
2025-02-26 17:00:00,6.43,6.43,6.43,6.43,0,6.43,0
2025-02-26 18:00:00,6.43,6.43,6.43,6.43,0,6.43,0
2025-02-26 19:00:00,6.43,6.43,6.43,6.43,0,6.43,0
2025-02-27 09:00:00,6.4,6.42,6.24,6.26,168,6.343,85
2025-02-27 10:00:00,6.28,6.46,6.28,6.45,191,6.404,137
2025-02-27 11:00:00,6.45,6.53,6.45,6.46,193,6.479,160
2025-02-27 12:00:00,6.46,6.47,6.41,6.44,76,6.441,62
2025-02-27 13:00:00,6.44,6.48,6.41,6.48,139,6.446,110
2025-02-27 14:00:00,6.47,6.48,6.39,6.45,185,6.432,145
