date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,6.24,6.26,5.76,5.95,2511,5.93,1206
2024-05-24 00:00:00,5.99,6.02,5.82,5.92,998,5.9,549
2024-05-28 00:00:00,5.97,5.98,5.77,5.83,1894,5.869,1192
2024-05-29 00:00:00,5.66,5.66,5.42,5.59,3117,5.551,1703
2024-05-30 00:00:00,5.72,5.82,5.65,5.69,1708,5.709,878
2024-05-31 00:00:00,5.75,6.04,5.74,5.92,1791,5.923,1150
2024-06-03 00:00:00,5.99,6.01,5.7,5.75,3055,5.83,1736
2024-06-04 00:00:00,5.64,5.91,5.59,5.88,3561,5.819,2206
2024-06-05 00:00:00,5.95,6.04,5.81,6.0,2845,5.978,1786
2024-06-06 00:00:00,5.98,6.03,5.83,5.89,1797,5.918,1207
2024-06-07 00:00:00,5.79,5.88,5.66,5.69,1519,5.735,795
2024-06-10 00:00:00,5.65,5.73,5.58,5.69,2170,5.678,1437
2024-06-11 00:00:00,5.65,5.71,5.51,5.66,2741,5.627,1703
2024-06-12 00:00:00,5.95,6.19,5.93,5.98,3150,6.027,2009
2024-06-13 00:00:00,5.97,5.97,5.74,5.85,2403,5.818,1451
2024-06-14 00:00:00,5.75,5.85,5.69,5.79,2826,5.763,1579
2024-06-17 00:00:00,5.75,5.79,5.66,5.7,2371,5.72,1465
2024-06-18 00:00:00,5.66,5.84,5.66,5.7,1851,5.747,956
2024-06-20 00:00:00,5.64,5.96,5.6,5.62,2102,5.727,1282
2024-06-21 00:00:00,5.5,5.62,5.47,5.56,3970,5.544,1587
2024-06-24 00:00:00,5.5,5.79,5.5,5.76,2191,5.713,1443
2024-06-25 00:00:00,5.69,5.71,5.29,5.29,2792,5.428,1450
2024-06-26 00:00:00,5.21,5.6,5.21,5.59,2460,5.44,1194
2024-06-27 00:00:00,5.57,6.15,5.53,6.0,2132,5.911,1109
2024-06-28 00:00:00,6.12,6.59,6.12,6.55,3577,6.441,1807
2024-07-01 00:00:00,6.56,6.68,6.45,6.47,3051,6.539,1912
2024-07-02 00:00:00,6.46,6.64,6.38,6.57,1457,6.524,968
2024-07-03 00:00:00,5.05,5.76,4.84,5.0,25046,5.022,8915
2024-07-05 00:00:00,4.96,5.25,4.92,5.02,7308,5.041,3531
2024-07-08 00:00:00,5.1,5.3,5.04,5.15,7746,5.152,3810
2024-07-09 00:00:00,5.16,5.25,5.05,5.14,4526,5.119,2260
2024-07-10 00:00:00,5.17,5.52,5.15,5.52,7613,5.378,3408
2024-07-11 00:00:00,5.69,5.99,5.69,5.97,15069,5.846,8720
2024-07-12 00:00:00,6.02,6.08,5.58,5.66,6126,5.725,3151
2024-07-15 00:00:00,5.82,5.82,5.59,5.65,4330,5.673,2367
2024-07-16 00:00:00,5.78,6.27,5.78,6.27,8089,6.085,4036
2024-07-17 00:00:00,6.17,6.78,6.17,6.53,10418,6.51,4933
2024-07-18 00:00:00,6.49,6.73,6.23,6.31,5183,6.419,2909
2024-07-19 00:00:00,6.29,6.62,6.29,6.57,3863,6.493,1965
2024-07-22 00:00:00,6.52,6.79,6.46,6.7,5047,6.637,2188
2024-07-23 00:00:00,6.59,7.05,6.59,6.95,4902,6.921,2481
2024-07-24 00:00:00,6.9,7.09,6.69,6.71,5575,6.868,2688
2024-07-25 00:00:00,6.84,7.29,6.65,7.05,10292,7.101,5638
2024-07-26 00:00:00,7.13,7.35,6.8,7.08,8083,7.012,4388
2024-07-29 00:00:00,7.12,7.18,6.79,6.92,4884,6.925,3021
2024-07-30 00:00:00,6.94,7.12,6.78,6.93,6736,6.897,4032
2024-07-31 00:00:00,6.94,7.31,6.86,7.0,4958,7.121,2472
2024-08-01 00:00:00,6.98,7.01,6.51,6.62,6472,6.696,3164
2024-08-02 00:00:00,6.26,6.44,6.0,6.42,6642,6.299,3150
2024-08-05 00:00:00,5.9,6.49,5.76,6.48,7273,6.317,3800
2024-08-06 00:00:00,6.44,6.44,6.18,6.33,4381,6.3,1947
2024-08-07 00:00:00,6.52,6.54,6.26,6.31,3479,6.376,2061
2024-08-08 00:00:00,6.49,6.52,6.13,6.15,2388,6.251,1420
2024-08-09 00:00:00,6.12,6.13,5.73,5.85,4244,5.868,1803
2024-08-12 00:00:00,5.97,6.22,5.75,5.85,3592,5.936,1887
2024-08-13 00:00:00,5.98,6.01,5.77,5.91,3382,5.879,1932
2024-08-14 00:00:00,5.96,6.05,5.77,5.9,2299,5.905,1189
2024-08-15 00:00:00,6.11,6.31,6.07,6.09,3301,6.176,1626
2024-08-16 00:00:00,6.06,6.41,6.06,6.35,3344,6.258,1499
2024-08-19 00:00:00,6.36,6.44,6.15,6.22,2093,6.252,1152
2024-08-20 00:00:00,6.2,6.23,6.0,6.09,4136,6.097,1591
2024-08-21 00:00:00,6.13,6.66,6.13,6.63,3177,6.442,1675
2024-08-22 00:00:00,6.6,6.76,6.56,6.56,1477,6.632,832
2024-08-23 00:00:00,6.61,7.29,6.55,6.91,8246,7.001,3537
2024-08-26 00:00:00,7.0,7.02,6.66,6.79,2611,6.767,1297
2024-08-27 00:00:00,6.7,7.0,6.7,6.82,3418,6.832,1601
2024-08-28 00:00:00,6.78,7.0,6.78,6.93,2445,6.909,1316
2024-08-29 00:00:00,7.0,7.13,6.9,6.94,3811,7.009,2081
