date,open,high,low,close,volume,average,barCount
2025-02-19 04:00:00,94.96,94.96,94.96,94.96,1,94.96,1
2025-02-19 05:00:00,94.1,94.1,94.1,94.1,1,94.1,1
2025-02-19 06:00:00,94.62,94.62,94.62,94.62,1,94.62,1
2025-02-19 07:00:00,94.62,94.62,94.62,94.62,0,94.62,0
2025-02-19 08:00:00,94.62,94.62,94.62,94.62,0,94.62,0
2025-02-19 09:00:00,93.12,94.71,92.79,92.91,876,93.491,484
2025-02-19 10:00:00,92.95,94.45,92.91,93.54,787,93.841,637
2025-02-19 11:00:00,93.64,93.73,92.2,92.81,1116,92.916,724
2025-02-19 12:00:00,92.81,92.96,92.25,92.61,719,92.58,380
2025-02-19 13:00:00,92.64,93.0,92.11,92.13,496,92.622,413
2025-02-19 14:00:00,92.2,92.94,91.54,92.89,754,92.216,642
2025-02-19 15:00:00,92.93,92.93,91.53,91.69,3460,92.248,2461
2025-02-19 16:00:00,91.78,91.97,91.78,91.9,1808,91.781,23
2025-02-19 17:00:00,91.9,91.9,91.9,91.9,0,91.9,0
2025-02-19 18:00:00,91.9,91.9,91.9,91.9,0,91.9,0
2025-02-19 19:00:00,91.9,91.9,91.9,91.9,1,91.9,1
2025-02-20 06:00:00,91.05,91.05,91.05,91.05,1,91.05,1
2025-02-20 07:00:00,90.69,91.47,90.41,91.47,9,90.657,7
2025-02-20 08:00:00,90.52,90.54,90.51,90.52,72,90.521,12
2025-02-20 09:00:00,91.18,91.18,88.63,88.84,496,89.52,334
2025-02-20 10:00:00,88.75,89.62,87.69,88.65,1899,88.567,1232
2025-02-20 11:00:00,88.65,88.65,87.41,87.86,868,87.915,677
2025-02-20 12:00:00,87.86,88.6,87.76,88.58,1212,88.278,844
2025-02-20 13:00:00,88.56,90.73,88.4,89.86,1244,89.732,943
2025-02-20 14:00:00,89.86,90.01,89.2,89.56,719,89.619,590
2025-02-20 15:00:00,89.51,89.61,88.54,89.11,2720,89.038,2178
2025-02-20 16:00:00,89.16,89.16,89.16,89.16,1634,89.16,15
2025-02-20 17:00:00,89.16,89.16,89.16,89.16,0,89.16,0
2025-02-20 18:00:00,89.16,89.16,89.16,89.16,0,89.16,0
2025-02-20 19:00:00,89.0,89.0,89.0,89.0,1,89.0,1
2025-02-21 09:00:00,89.69,89.69,88.25,88.68,261,88.902,130
2025-02-21 10:00:00,88.59,88.91,87.89,88.37,378,88.37,323
2025-02-21 11:00:00,88.36,88.39,87.67,87.86,483,87.972,345
2025-02-21 12:00:00,87.78,87.83,86.5,86.53,578,87.154,431
2025-02-21 13:00:00,86.53,87.25,86.03,86.79,783,86.719,556
2025-02-21 14:00:00,86.85,87.02,85.67,85.67,1104,86.351,846
2025-02-21 15:00:00,85.63,87.0,85.55,85.91,3025,86.124,2398
2025-02-21 16:00:00,85.92,86.96,85.92,86.96,1323,85.921,27
2025-02-21 17:00:00,86.96,86.96,86.96,86.96,0,86.96,0
2025-02-21 18:00:00,86.2,86.2,86.19,86.2,3,86.195,1
2025-02-21 19:00:00,86.0,86.0,86.0,86.0,4,86.0,1
2025-02-24 09:00:00,84.9,86.98,84.45,86.22,484,85.766,279
2025-02-24 10:00:00,86.2,87.88,85.84,87.25,623,86.877,506
2025-02-24 11:00:00,87.19,88.83,87.09,88.43,1194,88.117,620
2025-02-24 12:00:00,88.3,88.77,88.1,88.22,612,88.403,510
2025-02-24 13:00:00,88.22,88.55,88.06,88.11,525,88.308,448
2025-02-24 14:00:00,88.2,89.03,88.18,88.55,615,88.686,512
2025-02-24 15:00:00,88.51,88.56,86.96,87.46,2458,87.547,1818
2025-02-24 16:00:00,87.53,87.53,86.51,87.52,2076,87.529,19
2025-02-24 17:00:00,87.52,87.52,87.52,87.52,0,87.52,0
2025-02-24 18:00:00,87.52,87.52,87.52,87.52,0,87.52,0
2025-02-24 19:00:00,87.52,87.52,87.52,87.52,0,87.52,0
2025-02-25 04:00:00,88.1,88.1,87.59,87.59,3,87.886,3
2025-02-25 05:00:00,87.6,87.6,87.6,87.6,1,87.6,1
2025-02-25 06:00:00,87.6,87.6,87.6,87.6,0,87.6,0
2025-02-25 07:00:00,87.6,87.6,87.6,87.6,0,87.6,0
2025-02-25 08:00:00,88.0,88.0,87.75,87.75,6,87.808,2
2025-02-25 09:00:00,87.67,90.76,87.67,89.87,966,89.628,720
2025-02-25 10:00:00,89.72,90.96,88.81,90.83,2452,89.746,1558
2025-02-25 11:00:00,90.84,91.11,90.32,91.01,1545,90.743,1110
2025-02-25 12:00:00,91.08,91.42,90.63,90.73,879,90.964,700
2025-02-25 13:00:00,90.74,91.16,90.16,90.29,1167,90.84,927
2025-02-25 14:00:00,90.28,90.57,89.71,90.25,957,90.186,715
2025-02-25 15:00:00,90.21,90.93,89.65,89.66,2392,90.22,1815
2025-02-25 16:00:00,89.73,89.73,89.11,89.12,1417,89.729,14
2025-02-25 17:00:00,89.12,89.12,89.12,89.12,0,89.12,0
2025-02-25 18:00:00,90.0,90.0,90.0,90.0,3,90.0,1
2025-02-25 19:00:00,90.0,90.0,90.0,90.0,0,90.0,0
2025-02-26 04:00:00,89.9,89.9,89.9,89.9,1,89.9,1
2025-02-26 05:00:00,89.9,89.9,89.9,89.9,0,89.9,0
2025-02-26 06:00:00,90.0,90.0,90.0,90.0,1,90.0,1
2025-02-26 07:00:00,90.0,90.0,90.0,90.0,0,90.0,0
2025-02-26 08:00:00,90.0,90.0,90.0,90.0,0,90.0,0
2025-02-26 09:00:00,90.25,90.93,88.94,89.98,425,89.838,311
2025-02-26 10:00:00,89.98,90.57,89.31,89.53,1004,90.073,702
2025-02-26 11:00:00,89.52,89.83,88.77,89.62,405,89.313,358
2025-02-26 12:00:00,89.58,89.74,88.99,89.58,341,89.417,269
2025-02-26 13:00:00,89.63,89.85,89.33,89.49,354,89.603,306
2025-02-26 14:00:00,89.5,90.08,88.91,89.53,1283,89.457,547
2025-02-26 15:00:00,89.5,90.08,89.01,89.25,2268,89.384,1631
2025-02-26 16:00:00,89.22,89.22,89.22,89.22,936,89.22,16
2025-02-26 17:00:00,89.22,89.22,89.22,89.22,0,89.22,0
2025-02-26 18:00:00,89.22,89.22,89.22,89.22,0,89.22,0
2025-02-26 19:00:00,89.22,89.22,89.22,89.22,0,89.22,0
2025-02-27 08:00:00,89.75,89.79,88.88,88.88,38,89.586,23
2025-02-27 09:00:00,88.52,88.54,84.7,85.9,1450,86.206,823
2025-02-27 10:00:00,85.71,87.44,84.9,87.15,2074,86.049,1126
2025-02-27 11:00:00,87.18,88.18,87.17,87.75,766,87.655,543
2025-02-27 12:00:00,87.75,88.14,87.26,87.88,771,87.703,526
2025-02-27 13:00:00,87.93,89.25,87.93,88.75,669,88.8,515
2025-02-27 14:00:00,88.67,89.05,87.84,88.45,1110,88.442,757
2025-02-27 15:00:00,88.42,88.46,87.03,87.45,1739,87.541,1358
2025-02-27 16:00:00,87.41,87.41,87.4,87.41,1270,87.41,21
2025-02-27 17:00:00,87.41,87.41,87.41,87.41,0,87.41,0
2025-02-27 18:00:00,87.41,87.41,87.41,87.41,0,87.41,0
