date,open,high,low,close,volume,average,barCount
2024-05-23,29.6,32.34,29.6,31.9,22923,31.134,6256
2024-05-24,31.38,31.52,30.12,30.43,16582,30.632,4423
2024-05-28,30.13,30.63,29.84,29.96,18394,30.174,4682
2024-05-29,30.7,30.7,29.66,30.14,18946,30.012,5294
2024-05-30,30.48,32.19,30.39,31.85,15093,31.237,4804
2024-05-31,31.77,34.33,31.63,32.63,17349,33.268,4926
2024-06-03,31.83,33.07,31.31,31.99,9079,32.119,3088
2024-06-04,31.94,32.6,31.45,31.7,11036,32.082,4123
2024-06-05,30.99,31.44,29.62,29.63,11640,30.544,3769
2024-06-06,29.51,30.1,29.15,29.59,11476,29.75,3888
2024-06-07,29.74,30.16,29.35,29.95,9028,29.8,3803
2024-06-10,30.0,30.32,29.51,29.89,9946,29.927,3476
2024-06-11,29.71,30.26,28.76,28.78,10789,29.461,4331
2024-06-12,27.89,28.14,26.6,27.27,28897,27.249,8977
2024-06-13,25.46,26.41,25.25,25.99,25750,25.885,6559
2024-06-14,26.08,26.23,25.43,25.58,13606,25.722,3334
2024-06-17,25.3,25.53,23.68,24.1,24752,24.643,5129
2024-06-18,24.21,24.9,24.15,24.55,17877,24.523,4962
2024-06-20,24.23,25.88,24.2,25.28,43276,25.158,11134
2024-06-21,25.6,26.11,25.27,25.86,19713,25.707,6854
2024-06-24,26.0,27.1,25.64,27.04,17573,26.452,5476
2024-06-25,26.69,26.98,25.81,25.92,9994,26.283,3490
2024-06-26,26.01,26.01,24.52,24.71,11062,24.972,3771
2024-06-27,24.58,24.61,23.9,24.12,10792,24.196,4202
2024-06-28,23.92,24.74,23.21,24.65,22376,24.065,7500
2024-07-01,24.27,24.8,22.98,23.1,21792,23.707,7260
2024-07-02,23.09,23.09,21.86,21.88,22701,22.401,5171
2024-07-03,21.87,21.89,20.8,20.84,18764,21.317,6104
2024-07-05,20.56,20.68,19.88,19.97,26045,20.117,6686
2024-07-08,20.01,20.35,19.66,20.0,29020,20.032,7888
2024-07-09,19.85,20.07,19.52,19.88,19809,19.767,5511
2024-07-10,19.66,20.07,19.22,19.47,23148,19.582,5804
2024-07-11,19.39,21.74,19.24,21.36,55562,20.856,14958
2024-07-12,21.92,22.19,20.84,21.45,26779,21.304,6471
2024-07-15,20.96,21.54,20.22,21.23,36775,20.891,11673
2024-07-16,20.82,21.98,20.64,21.31,21193,21.459,6003
2024-07-17,22.59,23.66,22.47,23.39,24895,23.143,9237
2024-07-18,22.64,24.27,22.6,23.72,31166,23.66,11010
2024-07-19,23.8,24.73,23.22,24.64,18696,24.123,6631
2024-07-22,23.53,23.78,22.65,23.1,22848,23.212,7762
2024-07-23,22.94,23.04,22.28,22.86,12615,22.734,4400
2024-07-24,24.95,26.83,24.81,26.73,37437,25.801,11418
2024-07-25,26.57,28.64,25.23,27.18,31418,26.766,11934
2024-07-26,26.32,27.35,26.06,26.74,13692,26.76,4700
2024-07-29,26.04,26.7,25.45,26.13,14754,26.009,5259
2024-07-30,25.89,28.36,25.74,27.66,16216,27.199,5748
2024-07-31,25.75,26.02,24.39,24.76,18839,25.132,5883
2024-08-01,24.25,27.44,23.53,26.6,29296,25.466,9147
2024-08-02,28.93,30.25,28.1,28.93,27123,29.264,8586
2024-08-05,36.39,36.67,31.05,32.54,35914,32.968,13956
2024-08-06,31.93,33.34,29.55,31.38,33168,31.097,15230
2024-08-07,29.59,32.61,28.91,32.54,31771,30.497,13481
2024-08-08,30.5,31.81,28.76,29.24,17474,29.922,6398
2024-08-09,29.49,29.54,28.07,28.22,8938,28.791,2983
2024-08-12,28.02,28.71,27.64,28.23,22731,28.141,9077
2024-08-13,27.39,27.39,25.47,25.64,21602,26.167,8392
2024-08-14,25.31,26.5,25.12,25.59,22110,25.849,6809
2024-08-15,24.93,24.96,23.6,23.63,16728,23.996,6003
2024-08-16,24.14,24.25,23.22,23.51,15096,23.655,4959
2024-08-19,23.43,23.57,22.29,22.31,16130,22.999,4612
2024-08-20,22.29,22.62,21.75,22.28,20865,22.27,4767
2024-08-21,22.32,22.61,21.77,21.92,15680,22.197,4920
2024-08-22,22.21,24.43,22.08,24.26,23538,23.476,6783
2024-08-23,23.55,24.26,22.8,23.29,24700,23.586,7811
2024-08-26,23.51,24.54,23.26,23.97,15637,24.019,4212
2024-08-27,24.4,24.89,23.8,24.25,13783,24.257,4026
2024-08-28,24.33,26.05,24.18,25.42,19144,25.236,5548
2024-08-29,24.91,25.7,23.76,25.32,17938,24.745,6539
2024-08-30,24.68,25.45,24.17,24.28,10998,24.892,3503
2024-09-03,24.76,27.19,24.59,26.85,24955,25.996,8653
2024-09-04,27.4,27.45,25.75,26.6,17629,26.533,5566
2024-09-05,26.65,26.76,24.54,25.79,24771,25.522,7309
2024-09-06,25.71,28.92,25.64,28.86,23929,27.968,7093
2024-09-09,27.71,28.73,27.18,27.5,17227,27.897,5537
2024-09-10,27.1,27.73,26.21,26.4,17532,26.782,5139
2024-09-11,26.18,27.73,24.22,24.49,18099,26.162,5737
2024-09-12,24.25,24.54,23.08,23.24,14869,23.714,5384
2024-09-13,23.35,23.49,22.76,22.91,9799,23.03,2938
2024-09-16,23.48,24.09,23.4,23.43,11291,23.729,2877
2024-09-17,22.84,23.69,22.55,23.14,12779,23.053,3714
2024-09-18,23.08,23.73,22.36,23.52,24018,23.073,9260
2024-09-19,21.8,22.07,20.84,21.18,22732,21.286,7022
2024-09-20,21.23,22.08,21.04,21.43,19741,21.496,4954
2024-09-23,21.42,21.75,21.2,21.54,10900,21.51,3577
2024-09-24,21.46,22.32,21.22,21.35,15926,21.749,4836
2024-09-25,21.53,21.6,21.03,21.47,9084,21.371,3327
2024-09-26,20.64,22.14,20.64,21.47,15504,21.574,5533
2024-09-27,21.52,22.25,21.52,22.03,13137,21.954,4078
2024-09-30,22.31,22.52,21.73,21.78,12994,22.132,4735
2024-10-01,21.78,23.23,21.67,22.88,23372,22.697,7591
2024-10-02,23.04,23.22,22.22,22.49,13149,22.605,4534
2024-10-03,22.71,22.82,21.88,22.05,14359,22.245,4538
2024-10-04,21.29,22.0,20.88,20.94,14720,21.436,3952
2024-10-07,21.18,21.99,21.01,21.89,15054,21.44,5474
2024-10-08,21.38,21.47,20.41,20.52,16393,20.837,4793
2024-10-09,20.54,20.89,19.91,19.98,13808,20.364,4573
2024-10-10,20.31,20.31,19.42,19.5,26744,19.749,9046
2024-10-11,19.69,19.95,19.41,19.54,13093,19.633,4735
