date,open,high,low,close,volume,average,barCount
2023-12-20,29.97,30.07,29.39,29.44,21350,29.718,15500
2023-12-21,29.55,30.02,29.34,29.97,26591,29.736,14132
2023-12-22,30.09,30.33,29.58,29.81,16966,29.866,11223
2023-12-26,29.75,29.92,29.42,29.88,15901,29.708,10379
2023-12-27,29.88,29.97,29.65,29.7,10617,29.798,8175
2023-12-28,29.72,29.94,29.64,29.74,10714,29.753,7276
2023-12-29,29.69,29.8,29.46,29.67,11221,29.607,7752
2024-01-02,29.7,30.51,29.42,30.24,20677,30.159,13576
2024-01-03,30.19,30.42,29.89,30.0,19703,30.091,13200
2024-01-04,30.23,30.3,29.8,30.06,16769,30.009,10452
2024-01-05,30.07,30.51,29.96,30.14,11772,30.154,8558
2024-01-08,30.1,30.62,30.01,30.55,13870,30.394,9045
2024-01-09,30.38,30.54,30.17,30.26,16795,30.27,11400
2024-01-10,30.18,30.82,29.83,30.67,35719,30.511,23614
2024-01-11,30.68,30.95,30.38,30.9,29793,30.793,18220
2024-01-12,30.95,31.25,30.81,31.14,22612,31.069,14129
2024-01-16,30.92,31.03,30.51,30.75,23496,30.726,15192
2024-01-17,30.5,30.98,30.39,30.64,16988,30.748,11211
2024-01-18,30.78,31.03,30.46,30.87,17870,30.838,13100
2024-01-19,30.89,31.11,30.58,31.03,15191,30.953,10974
2024-01-22,31.18,31.44,31.07,31.27,15341,31.313,10521
2024-01-23,31.41,31.7,31.19,31.52,18544,31.416,13656
2024-01-24,31.77,31.79,31.3,31.41,10162,31.493,8254
2024-01-25,31.69,32.23,31.64,32.13,15072,32.023,11342
2024-01-26,32.23,32.31,32.06,32.22,10004,32.184,7564
2024-01-29,32.17,32.38,32.06,32.35,12241,32.233,8084
2024-01-30,32.28,32.46,32.15,32.3,11662,32.346,6991
2024-01-31,32.39,32.8,32.14,32.3,21509,32.49,14240
2024-02-01,32.34,32.5,31.78,32.41,15850,32.192,11753
2024-02-02,32.2,32.31,31.73,31.8,15879,31.913,11815
2024-02-05,31.55,31.78,31.39,31.41,22909,31.564,14509
2024-02-06,31.32,31.81,31.21,31.62,24717,31.62,16053
2024-02-07,32.82,32.96,29.4,29.47,56648,30.037,40509
2024-02-08,29.75,29.86,28.51,28.78,53822,28.905,35778
2024-02-09,28.89,29.86,28.74,29.77,45022,29.614,32081
2024-02-12,29.73,30.57,29.7,30.44,30096,30.296,21313
2024-02-13,30.04,30.17,29.28,29.69,26314,29.646,19635
2024-02-14,29.8,30.33,29.64,30.25,20715,30.015,15432
2024-02-15,30.21,30.79,30.21,30.56,23911,30.598,18264
2024-02-16,30.41,30.62,30.17,30.44,11142,30.447,8880
2024-02-20,30.23,30.48,30.06,30.09,17057,30.181,11793
2024-02-21,30.05,30.15,29.51,29.95,19470,29.786,13887
2024-02-22,29.92,30.11,29.62,29.85,16577,29.907,12133
2024-02-23,30.05,30.45,29.67,30.23,24237,30.133,16994
2024-02-26,30.09,30.28,29.58,29.63,18174,29.911,13226
2024-02-27,29.75,29.87,29.48,29.57,17384,29.602,12430
2024-02-28,29.53,29.63,29.38,29.44,18498,29.484,12524
2024-02-29,29.64,30.11,29.56,29.79,21587,29.85,15276
2024-03-01,29.85,29.89,29.23,29.42,20545,29.411,13942
2024-03-04,29.3,29.31,28.4,29.04,25668,28.889,16879
2024-03-05,28.64,29.33,28.42,28.82,32521,28.919,20168
2024-03-06,28.77,29.06,28.28,28.42,27765,28.549,18963
2024-03-07,28.44,28.72,28.34,28.66,29164,28.511,17344
2024-03-08,28.71,28.99,28.67,28.86,21193,28.868,13971
2024-03-11,28.91,30.15,28.91,29.93,24681,29.661,16675
2024-03-12,30.0,30.04,29.29,29.46,15921,29.522,12160
2024-03-13,29.5,29.97,29.5,29.78,22928,29.723,15207
2024-03-14,29.69,29.8,29.14,29.32,17665,29.318,12825
2024-03-15,29.33,29.86,29.29,29.55,18385,29.472,11570
2024-03-18,29.7,29.88,29.34,29.71,17967,29.684,13944
2024-03-19,29.76,30.04,29.61,29.81,15709,29.787,10981
2024-03-20,29.67,30.44,29.53,30.22,21053,30.072,14929
2024-03-21,30.36,30.56,30.06,30.51,13353,30.382,10381
2024-03-22,30.63,30.77,29.88,30.04,12700,30.133,9026
2024-03-25,30.2,30.44,30.07,30.22,17222,30.218,12195
2024-03-26,30.35,30.8,30.15,30.58,21881,30.56,10968
2024-03-27,30.82,31.22,30.64,31.17,27821,30.959,12165
2024-03-28,31.24,31.36,30.93,31.27,26574,31.144,15193
2024-04-01,31.27,31.36,30.93,31.35,19159,31.162,12344
2024-04-02,31.31,31.75,30.93,31.03,14457,31.172,9239
2024-04-03,31.08,31.46,30.82,31.41,16422,31.163,10129
2024-04-04,31.59,31.81,31.09,31.14,23007,31.33,13593
2024-04-05,31.19,31.42,30.95,31.02,43439,31.08,14604
2024-04-08,30.95,31.4,30.74,31.21,28071,31.213,14882
2024-04-09,31.22,31.53,31.06,31.35,25726,31.299,13126
2024-04-10,30.93,31.09,30.58,30.87,18153,30.809,11702
2024-04-11,30.88,31.04,30.36,30.74,15601,30.715,8345
2024-04-12,30.6,30.69,30.06,30.09,13493,30.213,9752
2024-04-15,30.09,31.05,30.02,30.35,31951,30.575,18990
2024-04-16,30.31,30.6,30.08,30.4,20134,30.412,14642
2024-04-17,30.64,30.75,30.3,30.46,12623,30.484,9726
2024-04-18,30.63,30.91,30.39,30.77,11860,30.751,8731
2024-04-19,30.88,31.52,30.87,31.39,12905,31.322,9544
2024-04-22,31.54,31.6,31.23,31.4,15204,31.414,9994
2024-04-23,31.42,31.81,31.36,31.71,12013,31.686,8563
2024-04-24,31.54,31.84,31.37,31.71,15319,31.655,10435
2024-04-25,31.43,31.78,31.26,31.68,14739,31.566,10215
2024-04-26,31.52,31.69,31.08,31.21,13919,31.369,8739
2024-04-29,31.28,31.67,31.22,31.57,14350,31.528,7933
2024-04-30,31.47,31.55,30.91,31.01,21251,31.085,12479
2024-05-01,30.95,31.53,30.95,31.33,13749,31.361,9892
2024-05-02,31.49,31.68,31.17,31.66,12469,31.421,9521
2024-05-03,31.88,32.14,31.73,32.11,17565,31.988,10059
2024-05-06,32.37,32.57,32.14,32.56,16521,32.395,11002
2024-05-07,32.5,32.77,32.26,32.32,29151,32.428,17812
2024-05-08,32.38,33.23,31.71,33.16,27653,32.901,18334
2024-05-09,33.77,34.15,33.21,33.32,28774,33.427,18179
2024-05-10,33.5,33.75,33.25,33.41,12867,33.42,9218
2024-05-13,33.54,33.81,33.14,33.18,17647,33.39,11817
2024-05-14,33.32,33.6,33.19,33.31,16892,33.402,12465
2024-05-15,33.38,33.46,32.92,32.96,13772,33.102,9848
2024-05-16,32.78,33.0,32.45,32.68,24879,32.676,15335
2024-05-17,32.71,32.87,32.5,32.85,11203,32.747,7898
2024-05-20,32.8,33.06,32.64,32.99,8554,32.92,6273
2024-05-21,32.99,33.29,32.84,32.87,10999,33.071,7594
2024-05-22,32.68,33.03,32.51,33.01,11169,32.869,8314
2024-05-23,32.88,33.28,32.66,32.97,15372,33.011,10767
2024-05-24,33.16,33.63,33.06,33.61,10325,33.421,7731
2024-05-28,33.5,33.86,33.33,33.5,13475,33.544,8451
2024-05-29,33.44,34.0,33.27,33.81,19529,33.765,11424
2024-05-30,33.83,34.58,33.6,34.27,21142,34.213,12535
2024-05-31,34.29,34.8,34.1,34.43,20145,34.428,12341
2024-06-03,34.63,35.0,34.42,34.81,17068,34.763,11643
2024-06-04,34.58,35.04,34.5,34.52,18511,34.668,12427
2024-06-05,34.6,34.75,34.28,34.63,16620,34.621,12241
2024-06-06,34.51,34.91,34.27,34.35,17794,34.474,11616
2024-06-07,34.13,34.63,34.06,34.11,14784,34.317,9675
2024-06-10,33.9,34.03,33.45,33.69,20177,33.743,14140
2024-06-11,33.51,33.77,33.31,33.34,14438,33.543,11204
2024-06-12,33.49,33.66,33.16,33.42,12232,33.391,9998
2024-06-13,33.2,33.4,33.08,33.33,10024,33.296,7864
2024-06-14,33.13,33.36,32.93,33.18,9419,33.162,7520
2024-06-17,33.2,33.47,32.76,33.44,14392,33.194,10536
2024-06-18,33.52,34.01,33.5,33.56,11626,33.646,8823
2024-06-20,33.56,34.41,33.5,34.35,20094,34.252,13257
2024-06-21,34.44,34.64,34.2,34.46,11485,34.458,7263
2024-06-24,34.29,34.54,34.02,34.46,9397,34.421,6451
2024-06-25,34.61,34.88,34.31,34.62,13047,34.513,8820
2024-06-26,34.34,34.56,33.99,34.42,12313,34.29,7995
2024-06-27,34.42,34.43,33.82,34.08,12136,34.043,8296
2024-06-28,34.25,34.57,34.23,34.37,10989,34.414,7411
2024-07-01,34.51,34.88,34.08,34.12,13500,34.336,8894
2024-07-02,34.09,34.49,33.84,34.48,18493,34.118,11614
2024-07-03,34.56,34.83,34.49,34.78,8212,34.685,6015
2024-07-05,34.72,34.83,34.39,34.54,11049,34.533,8267
2024-07-08,34.73,34.76,34.49,34.52,9676,34.614,7096
2024-07-09,34.35,35.27,34.35,35.19,12595,35.019,9638
2024-07-10,35.24,35.49,35.18,35.32,9538,35.325,6506
2024-07-11,35.5,35.9,35.43,35.64,7339,35.6,5510
2024-07-12,35.76,36.12,35.7,35.73,8940,35.87,6270
2024-07-15,35.79,36.3,35.7,35.99,16268,36.045,8421
2024-07-16,36.1,36.88,36.02,36.73,15196,36.641,8703
2024-07-17,36.65,37.5,36.0,37.45,16829,37.31,11752
2024-07-18,37.37,37.95,37.08,37.1,13820,37.515,9982
2024-07-19,37.08,37.23,36.82,36.89,10152,36.947,6826
2024-07-22,36.92,37.1,36.45,37.04,12376,36.899,8272
2024-07-23,36.93,37.16,36.5,37.07,9301,36.888,7078
2024-07-24,37.12,37.32,36.82,37.09,8297,37.098,6005
2024-07-25,37.2,37.41,36.95,37.07,11947,37.2,8160
2024-07-26,37.25,37.69,36.97,37.51,9545,37.387,7423
2024-07-29,37.65,37.89,37.42,37.79,7329,37.775,5450
2024-07-30,37.84,38.55,37.77,38.42,11143,38.264,6442
2024-07-31,38.34,38.45,38.03,38.04,9387,38.247,6851
2024-08-01,38.26,38.46,37.7,37.77,13625,37.873,8817
2024-08-02,37.8,37.98,37.2,37.31,11259,37.41,8244
2024-08-05,36.78,37.02,36.09,36.36,20210,36.458,13416
2024-08-06,36.86,38.99,36.85,38.81,33185,38.524,22274
2024-08-07,39.18,39.81,38.82,39.23,20488,39.299,14648
2024-08-08,39.09,39.49,38.52,39.3,14132,39.197,9995
2024-08-09,39.43,39.53,39.17,39.33,14732,39.365,10790
2024-08-12,39.29,39.47,38.79,38.83,13700,39.056,8742
2024-08-13,38.91,39.19,38.85,38.98,15141,38.984,10299
2024-08-14,38.86,39.2,38.85,39.06,12393,39.068,8779
2024-08-15,39.46,39.62,38.82,38.99,13518,39.016,9456
2024-08-16,39.82,39.84,39.44,39.54,16389,39.601,10762
2024-08-19,39.58,39.84,39.46,39.7,14628,39.645,10081
2024-08-20,39.55,40.12,39.5,40.07,13293,39.955,8902
2024-08-21,40.06,40.42,39.95,40.41,8946,40.213,6320
2024-08-22,40.5,40.91,40.41,40.77,11938,40.659,8412
2024-08-23,40.92,41.16,40.75,41.01,7807,41.003,6066
2024-08-26,41.02,41.4,40.98,41.08,7886,41.137,6263
2024-08-27,41.0,41.11,40.84,41.04,8222,40.986,6269
2024-08-28,41.02,41.33,40.98,41.23,7644,41.195,5796
2024-08-29,41.19,41.42,41.03,41.07,9577,41.223,6894
2024-08-30,41.2,41.43,41.03,41.37,7232,41.208,5594
2024-09-03,41.26,41.43,40.86,41.03,15735,41.095,9916
2024-09-04,40.88,41.58,40.82,41.18,13450,41.319,9429
2024-09-05,41.32,41.4,40.39,40.42,12790,40.729,9434
2024-09-06,40.41,40.7,40.13,40.31,12376,40.355,8446
2024-09-09,40.08,40.45,39.75,40.06,27464,40.15,19218
2024-09-10,40.0,40.19,39.79,39.89,13879,39.94,9243
2024-09-11,39.82,39.87,38.96,39.4,17263,39.25,12144
2024-09-12,39.57,39.57,38.71,38.91,13280,38.902,10016
2024-09-13,39.08,39.69,39.08,39.66,15494,39.534,9951
2024-09-16,39.69,40.07,39.34,39.71,17021,39.596,11489
2024-09-17,39.74,40.87,39.74,40.53,17452,40.481,11740
2024-09-18,40.47,41.14,40.44,40.6,24018,40.735,14893
2024-09-19,40.95,40.97,40.37,40.48,14844,40.632,11301
2024-09-20,40.8,41.2,40.2,40.21,41904,40.607,23345
2024-09-23,40.44,41.13,40.29,41.11,28707,40.769,16763
2024-09-24,41.12,42.45,41.06,42.32,21950,42.176,14639
2024-09-25,42.25,42.38,41.72,41.98,20470,41.997,13402
2024-09-26,42.06,42.35,41.87,42.3,26029,42.142,12325
2024-09-27,42.43,42.64,42.18,42.27,8026,42.362,5322
2024-09-30,42.26,42.52,42.1,42.33,8630,42.26,5686
2024-10-01,42.23,42.54,41.64,42.32,11390,42.336,7911
2024-10-02,42.01,42.47,41.92,41.99,8222,42.086,6421
2024-10-03,41.89,42.0,41.55,41.9,10256,41.809,7650
2024-10-04,42.06,42.32,41.77,41.81,8524,41.871,5834
2024-10-07,41.68,41.81,41.13,41.62,10399,41.549,6973
2024-10-08,41.54,41.83,41.31,41.58,14887,41.605,7932
