date,open,high,low,close,volume,average,barCount
2023-12-20,1.92,1.94,1.79,1.8,28566,1.85339,6071
2023-12-21,1.88,1.935,1.82,1.91,28799,1.8894,6953
2023-12-22,1.9,1.93,1.84,1.9,18074,1.88878,4852
2023-12-26,1.9,2.1799,1.89,2.06,26018,2.07036,6234
2023-12-27,2.05,2.06,1.9,1.91,39415,1.9466,6140
2023-12-28,1.93,2.05,1.9,2.0,32717,1.98654,7306
2023-12-29,1.98,2.04,1.87,1.87,21691,1.92222,4221
2024-01-02,1.89,2.02,1.82,1.9,20599,1.95016,5624
2024-01-03,1.9,1.9,1.82,1.87,12573,1.86321,3705
2024-01-04,1.87,1.95,1.81,1.9,22431,1.87797,5252
2024-01-05,1.85,1.9,1.71,1.72,23203,1.76993,5188
2024-01-08,1.7,1.83,1.68,1.81,14506,1.76935,2943
2024-01-09,1.77,1.815,1.72,1.75,12739,1.77714,3852
2024-01-10,1.75,1.75,1.67,1.68,17110,1.70203,4231
2024-01-11,1.67,1.67,1.51,1.58,25156,1.57169,5110
2024-01-12,1.58,1.65,1.54,1.55,8505,1.57782,2078
2024-01-16,1.52,1.52,1.405,1.43,36941,1.43276,6543
2024-01-17,1.38,1.45,1.32,1.43,20155,1.40632,3727
2024-01-18,1.44,1.46,1.34,1.38,18775,1.38572,4467
2024-01-19,1.38,1.41,1.25,1.32,20372,1.33333,3849
2024-01-22,1.35,1.44,1.315,1.37,12498,1.36266,2933
2024-01-23,1.4,1.46,1.38,1.45,10702,1.42485,2512
2024-01-24,1.46,1.488,1.31,1.31,10265,1.37269,2112
2024-01-25,1.33,1.36,1.2921,1.34,10146,1.32621,1962
2024-01-26,1.35,1.39,1.3,1.32,10151,1.33675,2381
2024-01-29,1.35,1.45,1.28,1.44,12488,1.39598,3338
2024-01-30,1.46,1.46,1.35,1.37,9340,1.38056,1842
2024-01-31,1.35,1.4395,1.335,1.35,9496,1.39376,2070
2024-02-01,1.38,1.42,1.345,1.37,8343,1.38315,2035
2024-02-02,1.36,1.42,1.29,1.31,11705,1.31594,1875
2024-02-05,1.31,1.31,1.21,1.26,14177,1.25676,2985
2024-02-06,1.275,1.42,1.22,1.4,18584,1.34312,4276
2024-02-07,1.5,1.56,1.42,1.55,20938,1.49062,4589
2024-02-08,1.56,1.78,1.53,1.78,29049,1.70251,5860
2024-02-09,1.79,1.89,1.73,1.84,21175,1.81458,4083
2024-02-12,1.86,1.96,1.81,1.91,23070,1.90534,4984
2024-02-13,1.8,1.84,1.662,1.7,18637,1.76649,4418
2024-02-14,1.7,1.89,1.7,1.82,13687,1.83055,3041
2024-02-15,1.82,1.845,1.67,1.8,21497,1.74121,5581
2024-02-16,1.76,1.84,1.67,1.82,17578,1.77615,4358
2024-02-20,1.79,1.855,1.73,1.74,14642,1.78058,3958
2024-02-21,1.7,1.735,1.67,1.69,9323,1.69738,2209
2024-02-22,1.71,1.71,1.61,1.65,12394,1.65147,2769
2024-02-23,1.655,1.6888,1.58,1.61,13856,1.62318,3948
2024-02-26,1.57,1.65,1.54,1.63,8945,1.60688,2031
2024-02-27,1.63,1.71,1.59,1.68,14470,1.65869,3570
2024-02-28,1.63,1.72,1.6,1.66,18154,1.6535,3738
2024-02-29,1.76,1.76,1.52,1.54,23852,1.59737,5750
2024-03-01,1.55,1.77,1.53,1.71,27716,1.67524,7057
2024-03-04,1.73,1.745,1.615,1.65,13118,1.6701,2566
