date,open,high,low,close,volume,average,barCount
2024-01-02,21.35,21.41,21.26,21.35,1317,21.337,99
2024-01-03,21.32,21.34,21.25,21.28,717,21.297,255
2024-01-04,21.3,21.36,21.26,21.27,1233,21.308,461
2024-01-05,21.3,21.35,21.25,21.27,1582,21.299,314
2024-01-08,21.3,21.46,21.25,21.46,1321,21.364,461
2024-01-09,21.44,21.47,21.35,21.46,1204,21.431,347
2024-01-10,21.52,21.52,21.44,21.49,1469,21.485,528
2024-01-11,21.55,21.55,21.38,21.47,2197,21.451,882
2024-01-12,21.56,21.6,21.48,21.55,2017,21.533,353
2024-01-16,21.51,21.52,21.33,21.48,1038,21.464,370
2024-01-17,21.44,21.46,21.34,21.43,7761,21.378,384
2024-01-18,21.49,21.51,21.39,21.51,1201,21.45,695
2024-01-19,21.61,21.69,21.47,21.65,2449,21.595,611
2024-01-22,21.71,21.73,21.66,21.73,2036,21.705,816
2024-01-23,21.6,21.61,21.52,21.6,1430,21.58,447
2024-01-24,21.69,21.69,21.6,21.63,2485,21.657,745
2024-01-25,21.75,21.75,21.61,21.69,5749,21.664,954
2024-01-26,21.72,21.73,21.66,21.72,3770,21.707,1696
2024-01-29,21.73,21.81,21.67,21.81,1969,21.732,765
2024-01-30,21.8,21.85,21.76,21.84,2993,21.801,965
2024-01-31,21.82,21.82,21.6,21.62,2054,21.73,698
2024-02-01,21.73,21.81,21.62,21.78,3344,21.698,815
2024-02-02,21.82,21.87,21.73,21.85,1710,21.825,641
2024-02-05,21.86,21.87,21.73,21.85,1714,21.825,790
2024-02-06,21.87,21.92,21.77,21.83,1487,21.828,591
2024-02-07,21.88,21.88,21.78,21.87,2735,21.843,970
2024-02-08,21.83,21.97,21.83,21.96,1476,21.936,570
2024-02-09,22.0,22.03,21.96,22.01,3832,21.997,610
2024-02-12,22.03,22.07,22.0,22.05,1042,22.042,553
2024-02-13,21.8,21.94,21.74,21.86,1286,21.885,428
2024-02-14,21.95,22.0,21.87,22.0,1447,21.93,387
2024-02-15,22.05,22.14,22.02,22.13,2111,22.086,611
2024-02-16,22.17,22.17,22.03,22.08,2746,22.101,489
2024-02-20,22.05,22.08,21.88,21.97,1753,21.958,518
2024-02-21,21.81,21.85,21.71,21.84,1701,21.781,572
2024-02-22,21.9,22.07,21.9,22.06,1599,22.024,665
2024-02-23,22.06,22.1,22.03,22.09,3236,22.068,651
2024-02-26,22.04,22.13,22.0,22.12,1686,22.095,594
2024-02-27,22.16,22.16,22.06,22.14,1575,22.115,733
2024-02-28,22.14,22.14,22.05,22.09,2360,22.105,726
2024-02-29,22.16,22.16,22.02,22.09,1693,22.088,594
2024-03-01,22.15,22.23,22.12,22.22,1928,22.201,578
2024-03-04,22.25,22.25,22.14,22.14,1691,22.217,648
2024-03-05,22.14,22.17,22.06,22.14,1788,22.127,726
2024-03-06,22.31,22.31,22.13,22.19,2081,22.186,858
2024-03-07,22.36,22.36,22.21,22.29,1692,22.277,530
2024-03-08,22.32,22.36,22.17,22.24,1043,22.272,351
2024-03-11,22.23,22.23,22.14,22.2,1473,22.178,711
2024-03-12,22.29,22.34,22.22,22.32,1233,22.298,576
2024-03-13,22.38,22.38,22.31,22.36,1247,22.351,422
2024-03-14,22.43,22.43,22.24,22.31,1049,22.315,331
2024-03-15,22.46,22.46,22.19,22.26,1303,22.269,420
2024-03-18,22.37,22.37,22.25,22.29,1443,22.328,485
2024-03-19,22.31,22.42,22.27,22.4,1258,22.342,537
2024-03-20,22.4,22.55,22.35,22.53,1785,22.412,703
2024-03-21,22.59,22.59,22.42,22.45,1560,22.448,575
2024-03-22,22.51,22.51,22.37,22.42,1602,22.418,613
2024-03-25,22.44,22.46,22.38,22.41,1393,22.427,549
2024-03-26,22.45,22.45,22.34,22.36,1643,22.392,749
2024-03-27,22.45,22.45,22.35,22.43,1207,22.385,379
2024-03-28,22.48,22.48,22.42,22.47,1506,22.452,424
2024-04-01,22.55,22.55,22.4,22.46,1135,22.456,413
2024-04-02,22.39,22.39,22.28,22.34,2169,22.309,839
2024-04-03,22.34,22.41,22.31,22.38,1658,22.379,746
2024-04-04,22.55,22.55,22.2,22.23,1769,22.397,646
2024-04-05,22.28,22.4,22.22,22.36,1974,22.334,858
2024-04-08,22.36,22.41,22.34,22.38,800,22.375,320
2024-04-09,22.42,22.42,22.25,22.35,1613,22.326,581
2024-04-10,22.25,22.3,22.19,22.26,1985,22.247,943
2024-04-11,22.24,22.42,22.24,22.39,2228,22.341,1012
2024-04-12,22.34,22.34,22.1,22.16,1679,22.223,617
2024-04-15,22.22,22.31,21.94,22.0,1806,22.118,512
2024-04-16,22.02,22.04,21.91,21.99,4346,21.955,766
2024-04-17,22.04,22.1,21.84,21.9,2723,21.961,1215
2024-04-18,21.92,21.99,21.81,21.85,1940,21.914,762
2024-04-19,21.85,21.89,21.69,21.75,1658,21.776,755
2024-04-22,21.8,22.01,21.79,21.94,1482,21.908,636
2024-04-23,21.85,22.01,21.81,22.0,2328,21.964,591
2024-04-24,22.04,22.04,21.9,21.98,2981,21.972,913
2024-04-25,21.8,21.89,21.71,21.89,1806,21.79,520
2024-04-26,22.0,22.09,21.96,22.04,1358,22.05,608
2024-04-29,22.07,22.09,21.98,22.06,1322,22.043,499
2024-04-30,22.05,22.05,21.76,21.79,2525,21.923,951
2024-05-01,21.84,21.98,21.74,21.79,3948,21.818,1186
2024-05-02,21.96,21.99,21.81,21.98,1414,21.929,631
2024-05-03,22.15,22.17,22.07,22.16,1071,22.142,442
2024-05-06,22.28,22.29,22.21,22.29,797,22.242,261
2024-05-07,22.37,22.37,22.26,22.28,1621,22.307,506
2024-05-08,22.27,22.32,22.25,22.32,5476,22.294,764
2024-05-09,22.37,22.38,22.31,22.38,2218,22.353,902
2024-05-10,22.48,22.48,22.33,22.39,1144,22.382,471
2024-05-13,22.49,22.49,22.36,22.39,1560,22.402,492
2024-05-14,22.46,22.47,22.36,22.46,1916,22.412,669
2024-05-15,22.58,22.58,22.5,22.58,2692,22.544,687
2024-05-16,22.64,22.64,22.53,22.54,1536,22.569,602
2024-05-17,22.65,22.65,22.51,22.57,1312,22.552,527
2024-05-20,22.61,22.61,22.57,22.58,1619,22.591,397
2024-05-21,22.41,22.44,22.38,22.44,1654,22.415,537
2024-05-22,22.41,22.46,22.32,22.39,2567,22.408,746
2024-05-23,22.54,22.54,22.29,22.34,1695,22.394,628
2024-05-24,22.43,22.45,22.37,22.43,1388,22.427,562
2024-05-28,22.49,22.49,22.37,22.44,1286,22.435,365
2024-05-29,22.41,22.41,22.31,22.34,1651,22.34,514
2024-05-30,22.35,22.35,22.26,22.3,2504,22.325,693
2024-05-31,22.36,22.4,22.21,22.4,3082,22.285,956
2024-06-03,22.53,22.53,22.27,22.39,4531,22.36,906
2024-06-04,22.37,22.39,22.3,22.37,2815,22.343,707
2024-06-05,22.37,22.48,22.37,22.48,2100,22.442,648
2024-06-06,22.48,22.49,22.42,22.47,1275,22.463,414
2024-06-07,22.45,22.47,22.39,22.42,1577,22.434,621
2024-06-10,22.41,22.45,22.36,22.45,2494,22.418,868
2024-06-11,22.4,22.42,22.33,22.42,2497,22.391,641
2024-06-12,22.68,22.68,22.5,22.54,3182,22.553,991
2024-06-13,22.57,22.57,22.46,22.51,1930,22.497,507
2024-06-14,22.47,22.5,22.42,22.48,1907,22.455,534
2024-06-17,22.49,22.53,22.42,22.52,3273,22.487,557
2024-06-18,22.52,22.56,22.47,22.54,1519,22.522,346
2024-06-20,22.55,22.59,22.5,22.56,1689,22.555,576
2024-06-21,22.62,22.62,22.49,22.54,1942,22.533,628
2024-06-24,22.62,22.62,22.54,22.57,1788,22.593,521
2024-06-25,22.68,22.68,22.55,22.62,3714,22.591,530
2024-06-26,22.6,22.63,22.53,22.62,1897,22.591,400
2024-06-27,22.46,22.48,22.41,22.48,1619,22.443,558
2024-06-28,22.62,22.62,22.42,22.47,2625,22.498,465
2024-07-01,22.47,22.54,22.46,22.54,2988,22.486,437
2024-07-02,22.56,22.6,22.49,22.6,3072,22.551,742
2024-07-03,22.72,22.72,22.61,22.66,1242,22.643,417
2024-07-05,22.82,22.82,22.63,22.67,1707,22.658,392
2024-07-08,22.7,22.7,22.65,22.69,2043,22.673,560
2024-07-09,22.69,22.71,22.65,22.67,6126,22.677,1041
2024-07-10,22.72,22.76,22.66,22.76,8322,22.734,1131
2024-07-11,22.82,22.82,22.75,22.79,2300,22.783,859
2024-07-12,22.88,22.88,22.81,22.85,3593,22.853,463
2024-07-15,22.9,22.94,22.85,22.88,1896,22.893,635
2024-07-16,22.87,22.97,22.87,22.96,2203,22.926,783
2024-07-17,22.94,22.95,22.8,22.83,1739,22.866,969
2024-07-18,22.87,22.9,22.65,22.72,1182,22.774,204
2024-07-19,22.74,22.76,22.6,22.65,1997,22.664,489
2024-07-22,22.79,22.84,22.66,22.83,1629,22.78,529
2024-07-23,22.7,22.7,22.47,22.65,1528,22.634,480
2024-07-24,22.57,22.57,22.22,22.26,3302,22.375,468
2024-07-25,22.31,22.48,22.14,22.22,4029,22.354,612
2024-07-26,22.36,22.49,22.28,22.46,1549,22.412,375
2024-07-29,22.54,22.54,22.39,22.45,1451,22.47,447
2024-07-30,22.56,22.56,22.29,22.43,1989,22.434,413
2024-07-31,22.75,22.75,22.57,22.66,2306,22.665,488
2024-08-01,22.76,22.8,22.32,22.47,2821,22.516,507
2024-08-02,22.27,22.34,21.92,22.12,1407,22.083,414
2024-08-05,20.99,21.72,20.96,21.47,2349,21.472,615
2024-08-06,21.57,21.96,21.5,21.7,1350,21.76,514
2024-08-07,21.97,22.0,21.54,21.56,2153,21.78,626
2024-08-08,21.77,22.01,21.7,21.99,1062,21.908,249
2024-08-09,22.04,22.12,21.91,22.1,1640,22.046,262
2024-08-12,22.16,22.19,22.02,22.12,1282,22.11,410
2024-08-13,22.24,22.39,22.13,22.39,1149,22.296,269
2024-08-14,22.45,22.47,22.33,22.45,1428,22.41,362
2024-08-15,22.65,22.68,22.56,22.67,1573,22.644,520
2024-08-16,22.65,22.71,22.6,22.68,2690,22.679,320
2024-08-19,22.68,22.82,22.68,22.79,1931,22.744,324
2024-08-20,22.8,22.8,22.71,22.76,2491,22.741,548
2024-08-21,22.65,22.65,22.55,22.64,1844,22.609,505
2024-08-22,22.71,22.71,22.5,22.55,1681,22.596,527
2024-08-23,22.67,22.75,22.61,22.74,1548,22.693,617
2024-08-26,22.79,22.8,22.68,22.72,1694,22.728,533
2024-08-27,22.72,22.75,22.65,22.74,1615,22.712,521
2024-08-28,22.73,22.75,22.61,22.68,1554,22.686,573
2024-08-29,22.76,22.79,22.66,22.71,1950,22.749,526
2024-08-30,22.76,22.84,22.68,22.83,1868,22.76,662
2024-09-03,22.78,22.78,22.5,22.55,1868,22.625,756
2024-09-04,22.52,22.6,22.48,22.53,2197,22.531,460
2024-09-05,22.55,22.67,22.46,22.52,1227,22.527,345
2024-09-06,22.55,22.56,22.24,22.26,1466,22.325,320
2024-09-09,22.42,22.45,22.31,22.42,1065,22.388,321
2024-09-10,22.47,22.52,22.34,22.52,2108,22.431,426
2024-09-11,22.52,22.61,22.25,22.6,1036,22.429,210
2024-09-12,22.63,22.75,22.6,22.74,4440,22.674,416
2024-09-13,22.77,22.85,22.76,22.84,1155,22.819,352
2024-09-16,22.82,22.91,22.81,22.91,988,22.857,320
2024-09-17,22.97,22.97,22.85,22.88,6905,22.926,632
2024-09-18,22.94,23.02,22.85,22.86,1893,22.922,395
2024-09-19,23.1,23.1,22.99,23.08,1536,23.055,363
2024-09-20,23.12,23.15,23.0,23.06,1195,23.068,205
2024-09-23,23.06,23.14,23.06,23.12,1126,23.087,379
2024-09-24,23.15,23.16,23.03,23.16,1817,23.124,506
2024-09-25,23.16,23.17,23.09,23.12,2820,23.139,603
2024-09-26,23.03,23.13,22.91,22.97,1191,22.963,387
2024-09-27,23.0,23.0,22.9,22.96,2946,22.961,465
2024-09-30,22.95,23.02,22.87,23.02,2012,22.938,629
2024-10-01,23.02,23.02,22.81,22.91,1976,22.896,656
2024-10-02,22.89,22.94,22.83,22.91,1129,22.896,297
2024-10-03,22.91,22.92,22.83,22.89,1855,22.881,334
2024-10-04,23.0,23.12,22.9,23.06,1458,22.984,469
2024-10-07,23.03,23.04,22.86,22.93,1628,22.963,746
2024-10-08,23.02,23.05,22.94,23.04,3235,23.007,554
2024-10-09,23.08,23.08,23.01,23.08,1802,23.053,505
2024-10-10,23.01,23.08,23.01,23.07,1459,23.047,717
2024-10-11,23.09,23.16,23.06,23.16,1146,23.13,382
2024-10-14,23.21,23.25,23.18,23.24,1255,23.221,215
2024-10-15,23.23,23.27,23.18,23.22,1741,23.239,476
2024-10-16,23.28,23.31,23.21,23.3,2399,23.283,787
2024-10-17,23.4,23.4,23.29,23.32,1733,23.325,609
2024-10-18,23.41,23.42,23.32,23.4,1482,23.385,485
2024-10-21,23.6,23.6,23.23,23.32,2487,23.319,626
2024-10-22,23.15,23.15,23.03,23.13,1602,23.11,441
2024-10-23,23.12,23.12,22.9,23.0,1981,23.011,347
2024-10-24,23.09,23.09,22.95,23.07,1270,23.043,431
2024-10-25,23.16,23.21,23.05,23.06,1251,23.142,549
2024-10-28,23.1,23.17,23.1,23.14,2146,23.15,347
2024-10-29,23.12,23.19,23.01,23.18,1517,23.125,336
2024-10-30,23.21,23.28,23.15,23.18,1647,23.216,577
2024-10-31,23.06,23.16,22.86,22.9,2839,22.994,450
2024-11-01,23.01,23.11,22.95,22.96,1321,23.034,458
2024-11-04,22.97,23.03,22.88,22.95,1727,22.966,522
2024-11-05,22.98,23.22,22.98,23.22,1653,23.129,541
2024-11-06,23.6,23.66,23.49,23.66,1185,23.583,372
2024-11-07,23.7,23.78,23.68,23.75,1474,23.731,534
2024-11-08,23.78,23.84,23.77,23.82,2377,23.808,582
2024-11-11,23.81,23.9,23.81,23.86,1219,23.867,524
2024-11-12,23.86,23.86,23.73,23.78,1737,23.798,665
2024-11-13,23.84,23.84,23.74,23.76,1683,23.803,405
2024-11-14,23.81,23.81,23.65,23.71,1680,23.733,576
2024-11-15,23.69,23.69,23.38,23.47,1912,23.471,568
2024-11-18,23.46,23.53,23.38,23.4,16865,23.43,9961
2024-11-19,23.42,23.66,23.41,23.65,5444,23.596,596
2024-11-20,23.65,23.65,23.51,23.63,4772,23.596,1419
2024-11-21,23.65,23.65,23.41,23.58,2791,23.547,1087
2024-11-22,23.62,23.69,23.58,23.68,3128,23.64,1019
2024-11-25,23.92,23.92,23.67,23.73,2004,23.76,896
2024-11-26,23.76,23.86,23.72,23.81,1462,23.781,528
2024-11-27,23.89,23.89,23.73,23.78,1734,23.778,389
2024-11-29,23.92,23.92,23.77,23.83,1330,23.82,300
2024-12-02,23.86,23.87,23.78,23.85,2235,23.837,725
2024-12-03,23.87,23.89,23.82,23.87,1816,23.857,675
2024-12-04,23.92,23.94,23.87,23.94,1830,23.912,676
2024-12-05,24.02,24.02,23.91,23.96,1728,23.95,531
2024-12-06,24.01,24.01,23.93,24.0,1868,23.973,676
2024-12-09,24.09,24.09,23.91,23.94,1758,23.961,680
2024-12-10,23.96,23.98,23.89,23.91,3271,23.937,775
2024-12-11,23.99,24.06,23.96,24.02,1942,24.028,700
2024-12-12,24.02,24.02,23.95,23.96,1770,23.994,572
2024-12-13,23.92,23.92,23.75,23.81,2253,23.794,639
2024-12-16,23.86,23.9,23.82,23.87,2018,23.875,651
2024-12-17,23.84,23.84,23.74,23.8,2423,23.787,698
2024-12-18,23.83,23.83,23.18,23.21,2854,23.573,1023
2024-12-19,23.43,23.43,23.21,23.22,2011,23.327,487
2024-12-20,23.19,23.49,23.08,23.37,2188,23.363,693
2024-12-23,23.4,23.6,23.26,23.6,2210,23.396,550
2024-12-24,23.65,23.69,23.52,23.69,996,23.597,400
2024-12-26,23.69,23.71,23.6,23.7,1571,23.666,570
2024-12-27,23.65,23.65,23.36,23.5,1048,23.455,193
2024-12-30,23.37,23.42,23.19,23.33,1976,23.348,755
2024-12-31,23.47,23.47,23.22,23.27,2390,23.322,613
2025-01-02,23.27,23.45,23.13,23.28,2494,23.259,697
2025-01-03,23.41,23.55,23.36,23.53,4124,23.423,474
2025-01-06,23.66,23.7,23.53,23.59,1501,23.62,430
2025-01-07,23.67,23.67,23.27,23.35,3387,23.403,472
2025-01-08,23.35,23.41,23.24,23.39,2069,23.338,600
2025-01-10,23.29,23.29,22.95,23.03,4141,23.032,848
2025-01-13,22.88,23.05,22.76,23.04,2955,22.939,1013
2025-01-14,23.15,23.17,22.95,23.1,2415,23.071,797
2025-01-15,23.44,23.46,23.31,23.43,2083,23.413,652
2025-01-16,23.45,23.46,23.36,23.4,3178,23.414,556
2025-01-17,23.7,23.7,23.49,23.54,2690,23.547,762
2025-01-21,23.65,23.71,23.58,23.7,3257,23.679,1082
2025-01-22,23.61,23.61,23.53,23.56,5346,23.556,654
2025-01-23,23.57,23.63,23.48,23.63,10075,23.584,2222
2025-01-24,23.65,23.67,23.56,23.6,7454,23.614,2149
2025-01-27,23.37,23.44,23.26,23.36,13741,23.302,8854
2025-01-28,23.45,23.54,23.36,23.52,7662,23.508,2707
2025-01-29,23.54,23.54,23.41,23.5,3961,23.494,1456
2025-01-30,23.59,23.67,23.53,23.64,2673,23.596,1012
2025-01-31,23.66,23.68,23.5,23.54,3992,23.595,1388
2025-02-03,23.33,23.47,23.25,23.43,3559,23.393,1199
2025-02-04,23.48,23.58,23.33,23.58,3191,23.539,1072
2025-02-05,23.58,23.66,23.49,23.65,3528,23.592,1053
2025-02-06,23.7,23.71,23.62,23.71,3432,23.679,1129
2025-02-07,23.73,23.73,23.54,23.57,2262,23.6,503
2025-02-10,23.76,23.76,23.6,23.66,2156,23.654,898
2025-02-11,23.63,23.7,23.59,23.7,1957,23.651,639
2025-02-12,23.68,23.68,23.52,23.62,2764,23.617,925
2025-02-13,23.65,23.74,23.58,23.74,3166,23.67,922
2025-02-14,23.75,23.77,23.69,23.72,2525,23.731,798
2025-02-18,23.73,23.73,23.65,23.72,2831,23.691,830
2025-02-19,23.71,23.75,23.64,23.74,2743,23.712,919
2025-02-20,23.79,23.79,23.59,23.67,3689,23.659,1145
2025-02-21,23.54,23.54,23.21,23.24,26104,23.276,1349
2025-02-24,23.3,23.3,23.13,23.15,2546,23.234,1317
2025-02-25,23.16,23.17,22.94,23.09,4483,23.084,1886
2025-02-26,23.14,23.26,23.02,23.1,2878,23.146,937
2025-02-27,23.19,23.19,22.79,22.81,3477,22.997,1385
2025-02-28,22.9,23.14,22.75,23.13,3588,22.917,1024
2025-03-03,23.19,23.27,22.66,22.79,3977,22.993,1377
2025-03-04,22.7,22.87,22.41,22.58,5051,22.614,1400
2025-03-05,22.65,22.86,22.45,22.81,2372,22.652,598
2025-03-06,22.67,22.67,22.26,22.36,3424,22.43,672
2025-03-07,22.35,22.5,22.05,22.48,2301,22.359,560
2025-03-10,22.22,22.25,21.67,21.89,3215,21.931,902
2025-03-11,21.91,22.01,21.61,21.79,6100,21.803,1234
2025-03-12,22.08,22.08,21.72,21.92,2444,21.952,670
2025-03-13,21.92,21.92,21.53,21.62,3012,21.693,825
2025-03-14,21.83,22.07,21.76,22.06,2664,21.932,785
2025-03-17,22.07,22.31,22.02,22.22,2819,22.171,704
2025-03-18,22.17,22.17,21.92,22.0,2627,22.008,945
2025-03-19,22.14,22.37,22.02,22.25,3294,22.187,848
