date,open,high,low,close,volume,average,barCount
2025-02-19 09:00:00,23.69,23.71,23.64,23.67,557,23.689,23
2025-02-19 10:00:00,23.68,23.7,23.66,23.7,394,23.683,190
2025-02-19 11:00:00,23.69,23.73,23.68,23.73,299,23.718,90
2025-02-19 12:00:00,23.72,23.73,23.69,23.71,165,23.708,53
2025-02-19 13:00:00,23.7,23.72,23.69,23.7,183,23.705,74
2025-02-19 14:00:00,23.71,23.74,23.7,23.73,322,23.725,79
2025-02-19 15:00:00,23.73,23.75,23.72,23.74,822,23.737,411
2025-02-19 16:00:00,23.74,23.74,23.74,23.74,27,23.74,1
2025-02-19 17:00:00,23.74,23.74,23.74,23.74,0,23.74,0
2025-02-19 18:00:00,23.74,23.74,23.74,23.74,0,23.74,0
2025-02-19 19:00:00,23.74,23.74,23.74,23.74,0,23.74,0
2025-02-20 09:00:00,23.79,23.79,23.64,23.65,960,23.716,257
2025-02-20 10:00:00,23.6,23.66,23.59,23.6,800,23.625,188
2025-02-20 11:00:00,23.6,23.63,23.59,23.59,268,23.614,113
2025-02-20 12:00:00,23.6,23.65,23.59,23.61,213,23.635,83
2025-02-20 13:00:00,23.62,23.63,23.61,23.63,211,23.624,58
2025-02-20 14:00:00,23.63,23.66,23.62,23.66,354,23.643,106
2025-02-20 15:00:00,23.66,23.68,23.65,23.67,881,23.66,340
2025-02-20 16:00:00,23.67,23.67,23.67,23.67,34,23.67,1
2025-02-20 17:00:00,23.67,23.67,23.67,23.67,0,23.67,0
2025-02-20 18:00:00,23.67,23.67,23.67,23.67,0,23.67,0
2025-02-20 19:00:00,23.95,23.95,23.95,23.95,2,23.95,1
2025-02-21 08:00:00,23.37,23.64,23.37,23.64,4,23.49,2
2025-02-21 09:00:00,23.65,23.65,23.45,23.46,431,23.513,128
2025-02-21 10:00:00,23.46,23.46,23.38,23.39,339,23.412,172
2025-02-21 11:00:00,23.41,23.42,23.38,23.41,247,23.403,138
2025-02-21 12:00:00,23.4,23.41,23.3,23.31,279,23.361,89
2025-02-21 13:00:00,23.32,23.32,23.26,23.27,23430,23.27,135
2025-02-21 14:00:00,23.27,23.28,23.21,23.23,458,23.248,197
2025-02-21 15:00:00,23.24,23.26,23.22,23.24,957,23.238,494
2025-02-21 16:00:00,23.24,23.3,23.24,23.3,21,23.243,2
2025-02-21 17:00:00,23.3,23.3,23.3,23.3,0,23.3,0
2025-02-21 18:00:00,23.3,23.3,23.3,23.3,0,23.3,0
2025-02-21 19:00:00,23.3,23.3,23.3,23.3,0,23.3,0
2025-02-24 09:00:00,23.3,23.3,23.2,23.21,671,23.27,306
2025-02-24 10:00:00,23.21,23.22,23.14,23.17,160,23.177,63
2025-02-24 11:00:00,23.18,23.26,23.18,23.24,273,23.234,119
2025-02-24 12:00:00,23.25,23.29,23.24,23.27,225,23.264,117
2025-02-24 13:00:00,23.27,23.29,23.26,23.26,203,23.275,109
2025-02-24 14:00:00,23.26,23.28,23.22,23.22,298,23.249,99
2025-02-24 15:00:00,23.23,23.24,23.13,23.15,713,23.187,504
2025-02-24 16:00:00,23.15,23.15,23.15,23.15,36,23.15,1
2025-02-24 17:00:00,23.15,23.15,23.15,23.15,0,23.15,0
2025-02-24 18:00:00,23.15,23.15,23.15,23.15,0,23.15,0
2025-02-24 19:00:00,23.15,23.15,23.15,23.15,0,23.15,0
2025-02-25 09:00:00,23.61,23.61,23.08,23.09,1134,23.151,376
2025-02-25 10:00:00,23.05,23.06,22.96,23.04,917,23.032,230
2025-02-25 11:00:00,23.02,23.07,22.94,23.05,341,22.995,177
2025-02-25 12:00:00,23.05,23.1,23.02,23.09,350,23.067,107
2025-02-25 13:00:00,23.1,23.13,23.06,23.1,388,23.094,141
2025-02-25 14:00:00,23.1,23.12,23.04,23.1,290,23.078,161
2025-02-25 15:00:00,23.1,23.15,23.06,23.08,1062,23.091,695
2025-02-25 16:00:00,23.09,23.09,23.09,23.09,31,23.09,1
2025-02-25 17:00:00,23.09,23.09,23.09,23.09,0,23.09,0
2025-02-25 18:00:00,23.09,23.09,23.09,23.09,0,23.09,0
2025-02-25 19:00:00,23.09,23.09,23.09,23.09,0,23.09,0
2025-02-26 08:00:00,23.43,23.44,23.43,23.43,1,23.435,1
2025-02-26 09:00:00,23.14,23.19,23.1,23.17,336,23.134,142
2025-02-26 10:00:00,23.2,23.25,23.18,23.23,217,23.226,79
2025-02-26 11:00:00,23.25,23.26,23.21,23.24,708,23.237,176
2025-02-26 12:00:00,23.2,23.24,23.12,23.12,327,23.192,109
2025-02-26 13:00:00,23.13,23.13,23.02,23.03,291,23.105,72
2025-02-26 14:00:00,23.04,23.09,23.02,23.03,401,23.042,102
2025-02-26 15:00:00,23.04,23.12,23.02,23.1,596,23.079,257
2025-02-26 16:00:00,23.1,23.1,23.1,23.1,26,23.1,1
2025-02-26 17:00:00,23.1,23.1,23.1,23.1,0,23.1,0
