date,open,high,low,close,volume,average,barCount
2023-12-20,52.18,52.45,50.9,50.98,8593,51.546,4989
2023-12-21,52.22,53.12,51.7,53.01,8722,52.475,4836
2023-12-22,51.3,51.89,50.89,51.5,6464,51.467,3804
2023-12-26,51.91,52.53,51.45,51.89,3742,51.934,2243
2023-12-27,52.31,52.52,51.5,51.97,5563,51.926,3500
2023-12-28,53.46,55.48,53.07,54.17,19343,54.638,9266
2023-12-29,54.31,55.99,54.31,54.63,10886,54.979,5760
2024-01-02,53.18,53.41,51.33,51.49,11021,51.812,5751
2024-01-03,51.06,52.28,50.8,52.15,6052,51.814,3277
2024-01-04,52.25,53.14,51.98,52.37,6782,52.667,3924
2024-01-05,51.68,52.21,50.86,51.51,5866,51.62,2961
2024-01-08,50.23,51.02,49.54,50.93,12501,50.307,5868
2024-01-09,49.9,50.04,48.43,48.95,9959,49.081,5780
2024-01-10,48.75,48.99,47.63,48.23,8977,48.144,5697
2024-01-11,49.09,49.25,47.74,48.48,6650,48.469,3850
2024-01-12,48.22,49.32,47.66,47.79,6590,48.23,3796
2024-01-16,46.82,46.9,45.0,46.4,16617,45.823,9789
2024-01-17,44.89,46.68,44.74,46.5,8631,46.085,5011
2024-01-18,47.2,47.55,45.84,46.11,7410,46.412,4233
2024-01-19,45.97,47.38,45.26,46.86,7312,46.481,4695
2024-01-22,45.46,45.46,43.61,45.06,17259,44.715,9626
2024-01-23,47.27,48.98,47.0,47.39,22475,47.843,11280
2024-01-24,50.0,50.87,48.61,49.11,15514,49.398,8089
2024-01-25,50.0,50.29,48.23,49.02,9334,49.003,5336
2024-01-26,48.35,49.54,48.12,48.98,6665,48.946,3634
2024-01-29,48.83,48.83,46.75,47.77,8013,47.399,4514
2024-01-30,46.7,47.26,46.46,46.88,4207,46.817,2540
2024-01-31,46.58,47.87,46.43,46.72,3807,47.182,2174
2024-02-01,47.04,47.42,46.36,46.9,3172,46.818,1804
2024-02-02,46.26,46.72,45.81,46.2,5349,46.19,3405
2024-02-05,46.0,46.03,45.15,45.95,4618,45.637,2598
2024-02-06,48.69,49.11,47.6,49.1,14149,48.508,8838
2024-02-07,48.0,48.84,47.43,48.51,5178,48.254,3203
2024-02-08,48.13,48.38,47.18,48.17,4897,48.018,3070
2024-02-09,47.92,48.59,47.78,48.53,3832,48.187,2177
2024-02-12,48.74,49.96,48.65,48.73,5017,49.278,2716
2024-02-13,48.1,49.25,47.68,47.98,3894,48.305,2078
2024-02-14,49.0,50.04,48.9,49.97,6076,49.739,3874
2024-02-15,49.76,50.69,49.35,50.69,5077,50.274,2534
2024-02-16,51.8,52.91,51.71,52.29,12655,52.451,6824
2024-02-20,51.85,51.85,49.17,49.76,11125,49.87,6964
2024-02-21,50.88,51.28,49.88,49.93,6536,50.414,3887
2024-02-22,50.48,51.23,50.38,50.48,6405,50.793,3094
