date,open,high,low,close,volume,average,barCount
2024-01-02,57.88,57.88,56.84,57.17,302,57.247,230
2024-01-03,57.05,57.22,56.5,56.56,485,56.805,374
2024-01-04,56.87,56.87,56.15,56.26,1589,56.562,840
2024-01-05,56.06,56.97,56.06,56.44,372,56.56,306
2024-01-08,56.74,57.28,56.48,57.04,185,56.942,137
2024-01-09,56.83,57.03,56.4,56.6,178,56.676,123
2024-01-10,56.39,56.83,56.09,56.64,335,56.505,213
2024-01-11,56.57,56.68,55.86,56.42,309,56.288,213
2024-01-12,56.86,57.96,56.81,57.52,415,57.565,293
2024-01-16,57.01,57.39,56.59,56.97,409,56.973,312
2024-01-17,56.63,57.63,56.63,56.81,245,57.061,205
2024-01-18,56.91,57.14,56.28,56.69,564,56.719,470
2024-01-19,56.63,56.95,56.41,56.76,123,56.68,107
2024-01-22,57.15,57.31,56.56,57.03,332,57.075,216
2024-01-23,57.97,61.6,57.97,60.94,608,60.941,467
2024-01-24,61.33,61.61,61.08,61.61,339,61.313,289
2024-01-25,61.87,62.28,60.9,61.48,296,61.507,236
2024-01-26,61.58,61.93,61.31,61.45,168,61.514,139
2024-01-29,61.14,61.65,60.9,61.52,546,61.379,451
2024-01-30,61.1,61.78,61.1,61.57,376,61.547,306
2024-01-31,61.35,61.84,61.08,61.09,400,61.455,292
2024-02-01,61.33,61.34,60.47,61.13,374,60.941,288
2024-02-02,61.23,61.23,59.45,59.85,572,60.094,429
2024-02-05,59.66,59.89,58.84,58.98,516,59.265,407
2024-02-06,58.95,59.51,58.53,59.42,358,59.12,243
2024-02-07,59.62,59.85,59.08,59.24,505,59.398,347
2024-02-08,59.82,59.82,59.17,59.39,292,59.458,226
2024-02-09,59.36,60.46,59.36,60.17,494,60.071,268
2024-02-12,60.0,61.55,60.0,61.19,294,61.23,244
2024-02-13,60.42,61.31,58.86,59.22,313,59.346,248
2024-02-14,59.91,60.83,59.38,60.66,448,60.218,323
2024-02-15,60.43,61.88,60.43,61.88,193,61.43,139
2024-02-16,62.35,62.94,61.7,62.59,331,62.385,218
2024-02-20,62.6,62.77,60.94,61.03,335,61.731,260
2024-02-21,61.03,61.24,60.54,61.08,401,60.994,313
2024-02-22,61.3,61.72,60.74,61.27,512,61.251,370
2024-02-23,61.21,61.93,61.1,61.84,396,61.626,285
2024-02-26,61.94,62.68,61.34,61.35,259,61.903,213
2024-02-27,61.29,62.34,61.08,62.16,525,61.963,405
2024-02-28,63.88,66.04,62.16,62.81,601,63.789,472
2024-02-29,63.52,65.81,63.52,65.55,694,65.452,497
2024-03-01,65.92,66.27,65.01,65.94,344,65.713,281
2024-03-04,66.05,66.83,65.86,66.33,693,66.277,425
2024-03-05,66.32,66.32,64.01,65.24,269,64.863,205
2024-03-06,65.69,65.95,62.97,63.44,449,63.749,347
2024-03-07,63.85,64.68,63.85,63.99,251,64.239,207
2024-03-08,64.03,64.99,63.6,63.96,480,64.179,342
