date,open,high,low,close,volume,average,barCount
2024-03-20,10.89,10.89,10.89,10.89,0,10.89,0
2024-03-21,10.89,10.89,10.89,10.89,0,10.89,0
2024-03-22,10.89,10.89,10.89,10.89,0,10.89,0
2024-03-25,10.83,10.83,10.81,10.81,7,10.827,5
2024-03-26,10.81,10.81,10.81,10.81,0,10.81,0
2024-03-27,10.81,10.81,10.81,10.81,0,10.81,0
2024-03-28,10.81,10.81,10.81,10.81,0,10.81,0
2024-04-01,10.81,10.81,10.81,10.81,0,10.81,0
2024-04-02,10.86,10.86,10.85,10.86,1,10.855,1
2024-04-03,10.86,10.86,10.86,10.86,0,10.86,0
2024-04-04,10.86,10.86,10.86,10.86,0,10.86,0
2024-04-05,10.86,10.86,10.86,10.86,0,10.86,0
2024-04-08,10.86,10.86,10.86,10.86,0,10.86,0
2024-04-09,10.86,10.86,10.86,10.86,0,10.86,0
2024-04-10,10.86,10.86,10.86,10.86,0,10.86,0
2024-04-11,10.86,10.86,10.86,10.86,0,10.86,0
2024-04-12,10.86,10.86,10.86,10.86,0,10.86,0
2024-04-15,10.89,10.89,10.89,10.89,50,10.89,4
2024-04-16,10.89,10.89,10.89,10.89,20,10.89,2
2024-04-17,10.89,10.89,10.89,10.89,0,10.89,0
2024-04-18,10.9,10.9,10.9,10.9,1,10.9,1
2024-04-19,10.9,10.9,10.9,10.9,0,10.9,0
2024-04-22,10.9,10.9,10.9,10.9,22,10.9,4
2024-04-23,10.9,10.9,10.9,10.9,0,10.9,0
2024-04-24,10.9,10.9,10.9,10.9,42,10.9,2
2024-04-25,10.93,10.93,10.93,10.93,19,10.93,10
2024-04-26,10.92,10.92,10.92,10.92,387,10.92,34
2024-04-29,10.92,10.92,10.92,10.92,0,10.92,0
2024-04-30,11.03,11.03,10.92,10.94,141,10.931,14
2024-05-01,10.98,10.98,10.98,10.98,1,10.98,1
2024-05-02,10.95,10.95,10.94,10.94,20,10.949,12
2024-05-03,10.94,10.94,10.94,10.94,0,10.94,0
2024-05-06,10.94,10.94,10.94,10.94,0,10.94,0
2024-05-07,10.94,10.94,10.94,10.94,0,10.94,0
2024-05-08,10.94,10.94,10.94,10.94,0,10.94,0
2024-05-09,10.94,10.94,10.94,10.94,0,10.94,0
2024-05-10,10.94,10.94,10.94,10.94,0,10.94,0
2024-05-13,10.98,10.98,10.95,10.98,35,10.979,7
2024-05-14,10.98,10.98,10.98,10.98,0,10.98,0
2024-05-15,10.98,10.98,10.98,10.98,18,10.98,2
2024-05-16,11.04,11.04,11.04,11.04,3,11.04,1
2024-05-17,11.04,11.04,11.04,11.04,5,11.04,1
2024-05-20,10.95,11.04,10.95,11.04,6,11.01,3
2024-05-21,10.95,11.04,10.95,11.04,21,11.036,7
2024-05-22,11.04,11.04,11.04,11.04,0,11.04,0
2024-05-23,11.04,11.04,11.04,11.04,0,11.04,0
2024-05-24,11.04,11.04,11.04,11.04,0,11.04,0
2024-05-28,11.04,11.04,11.04,11.04,0,11.04,0
2024-05-29,11.04,11.04,11.04,11.04,0,11.04,0
2024-05-30,11.04,11.04,11.04,11.04,38,11.04,7
2024-05-31,11.04,11.04,11.04,11.04,0,11.04,0
2024-06-03,11.04,11.04,11.04,11.04,0,11.04,0
2024-06-04,11.04,11.04,11.04,11.04,0,11.04,0
2024-06-05,11.04,11.04,11.04,11.04,0,11.04,0
2024-06-06,11.04,11.04,11.04,11.04,0,11.04,0
2024-06-07,11.04,11.04,11.04,11.04,0,11.04,0
2024-06-10,11.04,11.04,11.04,11.04,0,11.04,0
2024-06-11,11.04,11.04,11.04,11.04,0,11.04,0
2024-06-12,10.98,11.02,10.98,11.01,31,11.003,10
2024-06-13,11.02,11.02,11.02,11.02,2,11.02,1
2024-06-14,11.02,11.02,11.02,11.02,0,11.02,0
2024-06-17,11.04,11.04,11.0,11.02,54,11.004,35
2024-06-18,11.03,11.03,11.03,11.03,1,11.03,1
2024-06-20,11.04,11.04,11.04,11.04,1,11.04,1
