date,open,high,low,close,volume,average,barCount
2024-03-18,25.06,25.2,24.58,25.03,4109,24.969,2630
2024-03-19,24.88,25.37,24.8,25.16,3390,25.169,2388
2024-03-20,24.95,26.26,24.95,25.95,7860,25.825,4739
2024-03-21,31.0,32.22,30.56,31.32,35799,31.546,19800
2024-03-22,31.14,31.36,30.1,30.59,14715,30.53,7684
2024-03-25,30.29,30.6,29.59,29.64,9491,29.886,5570
2024-03-26,29.67,30.46,29.42,30.38,10855,30.129,6423
2024-03-27,30.63,31.26,30.59,31.2,6962,31.075,4347
2024-03-28,31.24,32.52,31.1,31.47,7414,31.551,4145
2024-04-01,32.93,33.5,32.45,33.4,18831,33.146,6924
2024-04-02,32.08,32.49,31.13,31.15,10239,31.611,6090
2024-04-03,31.68,32.04,31.14,31.41,6666,31.529,4148
2024-04-04,31.96,32.08,30.71,30.98,6492,31.188,4457
2024-04-05,30.85,31.04,30.0,30.39,7233,30.351,4991
2024-04-08,30.82,30.98,30.36,30.41,6028,30.525,4199
2024-04-09,30.45,30.78,29.27,29.67,7710,29.612,5048
2024-04-10,28.75,29.23,28.46,28.6,7052,28.753,4828
2024-04-11,28.79,28.84,27.88,28.09,8074,28.185,4652
2024-04-12,28.03,28.34,27.26,27.59,12717,27.554,7085
2024-04-15,27.8,27.9,27.35,27.55,13290,27.581,6763
2024-04-16,24.99,25.42,24.45,25.29,14317,24.938,8645
2024-04-17,25.51,25.85,25.27,25.51,9292,25.559,6008
2024-04-18,25.48,25.9,25.33,25.56,5078,25.569,3233
2024-04-19,25.38,25.77,25.36,25.69,5324,25.573,3180
2024-04-22,25.8,26.0,25.49,25.76,5693,25.764,4042
2024-04-23,25.84,26.51,25.82,26.47,4476,26.28,3122
2024-04-24,26.54,26.56,25.92,25.94,4480,26.138,3156
2024-04-25,25.58,25.81,25.45,25.68,2779,25.672,1956
2024-04-26,25.68,26.37,25.67,26.23,3267,26.2,2244
2024-04-29,26.43,26.84,26.34,26.8,4565,26.721,3192
2024-04-30,26.51,27.22,26.41,26.78,8750,26.911,5299
2024-05-01,26.63,26.86,25.97,25.97,4986,26.263,3383
2024-05-02,26.42,26.6,26.1,26.27,2823,26.261,1979
2024-05-03,27.0,27.16,26.5,26.71,5401,26.816,3404
2024-05-06,26.95,27.23,26.95,27.18,3846,27.135,2535
2024-05-07,27.25,27.39,26.69,26.7,3906,26.943,2657
2024-05-08,26.41,26.7,26.23,26.57,4803,26.588,3457
2024-05-09,26.72,26.97,26.37,26.88,5891,26.706,3798
2024-05-10,27.06,27.16,26.25,26.4,3723,26.503,2672
2024-05-13,26.64,27.39,26.52,26.74,3838,26.974,2932
2024-05-14,27.06,27.41,26.79,27.13,3797,27.052,2885
2024-05-15,27.28,27.3,26.66,26.67,4330,26.916,3196
2024-05-16,26.7,26.82,26.3,26.4,3330,26.496,2375
2024-05-17,26.45,26.49,26.1,26.24,3797,26.227,2370
2024-05-20,26.21,26.55,26.17,26.43,4427,26.396,3297
2024-05-21,26.4,26.42,25.36,25.37,5997,25.633,3767
2024-05-22,25.23,25.31,24.59,24.77,6156,24.81,4202
2024-05-23,24.11,24.33,23.61,23.7,7348,23.875,4431
2024-05-24,23.86,24.63,23.82,24.36,5806,24.304,4119
2024-05-28,24.35,24.6,23.85,23.9,7439,24.035,4553
2024-05-29,23.83,24.22,23.36,23.41,7152,23.555,4940
2024-05-30,23.63,23.96,23.3,23.39,7591,23.5,4992
2024-05-31,23.5,23.81,22.28,23.27,10169,23.348,6762
2024-06-03,23.61,23.85,23.07,23.65,11160,23.479,7445
2024-06-04,23.4,23.66,22.81,23.06,7352,23.022,4809
2024-06-05,23.24,23.33,23.01,23.2,5013,23.198,3593
2024-06-06,23.34,23.59,22.9,23.42,5009,23.419,3456
2024-06-07,23.22,23.45,22.99,23.13,5158,23.142,3714
2024-06-10,22.99,23.15,22.82,22.93,9392,22.914,6235
2024-06-11,22.8,22.82,22.5,22.6,5806,22.648,3950
2024-06-12,22.76,23.15,22.37,22.43,5327,22.6,3758
2024-06-13,22.34,22.46,22.09,22.26,5533,22.254,4018
2024-06-14,21.91,22.08,21.05,21.06,8831,21.283,6107
2024-06-17,21.05,21.36,20.89,21.36,7399,21.168,4986
2024-06-18,21.29,21.35,20.54,20.62,8033,20.684,5595
2024-06-20,20.62,20.98,20.47,20.48,10444,20.654,5909
2024-06-21,20.44,20.77,20.27,20.52,18519,20.505,9445
2024-06-24,20.52,20.72,20.37,20.62,6502,20.606,4180
2024-06-25,20.63,20.76,20.3,20.69,8781,20.53,4786
2024-06-26,20.59,21.07,20.25,20.41,9059,20.586,5282
2024-06-27,20.14,20.3,19.93,20.24,7489,20.121,5299
2024-06-28,20.27,20.58,20.16,20.4,8244,20.356,5159
2024-07-01,20.57,20.64,19.58,19.64,6157,19.797,3783
2024-07-02,19.6,20.0,19.6,19.91,8962,19.86,5207
2024-07-03,20.06,20.41,19.9,20.03,4330,20.116,2777
2024-07-05,19.99,20.52,19.89,20.41,7746,20.311,4643
2024-07-08,20.54,21.08,20.54,21.04,11044,20.922,4806
2024-07-09,21.06,21.41,20.76,21.07,8135,21.176,4726
2024-07-10,21.25,21.58,21.17,21.56,7691,21.448,4094
2024-07-11,22.04,22.82,21.92,22.76,10428,22.524,6420
2024-07-12,22.92,23.14,22.67,22.82,10272,22.913,6005
2024-07-15,22.93,22.93,22.29,22.59,6678,22.561,4371
2024-07-16,22.86,23.79,22.7,23.58,8371,23.448,4978
2024-07-17,23.31,24.22,23.31,23.94,8903,23.952,5031
2024-07-18,23.84,24.64,23.53,23.69,7489,23.89,4838
2024-07-19,23.41,23.56,22.95,23.01,4848,23.171,3138
2024-07-22,23.32,23.42,22.74,23.35,3860,23.167,2510
2024-07-23,23.12,23.46,23.04,23.15,3025,23.188,2027
2024-07-24,23.01,23.17,22.68,22.72,9075,22.826,3614
2024-07-25,22.76,23.01,22.38,23.0,6142,22.79,3655
2024-07-26,23.27,23.73,23.18,23.57,3560,23.463,2482
2024-07-29,23.69,23.69,23.24,23.4,2420,23.417,1777
2024-07-30,23.58,23.83,23.41,23.63,3691,23.668,2298
2024-07-31,23.78,24.33,23.56,24.05,4841,23.943,3222
2024-08-01,23.99,24.12,22.75,22.88,6020,23.048,3988
2024-08-02,22.23,22.63,21.75,22.43,4791,22.27,3164
2024-08-05,21.32,22.46,21.26,22.37,4025,22.152,2759
2024-08-06,22.43,22.76,22.2,22.47,3637,22.549,2425
2024-08-07,22.88,22.88,21.88,21.97,2832,22.145,2006
2024-08-08,22.37,22.49,22.15,22.31,3290,22.274,2384
2024-08-09,22.33,22.33,21.61,21.96,4724,21.918,3377
2024-08-12,22.05,22.18,21.78,21.89,4844,21.922,3283
2024-08-13,22.19,22.3,21.96,22.17,2487,22.136,1705
2024-08-14,22.33,22.33,21.63,21.63,4188,21.786,3038
2024-08-15,22.48,22.64,22.33,22.45,2779,22.506,2058
2024-08-16,22.42,22.87,22.38,22.5,3216,22.657,1830
2024-08-19,21.88,22.39,21.41,21.43,6787,21.746,4186
2024-08-20,21.47,21.47,20.75,20.96,5144,20.973,2822
2024-08-21,21.35,21.4,20.72,21.14,5186,20.954,2832
2024-08-22,20.99,21.14,20.85,21.08,2883,21.011,1890
2024-08-23,21.1,21.67,20.96,21.53,3912,21.439,2498
2024-08-26,21.62,21.81,21.31,21.35,3272,21.458,2004
2024-08-27,21.22,21.31,20.92,21.2,3186,21.136,2029
2024-08-28,20.83,21.09,20.19,20.22,8331,20.398,4812
2024-08-29,20.0,21.26,20.0,20.51,10004,20.684,6347
2024-08-30,20.72,21.06,20.42,20.72,8335,20.81,5561
2024-09-03,20.59,20.93,19.84,19.97,9007,20.127,5735
2024-09-04,19.9,20.11,19.46,19.71,5716,19.712,3642
2024-09-05,19.84,19.86,19.24,19.33,5305,19.493,3678
2024-09-06,19.32,19.63,19.07,19.11,5454,19.256,3412
2024-09-09,19.17,19.43,18.82,18.95,4441,19.108,2908
2024-09-10,18.98,19.31,18.87,19.24,6596,19.141,4217
2024-09-11,18.88,19.11,18.61,19.02,4897,18.978,3190
2024-09-12,19.01,19.05,18.52,18.63,4653,18.682,3228
2024-09-13,18.91,19.6,18.83,19.49,5822,19.416,3983
2024-09-16,19.58,19.77,19.19,19.41,2999,19.424,2200
2024-09-17,19.69,19.94,19.47,19.48,3409,19.65,2335
2024-09-18,19.58,20.1,19.42,19.57,2978,19.708,2091
2024-09-19,19.97,20.09,19.48,19.53,2269,19.651,1574
2024-09-20,19.4,19.59,19.22,19.28,4079,19.379,2740
2024-09-23,19.23,19.44,19.1,19.37,3033,19.319,2109
2024-09-24,19.54,19.84,19.44,19.83,2376,19.713,1393
2024-09-25,19.84,19.9,19.03,19.06,2780,19.206,1635
2024-09-26,19.48,20.0,19.47,19.94,3413,19.77,1960
2024-09-27,20.2,20.33,19.96,20.08,2901,20.12,1912
2024-09-30,20.08,20.16,19.89,20.13,2218,20.077,1398
2024-10-01,19.83,20.04,19.44,19.71,2590,19.66,1672
2024-10-02,19.57,19.87,19.11,19.13,6008,19.513,2282
2024-10-03,18.89,19.26,18.76,19.2,3512,19.091,1961
2024-10-04,19.56,19.96,19.56,19.86,3758,19.828,2717
2024-10-07,19.75,19.89,19.54,19.87,2251,19.715,1465
2024-10-08,19.85,19.85,19.16,19.19,3379,19.317,2196
2024-10-09,19.24,19.51,19.03,19.41,3050,19.335,1944
2024-10-10,19.29,19.29,18.9,19.06,2614,19.034,1848
2024-10-11,19.12,19.46,19.06,19.43,1876,19.341,1196
2024-10-14,19.31,19.37,19.18,19.35,1673,19.289,991
2024-10-15,19.34,19.89,19.27,19.3,2402,19.554,1549
2024-10-16,19.47,19.87,19.39,19.67,2522,19.686,1619
2024-10-17,19.66,19.85,19.54,19.81,1980,19.719,1289
2024-10-18,19.86,19.91,18.89,18.98,7108,19.106,3027
2024-10-21,19.05,19.07,18.72,18.82,4302,18.828,2785
2024-10-22,18.8,18.82,18.39,18.42,4219,18.517,2624
2024-10-23,18.34,18.36,17.79,17.81,3702,17.967,2324
2024-10-24,17.86,17.94,17.69,17.87,3928,17.789,2638
2024-10-25,18.03,18.05,17.27,17.47,5075,17.504,3139
2024-10-28,17.6,18.08,17.52,17.99,3512,17.91,2254
2024-10-29,17.75,17.87,17.55,17.58,3044,17.658,2041
2024-10-30,17.5,17.7,17.16,17.17,3959,17.366,2507
2024-10-31,17.18,17.25,16.88,16.99,3971,16.965,2701
2024-11-01,17.11,17.5,16.89,16.97,3803,17.123,2712
2024-11-04,17.0,17.45,17.0,17.15,5408,17.191,2791
2024-11-05,17.01,17.06,16.78,16.93,4599,16.933,3018
2024-11-06,17.51,17.61,16.91,17.33,5969,17.155,2189
2024-11-07,17.4,17.65,17.27,17.45,4085,17.417,2584
2024-11-08,17.28,17.33,17.05,17.22,2433,17.217,1600
2024-11-11,17.34,17.63,17.23,17.43,4969,17.406,2904
2024-11-12,17.35,17.53,17.09,17.3,3309,17.266,2316
2024-11-13,17.3,17.55,17.2,17.35,3882,17.354,2617
2024-11-14,17.36,17.4,16.9,16.94,4104,17.067,2511
2024-11-15,17.01,17.01,16.67,16.77,4906,16.81,2575
2024-11-18,16.84,16.85,16.43,16.44,4594,16.549,2986
2024-11-19,16.28,16.63,16.17,16.56,5278,16.467,3217
2024-11-20,16.43,16.49,16.05,16.2,5282,16.176,3236
2024-11-21,16.28,16.63,16.12,16.63,4090,16.465,2430
2024-11-22,16.92,17.26,16.83,17.07,4670,17.092,2909
2024-11-25,17.34,18.07,17.27,18.04,9059,17.898,5535
2024-11-26,17.76,17.88,17.24,17.33,9560,17.48,5969
2024-11-27,15.42,16.95,15.24,16.39,16227,16.359,8504
2024-11-29,16.54,16.84,16.39,16.46,5777,16.56,3493
2024-12-02,16.58,17.4,16.55,17.3,12167,17.195,7359
2024-12-03,17.34,17.38,16.79,17.28,7157,17.072,4314
2024-12-04,17.13,17.43,16.87,17.06,5798,17.094,3460
2024-12-05,17.02,17.06,16.26,16.33,6432,16.433,3936
2024-12-06,16.62,16.63,16.29,16.62,3826,16.506,2453
2024-12-09,16.8,16.99,15.83,15.89,6786,16.23,3899
2024-12-10,15.84,15.89,15.33,15.63,7965,15.494,4917
2024-12-11,15.38,15.69,15.15,15.66,5792,15.45,3723
2024-12-12,15.67,15.81,15.04,15.11,5834,15.191,3672
2024-12-13,15.16,15.42,14.95,15.33,4531,15.257,2652
2024-12-16,15.26,15.39,14.91,14.99,4452,15.187,2471
2024-12-17,14.99,15.2,14.4,14.56,5571,14.631,3148
2024-12-18,14.66,14.83,13.9,14.09,5632,14.291,3045
2024-12-19,14.2,14.34,13.83,14.12,4741,14.012,2777
2024-12-20,14.08,14.75,14.08,14.4,6442,14.48,3640
2024-12-23,14.4,14.62,14.14,14.27,3479,14.295,2265
2024-12-24,14.21,14.42,14.01,14.35,2379,14.318,1515
2024-12-26,14.24,14.31,13.77,13.9,6713,13.926,3583
2024-12-27,13.77,13.97,13.54,13.66,6589,13.69,3626
2024-12-30,13.53,13.87,13.31,13.86,6514,13.657,3770
2024-12-31,13.86,14.08,13.82,14.06,4677,13.991,2842
2025-01-02,14.1,14.45,13.76,13.81,4729,13.943,3025
2025-01-03,13.84,14.19,13.61,14.15,4311,13.975,2522
2025-01-06,14.37,14.52,14.06,14.23,3745,14.23,2215
2025-01-07,14.3,14.5,13.76,13.79,5467,13.905,3274
2025-01-08,13.59,13.71,13.21,13.52,8458,13.4,4532
2025-01-10,13.3,13.78,13.23,13.55,6870,13.571,4260
2025-01-13,13.43,13.44,12.9,13.07,7475,13.071,4356
2025-01-14,13.09,13.12,12.63,13.1,7531,12.897,4089
2025-01-15,13.38,13.54,13.23,13.35,6304,13.378,3405
2025-01-16,13.17,13.19,12.42,12.44,10073,12.722,4848
2025-01-17,12.6,12.93,12.46,12.59,4472,12.709,2424
2025-01-21,12.77,13.15,12.7,13.09,6425,13.001,3348
2025-01-22,13.1,13.24,12.89,13.11,3497,13.121,2341
2025-01-23,13.14,13.54,13.09,13.52,4178,13.365,2737
2025-01-24,13.57,13.59,13.25,13.43,4304,13.461,2647
2025-01-27,13.41,13.42,12.84,13.19,7750,13.073,4469
2025-01-28,13.24,13.3,12.95,13.09,3078,13.084,2022
2025-01-29,13.07,13.39,12.95,13.25,4603,13.23,2858
2025-01-30,13.42,13.46,13.18,13.3,2403,13.324,1706
2025-01-31,13.31,13.42,12.84,12.91,3892,13.054,2595
2025-02-03,12.55,12.59,12.21,12.29,8150,12.341,4421
2025-02-04,12.27,12.74,12.19,12.59,5123,12.594,2913
2025-02-05,12.52,12.71,12.28,12.33,5889,12.416,3253
2025-02-06,12.47,12.8,12.15,12.15,5101,12.345,2837
2025-02-07,12.14,12.4,12.01,12.35,6525,12.25,3472
2025-02-10,12.47,12.47,12.05,12.11,4420,12.193,2253
2025-02-11,12.0,12.36,11.83,12.36,6080,12.156,2555
2025-02-12,12.18,12.21,11.95,12.12,3903,12.064,2046
2025-02-13,12.25,12.39,12.12,12.33,3889,12.233,1851
2025-02-14,12.49,12.56,12.18,12.41,3170,12.332,1559
2025-02-18,12.38,12.47,12.24,12.39,5493,12.361,2711
2025-02-19,12.24,12.67,12.17,12.53,4734,12.456,2643
2025-02-20,12.55,12.63,12.33,12.4,4468,12.43,2772
2025-02-21,12.51,12.51,11.88,11.9,5767,12.064,3494
2025-02-24,12.06,12.08,11.79,11.88,5152,11.944,3407
2025-02-25,11.82,12.04,10.98,11.05,15226,11.301,8689
2025-02-26,11.24,11.37,10.97,11.0,8962,11.091,4984
2025-02-27,10.92,10.96,10.5,10.52,9002,10.67,5271
2025-02-28,10.52,10.78,10.03,10.16,12639,10.252,6358
2025-03-03,10.22,10.25,9.65,9.68,8321,9.886,4254
2025-03-04,9.54,10.23,9.4,9.97,13471,9.927,6348
2025-03-05,9.96,10.04,9.52,9.95,8569,9.822,4673
2025-03-06,9.85,10.42,9.67,10.31,12407,10.174,6408
2025-03-07,10.27,11.07,10.21,10.96,11592,10.797,5513
2025-03-10,11.01,11.51,10.94,11.27,11007,11.296,5521
2025-03-11,11.01,11.25,10.14,10.19,11709,10.359,6198
2025-03-12,10.33,10.33,10.01,10.05,4713,10.124,2839
2025-03-13,10.0,10.28,9.24,9.27,10228,9.554,5219
