date,open,high,low,close,volume,average,barCount
2023-12-20,14.9,16.08,14.57,15.31,212,15.147,73
2023-12-21,15.07,15.47,14.46,15.2,106,15.012,80
2023-12-22,15.15,16.44,15.15,16.21,86,15.576,53
2023-12-26,16.2,16.2,14.15,14.51,216,15.202,128
2023-12-27,14.51,14.69,13.9,14.18,312,14.143,145
2023-12-28,14.11,14.5,13.75,14.3,171,13.994,69
2023-12-29,13.55,14.41,12.66,13.34,760,13.318,420
2024-01-02,13.11,13.47,13.0,13.09,167,13.194,77
2024-01-03,13.1,13.1,12.6,12.6,93,12.861,45
2024-01-04,12.77,13.34,12.74,13.12,64,13.048,45
2024-01-05,12.93,13.83,12.87,13.39,62,13.264,40
2024-01-08,13.5,13.66,13.09,13.66,22,13.403,12
2024-01-09,13.22,13.27,13.2,13.2,3,13.232,3
2024-01-10,13.14,13.18,12.25,12.57,134,12.576,72
2024-01-11,12.6,12.78,12.24,12.32,13,12.58,6
2024-01-12,12.37,13.21,12.37,12.99,54,12.863,24
2024-01-16,12.98,12.98,12.34,12.56,14,12.584,9
2024-01-17,12.5,12.62,12.06,12.4,44,12.257,35
2024-01-18,12.31,12.31,11.24,11.89,419,11.773,168
2024-01-19,11.99,12.55,11.7,12.4,29,12.094,20
2024-01-22,12.11,13.0,11.85,12.96,60,12.269,34
2024-01-23,12.76,12.94,11.83,12.61,344,12.194,93
2024-01-24,12.73,12.8,12.31,12.6,23,12.61,19
2024-01-25,12.63,12.79,12.01,12.12,33,12.249,25
2024-01-26,12.1,12.39,11.84,12.09,147,12.259,74
2024-01-29,12.17,12.95,12.17,12.78,72,12.563,35
2024-01-30,12.6,12.72,12.15,12.15,23,12.535,15
2024-01-31,12.03,12.31,11.81,11.81,7,12.061,6
2024-02-01,11.75,12.46,11.5,12.33,41,11.927,37
2024-02-02,12.0,12.49,12.0,12.07,40,12.271,25
2024-02-05,12.02,12.24,11.75,11.75,19,11.975,17
2024-02-06,12.22,12.65,12.02,12.36,69,12.311,46
2024-02-07,12.47,12.47,12.0,12.18,34,12.242,17
2024-02-08,12.11,12.51,12.11,12.36,26,12.31,11
2024-02-09,12.17,12.99,12.17,12.99,72,12.737,43
2024-02-12,12.79,13.67,12.78,13.52,35,13.16,21
2024-02-13,13.09,13.41,12.52,12.52,31,13.1,21
2024-02-14,12.27,13.37,12.26,13.29,31,13.08,30
2024-02-15,13.28,14.19,13.28,14.07,108,13.845,41
2024-02-16,13.97,14.08,12.96,13.7,48,13.728,33
2024-02-20,13.41,13.67,12.97,13.19,25,13.403,21
2024-02-21,12.93,13.05,12.71,12.8,22,12.95,18
2024-02-22,12.85,13.27,12.8,12.99,17,13.036,13
2024-02-23,12.97,13.18,12.76,12.77,13,12.976,9
2024-02-26,12.9,13.09,12.83,13.02,8,12.942,4
2024-02-27,13.21,13.22,12.76,12.76,11,13.116,5
2024-02-28,12.9,13.2,12.62,13.11,57,13.058,37
2024-02-29,13.2,13.49,13.16,13.46,49,13.351,22
2024-03-01,13.32,13.54,12.85,12.85,41,13.298,27
2024-03-04,12.67,13.18,12.51,12.51,24,12.836,10
2024-03-05,12.39,13.0,12.11,12.11,22,12.609,9
2024-03-06,12.24,12.79,12.24,12.7,9,12.545,5
2024-03-07,12.65,12.88,12.55,12.75,13,12.76,8
2024-03-08,12.76,13.4,12.76,13.01,36,13.237,29
2024-03-11,12.97,13.48,12.97,13.25,21,13.222,15
2024-03-12,13.12,13.37,13.09,13.16,17,13.209,12
2024-03-13,13.27,13.45,12.7,13.06,139,12.963,51
2024-03-14,10.1,11.54,9.7,11.34,418,10.93,172
2024-03-15,11.34,11.74,11.34,11.36,126,11.425,44
2024-03-18,11.52,11.69,9.08,10.01,1035,10.259,441
2024-03-19,10.0,10.08,9.61,9.71,137,9.904,70
2024-03-20,9.63,10.39,9.6,10.16,215,10.01,124
2024-03-21,9.81,10.37,9.75,10.34,97,10.114,52
