date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,22.8,23.06,22.5,22.65,11052,22.767,6645
2024-05-24 00:00:00,22.71,22.91,22.47,22.62,6108,22.655,4552
2024-05-28 00:00:00,22.63,22.79,22.0,22.0,8289,22.209,6122
2024-05-29 00:00:00,21.95,22.14,21.29,21.42,4623,21.579,2998
2024-05-30 00:00:00,21.5,21.72,21.29,21.45,5508,21.514,4022
2024-05-31 00:00:00,21.47,22.07,21.29,21.99,6348,21.848,4514
2024-06-03 00:00:00,21.99,22.17,21.74,22.05,9883,21.972,5704
2024-06-04 00:00:00,22.01,22.01,21.0,21.08,9080,21.206,6019
2024-06-05 00:00:00,21.08,21.49,21.07,21.27,8155,21.327,5975
2024-06-06 00:00:00,21.21,21.47,21.03,21.37,8141,21.343,6223
2024-06-07 00:00:00,21.28,21.38,20.83,20.91,7642,20.982,4822
2024-06-10 00:00:00,21.04,21.66,20.76,21.14,10614,21.194,8070
2024-06-11 00:00:00,21.02,21.12,20.39,20.53,9461,20.644,5943
2024-06-12 00:00:00,20.73,21.15,20.56,20.7,7344,20.757,4766
2024-06-13 00:00:00,20.7,20.83,20.4,20.52,6760,20.576,5080
2024-06-14 00:00:00,20.42,20.7,20.18,20.65,8108,20.46,5158
2024-06-17 00:00:00,20.65,21.14,20.65,20.91,7852,20.988,5100
2024-06-18 00:00:00,21.0,21.1,20.59,20.86,6630,20.793,5156
2024-06-20 00:00:00,20.85,21.2,20.72,20.92,7593,20.983,5815
2024-06-21 00:00:00,21.02,21.32,20.44,21.22,17402,21.018,10019
2024-06-24 00:00:00,21.15,22.2,21.13,21.96,13744,21.977,9342
2024-06-25 00:00:00,21.81,22.07,21.42,22.01,6490,21.903,4456
2024-06-26 00:00:00,21.95,22.31,21.73,22.27,7756,22.131,5282
2024-06-27 00:00:00,22.13,22.3,21.74,22.09,6890,22.06,5291
2024-06-28 00:00:00,22.16,22.31,21.99,22.12,6249,22.13,3965
2024-07-01 00:00:00,22.17,22.55,21.9,22.05,7128,22.085,5046
2024-07-02 00:00:00,22.12,22.29,21.78,22.0,4532,21.972,3477
2024-07-03 00:00:00,22.0,22.13,21.48,21.49,4011,21.767,2810
2024-07-05 00:00:00,21.56,22.05,21.36,22.01,5823,21.757,4296
2024-07-08 00:00:00,22.2,22.22,21.5,21.71,6359,21.73,4450
2024-07-09 00:00:00,21.74,22.06,21.35,21.61,6576,21.63,4231
2024-07-10 00:00:00,21.54,21.78,21.06,21.1,10001,21.212,6480
2024-07-11 00:00:00,21.29,21.72,21.11,21.15,10371,21.296,7307
2024-07-12 00:00:00,21.28,21.61,20.95,21.2,10300,21.327,5635
2024-07-15 00:00:00,21.15,21.26,20.7,20.75,12480,20.881,8321
2024-07-16 00:00:00,20.79,21.19,20.58,20.89,19516,20.746,8958
2024-07-17 00:00:00,20.85,21.65,20.82,21.19,11267,21.267,6724
2024-07-18 00:00:00,21.75,21.83,21.12,21.33,11434,21.422,7063
2024-07-19 00:00:00,21.29,21.61,21.03,21.57,7738,21.406,5475
2024-07-22 00:00:00,21.49,21.51,20.32,20.36,16341,20.511,8999
2024-07-23 00:00:00,20.37,20.38,19.48,19.5,19342,19.828,11801
2024-07-24 00:00:00,19.48,19.5,18.82,18.85,19744,19.022,9684
2024-07-25 00:00:00,18.87,19.8,18.79,19.78,17353,19.36,10554
2024-07-26 00:00:00,19.91,20.8,19.82,20.8,15244,20.485,10568
2024-07-29 00:00:00,20.93,21.33,20.74,20.86,18018,21.057,10389
2024-07-30 00:00:00,20.75,21.15,20.63,21.07,9806,20.886,5136
2024-07-31 00:00:00,20.38,20.5,19.04,19.56,41985,19.506,19480
2024-08-01 00:00:00,19.56,19.93,19.02,19.21,23542,19.343,9153
2024-08-02 00:00:00,19.07,19.27,18.77,18.83,9130,18.9,5861
2024-08-05 00:00:00,18.5,18.56,18.16,18.28,17621,18.313,10863
2024-08-06 00:00:00,18.41,18.7,18.25,18.54,18078,18.465,11455
2024-08-07 00:00:00,20.05,21.0,19.25,19.63,50462,19.949,24834
2024-08-08 00:00:00,19.81,20.23,19.22,19.73,10665,19.847,6134
2024-08-09 00:00:00,19.9,19.9,19.37,19.6,12952,19.65,7573
2024-08-12 00:00:00,19.45,19.49,18.71,19.08,16616,19.07,10615
2024-08-13 00:00:00,19.07,19.35,18.8,19.25,7150,19.159,4460
2024-08-14 00:00:00,19.47,19.6,19.03,19.16,4824,19.208,3199
2024-08-15 00:00:00,19.74,20.0,18.81,18.84,7148,19.088,4480
2024-08-16 00:00:00,18.81,19.11,18.65,18.86,8543,18.903,5894
2024-08-19 00:00:00,18.86,19.03,18.71,18.76,8378,18.832,5027
2024-08-20 00:00:00,18.67,18.98,18.47,18.88,10370,18.746,6251
2024-08-21 00:00:00,18.91,19.07,18.24,18.25,20803,18.418,12507
2024-08-22 00:00:00,18.25,18.28,17.66,17.71,16006,17.874,8808
2024-08-23 00:00:00,17.71,17.93,17.46,17.73,10418,17.654,6838
2024-08-26 00:00:00,17.8,17.93,17.57,17.79,6885,17.738,4465
2024-08-27 00:00:00,17.81,18.85,17.64,18.83,9312,18.573,6398
2024-08-28 00:00:00,18.83,19.31,18.67,19.3,9164,19.093,6728
2024-08-29 00:00:00,19.25,19.25,18.41,18.44,7839,18.697,5222
2024-08-30 00:00:00,18.53,18.97,18.53,18.94,8404,18.802,4486
2024-09-03 00:00:00,18.94,19.03,17.61,17.92,11790,18.01,7663
2024-09-04 00:00:00,17.92,18.34,17.7,18.03,10565,18.064,7412
2024-09-05 00:00:00,18.05,18.11,16.88,17.0,12493,17.132,7658
2024-09-06 00:00:00,17.02,17.44,16.86,17.34,9601,17.138,5680
2024-09-09 00:00:00,17.34,17.39,16.9,16.95,6314,17.109,3989
2024-09-10 00:00:00,16.94,17.08,16.64,16.74,6560,16.796,3979
2024-09-11 00:00:00,16.66,16.91,16.33,16.49,9828,16.455,6339
2024-09-12 00:00:00,16.55,16.65,16.06,16.27,17554,16.334,8329
2024-09-13 00:00:00,16.45,16.75,16.28,16.44,11811,16.478,7167
2024-09-16 00:00:00,16.73,16.94,16.38,16.86,14063,16.717,7275
2024-09-17 00:00:00,16.98,17.24,16.71,16.83,13774,16.974,7669
2024-09-18 00:00:00,16.8,16.91,16.31,16.47,11085,16.512,4886
2024-09-19 00:00:00,16.5,16.68,16.07,16.29,21251,16.25,8856
2024-09-20 00:00:00,16.27,16.27,15.72,15.97,10935,15.925,5506
2024-09-23 00:00:00,15.92,16.39,15.84,16.28,10158,16.175,6087
2024-09-24 00:00:00,16.37,16.64,16.26,16.28,12644,16.453,6409
2024-09-25 00:00:00,16.3,16.48,15.9,16.25,8504,16.194,5230
2024-09-26 00:00:00,16.38,17.24,16.31,17.08,16305,17.007,8623
2024-09-27 00:00:00,17.26,17.93,17.15,17.67,8995,17.655,5641
2024-09-30 00:00:00,17.67,17.99,17.47,17.55,15772,17.73,10918
2024-10-01 00:00:00,17.49,17.58,17.2,17.34,7186,17.411,4816
2024-10-02 00:00:00,17.33,17.43,16.75,16.8,8760,16.974,6301
2024-10-03 00:00:00,16.75,16.82,16.02,16.19,9566,16.278,5649
2024-10-04 00:00:00,16.46,17.11,16.36,16.58,12252,16.61,8278
2024-10-07 00:00:00,16.52,16.59,16.0,16.18,8516,16.194,5777
2024-10-08 00:00:00,16.12,16.33,15.92,16.25,6611,16.194,4264
2024-10-09 00:00:00,16.28,16.47,16.05,16.16,6720,16.19,4294
