date,open,high,low,close,volume,average,barCount
2024-01-02,39.6,41.37,38.76,40.39,7301,39.9766,4476
2024-01-03,40.26,40.805,38.6627,39.47,4714,39.37949,3328
2024-01-04,39.64,41.57,39.64,41.27,3873,40.84158,2464
2024-01-05,41.03,42.93,40.61,42.36,5111,42.04976,3048
2024-01-08,42.36,44.59,41.06,44.43,4788,43.2887,2726
2024-01-09,44.13,50.73,44.11,49.14,8791,47.96662,5409
2024-01-10,49.28,49.99,44.91,45.41,5631,45.98704,3257
2024-01-11,44.98,46.0917,44.0001,45.37,3691,45.48608,1558
2024-01-12,45.4,45.8775,44.1601,45.8,3251,44.96165,1432
2024-01-16,45.63,46.5933,44.15,44.83,3326,44.97937,1323
2024-01-17,44.06,45.09,43.5325,43.94,1927,44.32823,1019
2024-01-18,43.97,44.57,42.86,43.67,2904,43.58726,1568
2024-01-19,43.52,43.71,40.69,40.77,4560,41.4552,3001
2024-01-22,40.77,41.92,40.06,41.63,6299,40.907,3745
2024-01-23,41.9,42.55,40.94,41.4,2299,41.7105,1492
2024-01-24,41.7,41.89,39.96,40.21,1926,40.40881,1401
2024-01-25,40.32,42.19,39.76,42.15,2698,40.99144,1727
2024-01-26,42.58,42.74,40.745,42.5,2287,42.1267,1306
2024-01-29,42.42,44.5,41.78,43.72,1624,43.71055,1172
2024-01-30,43.0,45.08,41.13,41.22,3256,42.62796,2013
2024-01-31,41.06,44.1375,41.01,43.62,2315,42.98657,1632
2024-02-01,43.98,45.88,43.45,45.07,2918,45.11552,1731
2024-02-02,44.62,44.915,42.89,43.78,3639,43.52035,1801
2024-02-05,43.7,45.24,42.98,44.68,1747,44.62756,1080
2024-02-06,44.72,46.68,43.94,46.16,4330,45.37154,1664
2024-02-07,46.16,46.805,45.73,46.25,1879,46.22398,1441
2024-02-08,46.08,48.47,45.31,47.0,1483,47.28443,932
2024-02-09,47.5,49.55,47.1,49.0,3950,48.4043,2047
2024-02-12,49.87,50.07,48.1,48.75,6707,48.94762,1523
2024-02-13,48.0,48.25,46.03,46.65,3279,47.08784,1805
2024-02-14,47.7,48.49,45.035,45.37,1959,46.10682,1422
2024-02-15,45.95,45.965,44.0,44.8,2565,44.93957,1574
2024-02-16,44.72,46.36,44.22,45.8,2648,45.21851,1463
2024-02-20,45.75,47.38,43.05,43.37,1342,44.14048,884
2024-02-21,43.01,43.64,40.635,41.02,2301,41.5005,1506
2024-02-22,40.74,42.5525,40.52,41.03,3003,41.46031,2089
2024-02-23,41.17,42.15,40.31,40.51,2107,40.98754,1359
2024-02-26,40.89,41.9794,39.88,41.03,2160,40.49402,1365
2024-02-27,42.02,43.9,40.64,43.6,5944,42.91151,3228
2024-02-28,44.7,44.95,42.785,43.27,4354,43.88302,2572
2024-02-29,43.64,44.06,39.92,40.57,4313,41.21233,3239
2024-03-01,40.57,42.77,40.56,41.24,6472,41.52588,4122
2024-03-04,42.15,43.1,41.45,42.13,4351,42.13843,2714
