date,open,high,low,close,volume,average,barCount
2025-02-18 09:00:00,24.93,24.93,23.7501,23.7501,485,24.05379,167
2025-02-18 10:00:00,23.755,24.25,23.545,24.085,961,23.85702,395
2025-02-18 11:00:00,24.085,24.39,23.98,24.145,555,24.14201,260
2025-02-18 12:00:00,24.07,24.295,24.04,24.07,624,24.18223,282
2025-02-18 13:00:00,24.04,24.22,23.86,24.08,225,23.98517,160
2025-02-18 14:00:00,24.21,24.21,23.81,23.88,420,23.98691,205
2025-02-18 15:00:00,23.89,23.98,22.33,22.725,3530,22.89557,1570
2025-02-18 16:00:00,22.72,23.94,22.72,23.0,383,23.02205,11
2025-02-18 17:00:00,23.0001,23.015,23.0001,23.015,12,23.00147,3
2025-02-18 18:00:00,23.015,23.015,23.015,23.015,0,23.015,0
2025-02-18 19:00:00,23.0125,23.0125,23.0125,23.0125,3,23.0125,1
2025-02-19 05:00:00,22.71,22.71,22.71,22.71,1,22.71,1
2025-02-19 06:00:00,22.7,22.72,22.7,22.72,2,22.71,2
2025-02-19 07:00:00,23.01,23.01,23.0,23.0,20,23.00048,3
2025-02-19 08:00:00,22.253,22.253,22.253,22.253,5,22.253,1
2025-02-19 09:00:00,22.72,22.9277,22.35,22.71,286,22.72185,170
2025-02-19 10:00:00,22.69,23.4173,22.543,22.9,644,22.97727,389
2025-02-19 11:00:00,22.91,23.315,22.91,23.2,313,23.12029,274
2025-02-19 12:00:00,23.21,23.35,23.0,23.12,562,23.16831,361
2025-02-19 13:00:00,23.11,23.1825,22.86,22.905,145,23.03017,123
2025-02-19 14:00:00,22.91,23.085,22.87,22.925,376,22.97801,193
2025-02-19 15:00:00,22.92,23.89,22.92,23.85,1821,23.58758,892
2025-02-19 16:00:00,23.85,23.85,23.85,23.85,442,23.85,4
2025-02-19 17:00:00,23.85,23.85,23.85,23.85,0,23.85,0
2025-02-19 18:00:00,23.85,23.85,23.85,23.85,0,23.85,0
2025-02-19 19:00:00,23.85,23.85,23.85,23.85,0,23.85,0
2025-02-20 07:00:00,23.84,23.84,23.53,23.53,119,23.68378,3
2025-02-20 08:00:00,23.53,23.53,23.53,23.53,0,23.53,0
2025-02-20 09:00:00,23.53,24.12,23.04,23.41,466,23.38811,140
2025-02-20 10:00:00,23.25,24.02,23.035,23.49,804,23.59417,401
2025-02-20 11:00:00,23.61,23.85,23.55,23.69,315,23.64266,210
2025-02-20 12:00:00,23.65,23.82,23.55,23.66,480,23.66145,264
2025-02-20 13:00:00,23.66,23.695,23.32,23.51,382,23.52585,232
2025-02-20 14:00:00,23.46,23.79,23.43,23.43,199,23.52798,136
2025-02-20 15:00:00,23.4799,23.7,23.14,23.32,796,23.3771,535
2025-02-20 16:00:00,23.39,23.39,23.39,23.39,212,23.39,2
2025-02-20 17:00:00,23.0807,23.0807,23.0807,23.0807,32,23.0807,1
2025-02-20 18:00:00,23.0807,23.0807,23.0807,23.0807,0,23.0807,0
