date,open,high,low,close,volume,average,barCount
2024-05-24,18.67,18.68,18.24,18.27,3770,18.368,2348
2024-05-28,18.49,18.62,18.01,18.04,4806,18.24,3464
2024-05-29,17.79,17.85,16.86,17.0,9608,17.285,5997
2024-05-30,17.14,17.8,16.89,16.98,16695,17.331,5276
2024-05-31,17.19,17.35,16.74,17.17,4867,17.08,3207
2024-06-03,17.36,17.71,17.12,17.58,6381,17.454,4329
2024-06-04,17.42,17.42,16.92,17.11,4531,17.183,3186
2024-06-05,17.21,17.22,16.81,16.86,3961,16.959,2530
2024-06-06,16.65,17.3,16.6,17.1,2156,17.096,1469
2024-06-07,16.83,16.98,16.6,16.67,3088,16.728,2231
2024-06-10,16.53,16.81,16.13,16.68,3691,16.462,2660
2024-06-11,16.55,16.75,16.26,16.64,3822,16.541,2363
2024-06-12,17.02,17.08,16.04,16.18,4032,16.33,2837
2024-06-13,16.08,16.15,15.36,15.63,7769,15.615,4303
2024-06-14,15.61,15.61,15.03,15.12,4103,15.18,2695
2024-06-17,15.07,15.2,14.4,14.85,9331,14.873,5569
2024-06-18,14.84,14.96,14.48,14.88,5219,14.71,3428
2024-06-20,14.85,15.09,14.53,14.79,3552,14.864,2640
2024-06-21,14.79,15.01,14.63,15.0,5488,14.866,2736
2024-06-24,15.03,15.85,15.01,15.78,4769,15.569,2883
2024-06-25,15.7,16.12,15.39,16.03,5188,15.933,3016
2024-06-26,15.99,16.83,15.8,16.51,5279,16.468,3287
2024-06-27,16.64,16.74,16.47,16.59,2815,16.568,2016
2024-06-28,16.75,16.87,15.81,15.86,7810,16.17,5047
2024-07-01,15.85,16.01,15.17,15.54,4828,15.457,3175
2024-07-02,15.75,15.76,15.09,15.14,2869,15.282,1692
2024-07-03,15.22,15.25,14.97,15.0,1576,15.083,1162
2024-07-05,15.09,15.14,14.35,14.39,5124,14.512,2956
2024-07-08,14.46,14.95,14.43,14.87,4285,14.715,3301
2024-07-09,14.78,15.43,14.57,15.28,4637,15.206,2861
2024-07-10,15.35,15.47,14.92,15.13,2300,15.171,1699
2024-07-11,15.41,16.62,15.33,16.6,9555,16.139,5632
2024-07-12,16.86,16.98,16.12,16.46,3528,16.485,2435
2024-07-15,16.49,16.62,16.04,16.13,4016,16.213,2465
2024-07-16,16.09,16.82,15.95,16.69,5639,16.398,3640
2024-07-17,16.64,17.34,16.64,17.04,6716,17.025,3857
2024-07-18,16.94,17.16,16.51,16.57,3879,16.789,3019
2024-07-19,16.61,16.88,16.51,16.65,2915,16.714,2022
2024-07-22,16.63,17.5,16.25,16.6,3081,16.555,2251
2024-07-23,16.48,16.67,16.18,16.51,3120,16.445,2122
2024-07-24,16.47,16.64,16.05,16.24,2009,16.326,1519
2024-07-25,16.15,17.99,16.1,17.9,5935,17.383,3955
2024-07-26,18.0,18.14,17.5,17.59,5117,17.784,3561
2024-07-29,17.55,17.76,17.25,17.55,3112,17.466,2447
2024-07-30,17.58,17.9,17.47,17.76,2227,17.739,1718
2024-07-31,18.04,18.13,17.55,17.73,3548,17.787,2468
2024-08-01,17.76,17.84,17.16,17.58,5040,17.435,2545
2024-08-02,17.18,17.44,16.87,17.03,6017,17.1,3728
2024-08-05,16.21,16.56,15.87,16.18,4273,16.218,3080
2024-08-06,16.18,16.46,13.57,14.13,19547,14.432,11537
2024-08-07,14.03,15.7,14.03,14.44,12090,14.786,8083
2024-08-08,14.52,14.82,14.18,14.21,5315,14.363,3877
2024-08-09,14.11,14.26,12.77,13.21,8296,13.123,4859
2024-08-12,13.29,13.37,13.02,13.16,5982,13.162,3865
2024-08-13,13.19,14.22,12.9,14.21,7282,13.811,5247
2024-08-14,14.24,14.24,13.3,13.5,5880,13.498,4040
2024-08-15,13.77,13.93,13.65,13.85,5847,13.813,4117
2024-08-16,13.82,14.47,13.68,14.18,4996,14.104,3584
2024-08-19,14.1,14.34,13.99,14.05,3580,14.101,2542
2024-08-20,13.99,13.99,13.17,13.45,5660,13.499,3111
2024-08-21,13.6,14.08,13.55,13.83,4031,13.871,2583
2024-08-22,13.71,13.75,13.43,13.6,3805,13.613,2046
2024-08-23,13.71,14.38,13.63,14.04,2247,14.069,1466
2024-08-26,14.25,14.59,14.01,14.05,2783,14.277,1688
2024-08-27,13.99,14.1,13.79,13.89,2522,13.918,1638
2024-08-28,13.81,14.17,13.68,13.99,4040,13.955,2202
2024-08-29,14.06,14.57,13.85,14.24,3924,14.235,2104
2024-08-30,14.21,14.32,13.98,14.17,3019,14.194,1836
2024-09-03,13.96,14.1,12.9,13.05,7486,13.236,4532
