date,open,high,low,close,volume,average,barCount
2023-12-20,10.8,10.8,10.41,10.43,5041,10.644,3041
2023-12-21,10.43,10.68,10.33,10.48,5278,10.446,3438
2023-12-22,10.53,10.79,10.36,10.38,4108,10.48,2496
2023-12-26,10.38,10.44,10.3,10.33,2923,10.349,1636
2023-12-27,10.44,10.59,10.25,10.28,5734,10.383,3650
2023-12-28,10.42,10.59,10.42,10.52,4011,10.512,2622
2023-12-29,11.66,12.15,11.44,11.56,22090,11.731,9908
2024-01-02,11.34,11.36,11.02,11.05,10500,11.174,4905
2024-01-03,10.91,11.38,10.91,11.29,9220,11.209,4376
2024-01-04,11.51,11.73,11.33,11.38,14935,11.502,5526
2024-01-05,11.28,11.28,11.01,11.07,7317,11.122,3982
2024-01-08,11.06,11.17,10.96,11.13,20451,11.088,9089
2024-01-09,7.42,8.8,7.27,8.7,170518,8.247,67646
2024-01-10,9.25,9.86,8.81,9.25,75008,9.262,30269
2024-01-11,8.58,8.81,7.81,7.96,100912,8.194,40106
2024-01-12,7.28,7.55,7.01,7.03,63533,7.249,22541
2024-01-16,7.11,7.42,7.06,7.33,32196,7.248,14615
2024-01-17,6.95,7.09,6.59,6.78,44977,6.879,20603
2024-01-18,6.73,6.78,6.35,6.75,29009,6.584,11186
2024-01-19,6.68,6.95,6.51,6.76,27760,6.742,13806
2024-01-22,6.98,7.21,6.9,7.16,13383,7.086,6842
2024-01-23,7.16,7.35,7.04,7.35,14591,7.235,7971
2024-01-24,7.7,7.73,7.46,7.66,14753,7.598,7827
2024-01-25,7.55,7.65,7.45,7.63,12779,7.568,6169
2024-01-26,7.75,8.06,7.72,8.01,12399,7.903,6687
2024-01-29,8.01,8.08,7.92,8.07,10931,8.012,5317
2024-01-30,8.34,8.37,8.21,8.25,9487,8.286,4877
2024-01-31,8.24,8.24,7.98,8.04,8427,8.116,4736
2024-02-01,8.08,8.08,7.85,8.03,11624,7.944,5755
2024-02-02,8.21,8.22,8.03,8.18,6440,8.123,3540
2024-02-05,8.18,8.75,8.11,8.5,31187,8.472,15202
2024-02-06,8.4,8.5,8.29,8.39,11695,8.414,6603
2024-02-07,8.41,8.42,7.94,8.15,9973,8.124,5885
2024-02-08,8.08,8.3,7.93,8.14,5534,8.104,3294
2024-02-09,8.05,8.28,8.04,8.28,3710,8.176,1992
2024-02-12,8.37,8.48,8.29,8.4,4409,8.38,2730
2024-02-13,8.31,8.43,8.24,8.39,4410,8.347,2647
2024-02-14,8.43,8.69,8.35,8.67,8570,8.561,5424
2024-02-15,8.62,8.72,8.51,8.63,5260,8.618,3405
2024-02-16,8.53,8.67,8.45,8.47,5027,8.547,3038
2024-02-20,8.66,8.8,8.52,8.54,6770,8.626,3778
2024-02-21,8.53,8.85,8.52,8.75,6583,8.672,3649
2024-02-22,8.78,8.8,8.66,8.7,3007,8.715,1820
2024-02-23,8.9,9.15,8.86,9.13,10283,9.02,4655
2024-02-26,9.2,9.32,9.08,9.29,8324,9.244,2850
2024-02-27,9.21,9.31,9.07,9.3,6399,9.232,3805
2024-02-28,9.12,9.37,9.06,9.34,15171,9.218,5787
2024-02-29,8.73,8.79,5.56,7.51,203613,6.829,54421
2024-03-01,6.98,7.22,6.64,7.06,26968,6.972,12893
2024-03-04,6.62,6.8,6.55,6.63,28323,6.672,11769
2024-03-05,6.45,6.63,6.1,6.17,26303,6.305,14505
2024-03-06,5.4,5.64,5.3,5.47,51838,5.433,17776
2024-03-07,5.55,5.61,5.33,5.61,42634,5.466,15381
2024-03-08,6.61,7.02,6.51,7.0,40557,6.806,18946
2024-03-11,6.68,6.92,6.56,6.77,14274,6.727,6892
2024-03-12,6.68,6.68,6.21,6.29,22752,6.393,8615
2024-03-13,6.38,6.45,6.25,6.34,14958,6.343,5682
2024-03-14,5.78,5.9,5.68,5.76,34520,5.795,11053
2024-03-15,5.91,6.18,5.85,6.13,26357,6.037,10438
2024-03-18,6.07,6.07,5.93,6.05,11704,5.999,5915
2024-03-19,5.97,6.14,5.94,6.06,19636,6.089,6574
2024-03-20,6.15,6.32,6.09,6.29,19727,6.227,7612
2024-03-21,6.38,6.82,5.8,6.78,52551,6.483,19330
2024-03-22,6.14,6.22,5.95,6.22,24947,6.111,10289
2024-03-25,6.31,6.45,6.25,6.36,13862,6.348,5121
2024-03-26,6.45,6.48,6.39,6.48,12660,6.436,4671
2024-03-27,6.52,6.67,6.44,6.65,8155,6.548,3942
2024-03-28,6.58,6.7,6.5,6.68,8922,6.589,3840
2024-04-01,6.7,6.7,6.55,6.68,4285,6.635,2108
2024-04-02,6.54,6.8,6.41,6.78,10111,6.64,4849
2024-04-03,6.72,6.91,6.65,6.89,17519,6.782,8670
2024-04-04,6.95,7.07,6.86,6.86,12657,6.963,5333
2024-04-05,7.0,7.14,6.88,7.09,8635,7.018,4014
2024-04-08,7.18,7.33,7.14,7.29,15115,7.215,5914
2024-04-09,7.29,7.35,7.13,7.18,12552,7.228,5148
2024-04-10,6.71,7.02,6.71,6.97,11944,6.939,5653
2024-04-11,6.65,6.72,6.56,6.65,9450,6.655,4262
2024-04-12,6.57,6.63,6.49,6.56,7463,6.541,3304
2024-04-15,6.57,6.7,6.47,6.54,11126,6.574,6016
2024-04-16,6.51,6.8,6.44,6.78,13840,6.682,5823
2024-04-17,6.84,6.84,6.48,6.58,12245,6.643,6542
2024-04-18,6.64,6.64,6.46,6.54,6056,6.547,2664
2024-04-19,6.45,6.46,6.27,6.28,8653,6.341,4044
2024-04-22,6.32,6.34,6.25,6.3,6755,6.292,3236
2024-04-23,6.49,6.66,6.43,6.48,12858,6.556,5470
2024-04-24,6.42,6.44,6.29,6.39,7999,6.356,3430
2024-04-25,6.33,6.37,6.12,6.27,8166,6.213,3725
2024-04-26,6.36,6.51,6.29,6.38,5150,6.389,2047
2024-04-29,6.37,6.53,6.29,6.48,8184,6.406,3181
2024-04-30,6.51,6.62,6.32,6.43,12768,6.503,5730
2024-05-01,6.38,6.94,6.38,6.79,7366,6.757,3498
2024-05-02,6.57,6.57,6.35,6.39,11745,6.438,5247
2024-05-03,6.59,6.67,6.54,6.57,13577,6.615,5836
2024-05-06,6.98,7.08,6.93,7.02,13821,7.02,5541
2024-05-07,6.91,6.98,6.8,6.8,9606,6.921,4043
2024-05-08,6.88,6.96,6.83,6.84,5909,6.891,2954
2024-05-09,6.89,6.97,6.87,6.94,3410,6.926,1555
2024-05-10,6.92,7.03,6.92,7.0,4286,6.986,1694
2024-05-13,7.0,7.33,7.0,7.29,25826,7.196,6771
2024-05-14,7.26,7.69,6.67,7.47,28549,7.304,9221
2024-05-15,7.58,7.73,7.51,7.69,14208,7.62,5841
2024-05-16,7.55,7.7,7.51,7.67,7521,7.653,4042
2024-05-17,7.5,7.76,7.45,7.7,9661,7.62,4691
2024-05-20,7.62,7.76,7.54,7.68,12506,7.657,5127
2024-05-21,7.63,7.72,7.55,7.67,7049,7.634,3112
2024-05-22,7.29,7.31,7.03,7.19,13078,7.203,6027
2024-05-23,7.15,7.2,7.04,7.11,6985,7.11,3179
2024-05-24,7.04,7.23,7.01,7.2,9865,7.135,4994
2024-05-28,7.24,7.5,7.18,7.36,5700,7.342,2443
2024-05-29,7.02,7.06,6.83,6.92,7333,6.941,3375
2024-05-30,7.04,7.17,7.02,7.16,2640,7.107,1577
2024-05-31,7.17,7.25,7.12,7.16,3662,7.184,2019
2024-06-03,7.33,7.45,7.28,7.35,6539,7.363,3302
2024-06-04,7.29,7.39,7.27,7.37,5266,7.33,2409
2024-06-05,7.45,7.45,7.28,7.34,3067,7.348,1511
2024-06-06,7.33,7.51,7.32,7.51,3492,7.404,1822
2024-06-07,7.39,7.39,7.23,7.24,3850,7.286,2085
2024-06-10,7.11,7.17,6.96,7.11,8861,7.066,3766
2024-06-11,7.04,7.11,6.96,6.97,5420,7.016,2126
2024-06-12,7.21,7.32,7.01,7.03,10194,7.135,4825
2024-06-13,7.14,7.17,6.96,6.97,3327,7.055,1523
2024-06-14,6.91,7.03,6.9,7.0,3783,6.978,1867
2024-06-17,7.12,7.12,6.99,7.1,4258,7.059,2156
2024-06-18,7.16,7.18,7.02,7.02,12137,7.081,4506
2024-06-20,6.82,6.99,6.78,6.98,7271,6.906,3598
2024-06-21,7.13,7.13,6.91,7.0,7324,6.994,3283
2024-06-24,7.16,7.24,7.11,7.19,6034,7.182,2273
2024-06-25,7.03,7.08,6.96,7.0,6218,7.019,2124
2024-06-26,7.02,7.02,6.84,6.97,8741,6.927,3536
2024-06-27,6.12,6.33,5.79,6.3,30189,6.088,10940
2024-06-28,6.2,6.4,6.12,6.3,11663,6.258,5172
2024-07-01,6.47,6.47,6.22,6.28,8976,6.345,3543
2024-07-02,6.33,6.55,6.23,6.52,7316,6.375,3278
2024-07-03,6.56,6.7,6.53,6.64,3745,6.651,2011
2024-07-05,7.0,7.06,6.94,7.04,8160,7.009,4491
2024-07-08,8.48,8.63,8.06,8.41,52189,8.4,17504
2024-07-09,8.87,8.87,8.3,8.37,23192,8.531,11099
2024-07-10,8.78,9.39,8.72,8.91,29544,8.975,11657
2024-07-11,8.82,9.01,8.71,8.85,25692,8.829,11071
2024-07-12,8.92,8.95,8.25,8.26,27032,8.622,12166
2024-07-15,8.3,8.38,7.96,8.16,26532,8.094,12002
2024-07-16,7.95,8.21,7.78,8.15,19200,7.952,8646
2024-07-17,8.17,8.36,7.93,8.06,17298,8.095,8153
2024-07-18,8.05,8.16,7.99,8.12,13386,8.091,4604
2024-07-19,8.12,8.19,8.02,8.07,7264,8.098,3515
2024-07-22,8.03,8.08,7.75,7.88,5767,7.893,2440
2024-07-23,7.83,7.85,7.73,7.75,7871,7.788,2935
2024-07-24,7.85,8.09,7.72,7.73,8168,7.844,3417
2024-07-25,7.68,7.92,7.68,7.78,11082,7.849,3449
2024-07-26,8.05,8.07,7.72,7.74,11783,7.837,4574
2024-07-29,7.82,7.9,7.69,7.71,11449,7.782,4756
2024-07-30,7.48,8.0,7.26,7.75,20570,7.643,8632
2024-07-31,7.9,8.0,7.46,7.47,16821,7.712,6837
2024-08-01,7.67,7.83,7.58,7.64,11292,7.669,5322
2024-08-02,7.58,7.77,7.49,7.58,5528,7.618,2864
2024-08-05,7.3,7.5,7.2,7.27,10503,7.363,4763
2024-08-06,7.36,7.56,7.23,7.24,8918,7.377,3813
2024-08-07,7.41,7.63,7.37,7.43,12396,7.489,4467
2024-08-08,7.42,7.48,7.33,7.38,9005,7.432,4448
2024-08-09,7.36,7.39,7.14,7.21,5119,7.254,2270
2024-08-12,7.2,7.26,7.14,7.18,4174,7.201,1825
2024-08-13,6.85,7.03,6.7,6.89,12775,6.831,6251
2024-08-14,6.89,6.94,6.75,6.91,3991,6.844,2155
2024-08-15,6.73,7.01,6.73,6.96,6439,6.908,3608
2024-08-16,6.94,7.19,6.94,7.06,9733,7.114,5041
2024-08-19,7.21,7.21,7.08,7.18,7466,7.15,4145
2024-08-20,7.1,7.4,7.09,7.19,11673,7.205,4629
2024-08-21,7.85,7.97,7.54,7.67,41490,7.747,14981
2024-08-22,8.08,8.92,8.05,8.85,58972,8.557,17996
2024-08-23,8.76,8.9,8.53,8.58,12023,8.663,4215
2024-08-26,8.8,8.8,8.49,8.61,7013,8.577,3720
2024-08-27,8.77,8.87,8.62,8.76,6674,8.738,3378
2024-08-28,8.7,9.02,8.68,9.0,6645,8.869,3400
2024-08-29,8.97,9.57,8.89,9.1,36072,9.193,10815
2024-08-30,9.38,9.48,9.0,9.34,37244,9.297,11986
2024-09-03,9.37,9.39,9.16,9.38,8472,9.303,3766
2024-09-04,9.14,9.33,9.13,9.3,8568,9.247,3584
2024-09-05,8.52,9.13,8.47,8.88,16043,8.695,7134
2024-09-06,8.63,8.69,8.47,8.49,6257,8.571,2902
2024-09-09,8.49,8.57,8.47,8.57,2395,8.518,1434
2024-09-10,8.45,8.49,8.18,8.41,5295,8.319,2469
2024-09-11,8.77,9.26,8.77,9.21,6421,9.063,3057
2024-09-12,9.09,9.14,8.93,9.11,3893,9.074,2344
2024-09-13,9.11,9.35,9.11,9.26,4764,9.238,2472
2024-09-16,9.25,9.28,9.07,9.24,2839,9.18,1427
2024-09-17,9.17,9.24,8.86,8.9,7177,9.061,4553
2024-09-18,9.02,9.02,8.69,8.74,4604,8.814,2609
2024-09-19,8.93,9.16,8.82,9.08,8313,8.95,4620
2024-09-20,8.97,9.12,8.94,8.95,6575,9.049,3270
2024-09-23,8.78,8.88,8.69,8.8,3664,8.761,2053
2024-09-24,8.65,8.77,8.61,8.7,3876,8.689,1770
2024-09-25,8.69,8.91,7.13,8.66,25814,8.351,10053
2024-09-26,8.9,8.97,8.6,8.79,5132,8.756,3427
2024-09-27,9.03,9.11,8.84,8.95,3514,8.983,2138
2024-09-30,8.94,9.04,8.84,8.88,1741,8.925,938
2024-10-01,8.95,8.95,8.7,8.83,3042,8.832,1649
2024-10-02,8.77,8.92,8.66,8.84,2125,8.813,1101
2024-10-03,8.74,9.05,8.74,8.95,5185,8.931,2257
2024-10-04,8.85,9.09,8.82,8.92,4748,8.954,2606
2024-10-07,8.87,8.93,8.79,8.88,3692,8.84,2160
2024-10-08,8.85,8.86,8.76,8.76,2312,8.812,1566
2024-10-09,8.75,8.82,8.65,8.66,2448,8.722,1424
2024-10-10,8.66,8.66,8.52,8.63,2718,8.597,1773
2024-10-11,8.52,8.63,8.45,8.59,4870,8.512,2847
2024-10-14,8.39,8.76,8.39,8.58,3927,8.549,1886
2024-10-15,8.56,8.57,8.47,8.51,3534,8.507,1885
2024-10-16,8.53,8.6,8.44,8.49,3640,8.493,2417
2024-10-17,8.44,8.64,8.42,8.59,2170,8.534,1348
2024-10-18,8.54,8.67,8.44,8.65,3248,8.582,1987
2024-10-21,8.7,8.74,8.51,8.57,1971,8.6,1274
2024-10-22,8.71,8.83,8.65,8.82,3271,8.755,1909
2024-10-23,8.8,8.9,8.63,8.83,3485,8.79,1857
2024-10-24,8.77,8.87,8.61,8.86,4971,8.739,2913
2024-10-25,8.8,8.85,8.72,8.73,3767,8.79,1860
2024-10-28,8.4,8.56,8.3,8.34,5165,8.47,2294
2024-10-29,8.73,8.73,8.11,8.2,11975,8.399,6628
2024-10-30,8.44,8.8,8.38,8.77,9925,8.643,4419
2024-10-31,8.62,8.76,8.51,8.69,9886,8.627,4968
2024-11-01,8.74,8.86,8.74,8.84,6039,8.791,3092
2024-11-04,8.92,8.96,8.77,8.8,4219,8.869,1915
