date,open,high,low,close,volume,average,barCount
2023-12-20,5.561,5.571,5.41,5.51,548,5.5016,504
2023-12-21,5.509,5.538,5.333,5.381,404,5.421,516
2023-12-22,5.4,5.4,5.282,5.385,539,5.3209,611
2023-12-26,5.371,5.371,5.277,5.32,237,5.3163,513
2023-12-27,5.3,5.44,5.3,5.331,292,5.3496,486
2023-12-28,5.35,5.396,5.315,5.354,215,5.3592,374
2023-12-29,5.38,5.7,5.344,5.394,704,5.49,980
2024-01-02,5.7,5.89,5.555,5.565,468,5.6222,988
2024-01-03,5.7,5.79,5.3,5.4,347,5.4762,615
2024-01-04,5.5,5.8,5.4,5.669,347,5.6006,485
2024-01-05,5.7,7.0,5.611,5.81,2378,6.3192,2982
2024-01-08,5.63,6.099,5.63,5.7,455,5.8293,694
2024-01-09,5.89,5.89,5.63,5.75,243,5.719,285
2024-01-10,5.75,5.75,5.2,5.2,635,5.516,1000
2024-01-11,5.293,5.406,5.151,5.38,295,5.2447,402
2024-01-12,5.4,5.472,5.249,5.312,161,5.3383,256
2024-01-16,5.3,5.311,5.1,5.17,225,5.1701,354
2024-01-17,5.1,5.221,4.9,5.1,289,5.0047,471
2024-01-18,5.1,5.3,5.0,5.2,112,5.1537,248
2024-01-19,5.0,5.192,5.0,5.1,102,5.1076,150
2024-01-22,5.027,5.2,4.813,4.97,332,5.0121,448
2024-01-23,4.98,5.064,4.85,4.976,209,4.9426,261
2024-01-24,4.973,5.0,4.804,4.895,193,4.9107,316
2024-01-25,4.9,5.099,4.787,4.999,239,4.8782,434
2024-01-26,5.0,5.1,4.97,5.0,166,5.0188,346
2024-01-29,4.87,5.1,4.87,5.09,229,5.0394,364
2024-01-30,5.034,5.549,4.91,5.4,321,5.2849,632
2024-01-31,5.35,6.093,5.229,5.765,864,5.7634,1060
2024-02-01,5.968,5.968,5.51,5.555,232,5.6817,284
2024-02-02,5.537,5.762,5.41,5.551,401,5.5386,578
2024-02-05,6.25,12.8,6.12,10.9,117379,10.1929,138663
2024-02-06,12.3,13.0,8.894,10.7,41119,11.2717,71959
2024-02-07,11.6,11.6,10.1,11.2,10479,10.998,14826
2024-02-08,10.2,10.2,9.2,9.3,4573,9.6908,5589
2024-02-09,9.758,10.6,9.2,10.2,3612,9.938,5008
2024-02-12,10.3,10.599,9.51,9.65,2249,9.9437,3014
2024-02-13,9.611,9.637,8.5,8.931,1793,8.9397,2337
2024-02-14,8.823,8.9,8.01,8.45,1621,8.2925,2349
2024-02-15,8.301,8.395,7.251,7.452,2250,7.7655,2999
2024-02-16,7.5,8.772,7.499,8.587,1973,8.1838,2281
2024-02-20,8.873,8.988,8.099,8.947,1198,8.7278,1477
2024-02-21,8.991,8.991,8.5,8.702,915,8.6638,1024
2024-02-22,8.9,9.363,8.8,9.095,1162,9.0308,1500
2024-02-23,8.8,8.999,8.155,8.3,807,8.5463,965
2024-02-26,8.266,8.491,7.966,8.399,535,8.2748,689
2024-02-27,8.15,8.499,8.02,8.37,802,8.2006,1295
2024-02-28,8.3,9.1,8.2,8.699,1373,8.7616,1631
2024-02-29,8.7,9.566,8.6,8.907,1193,9.1437,2102
2024-03-01,9.39,9.41,8.8,8.841,526,9.0309,758
2024-03-04,9.39,9.4,7.825,8.0,2213,8.3884,2962
2024-03-05,8.134,8.155,7.7,7.9,540,7.9251,855
2024-03-06,8.0,8.399,7.6,8.0,1190,7.9426,1160
2024-03-07,7.9,7.9,7.326,7.4,1431,7.4998,1705
2024-03-08,7.273,7.3,6.619,6.921,1423,6.9786,1583
2024-03-11,6.971,7.3,6.719,7.125,571,6.9252,845
2024-03-12,7.3,7.3,6.73,7.099,460,6.9299,592
2024-03-13,7.007,7.5,6.97,7.49,1004,7.2873,982
2024-03-14,7.5,7.55,7.0,7.0,328,7.213,554
2024-03-15,6.9,7.7,6.872,7.63,872,7.367,948
2024-03-18,7.6,8.6,7.468,8.6,1057,8.0556,1424
2024-03-19,8.572,8.572,7.912,8.011,469,8.2357,720
2024-03-20,8.029,8.099,7.6,7.69,427,7.7716,950
2024-03-21,7.9,7.95,7.625,7.7,298,7.846,598
2024-03-22,7.7,7.941,7.578,7.833,425,7.808,654
2024-03-25,7.65,7.95,7.55,7.9,294,7.7592,599
2024-03-26,7.899,7.9,7.5,7.5,581,7.6931,650
2024-03-27,7.573,7.6,7.23,7.401,528,7.3639,688
2024-03-28,7.34,7.795,7.297,7.5,795,7.6062,697
2024-04-01,7.6,7.699,7.551,7.642,455,7.617,736
2024-04-02,7.8,7.993,7.41,7.6,1086,7.6999,919
2024-04-03,7.41,7.59,7.046,7.32,871,7.2208,1326
2024-04-04,9.2,9.8,8.5,9.1,21034,9.1922,24714
2024-04-05,8.9,9.277,8.015,8.4,5588,8.6634,8358
2024-04-08,8.811,8.915,8.115,8.422,3652,8.5933,5405
2024-04-09,8.25,8.35,7.411,7.6,2382,7.7459,2950
2024-04-10,7.25,7.25,6.125,6.4,4656,6.5194,5920
2024-04-11,6.5,6.59,5.9,6.184,2055,6.1764,2930
2024-04-12,6.13,6.598,5.91,6.0,2266,6.2903,2721
2024-04-15,5.22,5.98,4.97,5.35,6026,5.439,1852
2024-04-16,5.43,6.11,5.35,5.73,5416,5.74,1910
2024-04-17,5.93,6.24,5.22,5.32,3783,5.612,1269
2024-04-18,5.28,5.4,5.03,5.06,2247,5.152,686
2024-04-19,5.0,5.13,4.84,5.05,3703,4.995,1185
2024-04-22,5.06,6.16,4.98,5.79,18488,5.727,5224
2024-04-23,6.16,6.49,5.4,5.54,7206,5.87,2295
2024-04-24,5.6,5.6,5.15,5.24,2666,5.298,860
2024-04-25,5.2,5.32,5.04,5.08,2123,5.119,871
2024-04-26,5.05,5.1,4.8,5.0,3657,4.984,1137
2024-04-29,4.99,5.54,4.91,5.36,6828,5.347,1976
2024-04-30,5.49,6.12,5.31,5.78,7749,5.849,2210
2024-05-01,5.75,6.13,5.7,6.01,2465,5.975,947
2024-05-02,6.08,6.11,5.85,6.06,1491,6.006,455
2024-05-03,5.88,6.35,5.5,5.64,2894,5.98,1040
2024-05-06,5.78,6.32,5.71,5.88,4324,5.953,1514
2024-05-07,5.83,5.86,5.66,5.73,1076,5.726,436
2024-05-08,5.7,5.75,5.5,5.65,2914,5.606,1207
2024-05-09,5.61,6.05,5.55,5.88,2089,5.847,837
2024-05-10,5.89,5.95,5.57,5.59,1059,5.772,393
2024-05-13,5.59,5.72,5.43,5.48,1996,5.526,750
2024-05-14,5.45,5.73,5.33,5.36,1869,5.529,695
2024-05-15,5.38,5.43,5.19,5.22,1041,5.309,357
2024-05-16,5.97,6.29,5.45,5.54,8800,5.843,3027
2024-05-17,5.37,5.55,5.18,5.31,3228,5.31,1052
2024-05-20,5.29,5.3,5.11,5.29,1500,5.195,479
2024-05-21,5.3,5.74,5.22,5.59,2722,5.531,1042
2024-05-22,5.5,5.67,5.35,5.52,1074,5.529,424
2024-05-23,5.6,5.6,5.27,5.29,973,5.4,352
2024-05-24,5.25,5.5,5.25,5.44,620,5.419,260
2024-05-28,5.45,5.84,5.45,5.8,1928,5.665,559
2024-05-29,5.7,6.22,5.55,6.13,2059,6.009,669
2024-05-30,6.13,6.76,6.13,6.37,2690,6.441,898
2024-05-31,6.37,6.46,5.87,5.99,1400,6.061,476
2024-06-03,5.99,6.17,5.81,5.88,823,5.952,236
2024-06-04,5.83,6.11,5.72,6.03,1215,5.974,409
2024-06-05,6.11,6.11,5.85,5.95,810,5.964,246
2024-06-06,5.83,6.18,5.82,5.91,1110,5.99,362
2024-06-07,5.4,5.4,4.6,4.68,7546,4.857,2297
2024-06-10,4.73,4.73,3.89,4.01,5613,4.147,1708
2024-06-11,4.13,4.18,3.71,3.72,3118,3.908,707
2024-06-12,3.75,3.8,3.09,3.09,4609,3.39,1392
2024-06-13,3.24,3.28,2.5,2.86,14896,2.823,4631
2024-06-14,2.84,3.19,2.82,3.05,3611,3.04,1049
2024-06-17,3.12,3.5,3.06,3.23,3388,3.294,971
2024-06-18,3.21,3.25,2.97,3.14,2362,3.124,603
2024-06-20,3.18,3.19,3.07,3.08,1569,3.141,375
2024-06-21,3.13,3.13,3.01,3.04,1493,3.058,342
2024-06-24,3.05,3.15,2.97,3.01,1036,3.038,276
2024-06-25,3.0,3.02,2.94,2.95,1025,2.97,282
2024-06-26,2.95,2.98,2.82,2.85,1498,2.876,384
2024-06-27,2.87,2.9,2.8,2.84,783,2.857,253
2024-06-28,2.87,2.88,2.71,2.77,1483,2.77,348
2024-07-01,2.79,2.82,2.65,2.66,1098,2.725,236
2024-07-02,2.66,2.67,2.56,2.64,1292,2.63,374
2024-07-03,2.63,2.71,2.62,2.69,970,2.678,245
2024-07-05,2.7,2.71,2.57,2.66,1330,2.64,334
2024-07-08,2.68,2.98,2.68,2.76,1539,2.843,453
2024-07-09,2.8,2.83,2.64,2.74,826,2.731,258
2024-07-10,2.73,2.78,2.65,2.71,1236,2.712,359
2024-07-11,2.72,2.86,2.71,2.74,2117,2.777,585
2024-07-12,2.86,3.01,2.78,2.95,4106,2.894,1165
2024-07-15,3.04,3.04,2.86,2.92,2564,2.965,728
2024-07-16,2.9,3.01,2.89,3.0,1558,2.975,554
2024-07-17,3.05,3.08,2.85,2.91,1354,2.916,413
2024-07-18,2.88,2.92,2.65,2.77,1691,2.782,523
2024-07-19,2.73,2.83,2.68,2.8,1048,2.758,294
2024-07-22,2.9,3.0,2.75,2.94,2112,2.881,621
2024-07-23,2.9,3.02,2.9,2.99,1062,2.964,257
2024-07-24,2.97,3.02,2.89,2.89,1149,2.945,337
2024-07-25,2.89,2.9,2.72,2.86,1162,2.801,325
2024-07-26,2.9,2.9,2.81,2.87,755,2.855,203
2024-07-29,2.9,2.9,2.78,2.8,589,2.84,168
2024-07-30,2.79,2.8,2.61,2.63,655,2.695,253
2024-07-31,2.65,2.7,2.61,2.65,619,2.651,151
2024-08-01,2.62,2.69,2.48,2.49,1178,2.55,301
2024-08-02,2.46,2.48,2.3,2.39,1644,2.39,431
2024-08-05,2.1,2.36,2.09,2.31,822,2.232,204
2024-08-06,2.33,2.36,2.23,2.24,748,2.272,233
2024-08-07,2.34,2.34,2.22,2.25,339,2.264,101
2024-08-08,2.23,2.4,2.11,2.33,977,2.26,294
2024-08-09,2.39,2.39,2.25,2.27,932,2.31,160
2024-08-12,2.27,2.4,2.27,2.34,612,2.343,138
2024-08-13,2.35,2.48,2.34,2.44,547,2.425,143
2024-08-14,2.43,2.53,2.41,2.51,314,2.471,125
2024-08-15,2.61,2.65,2.51,2.58,680,2.57,174
2024-08-16,2.6,2.63,2.38,2.45,532,2.511,150
2024-08-19,2.43,2.49,2.37,2.42,376,2.426,111
2024-08-20,2.45,2.47,2.31,2.36,365,2.375,116
2024-08-21,2.34,2.66,2.34,2.64,882,2.554,281
2024-08-22,2.73,2.91,2.58,2.61,833,2.709,335
2024-08-23,2.64,2.8,2.6,2.64,626,2.672,239
2024-08-26,2.7,3.15,2.7,2.89,3547,2.895,852
2024-08-27,2.9,2.93,2.71,2.85,1804,2.785,422
2024-08-28,2.82,3.06,2.73,3.04,1265,2.899,389
2024-08-29,3.05,3.45,3.01,3.24,3696,3.25,1009
2024-08-30,3.22,3.44,2.99,3.1,1820,3.192,547
2024-09-03,3.19,3.5,3.1,3.29,4622,3.359,902
2024-09-04,3.29,3.47,3.06,3.13,2870,3.267,724
2024-09-05,3.15,3.22,3.04,3.2,1096,3.126,344
2024-09-06,3.27,3.27,3.01,3.11,1333,3.087,380
2024-09-09,3.2,3.35,3.15,3.21,1002,3.224,296
2024-09-10,3.21,3.25,3.02,3.1,960,3.098,226
2024-09-11,3.11,3.17,3.05,3.16,421,3.131,138
2024-09-12,3.85,4.18,3.16,3.37,82982,3.67,24699
2024-09-13,3.51,3.71,3.28,3.54,12805,3.517,2982
2024-09-16,3.7,4.2,3.55,3.89,13094,3.894,3281
2024-09-17,3.92,3.98,3.64,3.64,5079,3.761,1385
2024-09-18,3.6,3.63,3.33,3.53,3925,3.502,1101
2024-09-19,3.58,3.8,3.52,3.77,5723,3.717,1637
2024-09-20,3.77,4.18,3.72,3.98,7427,3.999,1715
2024-09-23,4.04,4.69,4.02,4.5,11647,4.427,3148
2024-09-24,4.66,4.66,4.2,4.38,6029,4.35,1826
2024-09-25,4.37,4.39,3.84,4.02,8421,4.007,1876
2024-09-26,4.12,4.16,3.9,3.99,5211,4.028,1165
2024-09-27,4.01,4.16,3.9,4.15,4294,4.017,1032
2024-09-30,4.5,4.55,4.18,4.28,16312,4.42,4204
2024-10-01,4.21,4.25,3.85,4.1,7046,4.081,1870
2024-10-02,4.13,4.14,3.61,3.7,8330,3.8,1921
2024-10-03,3.75,3.92,3.6,3.8,3764,3.764,905
2024-10-04,3.9,4.32,3.75,4.27,5957,4.128,1717
2024-10-07,4.31,4.47,4.06,4.08,2826,4.208,862
2024-10-08,4.0,4.0,3.9,3.98,3881,3.973,886
2024-10-09,3.98,4.15,3.92,4.12,2738,4.039,756
2024-10-10,4.09,4.28,3.99,4.1,3656,4.17,1006
2024-10-11,4.1,4.19,4.01,4.12,1838,4.11,656
2024-10-14,4.12,4.13,3.99,4.05,3092,4.047,700
2024-10-15,4.08,4.35,4.0,4.07,5476,4.163,1532
2024-10-16,4.1,4.12,3.97,4.1,3654,4.055,998
2024-10-17,4.1,4.24,3.99,4.08,5513,4.09,1305
2024-10-18,4.07,4.28,4.04,4.24,4539,4.142,1085
2024-10-21,4.38,4.97,4.3,4.96,16935,4.692,4587
2024-10-22,5.02,5.45,4.8,5.14,17034,5.179,4827
2024-10-23,5.07,5.08,4.6,4.7,6701,4.738,1948
2024-10-24,4.75,4.77,4.42,4.68,4480,4.571,1190
2024-10-25,4.77,4.88,4.45,4.46,4034,4.611,1153
2024-10-28,4.5,4.53,4.27,4.34,4424,4.357,1262
2024-10-29,4.5,4.72,4.32,4.35,5786,4.514,1755
2024-10-30,4.41,4.69,4.41,4.48,3827,4.548,1036
