date,open,high,low,close,volume,average,barCount
2024-01-02,25.51,27.45,22.51,23.79,574,23.787,409
2024-01-03,23.64,25.09,23.27,24.7,351,23.976,224
2024-01-04,24.58,26.27,24.1,24.14,583,25.107,329
2024-01-05,23.72,24.32,21.61,23.69,947,22.83,643
2024-01-08,22.32,24.48,21.81,22.02,965,22.623,763
2024-01-09,22.6,24.27,22.0,23.32,551,23.233,354
2024-01-10,23.5,24.17,22.75,24.1,577,23.7,315
2024-01-11,24.69,26.49,24.41,26.36,470,25.781,329
2024-01-12,27.09,27.1,22.2,22.51,426,24.129,269
2024-01-16,22.68,23.49,22.0,23.13,879,22.592,641
2024-01-17,23.13,24.55,22.36,23.11,543,23.363,455
2024-01-18,23.1,23.5,20.51,20.81,948,21.787,675
2024-01-19,20.42,21.31,18.49,18.7,591,19.385,418
2024-01-22,19.0,20.69,18.84,19.3,513,19.608,311
2024-01-23,19.3,20.0,15.57,16.16,954,16.694,627
2024-01-24,16.93,17.06,13.51,14.3,958,14.833,566
2024-01-25,14.5,15.61,14.5,15.31,400,15.11,261
2024-01-26,15.0,16.05,14.91,14.93,564,15.338,378
2024-01-29,14.68,15.61,14.42,15.41,535,14.831,287
2024-01-30,15.03,15.75,14.17,14.28,249,14.888,176
2024-01-31,14.5,14.77,12.21,12.37,529,12.876,438
2024-02-01,12.46,13.5,12.07,12.19,603,12.397,432
2024-02-02,12.3,12.86,10.93,11.5,489,11.509,343
2024-02-05,12.29,13.29,11.5,13.29,409,12.513,268
2024-02-06,13.5,14.25,10.81,11.38,1177,12.03,789
2024-02-07,11.31,12.5,11.12,11.96,887,11.933,606
2024-02-08,12.02,13.0,11.6,12.31,435,11.925,280
2024-02-09,12.21,13.07,11.9,11.96,468,12.269,352
2024-02-12,12.0,12.78,11.35,11.41,259,11.631,167
2024-02-13,11.68,11.73,10.41,10.56,665,10.857,451
2024-02-14,11.14,15.65,10.9,14.77,1115,13.229,682
2024-02-15,15.79,16.24,14.3,15.97,895,15.537,525
2024-02-16,16.71,18.5,15.33,15.38,894,16.868,555
2024-02-20,15.97,16.59,14.29,15.14,513,15.158,321
2024-02-21,14.54,15.3,13.55,14.13,240,14.147,187
2024-02-22,14.36,16.48,14.07,16.0,429,15.629,289
2024-02-23,16.0,24.07,15.75,22.03,2894,20.688,1618
2024-02-26,23.0,25.05,22.0,25.05,866,23.607,517
2024-02-27,25.05,26.37,22.37,22.72,544,23.986,226
2024-02-28,22.01,25.94,22.01,24.79,712,24.854,403
2024-02-29,21.81,22.91,18.14,18.14,1207,19.902,611
2024-03-01,18.17,20.93,16.5,20.58,469,18.848,305
2024-03-04,21.45,21.83,19.69,21.55,310,21.068,205
2024-03-05,22.0,22.0,20.2,20.42,176,21.015,103
2024-03-06,20.65,20.98,19.89,20.68,73,20.337,45
2024-03-07,20.05,21.17,19.51,19.52,257,20.438,168
2024-03-08,19.22,20.1,16.58,17.24,474,17.878,266
2024-03-11,16.76,17.96,16.31,16.33,171,16.911,133
2024-03-12,16.25,17.96,16.25,17.65,61,17.268,50
2024-03-13,17.35,19.35,17.35,19.01,300,18.648,206
2024-03-14,19.03,19.85,18.2,18.82,257,19.116,163
2024-03-15,19.96,19.96,15.91,16.76,398,17.317,253
2024-03-18,17.0,18.38,16.7,18.15,187,17.489,134
2024-03-19,18.18,18.68,17.7,18.22,492,18.188,316
2024-03-20,17.8,18.55,17.44,17.86,383,18.023,197
2024-03-21,17.99,18.2,17.28,17.81,190,17.668,127
2024-03-22,17.44,18.18,17.13,17.59,152,17.607,106
2024-03-25,17.12,17.94,16.15,16.18,219,16.858,128
2024-03-26,16.47,17.77,16.45,16.79,472,17.199,288
2024-03-27,16.21,17.93,16.21,17.53,497,17.457,284
2024-03-28,17.58,18.33,17.07,17.48,502,17.72,332
2024-04-01,17.48,17.49,15.8,15.85,397,16.291,280
2024-04-02,15.76,17.0,15.56,16.99,333,16.422,227
2024-04-03,16.54,17.18,16.13,17.16,417,17.022,277
2024-04-04,16.57,17.33,16.21,16.98,466,16.991,321
2024-04-05,17.0,17.12,16.65,16.95,394,16.955,299
2024-04-08,16.69,17.09,16.68,16.86,409,16.926,284
2024-04-09,16.87,17.05,16.61,17.0,288,16.894,217
2024-04-10,16.88,17.0,13.32,13.88,1770,14.578,864
2024-04-11,15.75,17.0,14.24,16.45,836,15.909,449
2024-04-12,16.63,17.05,15.78,16.81,412,16.595,198
2024-04-15,16.79,16.79,16.0,16.48,253,16.313,193
2024-04-16,16.26,16.26,15.7,16.0,321,15.987,200
2024-04-17,16.0,16.42,15.25,15.84,246,15.808,180
2024-04-18,15.51,15.95,15.1,15.41,189,15.438,150
2024-04-19,14.95,15.81,14.59,15.51,405,15.232,306
2024-04-22,15.63,16.44,15.52,15.96,488,16.115,265
2024-04-23,16.0,16.15,15.53,15.94,207,15.956,145
2024-04-24,15.99,16.27,15.62,16.05,167,16.088,101
2024-04-25,15.86,16.78,15.34,16.33,1149,16.364,567
2024-04-26,16.33,17.25,15.9,17.11,1599,16.825,831
2024-04-29,17.11,17.11,16.11,16.43,198,16.531,154
2024-04-30,16.44,16.48,15.43,15.6,211,15.949,149
2024-05-01,15.7,15.7,13.5,13.86,855,14.127,546
2024-05-02,14.0,15.72,13.8,14.1,634,14.542,360
2024-05-03,14.0,15.15,14.0,15.14,221,14.794,104
2024-05-06,15.19,15.19,14.81,14.82,264,14.982,166
2024-05-07,14.86,15.14,14.67,14.82,276,14.947,214
2024-05-08,14.9,15.84,14.52,15.69,284,15.5,160
2024-05-09,15.4,15.69,15.23,15.23,176,15.466,161
2024-05-10,15.66,15.66,14.71,14.82,158,15.075,134
2024-05-13,14.78,15.88,14.52,15.75,267,15.536,158
2024-05-14,15.85,15.99,15.22,15.77,272,15.747,155
2024-05-15,15.75,15.95,15.48,15.63,359,15.738,211
2024-05-16,15.45,15.91,15.17,15.29,220,15.533,141
2024-05-17,15.18,15.18,13.71,14.24,414,14.204,277
2024-05-20,14.32,15.17,14.27,14.43,250,14.592,192
2024-05-21,14.21,14.21,12.83,13.1,436,13.312,275
2024-05-22,12.85,13.95,12.85,13.54,117,13.37,97
2024-05-23,13.67,13.78,12.61,12.61,155,13.063,116
