date,open,high,low,close,volume,average,barCount
2025-02-18 09:00:00,12.21,12.76,12.18,12.52,174,12.434,60
2025-02-18 10:00:00,12.57,12.61,12.42,12.52,63,12.513,36
2025-02-18 11:00:00,12.49,12.57,12.37,12.37,29,12.446,22
2025-02-18 12:00:00,12.33,12.35,12.26,12.26,10,12.322,7
2025-02-18 13:00:00,12.27,12.51,12.26,12.5,44,12.359,31
2025-02-18 14:00:00,12.49,12.8,12.48,12.79,76,12.663,37
2025-02-18 15:00:00,12.74,12.77,12.6,12.7,159,12.662,99
2025-02-18 16:00:00,12.7,12.7,12.7,12.7,46,12.7,1
2025-02-18 17:00:00,12.7,12.7,12.7,12.7,0,12.7,0
2025-02-18 18:00:00,12.7,12.7,12.7,12.7,0,12.7,0
2025-02-18 19:00:00,12.7,12.7,12.7,12.7,0,12.7,0
2025-02-19 09:00:00,12.69,12.69,12.39,12.4,81,12.501,45
2025-02-19 10:00:00,12.44,12.64,12.35,12.52,22,12.481,14
2025-02-19 11:00:00,12.59,12.64,12.56,12.56,12,12.59,5
2025-02-19 12:00:00,12.5,12.55,12.31,12.31,26,12.352,13
2025-02-19 13:00:00,12.3,12.3,12.15,12.24,30,12.24,19
2025-02-19 14:00:00,12.16,12.31,12.16,12.25,22,12.264,17
2025-02-19 15:00:00,12.14,12.22,12.08,12.13,49,12.142,42
2025-02-19 16:00:00,12.14,12.14,12.14,12.14,33,12.14,1
2025-02-19 17:00:00,12.14,12.14,12.14,12.14,0,12.14,0
2025-02-19 18:00:00,12.14,12.14,12.14,12.14,0,12.14,0
2025-02-19 19:00:00,12.14,12.14,12.14,12.14,0,12.14,0
2025-02-20 09:00:00,12.2,12.33,12.15,12.25,41,12.253,24
2025-02-20 10:00:00,12.17,12.32,12.15,12.29,60,12.231,46
2025-02-20 11:00:00,12.28,12.33,12.27,12.29,30,12.3,19
2025-02-20 12:00:00,12.31,12.58,12.29,12.5,41,12.46,33
2025-02-20 13:00:00,12.48,12.48,12.45,12.45,5,12.468,3
2025-02-20 14:00:00,12.51,12.65,12.5,12.65,32,12.565,18
2025-02-20 15:00:00,12.6,12.61,12.51,12.58,48,12.587,38
2025-02-20 16:00:00,12.56,12.56,12.56,12.56,27,12.56,1
2025-02-20 17:00:00,12.56,12.56,12.56,12.56,0,12.56,0
2025-02-20 18:00:00,12.56,12.56,12.56,12.56,0,12.56,0
2025-02-20 19:00:00,12.56,12.56,12.56,12.56,0,12.56,0
2025-02-21 09:00:00,12.52,12.73,12.49,12.6,73,12.579,33
2025-02-21 10:00:00,12.58,12.64,12.16,12.2,77,12.452,54
2025-02-21 11:00:00,12.16,12.17,12.03,12.03,53,12.085,25
2025-02-21 12:00:00,12.05,12.11,12.01,12.01,45,12.051,19
2025-02-21 13:00:00,11.97,11.97,11.8,11.8,57,11.861,28
2025-02-21 14:00:00,11.81,11.85,11.7,11.7,16,11.746,13
2025-02-21 15:00:00,11.73,11.78,11.54,11.55,72,11.65,48
2025-02-21 16:00:00,11.54,11.54,11.54,11.54,46,11.54,1
2025-02-21 17:00:00,11.54,11.54,11.54,11.54,0,11.54,0
2025-02-21 18:00:00,11.54,11.54,11.54,11.54,0,11.54,0
2025-02-21 19:00:00,11.54,11.54,11.54,11.54,0,11.54,0
2025-02-24 09:00:00,11.55,11.64,11.51,11.55,34,11.551,16
2025-02-24 10:00:00,11.52,11.52,11.01,11.14,243,11.275,109
2025-02-24 11:00:00,11.14,11.15,10.55,10.55,103,10.893,73
2025-02-24 12:00:00,10.5,10.5,10.29,10.45,32,10.398,22
2025-02-24 13:00:00,10.47,10.6,10.42,10.6,22,10.456,18
2025-02-24 14:00:00,10.6,10.69,10.48,10.62,47,10.585,34
2025-02-24 15:00:00,10.68,10.68,10.5,10.56,87,10.598,40
2025-02-24 16:00:00,10.55,10.55,10.55,10.55,36,10.55,1
2025-02-24 17:00:00,10.55,10.55,10.55,10.55,0,10.55,0
2025-02-24 18:00:00,10.55,10.55,10.55,10.55,0,10.55,0
2025-02-24 19:00:00,10.55,10.55,10.55,10.55,0,10.55,0
2025-02-25 09:00:00,10.81,11.45,10.81,11.38,156,11.213,65
2025-02-25 10:00:00,11.32,11.5,11.29,11.48,83,11.387,60
2025-02-25 11:00:00,11.44,11.45,11.21,11.31,121,11.306,59
2025-02-25 12:00:00,11.31,11.44,11.24,11.41,80,11.332,28
2025-02-25 13:00:00,11.41,11.46,11.34,11.37,26,11.388,26
2025-02-25 14:00:00,11.38,11.41,11.3,11.41,23,11.339,19
2025-02-25 15:00:00,11.42,11.58,11.38,11.4,114,11.473,86
2025-02-25 16:00:00,11.44,11.44,11.44,11.44,43,11.44,1
2025-02-25 17:00:00,11.44,11.44,11.44,11.44,0,11.44,0
2025-02-25 18:00:00,11.44,11.44,11.44,11.44,0,11.44,0
2025-02-25 19:00:00,11.44,11.44,11.44,11.44,0,11.44,0
2025-02-26 09:00:00,11.62,11.97,11.62,11.7,55,11.769,33
2025-02-26 10:00:00,11.83,11.97,11.77,11.79,23,11.851,22
2025-02-26 11:00:00,11.8,11.91,11.8,11.8,32,11.846,21
2025-02-26 12:00:00,11.85,11.86,11.7,11.7,30,11.816,19
2025-02-26 13:00:00,11.7,11.7,11.56,11.56,49,11.63,28
2025-02-26 14:00:00,11.59,11.6,11.5,11.5,53,11.555,38
2025-02-26 15:00:00,11.48,11.56,11.4,11.54,59,11.458,48
2025-02-26 16:00:00,11.51,11.51,11.51,11.51,48,11.51,1
2025-02-26 17:00:00,11.51,11.51,11.51,11.51,0,11.51,0
2025-02-26 18:00:00,11.51,11.51,11.51,11.51,0,11.51,0
2025-02-26 19:00:00,11.51,11.51,11.51,11.51,0,11.51,0
2025-02-27 09:00:00,11.43,11.43,11.25,11.3,67,11.375,21
2025-02-27 10:00:00,11.27,11.59,11.19,11.52,25,11.397,18
2025-02-27 11:00:00,11.52,11.52,11.45,11.45,10,11.484,9
2025-02-27 12:00:00,11.42,11.42,11.32,11.36,29,11.349,29
