date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,7.15,7.17,6.89,6.92,4232,6.98,2262
2024-05-28 00:00:00,6.94,7.11,6.88,7.05,3847,7.014,2268
2024-05-29 00:00:00,6.96,7.07,6.87,6.89,4666,6.954,2859
2024-05-30 00:00:00,7.0,7.29,6.98,7.22,5955,7.197,3769
2024-05-31 00:00:00,7.27,7.87,7.17,7.66,6281,7.661,4232
2024-06-03 00:00:00,7.7,7.82,7.64,7.79,5028,7.748,3281
2024-06-04 00:00:00,7.73,7.95,7.71,7.79,6638,7.822,4082
2024-06-05 00:00:00,7.76,7.77,7.48,7.7,3197,7.631,1979
2024-06-06 00:00:00,7.64,7.79,7.55,7.61,2850,7.682,1796
2024-06-07 00:00:00,7.49,7.67,7.43,7.55,5641,7.537,3130
2024-06-10 00:00:00,7.45,7.45,7.19,7.28,5058,7.285,3235
2024-06-11 00:00:00,7.23,7.44,7.18,7.38,2951,7.359,2043
2024-06-12 00:00:00,7.6,7.63,7.23,7.27,3914,7.373,2511
2024-06-13 00:00:00,7.22,7.23,6.87,7.01,4361,7.029,2539
2024-06-14 00:00:00,6.99,7.0,6.9,6.91,2890,6.935,1721
2024-06-17 00:00:00,6.87,7.12,6.82,7.05,4498,7.022,2998
2024-06-18 00:00:00,7.04,7.1,6.92,6.97,3819,6.992,2511
2024-06-20 00:00:00,6.9,7.04,6.86,6.89,3925,6.947,2407
2024-06-21 00:00:00,6.91,7.16,6.91,7.04,8026,7.034,3696
2024-06-24 00:00:00,7.04,7.2,6.95,7.0,4312,7.051,2615
2024-06-25 00:00:00,6.98,6.99,6.61,6.72,8958,6.728,4412
2024-06-26 00:00:00,6.61,6.77,6.56,6.72,3393,6.694,2070
2024-06-27 00:00:00,6.74,6.81,6.63,6.69,3601,6.692,1957
2024-06-28 00:00:00,6.76,6.96,6.69,6.91,6772,6.831,3519
2024-07-01 00:00:00,6.9,7.13,6.89,6.96,5119,7.007,3357
2024-07-02 00:00:00,6.99,7.06,6.88,6.95,4446,6.977,2394
2024-07-03 00:00:00,6.97,7.05,6.93,6.98,4831,7.003,2374
2024-07-05 00:00:00,6.97,7.02,6.84,7.01,4432,6.967,2460
2024-07-08 00:00:00,7.08,7.24,7.03,7.17,4572,7.145,2548
2024-07-09 00:00:00,7.14,7.19,6.68,6.9,8057,6.916,3784
2024-07-10 00:00:00,6.89,6.96,6.79,6.82,4355,6.863,2455
2024-07-11 00:00:00,6.93,7.12,6.87,7.05,4973,7.023,3179
2024-07-12 00:00:00,7.16,7.18,7.0,7.13,4343,7.083,2952
2024-07-15 00:00:00,7.18,7.18,6.98,7.13,4829,7.074,2985
2024-07-16 00:00:00,7.23,7.54,7.16,7.53,5729,7.362,3592
2024-07-17 00:00:00,7.49,7.78,7.49,7.74,5165,7.691,3129
2024-07-18 00:00:00,7.74,8.13,7.64,7.66,5757,7.843,3034
2024-07-19 00:00:00,7.65,7.72,7.34,7.42,3894,7.444,2413
2024-07-22 00:00:00,7.43,7.71,7.29,7.67,4187,7.562,2681
2024-07-23 00:00:00,7.64,7.64,7.42,7.49,3130,7.493,2030
2024-07-24 00:00:00,7.44,7.59,7.36,7.37,3191,7.446,2141
2024-07-25 00:00:00,7.43,7.67,7.42,7.44,4654,7.527,2513
2024-07-26 00:00:00,7.57,7.6,7.36,7.43,5204,7.43,2889
2024-07-29 00:00:00,7.71,7.88,7.27,7.42,3945,7.381,2518
2024-07-30 00:00:00,7.37,7.67,7.28,7.61,4224,7.527,2165
2024-07-31 00:00:00,7.63,7.93,7.59,7.74,5032,7.757,3154
2024-08-01 00:00:00,7.71,7.84,7.48,7.64,4330,7.593,2973
2024-08-02 00:00:00,7.48,7.83,7.45,7.74,3304,7.712,2302
2024-08-05 00:00:00,7.41,7.56,7.28,7.42,5244,7.412,3495
2024-08-06 00:00:00,7.43,7.58,7.35,7.46,3914,7.474,2580
2024-08-07 00:00:00,7.51,7.6,7.28,7.29,4347,7.403,2719
2024-08-08 00:00:00,7.3,7.46,7.28,7.38,3724,7.385,2486
2024-08-09 00:00:00,7.36,7.37,6.97,7.08,4810,7.074,2875
2024-08-12 00:00:00,7.1,7.11,6.35,6.36,6769,6.587,3930
2024-08-13 00:00:00,6.35,6.78,6.35,6.73,6034,6.615,3729
2024-08-14 00:00:00,6.78,6.84,6.65,6.75,6368,6.77,3125
2024-08-15 00:00:00,6.84,6.94,6.81,6.86,5158,6.858,3168
