date,open,high,low,close,volume,average,barCount
2025-02-05,4.39,5.32,3.81,3.84,17432,4.399,5364
2025-02-06,3.74,4.18,3.7,3.76,4376,3.805,1128
2025-02-07,3.71,5.12,3.7,5.12,3247,4.228,802
2025-02-10,4.25,4.5,3.8,4.2,2279,4.057,794
2025-02-11,4.1,4.1,3.76,3.76,2716,3.888,875
2025-02-12,3.7,3.97,3.7,3.72,1661,3.771,363
2025-02-13,3.75,4.17,3.71,3.97,1650,3.91,570
2025-02-14,4.25,4.39,3.94,4.09,585,4.165,242
2025-02-18,4.19,4.2,3.75,3.8,942,3.907,338
2025-02-19,3.99,4.38,3.8,4.13,953,4.057,390
2025-02-20,4.11,4.2,3.9,4.11,177,4.048,102
2025-02-21,4.1,4.43,3.87,3.95,4927,4.153,608
2025-02-24,4.0,4.19,3.75,4.11,1228,3.987,249
2025-02-25,4.11,4.44,3.92,4.05,4692,4.169,643
2025-02-26,4.0,4.93,3.97,4.25,3666,4.37,888
2025-02-27,4.18,4.86,4.18,4.56,1710,4.649,353
2025-02-28,4.84,4.93,4.5,4.6,972,4.783,160
2025-03-03,4.6,4.67,4.19,4.19,122,4.387,49
2025-03-04,4.2,5.04,3.9,5.0,1699,4.663,548
2025-03-05,4.73,6.16,4.7,5.65,1774,5.505,793
2025-03-06,5.46,5.79,5.39,5.4,465,5.55,74
2025-03-07,5.4,5.8,5.4,5.73,107,5.608,38
2025-03-10,5.75,5.78,5.41,5.66,119,5.538,42
2025-03-11,5.56,5.98,5.43,5.96,116,5.717,41
2025-03-12,6.09,6.09,5.66,5.86,77,5.892,29
2025-03-13,5.65,6.5,5.64,6.45,80,6.13,42
2025-03-14,6.58,8.8,6.58,8.4,592,7.661,280
2025-03-17,8.4,10.98,7.62,10.08,1632,9.758,605
2025-03-18,9.89,10.76,7.02,8.13,1038,8.599,472
2025-03-19,7.66,8.33,6.94,7.1,679,7.582,267
2025-03-20,7.19,7.41,6.45,6.55,393,6.853,151
2025-03-21,6.36,7.89,5.4,6.55,799,6.686,282
2025-03-24,6.56,7.0,6.38,6.4,330,6.797,91
2025-03-25,6.7,6.84,5.59,5.96,1866,6.561,327
2025-03-26,5.91,9.16,5.91,7.2,3617,7.254,974
