date,open,high,low,close,volume,average,barCount
2025-02-05 00:00:00,4.39,5.32,3.81,3.84,17432,4.399,5364
2025-02-06 00:00:00,3.74,4.18,3.7,3.76,4376,3.805,1128
2025-02-07 00:00:00,3.71,5.12,3.7,5.12,3247,4.228,802
2025-02-10 00:00:00,4.25,4.5,3.8,4.2,2279,4.057,794
2025-02-11 00:00:00,4.1,4.1,3.76,3.76,2716,3.888,875
2025-02-12 00:00:00,3.7,3.97,3.7,3.72,1661,3.771,363
2025-02-13 00:00:00,3.75,4.17,3.71,3.97,1650,3.91,570
2025-02-14 00:00:00,4.25,4.39,3.94,4.09,585,4.165,242
2025-02-18 00:00:00,4.19,4.2,3.75,3.8,942,3.907,338
2025-02-19 00:00:00,3.99,4.38,3.8,4.13,953,4.057,390
2025-02-20 00:00:00,4.11,4.2,3.9,4.11,177,4.048,102
2025-02-21 00:00:00,4.1,4.43,3.87,3.95,4927,4.153,608
2025-02-24 00:00:00,4.0,4.19,3.75,4.11,1228,3.987,249
2025-02-25 00:00:00,4.11,4.44,3.92,4.05,4692,4.169,643
2025-02-26 00:00:00,4.0,4.93,3.97,4.25,3666,4.37,888
2025-02-27 00:00:00,4.18,4.86,4.18,4.56,1710,4.649,353
2025-02-28 00:00:00,4.84,4.93,4.5,4.6,972,4.783,160
2025-03-03 00:00:00,4.6,4.67,4.19,4.19,122,4.387,49
2025-03-04 00:00:00,4.2,5.04,3.9,5.0,1699,4.663,548
2025-03-05 00:00:00,4.73,6.16,4.7,5.65,1774,5.505,793
2025-03-05 09:00:00,4.73,4.89,4.73,4.73,20,4.791,11
2025-03-05 10:00:00,4.73,4.73,4.7,4.71,13,4.714,5
2025-03-05 11:00:00,4.77,4.77,4.77,4.77,4,4.77,2
2025-03-05 12:00:00,4.77,4.77,4.77,4.77,0,4.77,0
2025-03-05 13:00:00,4.85,6.16,4.76,5.61,1433,5.499,631
2025-03-05 14:00:00,5.64,5.8,5.5,5.57,219,5.64,95
2025-03-05 15:00:00,5.52,5.67,5.52,5.67,82,5.602,49
2025-03-05 16:00:00,5.65,5.65,5.65,5.65,1,5.65,1
2025-03-05 17:00:00,5.64,5.64,5.64,5.64,5,5.64,1
2025-03-05 18:00:00,5.64,5.64,5.64,5.64,0,5.64,0
2025-03-05 19:00:00,5.64,5.64,5.64,5.64,0,5.64,0
2025-03-06 00:00:00,5.46,5.79,5.39,5.4,465,5.55,74
2025-03-06 09:00:00,5.46,5.79,5.42,5.69,152,5.64,25
2025-03-06 10:00:00,5.5,5.74,5.39,5.59,222,5.508,24
2025-03-06 11:00:00,5.61,5.61,5.51,5.58,12,5.559,8
2025-03-06 12:00:00,5.58,5.58,5.5,5.5,48,5.505,4
2025-03-06 13:00:00,5.61,5.61,5.5,5.5,9,5.512,3
2025-03-06 14:00:00,5.52,5.52,5.4,5.4,3,5.44,3
2025-03-06 15:00:00,5.4,5.51,5.4,5.5,17,5.47,7
2025-03-06 16:00:00,5.4,5.4,5.4,5.4,1,5.4,1
2025-03-06 17:00:00,5.4,5.4,5.4,5.4,0,5.4,0
2025-03-06 18:00:00,5.4,5.4,5.4,5.4,0,5.4,0
2025-03-06 19:00:00,5.4,5.4,5.4,5.4,0,5.4,0
2025-03-07 00:00:00,5.4,5.8,5.4,5.73,107,5.608,38
2025-03-07 09:00:00,5.4,5.4,5.4,5.4,3,5.4,1
2025-03-07 10:00:00,5.6,5.6,5.46,5.49,13,5.5,4
2025-03-07 11:00:00,5.49,5.49,5.49,5.49,0,5.49,0
2025-03-07 12:00:00,5.52,5.65,5.52,5.65,12,5.54,7
2025-03-07 13:00:00,5.62,5.65,5.52,5.52,56,5.62,15
2025-03-07 14:00:00,5.8,5.8,5.8,5.8,1,5.8,1
2025-03-07 15:00:00,5.66,5.75,5.53,5.73,21,5.708,10
2025-03-07 16:00:00,5.73,5.73,5.73,5.73,0,5.73,0
2025-03-07 17:00:00,5.73,5.73,5.73,5.73,0,5.73,0
2025-03-07 18:00:00,5.73,5.73,5.73,5.73,0,5.73,0
2025-03-07 19:00:00,5.73,5.73,5.73,5.73,0,5.73,0
2025-03-10 00:00:00,5.75,5.78,5.41,5.66,119,5.538,42
2025-03-10 05:00:00,5.79,6.14,5.79,5.99,6,5.903,6
2025-03-10 06:00:00,5.99,5.99,5.99,5.99,0,5.99,0
2025-03-10 07:00:00,5.99,5.99,5.99,5.99,0,5.99,0
2025-03-10 08:00:00,5.79,5.79,5.41,5.52,40,5.511,6
2025-03-10 09:00:00,5.52,5.52,5.52,5.52,2,5.52,1
2025-03-10 10:00:00,5.6,5.7,5.43,5.43,15,5.65,11
2025-03-10 11:00:00,5.6,5.7,5.59,5.6,8,5.61,4
2025-03-10 12:00:00,5.66,5.69,5.54,5.55,9,5.581,3
2025-03-10 13:00:00,5.6,5.6,5.45,5.55,29,5.522,11
2025-03-10 14:00:00,5.51,5.6,5.5,5.59,18,5.513,7
2025-03-10 15:00:00,5.66,5.66,5.66,5.66,8,5.66,1
2025-03-10 16:00:00,5.66,5.66,5.66,5.66,0,5.66,0
2025-03-10 17:00:00,5.66,5.66,5.66,5.66,0,5.66,0
2025-03-10 18:00:00,5.66,5.66,5.66,5.66,0,5.66,0
2025-03-11 00:00:00,5.56,5.98,5.43,5.96,116,5.717,41
2025-03-11 08:00:00,5.56,5.56,5.5,5.5,10,5.55,2
2025-03-11 09:00:00,5.44,5.7,5.43,5.62,19,5.549,5
2025-03-11 10:00:00,5.55,5.71,5.55,5.71,6,5.664,3
2025-03-11 11:00:00,5.71,5.71,5.71,5.71,21,5.71,1
2025-03-11 12:00:00,5.44,5.44,5.44,5.44,8,5.44,1
2025-03-11 13:00:00,5.85,5.98,5.63,5.93,25,5.913,14
2025-03-11 14:00:00,5.88,5.93,5.77,5.93,24,5.831,15
2025-03-11 15:00:00,5.96,5.96,5.96,5.96,7,5.96,1
2025-03-11 16:00:00,5.96,5.96,5.96,5.96,0,5.96,0
2025-03-11 17:00:00,5.96,5.96,5.96,5.96,0,5.96,0
2025-03-11 18:00:00,5.96,5.96,5.96,5.96,0,5.96,0
2025-03-12 00:00:00,6.09,6.09,5.66,5.86,77,5.892,29
2025-03-12 08:00:00,6.09,6.09,5.66,5.9,14,5.917,5
2025-03-12 09:00:00,5.9,5.9,5.9,5.9,0,5.9,0
2025-03-12 10:00:00,5.96,5.96,5.8,5.81,39,5.913,6
2025-03-12 11:00:00,5.95,5.95,5.85,5.85,7,5.933,6
2025-03-12 12:00:00,5.7,5.72,5.7,5.72,2,5.711,2
2025-03-12 13:00:00,5.78,5.78,5.7,5.78,4,5.759,4
2025-03-12 14:00:00,5.84,5.89,5.71,5.86,8,5.821,6
2025-03-12 15:00:00,5.86,5.86,5.86,5.86,0,5.86,0
2025-03-12 16:00:00,5.86,5.86,5.86,5.86,0,5.86,0
2025-03-12 17:00:00,5.86,5.86,5.86,5.86,0,5.86,0
2025-03-12 18:00:00,5.66,5.66,5.66,5.66,3,5.66,1
2025-03-13 00:00:00,5.65,6.5,5.64,6.45,80,6.13,42
2025-03-13 07:00:00,5.6,5.6,5.6,5.6,1,5.6,1
2025-03-13 08:00:00,5.65,6.0,5.64,6.0,5,5.873,5
2025-03-13 09:00:00,5.98,6.0,5.97,6.0,5,5.991,4
2025-03-13 10:00:00,5.9,6.0,5.78,6.0,21,5.872,9
2025-03-13 11:00:00,5.86,5.87,5.86,5.86,3,5.862,1
2025-03-13 12:00:00,6.24,6.47,6.0,6.25,30,6.303,15
2025-03-13 13:00:00,6.48,6.5,6.38,6.38,7,6.468,5
2025-03-13 14:00:00,6.29,6.29,6.22,6.29,6,6.259,3
2025-03-13 15:00:00,6.45,6.45,6.45,6.45,9,6.45,1
2025-03-13 16:00:00,6.45,6.45,6.45,6.45,0,6.45,0
2025-03-13 17:00:00,6.45,6.45,6.45,6.45,0,6.45,0
2025-03-13 18:00:00,6.45,6.45,6.45,6.45,0,6.45,0
2025-03-14 00:00:00,6.58,8.8,6.58,8.4,592,7.661,280
2025-03-14 03:00:00,6.77,6.77,6.45,6.45,2,6.61,2
2025-03-14 04:00:00,6.99,6.99,6.99,6.99,1,6.99,1
2025-03-14 05:00:00,6.99,6.99,6.99,6.99,0,6.99,0
2025-03-14 06:00:00,6.99,6.99,6.99,6.99,0,6.99,0
2025-03-14 07:00:00,7.0,7.0,6.85,6.85,3,6.958,2
2025-03-14 08:00:00,6.58,7.2,6.58,7.09,162,6.983,69
2025-03-14 09:00:00,7.12,7.21,6.77,6.78,47,7.046,20
2025-03-14 10:00:00,7.06,7.42,7.05,7.37,30,7.32,15
2025-03-14 11:00:00,7.31,7.68,6.9,7.62,49,7.498,26
2025-03-14 12:00:00,7.62,8.23,7.55,8.23,71,7.809,27
2025-03-14 13:00:00,8.06,8.8,8.06,8.4,129,8.529,67
2025-03-14 14:00:00,8.29,8.38,7.32,8.38,100,8.004,56
2025-03-14 15:00:00,8.4,8.7,8.4,8.6,12,8.493,4
2025-03-14 16:00:00,8.6,8.6,8.6,8.6,2,8.6,1
2025-03-14 17:00:00,8.75,8.75,8.0,8.02,4,8.22,4
2025-03-14 18:00:00,7.62,7.62,7.62,7.62,1,7.62,1
2025-03-17 00:00:00,8.4,10.98,7.62,10.08,1632,9.758,605
2025-03-17 07:00:00,7.71,8.88,7.7,8.88,84,8.859,2
2025-03-17 08:00:00,8.4,9.0,7.62,8.62,240,8.445,65
2025-03-17 09:00:00,8.55,9.22,8.55,9.2,85,8.902,41
2025-03-17 10:00:00,9.22,10.0,9.2,9.66,89,9.67,61
2025-03-17 11:00:00,9.58,9.74,9.5,9.7,35,9.702,26
2025-03-17 12:00:00,9.68,10.98,9.64,10.41,189,10.274,81
2025-03-17 13:00:00,10.19,10.72,9.55,10.09,686,10.056,148
2025-03-17 14:00:00,10.0,10.6,9.62,9.99,305,10.074,183
2025-03-17 15:00:00,10.08,10.4,10.08,10.4,10,10.227,2
2025-03-17 16:00:00,10.38,10.38,10.38,10.38,1,10.38,1
2025-03-17 17:00:00,10.38,10.38,10.38,10.38,0,10.38,0
2025-03-17 18:00:00,10.1,10.1,10.1,10.1,2,10.1,1
2025-03-18 00:00:00,9.89,10.76,7.02,8.13,1038,8.599,472
2025-03-18 06:00:00,10.79,10.79,10.79,10.79,1,10.79,1
2025-03-18 07:00:00,10.11,10.11,10.11,10.11,8,10.11,1
2025-03-18 08:00:00,9.89,10.76,9.72,9.89,153,10.167,72
2025-03-18 09:00:00,9.92,10.18,8.69,8.8,127,9.485,41
2025-03-18 10:00:00,8.7,8.79,7.02,8.29,242,7.905,94
2025-03-18 11:00:00,8.4,8.41,7.63,8.0,138,8.024,79
2025-03-18 12:00:00,8.13,8.87,8.02,8.44,243,8.363,100
2025-03-18 13:00:00,8.41,8.75,8.29,8.4,27,8.45,23
2025-03-18 14:00:00,8.34,8.46,7.82,8.44,106,8.164,63
2025-03-18 15:00:00,8.13,8.13,7.77,7.78,15,8.076,3
2025-03-18 16:00:00,7.78,7.78,7.78,7.78,0,7.78,0
2025-03-18 17:00:00,7.78,7.78,7.78,7.78,0,7.78,0
2025-03-18 18:00:00,7.78,7.78,7.77,7.78,0,7.78,0
2025-03-19 00:00:00,7.66,8.33,6.94,7.1,679,7.582,267
2025-03-19 08:00:00,7.66,8.33,7.61,8.33,69,7.939,18
2025-03-19 09:00:00,8.0,8.3,7.9,7.92,76,8.128,36
2025-03-19 10:00:00,7.9,7.92,7.18,7.35,46,7.669,24
2025-03-19 11:00:00,7.3,7.62,7.16,7.41,104,7.406,48
2025-03-19 12:00:00,7.41,7.71,7.4,7.55,115,7.571,34
2025-03-19 13:00:00,7.5,7.9,7.0,7.0,223,7.468,97
2025-03-19 14:00:00,7.25,7.25,6.94,7.1,44,7.011,10
2025-03-19 15:00:00,7.1,7.1,7.1,7.1,7,7.1,1
2025-03-19 16:00:00,7.1,7.1,7.1,7.1,0,7.1,0
2025-03-19 17:00:00,7.1,7.1,7.09,7.1,4,7.1,3
2025-03-19 18:00:00,7.1,7.1,7.09,7.1,0,7.1,0
2025-03-20 00:00:00,7.19,7.41,6.45,6.55,393,6.853,151
2025-03-20 08:00:00,7.19,7.41,6.64,6.74,93,6.86,33
2025-03-20 09:00:00,7.0,7.23,6.88,6.9,52,7.024,36
2025-03-20 10:00:00,7.25,7.26,6.95,6.95,2,7.082,2
2025-03-20 11:00:00,7.08,7.37,6.78,6.99,97,7.059,34
2025-03-20 12:00:00,6.96,6.96,6.78,6.88,48,6.833,11
2025-03-20 13:00:00,6.93,6.93,6.47,6.6,47,6.564,19
2025-03-20 14:00:00,6.55,6.71,6.45,6.6,51,6.548,16
2025-03-20 15:00:00,6.55,6.55,6.55,6.55,12,6.55,1
2025-03-20 16:00:00,6.54,6.54,6.5,6.5,5,6.516,3
2025-03-20 17:00:00,6.5,6.5,6.5,6.5,0,6.5,0
2025-03-20 18:00:00,6.5,6.5,6.5,6.5,0,6.5,0
2025-03-21 00:00:00,6.36,7.89,5.4,6.55,799,6.686,282
2025-03-21 08:00:00,6.36,6.9,5.4,6.0,193,5.986,63
2025-03-21 09:00:00,6.4,7.89,6.0,7.18,139,6.65,50
2025-03-21 10:00:00,7.48,7.5,6.8,6.97,337,7.143,135
2025-03-21 11:00:00,6.86,6.87,6.31,6.63,12,6.538,10
