date,open,high,low,close,volume,average,barCount
2024-03-19,3.799,3.799,3.0,3.51,143,3.4688,234
2024-03-20,3.42,3.75,3.073,3.7,420,3.5669,353
2024-03-21,3.589,3.78,3.5,3.653,46,3.7268,69
2024-03-22,3.3,3.76,3.3,3.73,89,3.587,138
2024-03-25,3.66,3.861,3.5,3.8,44,3.6676,85
2024-03-26,3.64,4.21,3.64,3.72,308,3.9265,513
2024-03-27,3.889,4.65,3.712,4.49,1230,4.2656,1575
2024-03-28,4.385,4.385,4.026,4.051,301,4.1612,365
2024-04-01,4.35,4.399,4.0,4.054,423,4.2003,493
2024-04-02,3.9,3.9,3.0,3.188,915,3.2311,1028
2024-04-03,3.214,3.35,3.0,3.06,333,3.0675,473
2024-04-04,3.0,3.098,2.734,2.83,190,2.9291,323
2024-04-05,2.827,3.009,2.75,2.8,83,2.837,150
2024-04-08,2.76,3.0,2.625,2.774,147,2.7329,171
2024-04-09,2.9,3.199,2.801,3.131,142,2.9559,225
2024-04-10,2.911,3.107,2.9,2.953,81,2.9468,109
2024-04-11,2.953,2.999,2.607,2.96,135,2.8227,219
2024-04-12,2.87,2.95,2.665,2.75,53,2.7609,77
2024-04-15,2.78,2.8,2.412,2.51,178,2.5186,201
2024-04-16,2.41,2.44,2.159,2.2,266,2.2944,240
2024-04-17,2.2,2.3,2.015,2.23,203,2.1094,194
2024-04-18,2.3,2.499,2.1,2.39,33,2.2312,79
2024-04-19,2.37,2.499,2.23,2.263,160,2.3656,132
2024-04-22,2.39,2.49,2.2,2.222,86,2.2594,149
2024-04-23,2.223,2.399,2.222,2.31,37,2.3035,112
2024-04-24,2.43,2.43,2.207,2.298,48,2.2639,93
2024-04-25,2.21,2.499,2.15,2.35,275,2.2808,337
2024-04-26,2.254,2.323,2.16,2.21,28,2.2686,62
2024-04-29,2.35,2.48,2.235,2.4,122,2.3808,145
2024-04-30,2.41,2.6,2.224,2.355,196,2.3363,135
2024-05-01,2.36,2.52,2.36,2.499,10,2.402,39
2024-05-02,2.5,2.5,2.276,2.328,113,2.344,180
2024-05-03,2.264,2.436,2.212,2.32,59,2.2919,144
2024-05-06,2.338,2.4,2.21,2.21,111,2.2812,177
2024-05-07,2.32,2.4,2.249,2.249,14,2.3304,41
2024-05-08,2.25,2.37,2.212,2.287,10,2.2926,40
2024-05-09,2.2,2.3,1.905,2.102,262,1.9921,124
2024-05-10,2.308,2.309,2.101,2.113,35,2.1491,167
2024-05-13,2.198,2.269,2.052,2.195,189,2.1538,198
2024-05-14,2.16,2.35,2.06,2.204,72,2.2178,108
2024-05-15,2.25,2.45,2.174,2.3,123,2.3301,212
2024-05-16,2.3,2.599,2.3,2.4,94,2.4885,269
2024-05-17,2.545,2.595,2.4,2.43,180,2.5042,185
2024-05-20,2.44,2.475,2.2,2.299,125,2.2717,175
2024-05-21,6.441,14.9,5.5,12.5,250301,9.7019,321518
2024-05-22,15.3,18.3,10.6,11.6,44644,13.8192,86587
2024-05-23,7.845,8.168,6.5,7.211,5542,7.1967,9760
2024-05-24,6.7,7.1,5.67,5.93,3007,6.088,4080
2024-05-28,5.896,7.2,5.5,6.562,2837,6.2778,4439
2024-05-29,5.669,6.58,5.669,6.468,1242,6.094,2272
2024-05-30,5.98,7.111,5.81,6.875,1258,6.6687,2318
2024-05-31,6.4,6.55,5.9,5.95,553,6.1358,974
2024-06-03,6.0,6.0,5.156,5.399,370,5.4763,740
2024-06-04,5.237,5.612,5.023,5.105,545,5.2584,729
2024-06-05,4.883,5.03,4.238,4.699,518,4.6394,753
2024-06-06,4.692,4.7,4.161,4.2,484,4.3342,748
2024-06-07,4.033,4.24,3.81,4.05,322,4.0106,627
2024-06-10,4.085,4.1,3.9,3.999,242,3.9827,391
2024-06-11,3.9,4.249,3.9,4.238,179,4.099,301
2024-06-12,4.0,5.933,4.0,4.79,3314,5.2337,4294
2024-06-13,5.2,5.6,4.755,5.4,742,5.1301,1056
2024-06-14,5.01,5.2,4.6,4.81,287,4.8171,574
2024-06-17,4.666,4.792,4.505,4.6,121,4.6511,219
2024-06-18,4.79,4.998,4.53,4.584,179,4.7109,230
2024-06-20,13.8,17.3,6.88,7.49,109582,11.8166,184593
2024-06-21,6.427,7.3,6.33,7.103,3413,6.8867,6877
2024-06-24,6.675,7.7,5.28,7.043,2549,6.8718,5877
2024-06-25,6.55,6.646,6.117,6.15,811,6.3342,1325
2024-06-26,5.52,5.844,5.2,5.5,655,5.5233,1150
2024-06-27,5.5,6.375,5.353,5.843,718,5.9044,764
2024-06-28,5.931,6.06,5.51,5.699,309,5.8088,592
2024-07-01,5.659,5.949,5.1,5.378,392,5.3965,417
2024-07-02,5.4,5.7,5.21,5.217,147,5.4793,310
2024-07-03,5.026,5.371,5.026,5.14,215,5.1519,228
2024-07-05,5.48,5.5,5.1,5.2,139,5.2839,205
2024-07-08,5.224,5.295,4.94,5.19,156,5.1267,255
2024-07-09,5.28,5.28,5.017,5.169,153,5.0823,218
2024-07-10,5.174,5.5,5.1,5.34,256,5.3349,298
2024-07-11,5.21,5.67,5.1,5.185,145,5.3429,283
2024-07-12,5.16,5.6,5.004,5.216,571,5.2929,739
2024-07-15,5.1,6.704,5.1,5.288,2534,5.886,4598
2024-07-16,5.004,5.676,5.004,5.29,610,5.2401,1671
2024-07-17,5.23,5.4,4.8,4.941,723,5.0486,2064
2024-07-18,4.47,4.59,3.7,3.93,2233,4.16227,614
2024-07-19,3.78,4.18,3.33,3.46,814,3.56214,284
2024-07-22,3.78,3.78,3.2,3.35,785,3.44696,199
2024-07-23,3.22,4.95,2.8,3.43,13421,4.1821,4504
2024-07-24,3.37,3.75,3.2,3.42,2460,3.47029,940
2024-07-25,3.27,3.45,3.18,3.32,807,3.32836,293
2024-07-26,3.59,3.72,3.23,3.23,1134,3.45665,319
2024-07-29,3.36,3.46,2.94,2.96,1330,3.09427,392
2024-07-30,2.96,3.02,2.66,2.76,1142,2.81438,289
2024-07-31,2.86,3.0,2.74,2.76,678,2.81139,207
2024-08-01,2.69,2.76,2.33,2.49,1329,2.5436,367
2024-08-02,2.42,2.66,2.42,2.63,582,2.52136,187
2024-08-05,3.65,4.57,3.29,3.76,393686,3.87812,112871
2024-08-06,3.63,4.17,3.01,3.3,14715,3.7328,4468
2024-08-07,3.11,3.3,2.34,2.43,4202,2.76505,1723
2024-08-08,2.55,5.7,2.53,3.7,292428,4.32118,98998
2024-08-09,5.6,6.99,4.61,6.12,427207,5.57073,138878
2024-08-12,5.96,6.52,4.48,5.48,33751,5.60026,10777
2024-08-13,5.0,5.26,4.56,5.02,5946,4.90675,1763
2024-08-14,4.64,5.54,4.64,5.22,4204,5.20163,1417
2024-08-15,5.07,5.67,4.85,5.54,5371,5.3301,1653
2024-08-16,5.2,5.81,5.1,5.17,3621,5.35829,1014
2024-08-19,5.17,5.4,5.17,5.35,2106,5.22906,653
2024-08-20,5.13,5.2,4.5,4.58,2374,4.80008,603
2024-08-21,4.55,4.66,4.34,4.45,546,4.51755,148
2024-08-22,4.39,4.6,3.66,3.88,2998,3.97954,771
2024-08-23,4.06,4.09,3.78,3.95,597,3.96498,200
2024-08-26,3.96,4.06,3.84,3.89,530,3.96604,137
2024-08-27,3.83,4.02,3.67,3.72,506,3.77729,161
2024-08-28,3.66,3.73,3.5,3.5,476,3.59782,162
2024-08-29,3.49,3.5,3.27,3.3,399,3.37098,129
2024-08-30,3.27,3.27,3.01,3.01,524,3.11669,137
2024-09-03,3.0,3.09,2.65,2.72,951,2.78679,366
2024-09-04,2.69,2.87,2.55,2.56,932,2.68219,298
2024-09-05,2.55,2.76,2.2,2.38,3261,2.59202,733
2024-09-06,2.55,2.65,2.06,2.14,1833,2.24362,502
2024-09-09,2.23,2.5,2.15,2.48,1675,2.34044,388
2024-09-10,2.46,2.7,2.4,2.59,1029,2.57001,280
2024-09-11,2.52,2.57,2.41,2.45,1031,2.50121,314
2024-09-12,2.44,2.56,2.41,2.43,376,2.48714,100
2024-09-13,2.42,3.22,2.42,2.86,4070,2.90957,1142
2024-09-16,2.84,2.85,2.57,2.68,1541,2.71093,562
2024-09-17,2.64,2.96,2.61,2.83,1328,2.80543,337
2024-09-18,2.79,2.9,2.65,2.65,551,2.78056,133
2024-09-19,2.74,2.86,2.65,2.77,606,2.76054,186
2024-09-20,2.73,2.85,2.62,2.62,771,2.69451,203
2024-09-23,2.6,2.68,2.5,2.57,663,2.62047,165
2024-09-24,2.56,3.08,2.56,2.72,2106,2.84964,510
2024-09-25,2.72,2.9,2.67,2.87,963,2.78337,250
2024-09-26,2.88,2.93,2.75,2.75,230,2.8469,77
2024-09-27,2.76,2.9,2.68,2.73,221,2.7557,59
2024-09-30,2.69,2.97,2.69,2.96,1145,2.84351,326
2024-10-01,2.92,2.99,2.65,2.7,827,2.81723,247
2024-10-02,2.7,2.84,2.58,2.6,956,2.68978,244
2024-10-03,2.58,2.71,2.58,2.69,371,2.62644,96
2024-10-04,2.74,2.75,2.6,2.63,540,2.67448,61
2024-10-07,2.58,2.63,2.36,2.42,1164,2.48869,371
2024-10-08,2.44,2.48,2.37,2.42,373,2.4341,91
2024-10-09,2.44,2.47,2.38,2.4,151,2.42146,61
2024-10-10,2.41,2.61,2.38,2.52,1686,2.50998,365
2024-10-11,2.69,2.76,2.55,2.65,1235,2.65054,261
2024-10-14,2.63,2.79,2.49,2.68,911,2.66773,300
2024-10-15,2.79,2.79,2.47,2.58,1097,2.57748,199
2024-10-16,2.55,2.73,2.5,2.59,876,2.60971,208
2024-10-17,2.6,2.65,2.47,2.58,648,2.55533,163
2024-10-18,2.56,2.62,2.51,2.6,155,2.57013,62
2024-10-21,2.58,2.88,2.54,2.8,1215,2.69954,298
2024-10-22,2.79,2.86,2.59,2.67,712,2.72785,232
2024-10-23,2.67,2.75,2.38,2.47,1080,2.55294,236
2024-10-24,2.51,2.58,2.38,2.56,1491,2.45454,460
2024-10-25,2.53,2.53,2.41,2.47,291,2.48198,82
2024-10-28,2.51,2.56,2.45,2.49,456,2.51339,124
2024-10-29,2.42,2.53,2.42,2.43,142,2.46672,41
2024-10-30,2.45,2.54,2.43,2.48,638,2.4614,160
2024-10-31,2.42,2.51,2.4,2.43,940,2.4414,199
2024-11-01,2.47,2.52,2.42,2.49,157,2.46686,66
2024-11-04,2.47,2.61,2.45,2.55,334,2.53429,115
2024-11-05,2.45,2.73,2.45,2.61,1689,2.62231,332
2024-11-06,2.61,2.68,2.54,2.61,366,2.60458,85
2024-11-07,2.63,2.67,2.54,2.58,480,2.58836,119
2024-11-08,2.58,2.65,2.47,2.5,466,2.54515,156
2024-11-11,2.6,2.6,2.46,2.49,450,2.49906,127
2024-11-12,2.51,2.6,2.5,2.56,324,2.55207,84
2024-11-13,2.53,2.56,2.35,2.36,354,2.42493,129
2024-11-14,2.37,2.43,2.3,2.41,304,2.34443,121
2024-11-15,2.41,2.47,2.35,2.42,154,2.39632,50
2024-11-18,2.41,2.5,2.41,2.5,165,2.44455,60
2024-11-19,2.44,2.5,2.35,2.37,200,2.40156,51
2024-11-20,2.39,2.44,2.35,2.39,200,2.38245,37
