date,open,high,low,close,volume,average,barCount
2025-02-18 04:00:00,0.6225,0.717,0.5042,0.53,61912,0.55466,7227
2025-02-18 05:00:00,0.5298,0.5545,0.4608,0.4924,27537,0.51332,3748
2025-02-18 06:00:00,0.492,0.56,0.49,0.537,18416,0.52103,2330
2025-02-18 07:00:00,0.5371,0.5844,0.5302,0.537,21060,0.56245,2821
2025-02-18 08:00:00,0.5431,0.6043,0.504,0.582,61331,0.57509,6026
2025-02-18 09:00:00,0.5821,0.615,0.513,0.5233,191049,0.55337,13001
2025-02-18 10:00:00,0.5225,0.5552,0.5,0.5131,138151,0.52534,9363
2025-02-18 11:00:00,0.5132,0.52,0.48,0.4824,129056,0.49367,9055
2025-02-18 12:00:00,0.4824,0.5,0.47,0.4768,72049,0.48288,5291
2025-02-18 13:00:00,0.4764,0.478,0.4058,0.4065,120843,0.44208,8459
2025-02-18 14:00:00,0.4061,0.4246,0.4,0.4184,91006,0.40896,6236
2025-02-18 15:00:00,0.4178,0.4889,0.412,0.4752,110415,0.45675,8657
2025-02-18 16:00:00,0.465,0.4789,0.45,0.4505,11996,0.46732,1058
2025-02-18 17:00:00,0.4587,0.4689,0.42,0.4397,11639,0.44079,1145
2025-02-18 18:00:00,0.44,0.454,0.43,0.4489,3826,0.44215,223
2025-02-18 19:00:00,0.449,0.45,0.41,0.4106,6443,0.43019,579
2025-02-19 04:00:00,0.45,0.4558,0.3731,0.3778,30289,0.39331,3282
2025-02-19 05:00:00,0.3778,0.3835,0.358,0.3833,20496,0.3694,1828
2025-02-19 06:00:00,0.3832,0.3853,0.3658,0.3789,8096,0.37466,979
2025-02-19 07:00:00,0.3788,0.4064,0.3727,0.3911,12997,0.39288,1518
2025-02-19 08:00:00,0.38,0.46,0.3765,0.417,36994,0.41098,2930
2025-02-19 09:00:00,0.417,0.4177,0.3408,0.3588,138553,0.36689,8848
2025-02-19 10:00:00,0.358,0.367,0.3334,0.3405,116262,0.35106,8223
2025-02-19 11:00:00,0.341,0.3567,0.33,0.3555,88470,0.33808,6113
2025-02-19 12:00:00,0.3554,0.4599,0.3554,0.3908,350226,0.40869,21337
2025-02-19 13:00:00,0.3915,0.4096,0.3745,0.3891,58242,0.3946,4115
2025-02-19 14:00:00,0.381,0.4039,0.3803,0.4001,35942,0.39445,2424
2025-02-19 15:00:00,0.4001,0.4009,0.3501,0.3585,52406,0.37404,3319
2025-02-19 16:00:00,0.3501,0.45,0.3501,0.3855,68455,0.40802,4557
2025-02-19 17:00:00,0.3855,0.4198,0.355,0.36,44745,0.38965,3695
2025-02-19 18:00:00,0.3571,0.3703,0.3401,0.3478,18802,0.35153,1368
2025-02-20 04:00:00,4.0,7.8,0.72,5.36,23872,3.63824,8621
2025-02-20 05:00:00,5.36,5.56,3.86,5.0,5778,4.96708,1890
2025-02-20 06:00:00,5.0,8.0,4.9,7.54,10871,6.86489,5016
2025-02-20 07:00:00,7.55,8.12,6.95,7.78,5355,7.58631,2392
2025-02-20 08:00:00,7.54,9.99,7.0,9.39,17776,9.18734,7801
2025-02-20 09:00:00,9.39,10.04,6.24,6.24,18553,8.73921,5621
2025-02-20 10:00:00,5.5,6.96,4.32,6.42,28807,5.86791,8107
2025-02-20 11:00:00,6.38,6.5,5.66,6.0,11146,6.06597,3522
2025-02-20 12:00:00,6.01,6.05,5.01,5.25,6385,5.44858,2051
2025-02-20 13:00:00,5.25,5.7,4.92,5.7,5741,5.21522,2115
2025-02-20 14:00:00,5.68,5.77,5.42,5.5,5189,5.58974,1958
2025-02-20 15:00:00,5.49,6.0,4.92,5.95,9491,5.41828,3144
2025-02-20 16:00:00,5.95,5.95,5.16,5.2,1447,5.64053,437
2025-02-20 17:00:00,5.16,5.26,4.93,5.0,1011,5.07729,373
2025-02-20 18:00:00,5.02,5.72,5.02,5.5,244,5.30296,94
2025-02-20 19:00:00,5.49,5.7,5.21,5.5,150,5.45692,71
2025-02-21 04:00:00,5.95,7.37,4.89,6.73,5903,6.61229,3111
2025-02-21 05:00:00,6.76,6.76,5.64,5.79,3148,6.13684,1506
2025-02-21 06:00:00,5.8,6.37,5.64,5.94,1429,5.99905,698
2025-02-21 07:00:00,5.91,6.45,5.72,6.24,1253,6.12152,491
2025-02-21 08:00:00,5.91,6.45,5.51,6.05,2953,6.0892,744
2025-02-21 09:00:00,6.01,6.12,5.12,5.39,6127,5.54429,1936
2025-02-21 10:00:00,5.37,5.8,5.17,5.61,4465,5.45936,1723
