date,open,high,low,close,volume,average,barCount
2024-05-28,9.42,9.53,9.25,9.33,24234,9.35333,6937
2024-05-29,9.15,9.26,8.92,9.04,31377,9.04004,9747
2024-05-30,9.1,9.35,9.099,9.21,29912,9.25812,8507
2024-05-31,9.19,9.26,8.95,9.1,28809,9.06514,9932
2024-06-03,9.25,9.3,9.07,9.18,23734,9.17201,9025
2024-06-04,9.02,9.02,8.68,8.76,36952,8.75982,14315
2024-06-05,8.77,9.05,8.67,8.94,27414,8.89991,9732
2024-06-06,8.94,9.25,8.905,9.21,21347,9.10319,8020
2024-06-07,8.69,8.73,8.14,8.24,70945,8.32402,20661
2024-06-10,8.29,8.2999,8.11,8.26,32602,8.22388,13247
2024-06-11,8.16,8.295,8.035,8.21,23047,8.16424,8493
2024-06-12,8.6,8.66,8.335,8.38,22574,8.43716,8341
2024-06-13,8.34,8.44,8.24,8.28,22378,8.32884,9560
2024-06-14,8.51,8.54,8.33,8.42,27416,8.41651,9564
2024-06-17,8.32,8.42,8.24,8.36,19100,8.34203,7795
2024-06-18,8.45,8.87,8.41,8.77,25322,8.70582,9594
2024-06-20,8.99,9.101,8.91,9.02,25442,9.00111,9122
2024-06-21,9.11,9.11,8.89,9.02,32252,9.00642,11292
2024-06-24,9.19,9.28,9.015,9.06,21697,9.11865,7746
2024-06-25,9.14,9.25,9.08,9.18,20435,9.17492,7287
2024-06-26,8.96,9.085,8.96,9.01,13586,9.01876,5625
2024-06-27,9.27,9.37,9.14,9.17,22941,9.22952,7521
2024-06-28,9.27,9.355,9.045,9.17,19613,9.15435,7044
2024-07-01,9.15,9.3,9.11,9.17,17477,9.18392,5763
2024-07-02,9.12,9.29,9.04,9.15,19499,9.13972,6473
2024-07-03,9.18,9.57,9.18,9.36,30320,9.4429,9013
2024-07-05,9.67,9.835,9.51,9.71,35559,9.70896,11278
2024-07-08,9.6,9.71,9.45,9.6,22904,9.57706,6975
2024-07-09,9.69,9.75,9.5701,9.63,21185,9.6649,6240
2024-07-10,9.75,9.81,9.64,9.69,23414,9.7024,7903
2024-07-11,10.07,10.1,9.76,10.01,40477,9.9623,11183
2024-07-12,9.7,9.82,9.61,9.62,46757,9.69419,11463
2024-07-15,9.52,9.68,9.3,9.45,37876,9.51424,13129
2024-07-16,10.02,11.04,9.945,10.97,102732,10.67419,30703
2024-07-17,10.96,10.96,10.46,10.54,46577,10.63476,18931
2024-07-18,10.52,10.585,10.06,10.13,45124,10.2014,13769
2024-07-19,9.6,9.79,9.295,9.36,52546,9.51176,16626
2024-07-22,9.325,9.345,8.98,9.04,37187,9.09404,11626
2024-07-23,9.12,9.16,9.025,9.09,30620,9.08663,8194
2024-07-24,9.24,9.29,8.9,8.94,49505,9.11426,14373
2024-07-25,8.66,8.67,8.41,8.48,64789,8.51305,18968
2024-07-26,8.73,8.96,8.6905,8.82,44855,8.84246,13517
2024-07-29,8.93,9.0,8.63,8.81,21841,8.77324,6974
2024-07-30,8.97,9.165,8.895,9.08,30999,9.02596,9495
2024-07-31,9.58,9.78,9.5,9.72,33072,9.66825,11011
2024-08-01,9.81,9.965,9.46,9.57,29317,9.6446,10314
2024-08-02,9.6,9.63,9.11,9.2,33252,9.30874,12019
2024-08-05,8.65,9.23,8.47,8.96,44939,8.89229,14397
2024-08-06,8.93,9.33,8.895,9.24,29191,9.1418,9174
2024-08-07,9.6,9.6,8.96,9.04,33920,9.23148,10463
2024-08-08,9.16,9.52,9.0503,9.43,32557,9.35258,11155
2024-08-09,9.55,9.59,9.33,9.5,22658,9.42483,8162
2024-08-12,9.55,9.68,9.455,9.65,24738,9.59303,8849
2024-08-13,9.79,10.09,9.77,10.0,27623,9.9898,8299
2024-08-14,10.04,10.0683,9.87,10.0,25666,9.96888,8040
2024-08-15,10.21,10.25,9.99,10.13,24774,10.13619,8154
2024-08-16,10.27,10.66,10.19,10.65,36653,10.44421,10213
2024-08-19,10.5,10.98,10.48,10.93,34710,10.8215,10050
2024-08-20,11.2,11.37,11.1094,11.22,28194,11.20179,9622
2024-08-21,11.16,11.23,10.96,11.16,21528,11.11072,6925
2024-08-22,10.85,10.86,10.44,10.53,26002,10.57411,9609
2024-08-23,10.57,10.58,10.23,10.37,49789,10.38235,15193
2024-08-26,10.52,10.55,10.21,10.24,32218,10.32479,10464
2024-08-27,10.47,10.49,10.165,10.25,41596,10.31516,14169
2024-08-28,10.21,10.26,10.06,10.21,41575,10.16251,15325
2024-08-29,10.36,10.4899,10.265,10.38,30595,10.39161,10512
2024-08-30,10.23,10.255,9.584,9.67,55331,9.81537,17753
2024-09-03,9.58,9.59,9.09,9.17,53823,9.20413,16841
2024-09-04,9.17,9.285,8.99,9.02,52910,9.10588,15945
2024-09-05,8.68,9.045,8.67,8.93,46303,8.90955,14490
2024-09-06,8.94,9.06,8.785,8.8,38583,8.9039,13469
2024-09-09,8.81,8.97,8.76,8.91,25536,8.89058,10130
2024-09-10,8.69,8.81,8.55,8.79,22421,8.67697,8487
2024-09-11,8.49,8.82,8.43,8.79,25073,8.64672,9192
2024-09-12,8.92,9.61,8.92,9.52,47578,9.39397,15072
2024-09-13,9.98,10.0,9.67,9.8,26500,9.81743,9539
2024-09-16,9.85,10.12,9.805,10.08,42339,10.02083,18227
2024-09-17,10.03,10.2,9.87,10.08,28764,10.0674,11390
2024-09-18,9.87,10.4147,9.74,9.8,40143,9.98077,16652
2024-09-19,10.0,10.05,9.795,9.86,21388,9.89831,8865
2024-09-20,10.13,10.4,10.09,10.29,40958,10.27399,12192
2024-09-23,10.65,10.806,10.51,10.51,30020,10.65797,9753
2024-09-24,10.6,10.84,10.43,10.8,21874,10.69001,7350
2024-09-25,10.61,10.79,10.59,10.69,19319,10.67809,7688
2024-09-26,10.8,10.96,10.66,10.81,18368,10.84801,7180
2024-09-27,11.02,11.08,10.74,10.8,29650,10.87435,11430
2024-09-30,10.38,10.415,10.085,10.17,28351,10.24213,10416
2024-10-01,10.53,10.89,10.49,10.84,30179,10.71777,10307
2024-10-02,10.64,10.755,10.45,10.58,24666,10.57791,9575
2024-10-03,10.08,10.22,9.85,9.94,35230,9.98319,11339
2024-10-04,9.73,9.989,9.64,9.85,20529,9.81741,7069
2024-10-07,9.56,9.59,9.35,9.38,24913,9.4335,8386
2024-10-08,9.24,9.36,9.135,9.34,19787,9.26472,7633
2024-10-09,9.16,9.32,9.12,9.3,16718,9.24825,6421
2024-10-10,9.42,10.065,9.42,10.02,46304,9.79965,16930
2024-10-11,10.04,10.15,9.91,9.96,20385,9.99054,7676
2024-10-14,9.59,9.82,9.545,9.78,27671,9.71751,8770
2024-10-15,9.89,10.065,9.7901,10.04,21783,9.96296,7462
2024-10-16,10.43,10.745,10.42,10.58,31017,10.58409,9905
2024-10-17,11.07,11.5987,11.005,11.45,53095,11.40158,14918
2024-10-18,11.3,11.84,11.28,11.78,44291,11.62934,13975
2024-10-21,12.0,12.22,11.88,12.04,43669,12.0774,12857
2024-10-22,12.04,12.29,12.02,12.23,22926,12.16875,8659
2024-10-23,11.59,11.65,11.385,11.51,36596,11.48744,11915
2024-10-24,11.68,11.69,11.3,11.6,24489,11.50039,9202
2024-10-25,11.46,11.475,11.223,11.28,24945,11.35158,8735
2024-10-28,11.11,11.34,11.06,11.18,19501,11.20157,6753
2024-10-29,11.12,11.42,11.12,11.37,27430,11.26457,7569
2024-10-30,11.45,11.47,11.115,11.28,18603,11.25915,7285
2024-10-31,10.94,10.98,10.635,10.84,22365,10.80399,8377
2024-11-01,10.93,11.075,10.56,10.57,19865,10.71108,6802
2024-11-04,10.63,10.765,10.47,10.55,13893,10.59655,4922
2024-11-05,10.8,10.94,10.6264,10.78,19438,10.74888,8391
2024-11-06,10.01,10.355,9.98,10.17,40203,10.17219,15690
2024-11-07,10.41,10.575,10.31,10.46,24102,10.43632,8256
2024-11-08,10.2,10.33,10.04,10.33,27500,10.21904,10337
2024-11-11,9.78,9.9499,9.27,9.36,50555,9.48282,16934
2024-11-12,9.28,9.33,8.9601,9.22,32145,9.11462,11693
2024-11-13,9.5,9.565,8.99,9.03,40039,9.15499,15750
2024-11-14,8.92,9.03,8.755,8.81,54526,8.85903,15288
2024-11-15,9.04,9.04,8.54,8.65,68463,8.68975,21102
2024-11-18,9.28,9.425,9.165,9.31,39983,9.30331,13446
2024-11-19,9.69,9.72,9.37,9.6,39114,9.54665,12802
2024-11-20,9.65,9.72,9.43,9.51,36454,9.53042,11928
2024-11-21,9.72,9.725,9.3701,9.57,40786,9.49254,11514
2024-11-22,9.96,9.96,9.59,9.63,41366,9.68807,12253
2024-11-25,9.33,9.35,9.1,9.2,37143,9.18895,10236
2024-11-26,9.12,9.31,9.12,9.26,21871,9.24539,6596
2024-11-27,9.33,9.37,9.04,9.07,31120,9.13773,8018
2024-11-29,9.09,9.265,9.045,9.19,24933,9.1802,7088
2024-12-02,9.09,9.1,8.9,8.92,30316,8.97494,7871
2024-12-03,9.01,9.35,8.99,9.18,33928,9.2122,7753
2024-12-04,9.11,9.14,8.8,8.97,44087,8.95213,9266
2024-12-05,8.91,9.0001,8.82,8.94,35807,8.90639,6762
2024-12-06,8.82,8.91,8.64,8.68,24985,8.75189,6731
2024-12-09,9.28,9.48,9.2,9.21,48184,9.34979,11763
2024-12-10,9.35,9.455,9.2126,9.29,43906,9.31665,9347
2024-12-11,9.36,9.705,9.29,9.56,40906,9.55295,9686
2024-12-12,9.325,9.465,9.14,9.14,38882,9.27557,8531
2024-12-13,9.08,9.145,8.815,8.95,34057,8.94079,11529
2024-12-16,9.0,9.02,8.83,8.88,19322,8.88592,6285
2024-12-17,8.57,8.795,8.54,8.69,33201,8.68096,9763
2024-12-18,8.65,8.74,8.25,8.3,47526,8.55611,11188
2024-12-19,8.49,8.53,8.27,8.34,47769,8.38706,10958
2024-12-20,8.42,8.59,8.39,8.43,50211,8.49487,11608
2024-12-23,8.29,8.455,8.21,8.37,46716,8.33893,10353
2024-12-24,8.4,8.41,8.19,8.32,22289,8.26538,4950
2024-12-26,8.31,8.41,8.275,8.31,23224,8.32624,5211
2024-12-27,8.19,8.315,8.08,8.24,35317,8.23266,7830
2024-12-30,8.16,8.21,7.97,8.14,41563,8.07637,8763
2024-12-31,8.11,8.28,8.08,8.21,28680,8.21677,5426
2025-01-02,8.42,8.58,8.37,8.48,45957,8.47139,10674
2025-01-03,8.5,8.52,8.33,8.34,40049,8.40125,8713
2025-01-06,8.5,8.505,8.235,8.25,47522,8.34098,11356
2025-01-07,8.56,8.6812,8.395,8.45,62474,8.52248,14639
2025-01-08,8.8,8.808,8.485,8.61,69372,8.60284,16955
2025-01-10,9.26,9.395,9.065,9.11,85997,9.18103,21545
2025-01-13,9.21,9.21,8.945,8.99,61055,9.04366,14945
2025-01-14,9.15,9.4978,9.1,9.44,70118,9.36032,15697
2025-01-15,9.79,9.81,9.375,9.55,67189,9.53422,13104
2025-01-16,9.8,9.81,9.4101,9.46,61575,9.58818,12414
2025-01-17,9.69,9.87,9.58,9.77,78888,9.76222,17309
2025-01-21,10.16,10.38,10.12,10.2,63530,10.232,17636
2025-01-22,10.56,10.6292,10.37,10.45,71796,10.52182,18890
2025-01-23,10.36,10.515,10.285,10.46,76419,10.42676,16644
2025-01-24,10.83,10.955,10.7399,10.87,69095,10.82293,14796
2025-01-27,10.69,10.75,10.38,10.52,64371,10.53955,14712
2025-01-28,10.75,10.79,10.3617,10.67,67684,10.50988,12517
2025-01-29,10.76,11.06,10.715,10.9,70383,10.90942,13170
2025-01-30,11.24,11.44,11.1298,11.35,61292,11.30728,12492
2025-01-31,11.38,11.53,11.17,11.27,78965,11.37922,15814
2025-02-03,11.64,12.0,11.505,11.8,88353,11.78906,20124
2025-02-04,11.78,11.93,11.705,11.85,63341,11.84356,14640
2025-02-05,11.93,12.14,11.79,11.89,73158,11.96785,18628
2025-02-06,11.96,12.14,11.76,12.14,72588,11.98013,13665
2025-02-07,12.17,12.28,11.95,12.0,85884,12.10624,18914
2025-02-10,12.38,12.485,12.23,12.35,81286,12.35358,16708
2025-02-11,12.08,12.39,12.015,12.1,46494,12.24661,11256
2025-02-12,11.9,12.06,11.63,11.88,83260,11.85111,18827
2025-02-13,11.84,11.95,11.655,11.94,56386,11.83266,12980
2025-02-14,11.77,11.82,11.38,11.42,68372,11.55094,16505
2025-02-18,11.38,11.51,11.305,11.44,52108,11.41764,11901
2025-02-19,11.1,11.19,11.02,11.17,38102,11.12168,10258
2025-02-20,11.52,12.02,11.51,11.72,62692,11.81766,14515
2025-02-21,11.34,11.34,10.78,10.82,67475,10.95232,16738
2025-02-24,11.06,11.24,10.91,11.13,74746,11.06939,14164
2025-02-25,11.04,11.09,10.65,10.88,58459,10.81143,12761
2025-02-26,10.55,10.995,10.5125,10.92,47332,10.86766,9871
2025-02-27,10.19,10.37,10.08,10.08,48925,10.2026,14995
2025-02-28,9.74,9.975,9.6901,9.95,41451,9.86862,11024
2025-03-03,10.19,10.36,9.95,10.0,50940,10.12221,14731
2025-03-04,10.21,10.72,9.925,10.51,68458,10.42247,19884
2025-03-05,10.31,10.88,10.31,10.84,61572,10.75265,15553
2025-03-06,10.7,11.04,10.68,10.85,41843,10.89625,12381
2025-03-07,11.32,11.9899,11.3,11.84,92788,11.82649,24693
2025-03-10,11.56,11.89,11.405,11.51,60827,11.6212,19736
2025-03-11,11.755,12.15,11.75,12.05,64551,11.98185,17575
2025-03-12,11.72,11.98,11.67,11.93,50984,11.84981,14040
2025-03-13,11.88,12.42,11.85,12.21,68775,12.22247,21418
2025-03-14,12.36,12.39,12.005,12.11,47698,12.11983,15236
2025-03-17,11.98,12.36,11.98,12.31,59881,12.20263,17396
2025-03-18,12.72,12.76,12.3901,12.45,65973,12.51786,19263
2025-03-19,12.54,12.665,12.38,12.63,61402,12.5542,16711
2025-03-20,12.74,13.02,12.68,12.85,61191,12.90757,17127
2025-03-21,12.77,12.8,12.53,12.73,49920,12.69569,16030
2025-03-24,12.72,12.8495,12.6,12.66,30533,12.71686,10035
2025-03-25,12.8,13.115,12.63,12.64,24790,12.81005,8017
2025-03-26,12.63,12.75,12.5,12.56,33169,12.59869,8906
2025-03-27,12.7,12.93,12.56,12.84,31297,12.80324,13618
2025-03-28,13.48,13.49,13.445,13.49,1359,13.47801,122
