date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,4.71,4.75,4.48,4.49,20654,4.563,7464
2024-05-29 00:00:00,4.38,4.48,4.26,4.47,33161,4.35,11392
2024-05-30 00:00:00,4.56,4.72,4.56,4.72,16603,4.679,6031
2024-05-31 00:00:00,4.82,4.96,4.76,4.91,11484,4.871,5341
2024-06-03 00:00:00,4.91,5.01,4.76,4.79,12926,4.844,5946
2024-06-04 00:00:00,4.75,4.95,4.74,4.78,11028,4.835,5456
2024-06-05 00:00:00,4.78,4.86,4.67,4.76,14415,4.768,6441
2024-06-06 00:00:00,4.71,4.87,4.68,4.85,10770,4.816,4103
2024-06-07 00:00:00,4.71,4.86,4.69,4.82,14004,4.8,5436
2024-06-10 00:00:00,4.71,4.77,4.59,4.73,11714,4.697,5271
2024-06-11 00:00:00,4.65,4.78,4.63,4.67,9670,4.704,4190
2024-06-12 00:00:00,4.97,5.51,4.75,4.81,34093,5.108,13821
2024-06-13 00:00:00,4.81,4.91,4.68,4.83,8662,4.824,3728
2024-06-14 00:00:00,4.74,4.95,4.72,4.95,14580,4.884,3937
2024-06-17 00:00:00,4.85,4.88,4.73,4.86,10578,4.814,4768
2024-06-18 00:00:00,4.87,4.95,4.83,4.85,8565,4.876,3706
2024-06-20 00:00:00,4.84,5.0,4.79,4.88,8792,4.889,3387
2024-06-21 00:00:00,4.86,4.94,4.81,4.89,13110,4.873,4158
2024-06-24 00:00:00,4.93,5.0,4.87,4.92,6203,4.925,3232
2024-06-25 00:00:00,4.93,4.93,4.71,4.72,7958,4.76,3762
2024-06-26 00:00:00,4.65,4.83,4.65,4.73,21840,4.735,6745
2024-06-27 00:00:00,4.75,4.84,4.68,4.8,14648,4.754,5157
2024-06-28 00:00:00,4.83,4.89,4.68,4.81,19968,4.761,7797
2024-07-01 00:00:00,4.86,4.9,4.63,4.7,16114,4.699,6208
2024-07-02 00:00:00,4.73,4.95,4.69,4.93,15856,4.848,5852
2024-07-03 00:00:00,4.97,5.12,4.95,5.06,11485,5.052,4516
2024-07-05 00:00:00,5.04,5.08,4.8,4.89,12704,4.938,5501
2024-07-08 00:00:00,4.95,5.08,4.92,5.02,11679,5.017,5441
2024-07-09 00:00:00,5.01,5.16,4.97,5.15,11466,5.071,5199
2024-07-10 00:00:00,4.96,4.98,4.48,4.77,49894,4.681,15617
2024-07-11 00:00:00,4.99,5.39,4.92,5.33,22672,5.22,10845
2024-07-12 00:00:00,5.39,5.52,5.32,5.42,11757,5.433,4631
2024-07-15 00:00:00,5.51,5.58,5.4,5.49,14436,5.489,6536
2024-07-16 00:00:00,5.57,5.63,5.45,5.57,14933,5.535,6089
2024-07-17 00:00:00,5.52,5.7,5.34,5.47,17569,5.478,6574
2024-07-18 00:00:00,5.47,5.71,5.29,5.39,25574,5.465,10317
2024-07-19 00:00:00,5.39,5.5,5.27,5.34,15352,5.357,5024
2024-07-22 00:00:00,5.37,5.46,5.3,5.44,11965,5.384,5360
2024-07-23 00:00:00,5.4,5.69,5.39,5.53,20160,5.597,9849
2024-07-24 00:00:00,5.49,5.58,5.29,5.3,20469,5.414,8840
2024-07-25 00:00:00,5.33,5.43,5.22,5.32,13933,5.322,6570
2024-07-26 00:00:00,5.45,5.77,5.38,5.74,12593,5.628,5133
2024-07-29 00:00:00,5.79,5.79,5.6,5.66,9737,5.673,4652
2024-07-30 00:00:00,5.72,6.02,5.6,6.01,19245,5.834,7341
2024-07-31 00:00:00,6.0,6.29,5.93,5.99,17616,6.077,7614
2024-08-01 00:00:00,6.08,6.09,5.76,5.81,22939,5.841,8685
2024-08-02 00:00:00,5.63,5.66,5.45,5.57,21349,5.543,8305
2024-08-05 00:00:00,5.2,5.46,5.08,5.3,16143,5.304,6384
2024-08-06 00:00:00,5.31,5.6,5.24,5.47,14239,5.497,6580
2024-08-07 00:00:00,5.53,5.65,5.32,5.37,16667,5.462,5862
2024-08-08 00:00:00,4.7,5.17,4.59,4.71,34055,4.746,13882
2024-08-09 00:00:00,4.75,4.83,4.63,4.68,15283,4.707,5810
2024-08-12 00:00:00,4.65,4.67,4.37,4.4,25002,4.457,8087
2024-08-13 00:00:00,4.42,4.67,4.39,4.6,13728,4.563,5107
2024-08-14 00:00:00,4.47,4.62,4.42,4.56,31219,4.538,10565
2024-08-15 00:00:00,4.66,4.92,4.66,4.69,29313,4.762,10550
2024-08-16 00:00:00,4.72,5.0,4.69,5.0,37160,4.87,9852
2024-08-19 00:00:00,5.06,5.22,4.93,5.22,11482,5.054,4121
2024-08-20 00:00:00,5.22,5.33,5.0,5.0,17971,5.121,5641
2024-08-21 00:00:00,5.05,5.21,5.0,5.2,8084,5.12,3131
2024-08-22 00:00:00,5.21,5.26,5.04,5.13,11365,5.109,3524
2024-08-23 00:00:00,5.16,5.63,5.12,5.55,26140,5.491,8667
2024-08-26 00:00:00,5.63,5.69,5.55,5.6,12565,5.618,4790
2024-08-27 00:00:00,5.5,5.51,5.38,5.47,9613,5.456,3430
2024-08-28 00:00:00,5.47,5.56,5.31,5.31,12508,5.394,4614
2024-08-29 00:00:00,5.32,5.37,5.17,5.18,19505,5.231,6405
2024-08-30 00:00:00,5.25,5.28,5.05,5.15,10042,5.138,4139
2024-09-03 00:00:00,5.09,5.21,4.85,5.02,13718,4.98,4655
2024-09-04 00:00:00,5.0,5.2,4.98,5.07,10849,5.079,4507
2024-09-05 00:00:00,5.11,5.11,4.92,4.99,16834,4.992,5697
2024-09-06 00:00:00,5.0,5.07,4.84,4.86,9150,4.897,3511
2024-09-09 00:00:00,4.84,4.93,4.76,4.76,13397,4.816,5585
2024-09-10 00:00:00,4.6,4.68,4.39,4.52,29858,4.491,9794
2024-09-11 00:00:00,4.46,4.8,4.46,4.8,14088,4.663,5576
2024-09-12 00:00:00,4.79,4.94,4.68,4.85,16159,4.837,5439
2024-09-13 00:00:00,4.97,5.17,4.84,4.96,24320,4.972,9056
2024-09-16 00:00:00,4.97,5.11,4.84,5.08,12377,5.002,4051
2024-09-17 00:00:00,5.16,5.28,5.07,5.07,10220,5.151,4969
2024-09-18 00:00:00,5.1,5.56,5.04,5.25,16290,5.31,6548
2024-09-19 00:00:00,5.42,5.54,5.22,5.29,14186,5.304,5265
2024-09-20 00:00:00,5.19,5.29,5.07,5.11,14815,5.167,4763
2024-09-23 00:00:00,5.11,5.17,4.97,5.0,18609,5.067,6061
2024-09-24 00:00:00,4.97,5.01,4.86,4.88,26502,4.908,6760
2024-09-25 00:00:00,4.85,4.88,4.59,4.68,25594,4.714,6124
2024-09-26 00:00:00,4.81,4.86,4.65,4.77,15013,4.75,5032
2024-09-27 00:00:00,4.92,4.92,4.66,4.69,17150,4.758,5513
2024-09-30 00:00:00,4.68,4.9,4.66,4.78,21682,4.804,6419
2024-10-01 00:00:00,4.72,4.8,4.64,4.68,14089,4.72,4587
2024-10-02 00:00:00,4.67,4.72,4.51,4.55,8892,4.602,3209
