date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,1.16,1.18,1.0,1.05,588,1.06554,169
2024-05-29 00:00:00,1.05,1.07,1.02,1.06,622,1.03269,199
2024-05-30 00:00:00,1.0,1.03,0.98,1.03,918,1.00573,165
2024-05-31 00:00:00,1.03,1.03,0.9025,1.03,229,1.00755,55
2024-06-03 00:00:00,1.0,1.11,0.98,1.08,589,1.04382,123
2024-06-04 00:00:00,1.07,1.13,0.9942,1.11,277,1.05499,119
2024-06-05 00:00:00,1.1,1.14,1.0665,1.14,94,1.10001,30
2024-06-06 00:00:00,1.12,1.14,1.03,1.08,317,1.06783,55
2024-06-07 00:00:00,1.03,1.15,1.0,1.13,503,1.06018,220
2024-06-10 00:00:00,1.09,1.1582,1.0,1.06,657,1.05055,210
2024-06-11 00:00:00,1.0,1.09,0.98,1.04,880,1.017,181
2024-06-12 00:00:00,1.02,1.0296,0.92,0.9201,858,0.9727,125
2024-06-13 00:00:00,0.95,0.95,0.83,0.8531,87,0.87013,26
2024-06-14 00:00:00,0.8551,0.95,0.8551,0.9,20,0.91038,13
2024-06-17 00:00:00,0.84,0.88,0.8006,0.82,187,0.81964,29
2024-06-18 00:00:00,0.82,0.833,0.8101,0.83,151,0.81833,16
2024-06-20 00:00:00,0.8,0.83,0.78,0.7964,52,0.80329,15
2024-06-21 00:00:00,0.8,0.83,0.8,0.8275,70,0.81494,27
2024-06-24 00:00:00,0.7825,0.8795,0.7811,0.85,241,0.82016,82
2024-06-25 00:00:00,0.8,0.9,0.8,0.8311,236,0.87339,77
2024-06-26 00:00:00,0.9232,1.0677,0.9115,1.0,318,1.00891,83
2024-06-27 00:00:00,0.8598,0.895,0.7321,0.7403,2030,0.77955,324
2024-06-28 00:00:00,0.6844,0.6844,0.553,0.5658,2812,0.60911,500
2024-07-01 00:00:00,0.5419,0.55,0.43,0.4901,2105,0.47231,311
2024-07-02 00:00:00,0.5,0.5199,0.395,0.4409,1464,0.44856,192
2024-07-03 00:00:00,0.47,0.4941,0.43,0.4738,698,0.45444,128
2024-07-05 00:00:00,0.46,0.52,0.46,0.52,478,0.49605,127
2024-07-08 00:00:00,0.536,0.5819,0.52,0.5674,941,0.56169,181
2024-07-09 00:00:00,0.5504,0.56,0.461,0.532,898,0.52681,119
2024-07-10 00:00:00,0.535,0.5549,0.505,0.5249,495,0.53131,71
2024-07-11 00:00:00,0.5255,0.5549,0.52,0.5256,586,0.53201,136
2024-07-12 00:00:00,0.5201,0.5617,0.5201,0.53,193,0.53023,45
2024-07-15 00:00:00,0.5204,0.56,0.5204,0.5358,15,0.5349,5
