date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,4.77,4.88,4.68,4.78,43238,4.8,11604
2024-05-28 00:00:00,4.85,4.88,4.57,4.66,49465,4.659,15344
2024-05-29 00:00:00,4.58,4.64,4.46,4.48,33947,4.535,10407
2024-05-30 00:00:00,4.49,4.64,4.42,4.61,50634,4.554,18797
2024-05-31 00:00:00,4.68,4.76,4.21,4.36,92720,4.362,26122
2024-06-03 00:00:00,4.3,4.38,3.95,4.13,121056,4.086,31081
2024-06-04 00:00:00,4.1,4.14,3.92,3.94,58319,4.008,16029
2024-06-05 00:00:00,3.99,4.01,3.88,3.97,53678,3.957,18272
2024-06-06 00:00:00,3.99,4.01,3.47,3.79,143324,3.764,37702
2024-06-07 00:00:00,3.7,3.9,3.61,3.73,54853,3.745,17408
2024-06-10 00:00:00,3.77,3.77,3.59,3.66,47188,3.662,15634
2024-06-11 00:00:00,3.6,3.61,3.42,3.45,69947,3.48,21810
2024-06-12 00:00:00,3.54,3.77,3.5,3.56,67068,3.605,21203
2024-06-13 00:00:00,3.54,3.56,3.36,3.4,51780,3.403,15869
2024-06-14 00:00:00,3.37,3.39,3.21,3.26,51595,3.271,15836
2024-06-17 00:00:00,3.27,3.31,3.12,3.28,63694,3.224,19848
2024-06-18 00:00:00,3.27,3.41,3.08,3.09,66991,3.207,18684
2024-06-20 00:00:00,3.15,3.77,2.9,3.51,233746,3.313,56884
2024-06-21 00:00:00,3.61,4.13,3.57,4.07,176413,3.936,44781
2024-06-24 00:00:00,4.12,4.31,3.76,3.89,110697,3.993,30231
2024-06-25 00:00:00,3.84,3.84,3.62,3.68,44234,3.707,14083
2024-06-26 00:00:00,3.64,3.64,3.46,3.48,51204,3.51,17668
2024-06-27 00:00:00,3.47,3.52,3.36,3.51,50589,3.443,20606
2024-06-28 00:00:00,3.53,3.6,3.43,3.53,44798,3.504,16787
2024-07-01 00:00:00,3.55,3.75,3.55,3.61,50018,3.656,14979
2024-07-02 00:00:00,3.6,3.7,3.45,3.62,36079,3.567,11611
2024-07-03 00:00:00,3.62,3.7,3.48,3.5,28065,3.57,9188
2024-07-05 00:00:00,3.7,3.82,3.62,3.64,50504,3.713,14157
2024-07-08 00:00:00,3.62,3.77,3.54,3.6,36414,3.606,12392
2024-07-09 00:00:00,3.6,3.6,3.31,3.33,44797,3.371,12188
2024-07-10 00:00:00,3.3,3.44,3.2,3.42,42717,3.321,12442
2024-07-11 00:00:00,3.5,3.92,3.46,3.86,55181,3.729,16629
2024-07-12 00:00:00,3.9,4.19,3.89,4.04,84474,4.029,21231
2024-07-15 00:00:00,4.11,4.32,4.03,4.27,52381,4.221,16463
2024-07-16 00:00:00,4.37,4.5,4.18,4.49,50859,4.394,17500
2024-07-17 00:00:00,4.44,4.63,4.35,4.55,59687,4.47,20676
2024-07-18 00:00:00,4.52,4.59,4.14,4.15,52493,4.351,18114
2024-07-19 00:00:00,4.08,4.15,3.75,3.81,49315,3.848,14905
2024-07-22 00:00:00,3.86,3.98,3.65,3.95,39175,3.822,10509
2024-07-23 00:00:00,3.87,4.0,3.8,3.81,33993,3.87,11620
2024-07-24 00:00:00,3.79,4.0,3.61,3.67,41819,3.734,12260
2024-07-25 00:00:00,3.62,4.0,3.62,3.87,31153,3.845,10281
2024-07-26 00:00:00,4.02,4.12,3.94,4.07,45102,4.039,13846
2024-07-29 00:00:00,4.07,4.1,3.75,3.8,46369,3.841,11965
2024-07-30 00:00:00,3.82,3.91,3.74,3.81,37339,3.803,9586
2024-07-31 00:00:00,3.85,4.35,3.84,4.08,83108,4.133,21670
2024-08-01 00:00:00,4.0,4.38,3.69,3.77,61129,3.93,18226
2024-08-02 00:00:00,3.67,3.82,3.42,3.7,51233,3.647,16356
2024-08-05 00:00:00,3.38,3.9,3.37,3.76,58828,3.697,18019
2024-08-06 00:00:00,3.76,3.91,3.59,3.63,41752,3.7,11552
2024-08-07 00:00:00,3.72,3.86,3.57,3.62,35551,3.698,8181
2024-08-08 00:00:00,3.67,3.78,3.62,3.69,21265,3.705,7823
2024-08-09 00:00:00,3.7,3.71,3.48,3.51,30928,3.551,8357
2024-08-12 00:00:00,3.5,3.52,3.31,3.38,28602,3.38,7989
2024-08-13 00:00:00,3.4,3.61,3.35,3.53,37314,3.536,9306
2024-08-14 00:00:00,3.53,3.55,3.27,3.28,41728,3.337,10782
2024-08-15 00:00:00,3.35,3.51,3.29,3.48,55792,3.412,14583
2024-08-16 00:00:00,3.43,3.5,3.35,3.44,23716,3.425,7193
2024-08-19 00:00:00,3.44,3.53,3.42,3.48,30274,3.464,8496
2024-08-20 00:00:00,3.45,3.52,3.38,3.46,19742,3.443,5584
