date,open,high,low,close,volume,average,barCount
2023-12-20,1.39,1.39,1.22,1.27,1001,1.29885,222
2023-12-21,1.28,1.3,1.21,1.26,231,1.25331,63
2023-12-22,1.3,1.37,1.2083,1.34,771,1.30513,122
2023-12-26,1.25,1.36,1.2,1.23,670,1.24611,202
2023-12-27,1.19,1.2264,1.14,1.16,415,1.17422,112
2023-12-28,1.2,1.2796,1.1606,1.22,348,1.21816,128
2023-12-29,1.22,1.27,1.22,1.27,3036,1.24144,94
2024-01-02,1.33,1.45,1.298,1.33,1508,1.37134,300
2024-01-03,1.38,1.4036,1.2601,1.32,482,1.34579,116
2024-01-04,1.37,1.37,1.32,1.34,141,1.34025,48
2024-01-05,1.35,1.36,1.33,1.34,135,1.34681,35
2024-01-08,1.36,1.42,1.34,1.4,142,1.3768,41
2024-01-09,1.39,1.39,1.32,1.39,267,1.34257,41
2024-01-10,1.33,1.44,1.33,1.4,414,1.40537,118
2024-01-11,1.4,1.4899,1.31,1.38,583,1.40985,137
2024-01-12,1.4,1.63,1.3833,1.59,1215,1.49976,288
2024-01-16,1.62,1.77,1.5814,1.76,1432,1.67862,291
2024-01-17,1.69,1.69,1.6,1.65,591,1.64078,136
2024-01-18,1.63,1.76,1.6115,1.74,722,1.71786,143
2024-01-19,1.725,1.7285,1.62,1.72,571,1.66204,89
2024-01-22,1.72,1.77,1.65,1.74,752,1.70702,123
2024-01-23,1.78,2.1827,1.72,2.15,2189,1.95685,576
2024-01-24,2.26,3.06,2.2402,2.96,5165,2.65838,1488
2024-01-25,3.31,3.82,2.2651,2.46,9820,3.14924,2520
2024-01-26,2.75,3.48,2.67,2.96,6938,3.14136,1939
2024-01-29,2.99,3.32,2.99,3.21,2578,3.23216,765
2024-01-30,3.06,3.2391,2.91,3.15,1655,3.04705,366
2024-01-31,3.16,3.2873,2.95,3.015,1226,3.07561,323
2024-02-01,3.04,3.07,2.6,2.71,1174,2.78479,381
2024-02-02,2.61,2.7,2.27,2.55,1805,2.46121,486
2024-02-05,2.52,2.6199,2.4301,2.55,352,2.50736,114
2024-02-06,2.7,3.35,2.7,2.98,3844,3.04706,753
2024-02-07,2.71,2.855,2.55,2.72,4077,2.69415,1007
2024-02-08,2.79,2.9799,2.75,2.75,3467,2.80333,875
2024-02-09,2.79,2.81,2.6,2.68,1595,2.73583,336
2024-02-12,2.69,2.758,2.5358,2.56,936,2.62457,289
2024-02-13,2.55,2.6,2.42,2.47,1589,2.53415,323
2024-02-14,2.58,2.6,2.4,2.54,1516,2.52457,256
2024-02-15,2.45,2.6,2.37,2.37,1471,2.45364,421
2024-02-16,2.45,2.45,2.12,2.36,1215,2.26013,306
2024-02-20,2.36,2.41,2.18,2.28,439,2.28527,107
2024-02-21,2.22,2.375,2.12,2.22,480,2.19635,133
2024-02-22,2.4,2.4,2.02,2.18,1267,2.23693,280
2024-02-23,2.18,2.23,2.035,2.14,509,2.10414,208
2024-02-26,2.16,2.22,2.0303,2.22,652,2.15717,184
2024-02-27,2.18,2.35,2.141,2.26,476,2.2265,132
2024-02-28,2.29,2.3062,2.11,2.22,426,2.20326,153
2024-02-29,2.32,2.3499,2.14,2.16,513,2.20414,140
2024-03-01,2.18,2.2199,2.07,2.15,690,2.12876,200
2024-03-04,2.17,2.25,2.09,2.25,441,2.16844,144
2024-03-05,2.27,2.44,2.19,2.38,631,2.32285,255
2024-03-06,2.39,2.41,2.23,2.41,492,2.32996,152
2024-03-07,2.42,2.49,2.29,2.42,374,2.377,110
2024-03-08,2.49,2.49,2.3801,2.47,266,2.42721,43
2024-03-11,2.46,2.46,2.29,2.43,316,2.37266,75
