date,open,high,low,close,volume,average,barCount
2024-01-02,11.15,11.49,11.01,11.22,319,11.244,160
2024-01-03,11.09,11.29,10.87,11.15,285,11.073,177
2024-01-04,11.14,12.56,10.98,12.09,1064,12.038,548
2024-01-05,12.3,13.13,12.01,12.9,1340,12.724,549
2024-01-08,13.31,13.38,12.09,12.83,776,12.92,346
2024-01-09,12.83,13.23,12.43,13.04,631,12.829,382
2024-01-10,13.15,13.17,12.62,12.71,356,12.89,193
2024-01-11,12.8,12.8,11.4,11.58,1202,11.757,603
2024-01-12,11.49,12.67,11.47,12.65,663,12.231,356
2024-01-16,12.65,12.84,11.8,11.8,681,12.078,274
2024-01-17,11.8,11.89,11.3,11.35,214,11.484,146
2024-01-18,11.39,11.39,10.4,10.84,625,10.883,352
2024-01-19,10.84,11.4,10.2,11.34,239,11.101,138
2024-01-22,11.29,11.5,11.0,11.17,282,11.186,152
2024-01-23,11.22,11.37,10.97,11.07,261,11.082,128
2024-01-24,11.29,11.97,11.29,11.68,372,11.681,176
2024-01-25,11.96,11.96,11.4,11.81,148,11.74,88
2024-01-26,11.73,12.45,11.73,12.08,392,12.163,194
2024-01-29,12.21,13.5,12.21,13.17,731,13.082,299
2024-01-30,13.44,13.77,12.17,12.18,1180,12.869,614
2024-01-31,12.17,12.48,11.75,11.93,425,12.214,219
2024-02-01,11.89,12.1,10.5,10.53,1145,11.058,620
2024-02-02,10.43,11.08,10.3,11.08,192,10.728,131
2024-02-05,11.08,11.84,10.78,11.83,712,11.493,321
2024-02-06,11.75,12.6,11.49,12.4,589,12.347,298
2024-02-07,12.24,12.72,11.76,12.72,480,12.472,171
2024-02-08,12.96,13.0,11.88,11.9,623,12.53,258
2024-02-09,12.04,12.55,11.78,12.07,224,12.042,154
2024-02-12,11.92,12.52,11.92,12.39,197,12.283,100
2024-02-13,12.23,12.54,11.84,12.17,272,12.202,116
2024-02-14,12.49,14.74,12.38,14.0,2076,13.973,646
2024-02-15,13.82,14.4,13.61,13.78,807,14.011,332
2024-02-16,13.78,14.49,13.52,14.01,810,14.06,429
2024-02-20,13.9,14.41,13.05,13.5,706,13.758,370
2024-02-21,13.21,13.41,12.23,12.59,537,12.692,264
2024-02-22,12.48,13.09,12.26,12.67,253,12.649,154
2024-02-23,12.85,12.92,12.11,12.92,229,12.673,158
2024-02-26,12.9,13.52,12.9,13.11,1131,13.158,573
2024-02-27,13.08,13.11,12.11,12.11,787,12.535,248
2024-02-28,12.11,12.3,11.16,11.82,817,11.627,408
2024-02-29,12.2,12.39,11.59,11.6,296,11.85,156
2024-03-01,11.61,12.55,11.61,12.39,561,12.184,368
2024-03-04,12.61,13.3,12.49,12.86,524,12.894,245
2024-03-05,12.82,13.03,12.03,12.17,464,12.58,260
2024-03-06,12.18,12.89,12.18,12.65,154,12.534,97
2024-03-07,12.8,13.25,12.32,12.5,778,12.846,337
2024-03-08,12.87,12.96,12.09,12.21,413,12.466,217
2024-03-11,12.05,12.28,11.64,11.72,404,11.932,199
2024-03-12,11.92,12.18,11.7,11.76,134,11.823,63
2024-03-13,11.61,12.09,11.61,11.81,187,11.861,126
2024-03-14,11.78,11.89,11.25,11.44,371,11.577,214
2024-03-15,11.26,11.83,11.0,11.06,337,11.28,200
2024-03-18,11.03,11.52,10.79,11.02,501,11.082,244
2024-03-19,11.0,11.24,10.8,10.94,393,11.043,243
2024-03-20,11.05,11.64,10.9,11.59,554,11.459,291
2024-03-21,11.52,11.92,11.5,11.92,169,11.658,80
2024-03-22,11.5,12.38,11.5,12.2,507,12.034,222
2024-03-25,12.29,12.48,11.44,11.71,321,11.909,235
2024-03-26,11.76,12.0,11.54,11.88,206,11.712,171
2024-03-27,11.74,12.19,11.35,11.63,707,11.687,335
2024-03-28,11.81,12.05,11.28,11.75,791,11.609,301
2024-04-01,11.75,11.85,11.11,11.52,800,11.556,376
2024-04-02,11.42,11.58,10.61,10.95,1182,11.056,673
