date,open,high,low,close,volume,average,barCount
2023-12-21,2.69,2.73,2.5001,2.59,41589,2.5977,9128
2023-12-22,2.62,2.73,2.562,2.6,49638,2.63897,13820
2023-12-26,2.61,2.66,2.53,2.55,31097,2.5724,6435
2023-12-27,2.56,2.755,2.55,2.74,39929,2.68765,8016
2023-12-28,2.75,2.8,2.63,2.68,21868,2.68629,5006
2023-12-29,2.64,2.65,2.48,2.53,43750,2.54137,10489
2024-01-02,2.51,2.82,2.45,2.58,63897,2.66042,15950
2024-01-03,2.5,2.58,2.4,2.45,52750,2.48679,16106
2024-01-04,2.4,2.465,2.26,2.41,46529,2.3696,10540
2024-01-05,2.37,2.4105,2.29,2.33,29339,2.35318,7457
2024-01-08,2.22,2.295,2.17,2.28,36375,2.25763,8320
2024-01-09,2.28,2.33,2.2,2.22,26786,2.26222,7621
2024-01-10,2.23,2.25,2.13,2.17,28726,2.17174,7260
2024-01-11,2.16,2.18,2.07,2.14,33387,2.11234,6710
2024-01-12,2.09,2.21,1.92,1.95,41069,2.02232,7451
2024-01-16,1.97,1.97,1.82,1.86,30192,1.8904,6135
2024-01-17,1.82,1.87,1.77,1.79,54662,1.80048,11496
2024-01-18,1.81,1.9,1.69,1.76,70985,1.77318,13038
2024-01-19,1.81,1.83,1.685,1.77,43248,1.74119,8408
2024-01-22,1.84,1.91,1.8,1.85,49843,1.85419,8236
2024-01-23,1.85,1.9451,1.85,1.92,24821,1.89644,4339
2024-01-24,1.95,1.95,1.72,1.72,61498,1.80116,11052
2024-01-25,1.74,1.76,1.665,1.72,20480,1.7104,4793
2024-01-26,1.74,1.765,1.68,1.69,12727,1.71878,3428
2024-01-29,1.69,1.76,1.62,1.76,28649,1.69767,6216
2024-01-30,1.7,1.73,1.64,1.65,22323,1.67696,4875
2024-01-31,1.68,1.825,1.61,1.71,74077,1.72941,12477
2024-02-01,1.68,1.74,1.6,1.7,39216,1.66471,8044
2024-02-02,1.68,1.68,1.61,1.66,23748,1.64061,5005
2024-02-05,1.67,1.67,1.5317,1.54,38234,1.58185,6493
2024-02-06,1.54,1.6199,1.508,1.6,19728,1.58161,4518
2024-02-07,1.62,1.62,1.54,1.58,13433,1.58657,2365
2024-02-08,1.56,1.67,1.55,1.64,19163,1.62659,4754
2024-02-09,1.62,1.71,1.6,1.67,15450,1.66821,2972
2024-02-12,1.69,1.79,1.66,1.74,23054,1.73646,4801
2024-02-13,1.7,1.7,1.57,1.58,22657,1.62874,4650
2024-02-14,1.63,1.68,1.605,1.66,35549,1.65274,4054
2024-02-15,1.68,1.73,1.65,1.68,18315,1.68843,3531
