date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,3.0,3.0,2.9,2.9,162,2.93596,38
2024-05-28 00:00:00,2.9,2.91,2.88,2.91,15,2.89417,5
2024-05-29 00:00:00,2.82,2.9,2.68,2.79,104,2.7459,43
2024-05-30 00:00:00,2.8,2.8252,2.75,2.75,166,2.80109,54
2024-05-31 00:00:00,2.8,2.8,2.61,2.74,214,2.72239,81
2024-06-03 00:00:00,2.72,2.75,2.65,2.66,75,2.68601,25
2024-06-04 00:00:00,2.64,2.86,2.61,2.8,136,2.72084,39
2024-06-05 00:00:00,2.78,2.8,2.72,2.77,25,2.76329,12
2024-06-06 00:00:00,2.8,2.8001,2.63,2.66,26,2.74322,16
2024-06-07 00:00:00,2.77,2.89,2.7464,2.89,22,2.78166,9
2024-06-10 00:00:00,2.62,2.69,2.58,2.69,20,2.6047,17
2024-06-11 00:00:00,2.54,2.58,2.4151,2.545,31,2.51803,12
2024-06-12 00:00:00,2.53,2.53,2.43,2.48,69,2.46472,29
2024-06-13 00:00:00,2.3844,2.3844,2.32,2.37,12,2.34206,6
2024-06-14 00:00:00,2.21,2.35,2.175,2.35,153,2.28335,51
2024-06-17 00:00:00,2.22,2.22,2.1,2.1,80,2.15618,42
2024-06-18 00:00:00,2.16,2.1699,2.02,2.02,194,2.13655,61
2024-06-20 00:00:00,2.1697,2.1697,2.14,2.14,18,2.15198,12
2024-06-21 00:00:00,2.13,2.1401,2.11,2.14,48,2.13205,14
2024-06-24 00:00:00,2.09,2.11,2.02,2.02,255,2.05781,86
2024-06-25 00:00:00,2.045,2.1,1.96,1.99,133,2.01216,51
2024-06-26 00:00:00,2.05,2.08,2.02,2.02,16,2.04245,6
2024-06-27 00:00:00,2.09,2.13,1.99,1.99,61,2.08329,15
2024-06-28 00:00:00,2.01,2.01,1.925,1.94,126,1.98341,23
2024-07-01 00:00:00,2.06,2.08,2.06,2.08,33,2.06203,6
2024-07-02 00:00:00,2.06,2.06,2.06,2.06,1,2.06,1
2024-07-03 00:00:00,2.18,2.18,2.15,2.15,39,2.15804,7
2024-07-05 00:00:00,2.11,2.12,1.99,1.99,9,2.08722,9
2024-07-08 00:00:00,2.12,2.1563,2.12,2.15,9,2.14579,4
2024-07-09 00:00:00,2.16,2.16,2.1599,2.16,31,2.15993,7
2024-07-10 00:00:00,2.15,2.16,2.15,2.16,2,2.155,2
2024-07-11 00:00:00,2.185,2.19,2.0665,2.095,16,2.13901,4
2024-07-12 00:00:00,2.23,2.38,2.06,2.225,567,2.26822,257
2024-07-15 00:00:00,2.28,2.28,2.12,2.12,74,2.20644,51
2024-07-16 00:00:00,2.21,2.21,2.15,2.15,19,2.1989,13
2024-07-17 00:00:00,2.22,2.22,2.2,2.2,5,2.21609,3
2024-07-18 00:00:00,2.19,2.19,2.1515,2.16,38,2.17096,16
2024-07-19 00:00:00,2.238,2.238,2.1166,2.15,11,2.17504,8
2024-07-22 00:00:00,2.2201,2.25,2.16,2.16,16,2.22705,6
2024-07-23 00:00:00,2.3,2.3,2.22,2.22,8,2.23,3
2024-07-24 00:00:00,2.26,2.27,2.195,2.26,11,2.22552,5
2024-07-25 00:00:00,2.22,2.22,2.09,2.09,2,2.17578,2
2024-07-26 00:00:00,2.22,2.25,2.07,2.13,97,2.20738,29
2024-07-29 00:00:00,2.2,2.2,2.07,2.115,96,2.10307,16
2024-07-30 00:00:00,2.13,2.18,2.105,2.105,23,2.15266,11
2024-07-31 00:00:00,2.15,2.23,2.145,2.145,6,2.18917,3
2024-08-01 00:00:00,2.16,2.2,2.16,2.18,45,2.19378,12
2024-08-02 00:00:00,2.15,2.18,2.06,2.145,22,2.13784,9
2024-08-05 00:00:00,2.06,2.09,2.06,2.07,49,2.06491,9
2024-08-06 00:00:00,2.06,2.2453,2.06,2.24,63,2.10613,31
2024-08-07 00:00:00,2.1303,2.145,2.13,2.13,129,2.13041,3
2024-08-08 00:00:00,2.15,2.26,2.15,2.26,4,2.17725,4
2024-08-09 00:00:00,2.15,2.26,2.15,2.26,3,2.19833,3
