date,open,high,low,close,volume,average,barCount
2024-12-10 00:00:00,2.39,2.4,2.29,2.35,230244,2.33933,26761
2024-12-11 00:00:00,2.31,2.38,2.26,2.35,122227,2.32148,13746
2024-12-12 00:00:00,2.35,2.38,2.27,2.29,106488,2.31773,11310
2024-12-13 00:00:00,2.23,2.31,2.16,2.27,297702,2.25414,25084
2024-12-16 00:00:00,2.28,2.28,2.07,2.09,205120,2.13332,23490
2024-12-17 00:00:00,2.11,2.21,2.06,2.14,122177,2.15676,17397
2024-12-18 00:00:00,2.14,2.17,2.04,2.07,124528,2.09177,12962
2024-12-19 00:00:00,2.1,2.13,2.01,2.03,135399,2.0635,11859
2024-12-20 00:00:00,2.02,2.09,2.005,2.05,87909,2.06068,8790
2024-12-23 00:00:00,2.06,2.1,2.04,2.09,78943,2.0806,8947
2024-12-24 00:00:00,2.09,2.12,2.08,2.11,43625,2.10228,6051
2024-12-26 00:00:00,2.1,2.19,2.085,2.12,87358,2.14489,7150
2024-12-27 00:00:00,2.09,2.11,2.01,2.08,106969,2.07178,10072
2024-12-30 00:00:00,2.06,2.0693,2.0,2.02,89940,2.0173,7582
2024-12-31 00:00:00,2.02,2.06,1.98,2.01,63613,2.0251,6048
2025-01-02 00:00:00,2.0,2.02,1.98,1.99,151744,1.99524,14707
2025-01-03 00:00:00,2.01,2.01,1.93,1.97,122469,1.95428,12671
2025-01-06 00:00:00,2.01,2.08,1.98,1.99,141411,2.02106,10423
2025-01-07 00:00:00,2.0,2.07,2.0,2.02,147726,2.03743,9655
2025-01-08 00:00:00,2.0,2.035,1.95,2.02,127327,1.99653,11082
2025-01-10 00:00:00,1.98,1.99,1.88,1.9,177192,1.90622,12912
2025-01-13 00:00:00,1.9,1.9,1.82,1.83,145533,1.86162,11898
2025-01-14 00:00:00,1.9,1.915,1.82,1.85,105891,1.84928,12322
2025-01-15 00:00:00,1.88,1.91,1.85,1.86,97829,1.86919,11933
2025-01-16 00:00:00,1.89,1.89,1.84,1.87,48639,1.85937,9427
2025-01-17 00:00:00,1.9,2.0,1.8909,1.94,283462,1.94431,27057
2025-01-21 00:00:00,1.99,2.03,1.94,1.98,218240,1.9873,22559
2025-01-22 00:00:00,1.96,2.01,1.91,1.95,188027,1.963,14125
2025-01-23 00:00:00,1.95,2.03,1.945,2.0,183484,1.99959,14547
2025-01-24 00:00:00,2.01,2.32,2.01,2.23,528595,2.22097,32018
2025-01-27 00:00:00,2.21,2.3,2.13,2.23,358790,2.19876,30035
2025-01-28 00:00:00,2.28,2.281,2.12,2.23,231117,2.17978,23022
2025-01-29 00:00:00,2.23,2.3,2.13,2.16,298772,2.19529,22828
2025-01-30 00:00:00,2.2,2.39,2.18,2.32,252792,2.32098,20997
2025-01-31 00:00:00,2.32,2.32,2.14,2.17,354034,2.20969,29357
2025-02-03 00:00:00,2.09,2.19,2.05,2.09,228580,2.13078,19710
2025-02-04 00:00:00,2.17,2.29,2.15,2.21,318522,2.22558,26565
2025-02-05 00:00:00,2.17,2.23,2.14,2.17,166368,2.19183,15675
2025-02-06 00:00:00,2.26,2.405,2.23,2.33,421051,2.32139,26731
2025-02-07 00:00:00,2.4,2.45,2.32,2.38,294496,2.38063,26443
2025-02-10 00:00:00,2.45,2.54,2.39,2.4,261635,2.45623,23392
2025-02-11 00:00:00,2.36,2.37,2.27,2.29,196033,2.30592,22975
2025-02-12 00:00:00,2.3,2.6,2.27,2.53,506490,2.52656,30342
2025-02-13 00:00:00,2.46,2.5999,2.45,2.52,252737,2.53215,26631
2025-02-14 00:00:00,2.69,2.73,2.48,2.54,342075,2.56109,27434
2025-02-18 00:00:00,2.415,2.415,2.26,2.305,301000,2.32605,29836
2025-02-19 00:00:00,2.34,2.49,2.25,2.42,229851,2.39196,23804
2025-02-20 00:00:00,2.185,2.26,2.1,2.18,613178,2.18594,64298
2025-02-21 00:00:00,2.26,2.39,2.25,2.255,497170,2.30942,37970
