date,open,high,low,close,volume,average,barCount
2024-05-28,0.9,0.9307,0.89,0.921,2792,0.91014,416
2024-05-29,0.9,0.9189,0.89,0.893,1319,0.89916,191
2024-05-30,0.9,0.918,0.8801,0.9034,1127,0.89671,149
2024-05-31,0.9119,0.9499,0.8766,0.9109,1728,0.92337,304
2024-06-03,0.91,0.91,0.8804,0.8855,319,0.8946,82
2024-06-04,0.8888,0.898,0.8345,0.8454,1086,0.8543,155
2024-06-05,0.8925,0.91,0.85,0.9058,3588,0.89622,582
2024-06-06,0.9073,0.94,0.9001,0.93,1387,0.9245,296
2024-06-07,0.92,0.926,0.8798,0.8935,1018,0.89461,195
2024-06-10,0.9,0.949,0.8901,0.9125,1595,0.91433,230
2024-06-11,0.91,0.9289,0.89,0.9288,3935,0.90781,223
2024-06-12,0.9366,0.939,0.9102,0.9348,995,0.93056,111
2024-06-13,0.939,0.9399,0.9051,0.9051,995,0.92785,137
2024-06-14,0.905,0.9234,0.905,0.9174,387,0.9164,83
2024-06-17,0.9102,0.9471,0.9102,0.9335,1318,0.93304,206
2024-06-18,0.92,0.985,0.92,0.9796,2390,0.96749,341
2024-06-20,0.9882,1.05,0.9882,1.03,1672,1.02833,243
2024-06-21,1.03,1.05,0.94,0.97,792,0.9769,185
2024-06-24,0.95,0.9876,0.945,0.9536,399,0.96056,58
2024-06-25,0.9576,0.97,0.89,0.89,660,0.92521,161
2024-06-26,0.89,0.9352,0.87,0.88,857,0.90229,166
2024-06-27,0.92,0.92,0.8819,0.8937,468,0.90387,105
2024-06-28,0.945,0.95,0.9051,0.9235,268,0.92011,64
2024-07-01,0.95,0.95,0.8949,0.9101,373,0.90538,58
2024-07-02,0.91,0.9199,0.9,0.9099,284,0.90645,62
2024-07-03,0.941,0.9479,0.9129,0.9291,284,0.93197,77
2024-07-05,0.9313,0.9894,0.9313,0.9565,416,0.95628,92
2024-07-08,0.95,0.9598,0.87,0.9377,1492,0.92083,193
2024-07-09,0.92,0.94,0.9,0.9,373,0.92985,80
2024-07-10,0.93,0.9598,0.9299,0.9452,638,0.94307,71
2024-07-11,0.95,1.0,0.95,0.9652,1429,0.97451,232
2024-07-12,0.9746,1.02,0.95,1.01,1013,0.98403,175
2024-07-15,1.02,1.06,1.0,1.01,1600,1.02854,434
2024-07-16,1.06,1.08,1.0,1.06,1873,1.03894,330
2024-07-17,1.08,1.1,1.0002,1.04,2573,1.04752,383
2024-07-18,1.04,1.05,0.96,0.9913,1304,1.0053,159
2024-07-19,0.9658,1.01,0.9658,0.9868,1022,0.98949,71
2024-07-22,0.995,1.01,0.9502,1.01,763,0.98399,77
2024-07-23,1.02,1.04,1.0,1.04,998,1.01988,102
2024-07-24,1.05,1.1,1.02,1.05,767,1.07603,148
2024-07-25,1.02,1.03,0.9705,1.01,1300,0.99187,249
2024-07-26,1.05,1.09,1.0083,1.08,1363,1.05965,216
2024-07-29,0.9904,1.0,0.88,0.89,8989,0.91352,1247
2024-07-30,0.92,0.92,0.8803,0.92,3137,0.90313,378
2024-07-31,0.93,0.93,0.9,0.9282,1730,0.91641,257
2024-08-01,0.9282,0.9282,0.871,0.8913,2462,0.89072,193
2024-08-02,0.909,0.9208,0.82,0.87,2878,0.8757,281
2024-08-05,0.8089,0.8399,0.79,0.83,2067,0.8171,243
2024-08-06,0.83,0.85,0.81,0.81,407,0.82815,90
2024-08-07,0.854,0.86,0.809,0.809,601,0.82725,106
2024-08-08,0.8344,0.85,0.8007,0.82,1078,0.82533,170
