date,open,high,low,close,volume,average,barCount
2025-02-20 06:00:00,42.03,42.03,42.03,42.03,1,42.03,1
2025-02-20 07:00:00,42.28,42.28,42.28,42.28,3,42.28,1
2025-02-20 08:00:00,42.39,42.39,42.35,42.36,16,42.358,5
2025-02-20 09:00:00,42.55,43.04,41.3,41.36,841,42.332,247
2025-02-20 10:00:00,41.3,42.01,41.1,41.8,599,41.387,368
2025-02-20 11:00:00,41.7,41.79,41.29,41.56,305,41.543,148
2025-02-20 12:00:00,41.53,41.71,41.39,41.53,272,41.546,146
2025-02-20 13:00:00,41.45,41.64,41.37,41.5,221,41.501,149
2025-02-20 14:00:00,41.5,41.81,41.44,41.7,152,41.634,102
2025-02-20 15:00:00,41.69,41.77,41.61,41.67,500,41.704,288
2025-02-20 16:00:00,41.68,41.7,41.68,41.7,101,41.68,3
2025-02-20 17:00:00,41.7,41.7,41.7,41.7,0,41.7,0
2025-02-20 18:00:00,42.0,42.0,41.88,41.88,2,41.933,2
2025-02-20 19:00:00,42.15,42.15,42.15,42.15,1,42.15,1
2025-02-21 08:00:00,42.5,43.47,42.5,43.46,5,42.669,3
2025-02-21 09:00:00,42.5,42.95,42.01,42.21,540,42.465,175
2025-02-21 10:00:00,42.16,42.28,41.46,41.51,184,41.894,124
2025-02-21 11:00:00,41.54,41.73,41.35,41.71,155,41.527,78
2025-02-21 12:00:00,41.72,41.86,41.36,41.39,104,41.588,68
2025-02-21 13:00:00,41.34,41.39,41.08,41.24,123,41.218,68
2025-02-21 14:00:00,41.16,41.35,41.02,41.22,149,41.15,96
2025-02-21 15:00:00,41.21,41.71,41.21,41.53,416,41.506,236
2025-02-21 16:00:00,41.52,42.32,41.45,41.45,66,41.531,5
2025-02-21 17:00:00,42.0,42.2,42.0,42.2,6,42.029,4
2025-02-21 18:00:00,42.2,42.2,42.2,42.2,0,42.2,0
2025-02-21 19:00:00,41.86,41.86,41.86,41.86,1,41.86,1
2025-02-24 09:00:00,42.42,42.43,40.74,40.86,619,41.67,184
2025-02-24 10:00:00,40.85,40.85,39.73,39.91,742,40.268,380
2025-02-24 11:00:00,39.91,40.48,39.51,40.13,279,39.971,201
2025-02-24 12:00:00,40.12,40.6,40.06,40.19,208,40.216,137
2025-02-24 13:00:00,40.18,40.69,40.13,40.6,323,40.427,147
2025-02-24 14:00:00,40.63,40.69,40.31,40.31,253,40.578,161
2025-02-24 15:00:00,40.38,40.74,40.31,40.64,552,40.55,363
2025-02-24 16:00:00,40.58,41.64,40.58,41.34,127,40.596,4
2025-02-24 17:00:00,41.5,41.5,41.5,41.5,1,41.5,1
2025-02-24 18:00:00,41.88,41.88,41.88,41.88,1,41.88,1
2025-02-24 19:00:00,41.88,41.88,41.88,41.88,0,41.88,0
2025-02-25 08:00:00,41.1,41.1,41.1,41.1,2,41.1,1
2025-02-25 09:00:00,40.81,41.4,40.18,40.48,285,40.66,103
2025-02-25 10:00:00,40.39,40.53,39.76,40.12,345,40.049,184
2025-02-25 11:00:00,40.09,40.3,39.81,40.09,330,40.053,134
2025-02-25 12:00:00,40.09,40.23,39.95,40.16,224,40.05,130
2025-02-25 13:00:00,40.09,40.42,40.07,40.19,293,40.219,175
2025-02-25 14:00:00,40.05,40.28,40.05,40.23,350,40.162,230
2025-02-25 15:00:00,40.23,40.35,40.02,40.13,496,40.182,373
2025-02-25 16:00:00,40.17,40.44,40.17,40.2,98,40.179,4
2025-02-25 17:00:00,40.2,40.2,40.2,40.2,0,40.2,0
2025-02-25 18:00:00,40.2,40.2,40.2,40.2,0,40.2,0
2025-02-25 19:00:00,40.2,40.2,40.19,40.2,0,40.2,0
2025-02-26 06:00:00,40.9,40.9,40.88,40.88,12,40.897,5
2025-02-26 07:00:00,41.21,41.21,41.2,41.2,3,41.203,2
2025-02-26 08:00:00,41.5,42.67,40.8,42.67,6,41.668,5
2025-02-26 09:00:00,42.16,45.24,42.13,43.88,740,43.474,346
2025-02-26 10:00:00,43.77,44.7,41.68,42.93,1366,43.243,542
2025-02-26 11:00:00,43.15,43.28,42.51,42.73,265,42.868,143
2025-02-26 12:00:00,42.98,42.98,42.41,42.46,230,42.723,144
2025-02-26 13:00:00,42.38,42.63,42.14,42.19,219,42.363,104
2025-02-26 14:00:00,42.37,42.62,42.01,42.35,394,42.366,171
2025-02-26 15:00:00,42.45,44.04,42.4,43.91,918,43.393,728
2025-02-26 16:00:00,43.91,44.27,43.8,43.91,230,43.91,5
2025-02-26 17:00:00,44.5,44.5,43.96,44.5,8,44.279,4
2025-02-26 18:00:00,43.91,43.91,43.75,43.75,4,43.782,2
2025-02-26 19:00:00,43.75,43.75,43.75,43.75,0,43.75,0
2025-02-27 05:00:00,45.99,45.99,45.99,45.99,1,45.99,1
2025-02-27 06:00:00,45.99,45.99,45.99,45.99,0,45.99,0
2025-02-27 07:00:00,45.99,45.99,45.99,45.99,0,45.99,0
2025-02-27 08:00:00,45.13,45.13,45.13,45.13,1,45.13,1
2025-02-27 09:00:00,44.92,45.43,42.59,42.74,494,43.883,230
2025-02-27 10:00:00,42.84,43.41,42.5,42.76,335,42.892,241
2025-02-27 11:00:00,42.76,43.05,42.71,42.86,260,42.912,169
2025-02-27 12:00:00,42.86,43.4,42.74,43.27,539,43.067,301
2025-02-27 13:00:00,43.27,43.41,43.17,43.3,292,43.316,234
2025-02-27 14:00:00,43.3,43.41,42.5,42.85,284,42.992,249
2025-02-27 15:00:00,42.9,43.06,42.5,42.78,620,42.784,480
2025-02-27 16:00:00,42.78,42.78,42.78,42.78,186,42.78,3
2025-02-27 17:00:00,42.78,42.78,42.78,42.78,0,42.78,0
2025-02-27 18:00:00,42.78,42.78,42.78,42.78,0,42.78,0
2025-02-27 19:00:00,42.78,42.78,42.78,42.78,0,42.78,0
2025-02-28 09:00:00,42.43,42.85,41.11,41.28,313,41.81,154
2025-02-28 10:00:00,41.43,41.68,40.83,41.22,421,41.182,228
2025-02-28 11:00:00,41.27,41.33,40.83,41.23,357,41.141,214
2025-02-28 12:00:00,41.16,41.62,41.16,41.37,189,41.359,148
2025-02-28 13:00:00,41.36,41.4,41.01,41.23,148,41.25,98
2025-02-28 14:00:00,41.13,41.64,41.11,41.52,190,41.404,119
2025-02-28 15:00:00,41.53,41.94,41.42,41.88,561,41.686,333
2025-02-28 16:00:00,41.88,41.88,41.88,41.88,361,41.88,4
2025-02-28 17:00:00,41.88,41.88,41.88,41.88,0,41.88,0
2025-02-28 18:00:00,41.88,41.88,41.88,41.88,0,41.88,0
2025-02-28 19:00:00,42.26,42.26,42.26,42.26,2,42.26,1
2025-03-03 08:00:00,41.72,41.72,41.72,41.72,9,41.72,4
2025-03-03 09:00:00,41.72,42.09,40.56,40.77,343,41.478,129
2025-03-03 10:00:00,40.58,41.05,40.51,40.7,308,40.721,202
2025-03-03 11:00:00,40.71,40.8,40.3,40.3,217,40.488,140
2025-03-03 12:00:00,40.35,40.58,40.31,40.46,217,40.459,119
2025-03-03 13:00:00,40.35,40.42,39.88,40.11,276,40.069,134
2025-03-03 14:00:00,40.12,40.47,39.98,40.05,299,40.172,121
2025-03-03 15:00:00,40.03,40.16,39.57,39.71,432,39.768,249
2025-03-03 16:00:00,39.8,39.8,39.8,39.8,140,39.8,3
2025-03-03 17:00:00,39.75,39.75,39.75,39.75,4,39.75,2
2025-03-03 18:00:00,39.75,39.75,39.75,39.75,0,39.75,0
2025-03-03 19:00:00,39.8,39.8,39.8,39.8,1,39.8,1
2025-03-04 06:00:00,39.01,39.01,39.01,39.01,1,39.01,1
2025-03-04 07:00:00,38.99,39.49,38.99,39.49,3,39.157,3
2025-03-04 08:00:00,39.0,39.0,39.0,39.0,2,39.0,1
2025-03-04 09:00:00,39.01,39.5,38.8,39.16,571,39.072,208
2025-03-04 10:00:00,39.0,39.08,38.66,39.0,192,38.838,108
2025-03-04 11:00:00,38.88,38.92,38.53,38.62,123,38.673,53
2025-03-04 12:00:00,38.72,39.24,38.69,39.0,137,38.877,82
2025-03-04 13:00:00,39.0,39.27,38.94,39.27,142,39.122,84
2025-03-04 14:00:00,39.32,39.74,39.2,39.68,203,39.551,113
2025-03-04 15:00:00,39.71,40.1,39.22,39.51,305,39.628,215
2025-03-04 16:00:00,39.52,39.52,39.52,39.52,152,39.52,2
2025-03-04 17:00:00,39.52,39.52,39.52,39.52,0,39.52,0
2025-03-04 18:00:00,39.52,39.52,39.52,39.52,0,39.52,0
2025-03-04 19:00:00,39.52,39.52,39.52,39.52,0,39.52,0
2025-03-05 04:00:00,39.01,39.01,39.01,39.01,1,39.01,1
2025-03-05 05:00:00,39.1,39.1,39.1,39.1,1,39.1,1
2025-03-05 06:00:00,39.1,39.1,39.1,39.1,1,39.1,1
2025-03-05 07:00:00,39.1,39.1,39.1,39.1,0,39.1,0
2025-03-05 08:00:00,39.51,39.51,39.51,39.51,7,39.51,1
2025-03-05 09:00:00,39.5,39.95,39.5,39.65,98,39.681,19
2025-03-05 10:00:00,39.81,39.9,39.55,39.83,184,39.729,81
2025-03-05 11:00:00,39.69,39.83,39.31,39.43,72,39.533,42
2025-03-05 12:00:00,39.55,40.02,39.29,39.92,91,39.716,50
2025-03-05 13:00:00,39.96,40.01,39.56,39.79,64,39.742,36
2025-03-05 14:00:00,39.91,40.05,39.85,39.91,56,39.954,29
2025-03-05 15:00:00,39.9,40.0,39.75,39.79,131,39.856,104
2025-03-05 16:00:00,39.82,39.82,39.82,39.82,102,39.82,4
2025-03-05 17:00:00,39.82,39.82,39.82,39.82,0,39.82,0
