date,open,high,low,close,volume,average,barCount
2023-12-07,9.42,9.67,9.22,9.42,372,9.415,190
2023-12-08,9.37,9.48,8.93,9.01,427,9.179,285
2023-12-11,8.89,9.12,8.57,9.01,929,8.86,281
2023-12-12,9.06,9.51,8.49,9.4,577,9.203,287
2023-12-13,9.37,10.12,9.26,9.8,537,9.8,330
2023-12-14,10.24,10.82,10.05,10.75,609,10.558,259
2023-12-15,10.9,11.05,10.01,10.37,3980,10.41,536
2023-12-18,10.42,10.58,10.09,10.33,555,10.373,234
2023-12-19,10.55,10.89,10.55,10.71,696,10.737,329
2023-12-20,10.74,10.9,9.48,9.72,1446,10.254,665
2023-12-21,9.87,10.06,9.38,10.04,769,9.807,218
2023-12-22,10.31,10.99,9.98,10.57,355,10.649,233
2023-12-26,10.59,10.68,10.23,10.23,262,10.5,158
2023-12-27,10.77,11.04,10.46,10.87,1258,10.813,501
2023-12-28,10.96,11.92,10.8,11.7,1366,11.42,649
2023-12-29,11.8,11.89,10.61,10.73,770,10.873,425
2024-01-02,10.68,11.35,10.45,11.02,867,10.971,444
2024-01-03,10.97,10.97,10.22,10.3,625,10.395,216
2024-01-04,10.38,10.68,10.12,10.49,478,10.483,137
2024-01-05,10.31,10.51,9.85,10.31,919,10.237,367
2024-01-08,10.24,10.97,10.18,10.79,744,10.687,362
2024-01-09,10.56,11.22,10.0,10.95,575,10.844,327
2024-01-10,10.95,11.47,10.69,11.13,655,11.061,292
2024-01-11,10.95,11.0,10.39,10.45,677,10.577,284
2024-01-12,10.63,10.81,10.12,10.15,508,10.377,220
2024-01-16,10.05,10.05,9.62,9.69,533,9.755,217
2024-01-17,9.44,9.67,9.25,9.49,1745,9.342,290
2024-01-18,9.57,9.57,8.94,9.22,576,9.21,309
2024-01-19,9.31,9.58,8.7,9.25,1063,9.193,252
2024-01-22,9.69,9.71,9.09,9.66,447,9.503,256
2024-01-23,9.88,10.23,9.44,9.58,591,9.575,283
2024-01-24,9.81,9.81,9.15,9.37,449,9.355,230
2024-01-25,9.6,9.65,9.13,9.51,404,9.489,141
2024-01-26,9.77,9.77,9.26,9.33,244,9.435,105
2024-01-29,9.36,9.6,9.16,9.52,462,9.408,264
2024-01-30,9.46,9.46,8.76,9.16,634,9.066,225
2024-01-31,9.17,9.23,8.52,8.56,313,8.733,172
2024-02-01,8.7,8.7,7.87,8.49,909,8.3,499
2024-02-02,8.29,8.54,8.01,8.32,289,8.298,143
2024-02-05,8.05,8.96,7.79,8.69,1206,8.306,409
2024-02-06,8.72,9.01,8.61,8.88,351,8.888,207
2024-02-07,8.93,8.93,8.56,8.81,335,8.766,139
2024-02-08,8.8,9.29,8.56,9.2,728,8.881,164
2024-02-09,9.37,9.87,9.29,9.43,287,9.516,117
2024-02-12,9.55,9.73,8.45,8.61,1256,8.661,685
2024-02-13,8.04,8.61,7.81,7.93,1034,7.998,484
2024-02-14,8.03,9.28,7.9,9.04,715,8.622,271
2024-02-15,9.1,9.85,8.27,9.5,497,9.419,212
2024-02-16,9.48,9.63,9.17,9.43,473,9.427,171
2024-02-20,9.35,10.03,8.95,9.96,1740,9.474,253
2024-02-21,10.14,15.28,10.06,13.14,9895,13.414,2971
2024-02-22,13.06,15.87,13.06,14.7,5358,14.538,2172
2024-02-23,14.72,17.99,14.68,15.69,3114,16.396,1406
2024-02-26,15.69,38.8,14.83,33.5,5735,26.365,2817
2024-02-27,32.51,52.0,26.55,50.88,122557,43.339,50656
2024-02-28,49.98,76.99,40.6,46.87,47639,48.687,20780
2024-02-29,48.06,57.19,45.54,46.65,36369,49.119,17632
2024-03-01,48.38,49.63,44.41,47.04,11585,46.876,4897
2024-03-04,46.56,49.02,41.77,42.7,9513,44.422,5083
2024-03-05,42.03,45.98,40.4,43.19,7963,42.989,4498
2024-03-06,42.38,44.34,41.7,42.07,3222,43.137,1928
2024-03-07,44.17,44.17,39.36,40.79,3950,40.425,1955
2024-03-08,39.87,41.68,38.68,40.21,2729,40.091,1743
2024-03-11,39.24,42.65,39.24,39.97,3848,40.471,2068
2024-03-12,39.16,40.32,36.23,38.27,4989,38.121,3116
2024-03-13,39.45,40.32,38.74,39.92,2389,39.517,1358
2024-03-14,40.2,40.31,36.44,37.77,4234,37.746,2044
2024-03-15,37.74,39.98,36.81,39.45,7037,38.847,2321
2024-03-18,39.9,40.3,37.46,38.81,1451,39.104,795
2024-03-19,37.28,40.35,37.23,39.97,9579,38.659,1218
2024-03-20,40.05,41.78,38.02,41.0,3412,39.676,1865
2024-03-21,39.13,40.98,38.58,39.85,4876,39.694,2273
2024-03-22,39.84,40.58,38.51,39.53,1809,39.811,965
2024-03-25,39.85,41.72,38.0,38.0,2205,39.219,811
2024-03-26,38.01,40.31,38.01,38.84,2763,39.548,1303
2024-03-27,39.29,39.89,37.5,37.92,2645,38.117,1463
2024-03-28,38.35,39.23,36.93,37.14,2880,37.698,1160
2024-04-01,38.0,38.1,35.33,37.69,2172,37.236,733
2024-04-02,37.94,37.94,34.75,35.72,3710,35.412,1950
2024-04-03,35.94,36.45,35.11,36.34,2206,35.964,985
2024-04-04,36.5,37.77,35.0,35.0,2208,36.04,1025
2024-04-05,35.16,35.68,34.63,35.12,2143,34.995,1192
2024-04-08,35.14,39.05,34.91,38.63,2196,37.755,1119
2024-04-09,39.94,40.54,38.43,40.03,5698,39.876,2908
2024-04-10,39.38,49.0,38.08,47.48,28023,45.096,12865
2024-04-11,48.98,56.27,45.5,50.94,21637,52.125,10046
2024-04-12,50.06,54.76,49.04,53.5,11954,52.798,5636
2024-04-15,52.65,54.59,50.43,51.86,7571,51.661,4017
2024-04-16,51.9,52.33,49.65,49.65,4006,51.078,1979
2024-04-17,50.11,51.4,45.63,47.89,4403,48.638,2231
2024-04-18,48.01,49.94,47.32,49.75,2559,48.222,1271
2024-04-19,49.39,49.95,46.45,49.0,4998,47.843,2549
2024-04-22,49.95,50.84,44.71,48.88,9060,47.241,3264
2024-04-23,49.31,50.42,48.28,49.78,5409,49.702,2318
2024-04-24,49.95,50.06,46.52,48.21,4551,48.264,1426
2024-04-25,48.3,48.3,45.68,47.1,4319,46.995,1470
2024-04-26,47.08,48.23,46.51,47.39,4340,47.465,2147
2024-04-29,47.85,61.0,47.58,56.77,12044,54.849,6473
2024-04-30,55.59,57.11,53.6,57.0,4747,55.916,2252
2024-05-01,56.94,60.05,55.53,58.19,6587,57.643,3403
2024-05-02,58.5,64.79,56.41,61.28,8594,60.83,4138
2024-05-03,63.99,66.25,59.31,66.25,7465,63.62,3980
2024-05-06,65.0,65.01,57.11,62.2,5599,61.122,3289
2024-05-07,62.67,63.38,60.39,60.5,3599,61.735,2444
2024-05-08,61.0,61.0,51.3,54.27,12291,54.291,6764
2024-05-09,55.41,55.41,50.6,51.25,12276,52.217,5410
2024-05-10,53.0,53.54,48.54,48.92,8030,50.994,3833
2024-05-13,48.92,50.08,47.72,47.72,6448,49.203,2274
2024-05-14,48.66,51.33,47.51,47.91,4954,48.463,2663
2024-05-15,49.19,49.87,46.69,49.51,7423,48.42,3170
2024-05-16,47.18,48.25,46.57,47.51,4337,47.374,2067
2024-05-17,47.76,47.97,46.79,47.1,3998,47.203,2415
2024-05-20,47.66,49.5,46.95,47.99,7163,47.902,3320
2024-05-21,46.84,48.45,44.75,44.84,7166,46.065,2638
2024-05-22,45.69,46.3,44.6,45.35,2410,45.227,1360
2024-05-23,47.16,47.16,42.96,43.02,4288,44.021,2772
2024-05-24,42.99,45.4,42.7,44.62,4444,44.038,2526
2024-05-28,46.36,47.36,43.89,47.25,4037,46.098,2331
2024-05-29,44.89,47.9,44.89,47.6,3311,46.896,1866
2024-05-30,47.95,50.62,47.37,50.41,9234,49.079,3303
2024-05-31,50.82,54.5,50.56,53.5,6205,53.261,2412
2024-06-03,54.44,56.0,53.29,54.0,23203,54.832,2957
2024-06-04,54.84,54.85,47.69,48.36,14126,49.45,5940
2024-06-05,48.51,48.52,45.7,46.77,7040,47.022,3735
2024-06-06,45.63,46.03,41.91,42.29,9701,43.485,4807
2024-06-07,42.0,44.66,42.0,44.16,2901,43.557,1606
2024-06-10,43.78,43.99,42.19,43.38,5397,43.07,2937
2024-06-11,42.96,43.16,41.88,42.03,4500,42.457,1727
2024-06-12,42.04,44.48,42.04,42.75,3220,42.955,1829
2024-06-13,42.88,43.86,42.29,42.37,3134,42.985,1766
2024-06-14,41.9,42.95,41.02,42.0,3166,42.317,1794
2024-06-17,42.69,42.76,40.0,40.08,4952,40.742,2365
2024-06-18,40.15,42.02,39.39,39.42,2741,40.656,1774
2024-06-20,40.01,40.71,39.0,40.3,3767,39.874,2358
2024-06-21,40.55,41.92,39.13,40.96,18758,40.851,3143
2024-06-24,40.9,44.05,40.18,43.22,6203,42.813,2423
2024-06-25,43.11,43.55,40.99,41.47,3406,42.31,2215
2024-06-26,41.16,41.19,39.01,39.8,3330,39.693,2135
2024-06-27,39.92,40.99,39.06,40.34,3031,40.013,1958
2024-06-28,40.74,42.15,40.62,41.89,20939,41.8,2924
2024-07-01,42.98,43.02,41.2,41.72,5030,42.006,2058
2024-07-02,41.75,42.02,39.22,39.46,3237,40.013,1619
2024-07-03,39.85,39.85,37.72,38.5,3175,38.464,1700
2024-07-05,38.56,39.95,38.09,39.9,2965,39.316,1583
2024-07-08,40.79,43.96,39.16,39.45,3380,40.117,2182
2024-07-09,39.4,42.29,38.34,41.7,4526,40.673,2473
2024-07-10,42.18,42.8,41.25,41.25,3642,42.035,1706
2024-07-11,42.28,43.36,41.69,42.28,4718,42.53,2261
2024-07-12,42.95,44.29,42.31,44.23,3837,43.554,2309
