date,open,high,low,close,volume,average,barCount
2024-05-23,6.72,6.72,6.4214,6.53,240,6.56255,89
2024-05-24,6.57,6.65,6.45,6.5,264,6.50918,60
2024-05-28,6.59,6.74,6.51,6.69,253,6.62347,94
2024-05-29,6.62,6.62,6.42,6.43,254,6.49412,91
2024-05-30,6.52,6.5699,6.5,6.51,123,6.51839,27
2024-05-31,6.53,6.58,6.49,6.52,121,6.52685,40
2024-06-03,6.46,6.7,6.46,6.6,241,6.63386,60
2024-06-04,6.69,6.88,6.5701,6.85,330,6.78949,145
2024-06-05,6.85,6.9,6.716,6.79,133,6.82933,75
2024-06-06,6.67,6.9,6.67,6.9,115,6.80709,46
2024-06-07,6.79,6.9,6.66,6.73,879,6.81483,209
2024-06-10,6.67,7.2,6.54,6.97,614,6.99099,205
2024-06-11,6.9,7.25,6.9,6.98,224,7.01487,107
2024-06-12,7.045,7.045,6.67,6.74,528,6.79843,140
2024-06-13,6.8001,6.84,6.39,6.39,563,6.55524,178
2024-06-14,6.31,6.4868,6.01,6.15,526,6.16781,196
2024-06-17,6.32,6.32,6.03,6.1,667,6.11274,155
2024-06-18,6.15,6.29,6.1,6.1,202,6.1828,84
2024-06-20,6.15,6.24,6.057,6.24,377,6.09485,71
2024-06-21,6.31,6.31,6.16,6.175,100,6.21227,27
2024-06-24,6.14,6.17,6.11,6.12,47,6.15513,19
2024-06-25,6.2,6.2799,6.16,6.23,58,6.2316,31
2024-06-26,6.27,6.4699,6.16,6.25,430,6.25709,119
2024-06-27,6.23,6.335,6.18,6.23,88,6.23675,32
2024-06-28,6.31,6.35,6.1716,6.18,227,6.23943,71
2024-07-01,6.12,6.2899,6.12,6.19,205,6.17904,53
2024-07-02,6.27,6.48,6.16,6.3,182,6.20242,61
2024-07-03,6.37,6.38,6.19,6.23,335,6.26396,69
2024-07-05,6.34,6.34,6.13,6.29,826,6.24508,116
2024-07-08,6.29,6.29,6.15,6.25,178,6.23816,51
2024-07-09,6.24,6.24,6.16,6.16,108,6.18994,53
2024-07-10,6.22,6.3,6.16,6.3,386,6.21894,142
2024-07-11,6.12,6.32,6.12,6.18,242,6.2057,57
