date,open,high,low,close,volume,average,barCount
2024-12-03,4.0,9.27,3.86,5.49,19328,6.833,5657
2024-12-04,5.24,6.2,5.05,5.54,2135,5.627,696
2024-12-05,5.52,6.1,5.25,6.09,5362,5.717,695
2024-12-06,6.21,7.88,6.21,7.79,1671,7.079,459
2024-12-09,7.97,8.55,6.91,8.04,2006,7.891,688
2024-12-10,8.16,17.77,8.0,9.5,9195,10.521,2805
2024-12-11,9.5,11.8,9.01,11.5,3877,10.153,953
2024-12-12,12.99,19.0,12.5,15.37,7920,15.068,2658
2024-12-13,17.24,17.61,10.25,12.21,6720,12.535,1707
2024-12-16,12.5,13.21,9.49,10.27,3437,10.762,1025
2024-12-17,11.0,13.0,11.0,12.03,1416,11.985,463
