date,open,high,low,close,volume,average,barCount
2025-02-20 05:00:00,1.64,1.64,1.64,1.64,2,1.64,1
2025-02-20 06:00:00,2.49,2.5,2.49,2.5,3,2.49667,3
2025-02-20 07:00:00,2.69,2.7,2.69,2.7,8,2.69551,3
2025-02-20 08:00:00,2.75,2.82,2.72,2.82,27,2.7505,17
2025-02-20 09:00:00,2.78,2.83,2.31,2.33,1434,2.50201,478
2025-02-20 10:00:00,2.32,2.33,2.17,2.32,673,2.24578,250
2025-02-20 11:00:00,2.315,2.34,2.19,2.26,536,2.25856,295
2025-02-20 12:00:00,2.26,2.365,2.255,2.34,256,2.32312,102
2025-02-20 13:00:00,2.3464,2.4,2.33,2.4,498,2.36215,156
2025-02-20 14:00:00,2.4,2.48,2.37,2.46,1105,2.41261,316
2025-02-20 15:00:00,2.46,2.5,2.42,2.44,633,2.46019,317
2025-02-20 16:00:00,2.45,2.45,2.45,2.45,266,2.45,1
2025-02-20 17:00:00,2.45,2.45,2.45,2.45,0,2.45,0
2025-02-20 18:00:00,2.45,2.45,2.45,2.45,0,2.45,0
2025-02-20 19:00:00,2.5,2.57,2.5,2.57,2,2.535,2
2025-02-21 09:00:00,2.5,2.73,2.5,2.56,1842,2.60015,459
2025-02-21 10:00:00,2.555,2.58,2.5,2.545,230,2.5295,111
2025-02-21 11:00:00,2.55,2.61,2.545,2.59,117,2.58486,90
2025-02-21 12:00:00,2.59,2.61,2.555,2.605,248,2.59181,148
2025-02-21 13:00:00,2.6,2.66,2.56,2.565,550,2.62485,241
2025-02-21 14:00:00,2.565,2.565,2.48,2.535,1081,2.51673,458
2025-02-21 15:00:00,2.54,2.56,2.485,2.49,1320,2.52496,632
2025-02-21 16:00:00,2.5,2.5,2.5,2.5,758,2.5,2
2025-02-21 17:00:00,2.46,2.46,2.46,2.46,3,2.46,1
2025-02-21 18:00:00,2.46,2.46,2.46,2.46,0,2.46,0
2025-02-21 19:00:00,2.46,2.46,2.38,2.38,14,2.40674,5
2025-02-24 08:00:00,2.46,2.46,2.46,2.46,1,2.46,1
2025-02-24 09:00:00,2.47,2.5,2.4,2.4,585,2.47097,140
2025-02-24 10:00:00,2.4,2.4,2.2901,2.3214,2191,2.31243,983
2025-02-24 11:00:00,2.325,2.37,2.29,2.325,1775,2.32174,650
2025-02-24 12:00:00,2.325,2.38,2.27,2.275,2274,2.33174,683
2025-02-24 13:00:00,2.2713,2.3,2.14,2.16,3645,2.19999,1107
2025-02-24 14:00:00,2.165,2.22,2.06,2.22,4560,2.11131,896
2025-02-24 15:00:00,2.23,2.27,2.045,2.13,7851,2.11478,2130
2025-02-24 16:00:00,2.13,2.13,2.1,2.1,709,2.12996,3
2025-02-24 17:00:00,2.14,2.14,2.14,2.14,1,2.14,1
2025-02-24 18:00:00,2.14,2.14,2.14,2.14,0,2.14,0
2025-02-24 19:00:00,2.14,2.14,2.14,2.14,0,2.14,0
2025-02-25 09:00:00,2.14,2.22,2.13,2.15,646,2.16962,133
2025-02-25 10:00:00,2.14,2.14,2.04,2.105,1031,2.08588,515
2025-02-25 11:00:00,2.1,2.12,2.04,2.085,1191,2.07507,443
2025-02-25 12:00:00,2.085,2.105,2.05,2.08,1261,2.075,478
2025-02-25 13:00:00,2.09,2.09,2.04,2.045,1547,2.05377,643
2025-02-25 14:00:00,2.045,2.09,2.035,2.04,2586,2.05342,777
2025-02-25 15:00:00,2.04,2.07,2.025,2.04,1446,2.04345,611
2025-02-25 16:00:00,2.04,2.04,2.04,2.04,504,2.04,1
2025-02-25 17:00:00,2.04,2.04,2.04,2.04,0,2.04,0
2025-02-25 18:00:00,2.04,2.04,2.04,2.04,0,2.04,0
2025-02-25 19:00:00,2.04,2.04,2.04,2.04,0,2.04,0
2025-02-26 09:00:00,2.06,2.09,2.02,2.09,265,2.06081,63
2025-02-26 10:00:00,2.1,2.1199,2.08,2.095,178,2.10121,106
2025-02-26 11:00:00,2.095,2.17,2.09,2.135,416,2.13678,167
2025-02-26 12:00:00,2.13,2.16,2.125,2.16,407,2.15084,199
2025-02-26 13:00:00,2.1591,2.185,2.155,2.165,363,2.17216,167
2025-02-26 14:00:00,2.1699,2.188,2.16,2.16,201,2.17459,138
2025-02-26 15:00:00,2.165,2.19,2.15,2.17,1399,2.16976,616
2025-02-26 16:00:00,2.17,2.17,2.17,2.17,617,2.17,5
2025-02-26 17:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-26 18:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-26 19:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-27 04:00:00,2.47,2.47,2.47,2.47,5,2.47,1
2025-02-27 05:00:00,2.47,2.47,2.47,2.47,0,2.47,0
2025-02-27 06:00:00,2.47,2.47,2.47,2.47,0,2.47,0
2025-02-27 07:00:00,2.47,2.47,2.47,2.47,0,2.47,0
2025-02-27 08:00:00,2.47,2.47,2.47,2.47,0,2.47,0
2025-02-27 09:00:00,2.17,2.17,2.075,2.075,126,2.14444,52
2025-02-27 10:00:00,2.0799,2.19,2.07,2.16,368,2.13326,154
2025-02-27 11:00:00,2.16,2.185,2.16,2.165,102,2.17583,55
2025-02-27 12:00:00,2.165,2.2,2.15,2.155,352,2.17384,160
2025-02-27 13:00:00,2.155,2.185,2.155,2.18,193,2.16363,83
2025-02-27 14:00:00,2.17,2.18,2.05,2.085,756,2.09314,310
2025-02-27 15:00:00,2.085,2.1,2.06,2.08,400,2.07701,266
2025-02-27 16:00:00,2.08,2.08,2.08,2.08,366,2.08,2
2025-02-27 17:00:00,2.08,2.08,2.08,2.08,0,2.08,0
2025-02-27 18:00:00,2.08,2.08,2.08,2.08,0,2.08,0
2025-02-27 19:00:00,2.08,2.08,2.08,2.08,0,2.08,0
2025-02-28 08:00:00,2.15,2.15,2.15,2.15,1,2.15,1
2025-02-28 09:00:00,2.05,2.08,2.015,2.06,121,2.05852,48
2025-02-28 10:00:00,2.06,2.125,2.05,2.12,399,2.08366,130
2025-02-28 11:00:00,2.125,2.13,2.1,2.125,108,2.10814,80
2025-02-28 12:00:00,2.12,2.12,2.085,2.085,108,2.10211,71
2025-02-28 13:00:00,2.09,2.1,2.08,2.08,187,2.08999,115
2025-02-28 14:00:00,2.085,2.09,2.07,2.075,125,2.08182,101
2025-02-28 15:00:00,2.075,2.13,2.075,2.115,1191,2.11013,621
2025-02-28 16:00:00,2.12,2.12,2.12,2.12,545,2.12,3
2025-02-28 17:00:00,2.12,2.12,2.12,2.12,0,2.12,0
2025-02-28 18:00:00,2.12,2.12,2.12,2.12,0,2.12,0
2025-02-28 19:00:00,2.12,2.12,2.12,2.12,0,2.12,0
2025-03-03 08:00:00,2.12,2.1215,2.12,2.1215,9,2.12021,5
2025-03-03 09:00:00,2.12,2.134,2.06,2.07,320,2.08135,61
2025-03-03 10:00:00,2.06,2.095,2.05,2.08,267,2.06413,79
2025-03-03 11:00:00,2.0755,2.085,2.0502,2.065,106,2.06891,50
2025-03-03 12:00:00,2.065,2.075,2.04,2.045,85,2.0571,47
2025-03-03 13:00:00,2.045,2.05,2.005,2.005,199,2.02816,103
2025-03-03 14:00:00,2.005,2.03,1.99,1.995,306,2.00881,165
2025-03-03 15:00:00,1.995,1.995,1.945,1.975,557,1.96832,348
2025-03-03 16:00:00,1.97,1.97,1.97,1.97,465,1.97,4
2025-03-03 17:00:00,1.97,1.97,1.97,1.97,0,1.97,0
2025-03-03 18:00:00,1.97,1.97,1.97,1.97,0,1.97,0
2025-03-03 19:00:00,1.97,1.97,1.97,1.97,0,1.97,0
2025-03-04 08:00:00,1.89,1.89,1.89,1.89,1,1.89,1
2025-03-04 09:00:00,1.88,1.94,1.8001,1.925,635,1.8838,124
2025-03-04 10:00:00,1.92,1.92,1.8601,1.905,597,1.8977,318
2025-03-04 11:00:00,1.9,1.915,1.87,1.915,453,1.88616,224
2025-03-04 12:00:00,1.915,1.94,1.9001,1.935,410,1.9175,208
2025-03-04 13:00:00,1.94,1.95,1.92,1.935,642,1.93331,337
2025-03-04 14:00:00,1.935,1.955,1.935,1.95,478,1.94541,264
2025-03-04 15:00:00,1.95,1.995,1.94,1.94,1036,1.96551,581
2025-03-04 16:00:00,1.94,1.94,1.94,1.94,410,1.94,2
2025-03-04 17:00:00,1.94,1.94,1.94,1.94,0,1.94,0
2025-03-04 18:00:00,1.94,1.94,1.94,1.94,0,1.94,0
2025-03-04 19:00:00,1.94,1.94,1.94,1.94,0,1.94,0
2025-03-05 09:00:00,1.91,1.99,1.91,1.93,95,1.92224,30
2025-03-05 10:00:00,1.93,1.98,1.92,1.98,446,1.95016,255
2025-03-05 11:00:00,1.97,1.99,1.945,1.985,582,1.96194,369
2025-03-05 12:00:00,1.985,2.01,1.97,2.005,400,1.99369,276
2025-03-05 13:00:00,2.0,2.005,1.97,2.0,293,1.9875,219
2025-03-05 14:00:00,1.99,2.05,1.99,2.04,874,2.02091,429
2025-03-05 15:00:00,2.03,2.04,2.0,2.01,828,2.01278,509
2025-03-05 16:00:00,2.0,2.0,2.0,2.0,446,2.0,1
2025-03-05 17:00:00,2.0,2.0,2.0,2.0,0,2.0,0
2025-03-05 18:00:00,2.0,2.0,2.0,2.0,0,2.0,0
2025-03-05 19:00:00,2.0,2.0,2.0,2.0,0,2.0,0
2025-03-06 09:00:00,1.96,2.02,1.9401,1.99,166,1.97998,83
2025-03-06 10:00:00,2.0,2.045,1.99,2.0385,161,2.03013,100
2025-03-06 11:00:00,2.04,2.07,2.015,2.015,257,2.05074,191
2025-03-06 12:00:00,2.015,2.015,1.985,2.01,216,1.99708,114
2025-03-06 13:00:00,2.01,2.01,1.96,1.97,386,1.9777,161
