date,open,high,low,close,volume,average,barCount
2023-12-20,1.64,1.8,1.58,1.67,11372,1.71144,2651
2023-12-21,1.68,1.785,1.65,1.77,6031,1.71873,1748
2023-12-22,1.76,1.85,1.74,1.77,6759,1.79821,2422
2023-12-26,1.72,1.955,1.72,1.94,10270,1.88429,2185
2023-12-27,2.0,2.08,1.92,2.05,12442,2.01582,3659
2023-12-28,2.01,2.12,1.98,2.09,8429,2.06739,2633
2023-12-29,2.06,2.085,1.96,2.03,5907,2.01506,1678
2024-01-02,2.02,2.07,1.93,2.05,8434,2.00914,2531
2024-01-03,2.01,2.065,1.945,1.99,8293,2.00642,2920
2024-01-04,1.97,2.215,1.95,2.13,17435,2.12772,4664
2024-01-05,2.13,2.245,2.04,2.115,16364,2.14907,4801
2024-01-08,2.2,2.38,2.08,2.34,20917,2.26191,5827
2024-01-09,2.33,2.42,2.22,2.41,10233,2.35271,3545
2024-01-10,2.42,2.44,2.26,2.3,14695,2.34389,3950
2024-01-11,2.29,2.305,2.185,2.26,7367,2.24374,2582
2024-01-12,2.26,2.4599,2.25,2.3,13510,2.35471,4363
2024-01-16,2.35,2.35,2.12,2.17,14654,2.23875,4581
2024-01-17,2.15,2.15,1.95,2.0,12079,1.99971,3989
2024-01-18,2.02,2.08,1.97,2.07,6628,2.03981,2578
2024-01-19,2.08,2.09,1.91,2.01,9606,1.99322,3478
2024-01-22,2.03,2.18,2.03,2.12,7514,2.12437,2919
2024-01-23,2.15,2.215,2.03,2.06,7553,2.08671,2470
2024-01-24,2.09,2.13,2.0,2.02,8301,2.05856,3071
2024-01-25,2.04,2.045,1.93,1.95,6346,1.97015,2211
2024-01-26,1.95,1.9901,1.895,1.91,6426,1.92536,2356
2024-01-29,1.87,1.965,1.86,1.93,6913,1.91167,2028
2024-01-30,1.93,1.93,1.84,1.84,6367,1.87446,1894
2024-01-31,1.83,1.8877,1.79,1.79,7969,1.84453,2335
2024-02-01,1.81,1.85,1.75,1.84,8094,1.80891,2890
2024-02-02,2.36,2.555,2.261,2.34,233667,2.41147,52202
2024-02-05,2.35,2.54,2.265,2.31,74396,2.42499,19813
2024-02-06,2.31,2.3105,2.15,2.16,28223,2.21878,9547
2024-02-07,2.16,2.18,1.95,2.0,28464,2.01471,8120
2024-02-08,2.09,2.29,2.08,2.22,29850,2.21528,9359
2024-02-09,2.26,2.4699,2.23,2.44,30508,2.39169,7581
2024-02-12,2.5,2.68,2.455,2.66,35337,2.59902,8210
2024-02-13,2.6,2.65,2.5202,2.62,20096,2.57856,6519
2024-02-14,2.67,2.82,2.645,2.76,25207,2.74808,7017
2024-02-15,2.77,2.8,2.63,2.72,15341,2.69424,4523
2024-02-16,2.7,2.79,2.6,2.68,13004,2.69174,4613
2024-02-20,2.68,2.73,2.435,2.49,19006,2.5264,5725
2024-02-21,2.47,2.47,2.33,2.35,9138,2.37394,3207
2024-02-22,2.37,2.41,2.26,2.26,9454,2.31794,2954
2024-02-23,2.27,2.42,2.2,2.35,12303,2.33619,4577
2024-02-26,2.36,2.51,2.36,2.44,8790,2.44232,3037
2024-02-27,2.41,2.5,2.395,2.48,8415,2.46592,2726
2024-02-28,2.52,2.61,2.43,2.43,10620,2.51782,2732
2024-02-29,2.48,2.67,2.48,2.62,17747,2.60139,5180
2024-03-01,2.68,2.6901,2.58,2.62,14350,2.63911,4406
2024-03-04,2.69,2.7695,2.66,2.67,16119,2.71591,4236
2024-03-05,2.65,2.65,2.415,2.46,15890,2.51424,4049
2024-03-06,2.48,2.57,2.4,2.51,10119,2.48102,3410
2024-03-07,2.52,2.57,2.49,2.5,6079,2.5233,2031
2024-03-08,2.55,2.61,2.42,2.44,10778,2.50398,3374
2024-03-11,2.45,2.455,2.3809,2.41,6271,2.41862,2401
2024-03-12,2.39,2.41,2.28,2.36,14244,2.34683,3691
2024-03-13,2.36,2.39,2.3,2.32,6649,2.33146,2358
2024-03-14,2.32,2.325,2.17,2.19,12808,2.23443,3938
2024-03-15,1.95,2.01,1.86,1.9,26758,1.95159,7789
2024-03-18,1.98,2.205,1.98,2.04,20868,2.08939,6820
2024-03-19,2.0,2.04,1.89,1.9,21859,1.92732,7484
2024-03-20,1.9,1.97,1.78,1.94,24486,1.85418,6605
2024-03-21,2.01,2.105,1.91,2.06,22404,2.02538,7289
2024-03-22,2.07,2.07,1.89,1.9,10950,1.93392,3472
2024-03-25,1.9,1.95,1.87,1.87,7366,1.90409,2111
2024-03-26,1.88,1.9,1.8,1.83,10199,1.84099,2772
2024-03-27,1.86,1.89,1.8117,1.85,6521,1.8577,2592
2024-03-28,1.86,1.87,1.77,1.8,8616,1.80112,2416
2024-04-01,1.8,1.82,1.73,1.745,9322,1.75947,2793
2024-04-02,1.72,1.735,1.6,1.65,12648,1.64312,4200
2024-04-03,1.61,1.6399,1.56,1.61,9817,1.59301,2332
2024-04-04,1.65,1.73,1.61,1.625,8899,1.67719,3147
2024-04-05,1.59,1.67,1.59,1.64,6707,1.633,1822
2024-04-08,1.65,1.72,1.64,1.65,3863,1.66772,1519
2024-04-09,1.65,1.69,1.615,1.63,5667,1.64271,2060
2024-04-10,1.61,1.62,1.56,1.57,6517,1.57839,2367
2024-04-11,1.57,1.6,1.55,1.58,4758,1.57223,1873
2024-04-12,1.57,1.57,1.47,1.49,8267,1.50787,1834
2024-04-15,1.48,1.48,1.34,1.42,12253,1.40534,3534
2024-04-16,1.42,1.42,1.34,1.37,5162,1.37169,1474
2024-04-17,1.37,1.3901,1.23,1.28,12747,1.29136,3287
2024-04-18,1.28,1.31,1.24,1.26,8751,1.27655,1863
2024-04-19,1.25,1.29,1.19,1.22,7292,1.23585,2108
2024-04-22,1.23,1.31,1.21,1.29,9605,1.25712,3637
2024-04-23,1.29,1.3,0.95,0.9633,73342,1.04523,11854
2024-04-24,0.97,1.035,0.855,0.858,42015,0.91851,8741
2024-04-25,0.86,0.875,0.6679,0.8132,123600,0.73544,16983
2024-04-26,0.8079,0.8999,0.7706,0.7838,34213,0.83106,6296
2024-04-29,0.82,0.87,0.7617,0.8058,27805,0.79855,6502
2024-04-30,0.82,0.8799,0.7705,0.786,19415,0.81536,4757
2024-05-01,0.8,0.8262,0.7517,0.78,19089,0.77582,4279
2024-05-02,0.82,0.8354,0.7523,0.8041,24205,0.78355,5567
2024-05-03,0.8292,0.87,0.7816,0.8195,19226,0.81675,3799
2024-05-06,0.8414,0.9182,0.8301,0.9057,19296,0.88176,3890
2024-05-07,0.92,0.92,0.8305,0.8314,11067,0.86568,2786
2024-05-08,0.8558,0.8558,0.7901,0.8088,9943,0.8034,2470
2024-05-09,0.81,0.82,0.7627,0.7971,8920,0.79162,2623
2024-05-10,0.815,0.815,0.75,0.7621,10815,0.76346,2252
2024-05-13,0.791,0.7997,0.752,0.7624,8876,0.76728,2098
2024-05-14,0.84,0.844,0.7512,0.8299,19932,0.80501,4148
2024-05-15,0.84,0.849,0.7806,0.8264,15855,0.79795,3029
2024-05-16,0.83,0.8888,0.8018,0.8327,16018,0.83389,3091
2024-05-17,0.8496,0.8569,0.805,0.8177,5656,0.82277,1435
2024-05-20,0.82,0.8486,0.807,0.838,4208,0.83287,1389
2024-05-21,0.85,0.8798,0.82,0.8581,11226,0.85627,2525
2024-05-22,0.88,0.8913,0.8151,0.8205,12679,0.84062,2715
2024-05-23,0.8399,0.842,0.769,0.8015,17694,0.79011,4093
2024-05-24,0.8,0.845,0.7915,0.82,5871,0.82281,1860
2024-05-28,0.8295,0.8934,0.82,0.8355,13362,0.85495,3305
2024-05-29,0.8388,0.843,0.8033,0.8239,7844,0.82076,1648
2024-05-30,0.81,0.8312,0.7814,0.7952,6274,0.80597,1715
2024-05-31,0.8,0.8344,0.7813,0.8019,5585,0.79711,1328
2024-06-03,0.81,0.8277,0.7879,0.8019,5347,0.80444,1081
2024-06-04,0.8,0.8039,0.771,0.7921,5781,0.78197,1041
2024-06-05,0.7982,0.8142,0.7854,0.7992,6164,0.80309,1470
2024-06-06,0.81,0.8151,0.78,0.7805,3314,0.78799,962
2024-06-07,0.8005,0.8005,0.74,0.7513,7083,0.76156,1352
2024-06-10,0.76,0.78,0.7301,0.7729,4508,0.766,997
2024-06-11,0.779,0.779,0.7558,0.7644,3117,0.76383,943
2024-06-12,0.744,0.798,0.744,0.7844,5658,0.77604,1139
2024-06-13,0.79,0.798,0.735,0.735,6036,0.75588,1186
2024-06-14,0.735,0.74,0.7049,0.7196,6067,0.71498,1177
2024-06-17,0.7135,0.7254,0.682,0.7048,5440,0.69667,1130
2024-06-18,0.758,0.7599,0.705,0.71,7046,0.73068,1488
2024-06-20,0.7156,0.73,0.69,0.7031,4633,0.70633,1117
2024-06-21,0.69,0.7,0.6818,0.685,2899,0.69175,720
2024-06-24,0.7028,0.7139,0.685,0.6939,3318,0.6976,724
