date,open,high,low,close,volume,average,barCount
2025-02-20 06:00:00,8.3,8.3,8.3,8.3,1,8.3,1
2025-02-20 07:00:00,8.3,8.3,8.3,8.3,0,8.3,0
2025-02-20 08:00:00,8.3,8.3,8.3,8.3,0,8.3,0
2025-02-20 09:00:00,8.3,8.36,8.18,8.25,306,8.255,147
2025-02-20 10:00:00,8.25,8.33,8.21,8.26,522,8.253,327
2025-02-20 11:00:00,8.25,8.3,8.22,8.27,320,8.254,223
2025-02-20 12:00:00,8.27,8.27,8.15,8.16,420,8.206,245
2025-02-20 13:00:00,8.16,8.22,8.13,8.15,605,8.166,312
2025-02-20 14:00:00,8.16,8.17,8.03,8.03,494,8.081,325
2025-02-20 15:00:00,8.03,8.2,7.99,8.14,2047,8.103,1095
2025-02-20 16:00:00,8.15,8.47,8.15,8.47,1389,8.15,15
2025-02-20 17:00:00,8.4,8.41,8.4,8.41,42,8.401,5
2025-02-20 18:00:00,8.41,8.41,8.41,8.41,0,8.41,0
2025-02-20 19:00:00,8.41,8.41,8.41,8.41,0,8.41,0
2025-02-21 09:00:00,8.28,8.36,8.2,8.25,664,8.265,275
2025-02-21 10:00:00,8.24,8.3,8.24,8.26,470,8.261,322
2025-02-21 11:00:00,8.27,8.35,8.23,8.34,780,8.292,531
2025-02-21 12:00:00,8.34,8.35,8.28,8.3,505,8.31,323
2025-02-21 13:00:00,8.29,8.35,8.25,8.29,582,8.291,404
2025-02-21 14:00:00,8.3,8.3,8.19,8.28,637,8.262,506
2025-02-21 15:00:00,8.27,8.32,8.23,8.27,1654,8.271,1123
2025-02-21 16:00:00,8.25,8.25,8.25,8.25,2691,8.25,19
2025-02-21 17:00:00,8.25,8.25,8.25,8.25,0,8.25,0
2025-02-21 18:00:00,8.25,8.25,8.25,8.25,0,8.25,0
2025-02-21 19:00:00,8.25,8.25,8.25,8.25,0,8.25,0
2025-02-24 09:00:00,8.21,8.21,8.06,8.09,236,8.149,113
2025-02-24 10:00:00,8.07,8.07,7.86,7.97,1087,7.962,540
2025-02-24 11:00:00,7.96,8.02,7.9,7.98,647,7.979,329
2025-02-24 12:00:00,7.98,8.03,7.97,7.98,270,7.998,157
2025-02-24 13:00:00,7.98,7.99,7.9,7.92,328,7.944,192
2025-02-24 14:00:00,7.93,7.95,7.87,7.91,396,7.892,187
2025-02-24 15:00:00,7.91,7.94,7.85,7.86,1586,7.894,756
2025-02-24 16:00:00,7.88,7.88,7.86,7.88,1479,7.88,21
2025-02-24 17:00:00,7.88,7.88,7.88,7.88,0,7.88,0
2025-02-24 18:00:00,7.88,7.88,7.88,7.88,0,7.88,0
2025-02-24 19:00:00,7.88,7.88,7.88,7.88,0,7.88,0
2025-02-25 09:00:00,7.94,7.95,7.78,7.84,521,7.839,182
