date,open,high,low,close,volume,average,barCount
2023-12-20,27.17,29.46,26.8,28.53,6676,28.398,4031
2023-12-21,29.07,29.49,28.53,28.59,4258,28.85,2821
2023-12-22,28.85,29.75,28.59,29.06,3218,29.302,2183
2023-12-26,29.0,29.49,28.36,28.36,4114,28.723,1551
2023-12-27,28.54,28.71,27.69,28.21,3833,28.188,1733
2023-12-28,28.32,28.63,27.87,28.16,4063,28.155,2477
2023-12-29,28.12,28.61,27.42,27.78,3630,27.761,2414
2024-01-02,27.55,27.67,26.56,27.01,5617,27.065,3626
2024-01-03,26.98,27.0,26.16,26.69,4948,26.657,2989
2024-01-04,26.4,26.99,26.28,26.48,5778,26.522,3169
2024-01-05,26.45,26.79,25.66,26.32,3196,26.248,1978
2024-01-08,26.1,27.75,25.92,27.16,4895,27.13,2440
2024-01-09,26.97,27.68,26.5,27.48,3008,27.343,1973
2024-01-10,27.71,27.78,26.46,26.56,6439,26.948,3336
2024-01-11,26.45,26.76,25.81,25.95,8867,26.081,3499
2024-01-12,26.0,26.99,26.0,26.19,3888,26.462,1840
2024-01-16,25.87,26.29,25.42,25.85,4071,25.759,2480
2024-01-17,25.64,26.25,25.35,25.61,3922,25.791,2226
2024-01-18,26.22,26.22,23.93,24.51,14034,24.618,6230
2024-01-19,24.57,25.37,24.09,25.26,6577,24.862,3581
2024-01-22,25.63,26.93,25.14,25.15,4092,25.753,2451
2024-01-23,25.34,25.34,24.44,24.95,5045,24.858,2995
2024-01-24,25.46,25.77,24.12,24.74,4520,24.808,2796
2024-01-25,24.97,25.76,24.66,25.28,4829,25.266,2135
2024-01-26,25.5,25.5,24.63,24.67,2246,24.891,1443
2024-01-29,24.5,25.96,24.35,25.95,3890,25.455,2480
2024-01-30,25.76,26.3,25.29,26.0,4825,25.852,2903
2024-01-31,25.79,26.6,25.42,25.85,7134,26.018,3845
2024-02-01,26.07,27.25,26.0,26.36,8931,26.694,4829
2024-02-02,26.13,28.25,26.13,27.68,8927,27.558,5194
2024-02-05,28.76,28.76,27.17,27.84,7227,27.806,3517
2024-02-06,28.11,28.67,26.97,27.77,6400,27.823,3101
2024-02-07,27.8,28.2,27.14,27.78,3782,27.642,2414
2024-02-08,27.16,29.11,26.65,28.2,5956,28.315,3777
2024-02-09,28.47,30.3,27.75,30.27,11568,29.424,5246
2024-02-12,30.53,32.4,30.31,30.78,10441,31.389,5881
2024-02-13,29.4,30.73,29.24,29.66,7562,29.867,4396
2024-02-14,30.01,31.07,29.66,30.82,4167,30.492,2516
2024-02-15,31.41,31.6,29.55,29.71,3932,30.091,2826
2024-02-16,29.57,30.59,29.25,29.9,4314,30.018,3082
2024-02-20,29.5,29.87,28.11,28.97,3576,28.929,1965
2024-02-21,28.32,28.67,28.02,28.32,2448,28.348,1704
2024-02-22,29.1,29.6,28.44,28.96,4440,28.954,3174
2024-02-23,28.93,29.2,28.51,28.59,3400,28.873,2277
2024-02-26,28.59,29.55,28.52,28.59,4713,28.966,2960
2024-02-27,29.18,30.08,28.84,29.08,9019,29.415,5217
2024-02-28,27.7,28.0,26.17,27.83,24991,27.301,11460
2024-02-29,27.37,28.86,25.4,26.5,45561,26.865,20601
2024-03-01,26.5,28.44,25.77,27.8,26417,27.62,11165
2024-03-04,27.24,27.41,26.3,26.82,9599,26.741,4281
2024-03-05,26.21,26.21,24.88,24.98,8719,25.206,4803
2024-03-06,25.31,25.5,24.41,25.0,15597,24.823,5719
2024-03-07,24.93,26.5,24.74,26.36,17384,25.841,8032
2024-03-08,26.0,26.49,24.9,25.22,17725,25.558,7420
2024-03-11,25.33,25.38,24.68,25.0,8658,25.02,4623
2024-03-12,25.0,25.74,24.76,25.14,11946,25.126,6080
2024-03-13,25.1,25.11,24.67,24.72,5840,24.888,3355
2024-03-14,24.59,24.99,23.41,23.9,15710,23.878,7893
2024-03-15,23.75,24.51,22.82,23.73,40379,23.735,12471
2024-03-18,24.49,25.5,24.1,25.03,11824,24.964,6154
2024-03-19,24.76,26.1,24.48,26.01,11591,25.561,5061
2024-03-20,26.2,26.79,25.78,26.37,7545,26.338,4630
