date,open,high,low,close,volume,average,barCount
2024-05-23,13.33,13.33,12.16,12.43,1660,12.785,502
2024-05-24,12.32,13.44,12.15,13.0,1419,12.788,772
2024-05-28,13.2,13.72,12.82,13.23,2843,13.106,1604
2024-05-29,12.94,13.51,12.01,12.83,7157,12.839,1382
2024-05-30,12.82,13.1,12.26,12.32,1850,12.732,942
2024-05-31,12.35,12.72,11.75,12.53,1856,12.212,993
2024-06-03,15.07,15.24,12.95,13.07,6176,13.743,2976
2024-06-04,14.0,15.06,12.7,12.97,9105,13.825,4020
2024-06-05,13.33,14.56,12.66,14.45,2678,13.592,1284
2024-06-06,15.0,15.02,13.14,13.54,2883,13.741,1405
2024-06-07,13.14,13.56,12.95,13.13,1173,13.235,801
2024-06-10,13.13,14.27,12.98,13.52,3211,13.754,2008
2024-06-11,13.48,13.63,12.77,13.07,3827,13.263,1245
2024-06-12,13.42,14.08,13.04,13.74,3815,13.573,1577
2024-06-13,13.8,16.64,13.8,14.44,13193,14.679,5092
2024-06-14,14.22,14.49,8.8,9.53,38423,9.974,13758
2024-06-17,9.62,9.98,7.82,7.89,23462,8.274,8051
2024-06-18,7.82,8.18,6.75,7.44,12099,7.253,4910
2024-06-20,7.55,8.47,7.45,8.03,4406,8.022,2391
2024-06-21,8.23,8.23,7.23,7.73,3590,7.671,2020
2024-06-24,7.7,8.14,7.51,7.89,1694,7.907,999
2024-06-25,7.84,7.9,7.53,7.74,3303,7.698,2109
2024-06-26,7.65,7.91,7.04,7.27,2614,7.366,1809
2024-06-27,7.08,7.6,6.9,7.36,2499,7.287,1352
2024-06-28,7.37,7.82,7.07,7.5,3115,7.512,1872
2024-07-01,7.45,8.02,7.38,7.81,2354,7.712,1433
2024-07-02,7.75,8.31,7.68,8.05,4442,8.062,2473
2024-07-03,7.94,8.19,7.22,7.68,4281,7.576,2710
2024-07-05,7.67,8.21,6.89,7.0,4629,7.191,2733
2024-07-08,7.06,7.84,6.95,7.65,2917,7.558,1605
2024-07-09,7.65,8.28,7.39,8.23,4765,7.891,2460
2024-07-10,7.94,8.97,7.89,8.46,3634,8.575,1813
2024-07-11,8.64,10.0,8.58,9.61,5803,9.599,1962
2024-07-12,9.74,10.22,9.61,9.79,3600,9.925,1981
2024-07-15,9.8,10.44,9.37,9.91,2352,9.939,1444
2024-07-16,10.95,11.4,10.15,11.07,7237,10.781,3651
2024-07-17,10.86,11.31,10.1,10.5,3568,10.462,1876
2024-07-18,10.8,11.24,10.35,10.48,4710,10.69,2527
2024-07-19,10.6,10.77,9.82,10.01,2782,10.083,1518
2024-07-22,10.35,10.35,9.55,9.71,1719,9.806,1000
2024-07-23,9.63,10.0,9.13,9.41,1540,9.587,1226
2024-07-24,9.29,9.6,8.81,8.92,2943,9.105,1282
2024-07-25,9.0,9.28,8.81,8.9,1696,9.014,890
2024-07-26,9.02,10.07,8.8,9.84,2036,9.532,1170
2024-07-29,9.84,10.08,9.2,9.46,1205,9.519,652
2024-07-30,9.46,9.69,8.67,8.75,1677,8.951,1175
2024-07-31,8.86,9.04,8.25,8.66,1968,8.615,1349
2024-08-01,8.84,8.84,7.68,7.85,3317,7.966,1933
2024-08-02,7.65,7.9,7.18,7.25,3122,7.427,1675
2024-08-05,6.71,7.45,6.46,7.04,5626,6.944,3626
2024-08-06,7.06,7.38,6.64,7.01,2901,7.037,1684
2024-08-07,7.09,7.34,6.77,6.98,3524,6.951,1896
2024-08-08,7.14,7.14,6.45,6.82,5346,6.707,2256
2024-08-09,6.8,6.95,6.4,6.56,5199,6.499,1619
2024-08-12,6.62,6.89,6.3,6.53,4874,6.601,2760
2024-08-13,6.96,7.22,6.62,7.0,4162,6.94,2684
2024-08-14,7.0,7.09,6.64,6.75,1890,6.838,1124
2024-08-15,6.69,7.03,6.61,6.96,2624,6.895,1585
2024-08-16,6.95,7.04,6.68,6.74,1215,6.806,728
2024-08-19,6.78,7.01,6.75,6.98,2077,6.933,1224
2024-08-20,6.99,7.41,6.83,7.41,2734,7.081,1593
2024-08-21,7.52,8.67,7.51,8.4,4387,8.294,2143
2024-08-22,8.39,8.69,7.87,7.95,2480,8.19,1379
2024-08-23,7.98,8.78,7.8,8.09,2840,8.277,1714
2024-08-26,8.2,8.7,7.79,8.39,2206,8.298,1124
2024-08-27,8.26,8.32,7.82,8.05,1493,8.016,850
2024-08-28,7.97,8.01,7.51,7.77,793,7.719,528
2024-08-29,7.81,8.18,7.57,8.02,919,8.031,664
2024-08-30,8.1,8.18,7.85,8.03,1148,8.015,656
2024-09-03,7.93,8.28,7.16,7.36,1599,7.447,837
2024-09-04,7.29,7.7,7.26,7.45,955,7.492,608
2024-09-05,7.47,7.75,7.26,7.58,1072,7.604,642
2024-09-06,7.52,7.69,7.15,7.34,807,7.337,503
2024-09-09,7.33,7.85,7.31,7.38,1135,7.54,743
2024-09-10,7.37,7.55,7.1,7.13,1450,7.233,806
2024-09-11,7.09,7.39,6.88,6.99,2245,6.998,1027
2024-09-12,6.98,7.09,6.67,6.99,2255,6.948,865
2024-09-13,7.04,7.3,7.01,7.2,1504,7.191,833
2024-09-16,7.1,7.15,6.68,6.89,3630,6.872,2128
2024-09-17,7.03,7.09,6.4,6.66,2892,6.663,1665
2024-09-18,6.71,6.87,6.5,6.6,2298,6.659,1301
2024-09-19,6.87,7.35,6.69,6.92,5501,7.059,1959
2024-09-20,6.92,6.92,6.3,6.39,3602,6.589,1504
2024-09-23,6.41,6.42,5.72,5.84,3929,6.048,1618
2024-09-24,5.91,5.98,5.53,5.59,3545,5.66,1198
2024-09-25,5.61,5.63,5.21,5.24,4397,5.361,1179
2024-09-26,5.3,5.52,5.18,5.25,3715,5.377,1379
2024-09-27,5.25,5.35,5.15,5.23,2887,5.23,1613
2024-09-30,5.2,5.28,4.79,4.89,4566,4.982,1974
2024-10-01,4.92,4.98,4.66,4.73,2511,4.759,1335
2024-10-02,4.66,4.81,4.53,4.73,4459,4.699,1557
2024-10-03,4.71,4.98,4.57,4.61,1621,4.659,1018
2024-10-04,4.77,4.77,4.51,4.63,2671,4.624,1092
2024-10-07,4.62,4.63,4.42,4.45,2815,4.503,950
2024-10-08,4.46,4.66,4.45,4.6,2244,4.582,1004
2024-10-09,4.65,4.73,4.47,4.51,2187,4.618,877
2024-10-10,4.51,4.66,4.4,4.55,2904,4.56,1071
2024-10-11,4.57,5.27,4.53,5.25,6408,4.973,2170
2024-10-14,5.32,5.67,5.02,5.61,4959,5.391,1277
