date,open,high,low,close,volume,average,barCount
2024-01-02,49.0498,49.7998,46.0498,46.7998,5433,47.66766166,18499
2024-01-03,45.4498,46.1998,43.9498,44.6998,3642,44.97067515,13463
2024-01-04,44.0998,46.0498,43.3498,45.4498,2503,45.02407488,11078
2024-01-05,45.4498,49.3498,44.6998,49.0498,4476,48.28535857,16549
2024-01-08,50.0997,50.2497,47.0998,49.6498,3378,48.599157,13358
2024-01-09,49.3498,53.5497,47.3998,47.6998,7337,50.56894716,23180
2024-01-10,47.9998,48.5998,42.8998,43.0498,7518,44.25052875,21920
2024-01-11,42.8998,43.7998,42.1498,42.4498,2845,42.77873611,9894
2024-01-12,43.1998,43.6498,37.4998,37.4998,7332,39.21340393,22087
2024-01-16,38.8498,38.8498,35.2498,35.5498,4294,36.35306823,11558
2024-01-17,34.6498,34.7998,32.0998,33.8998,6008,33.17008415,20557
2024-01-18,34.4998,35.8498,32.2498,32.3998,5230,33.58468208,19532
2024-01-19,32.9998,33.5998,31.3498,33.1498,5057,32.63518682,19186
2024-01-22,33.5998,36.1498,33.1498,35.2498,3760,34.57572712,15097
2024-01-23,36.7498,40.0498,36.4498,40.0498,4563,38.50105749,17833
2024-01-24,41.0998,43.7998,40.0498,42.8998,5606,42.22133889,18815
2024-01-25,41.8498,42.4498,38.9998,39.7498,3719,40.22214889,11802
2024-01-26,40.4998,41.8498,40.0498,40.7998,2548,40.97094515,11547
2024-01-29,40.9498,44.5498,40.0498,44.3998,4223,43.1408343,12912
2024-01-30,43.4998,43.9498,41.6998,41.8498,2129,42.56483718,8472
2024-01-31,41.5498,44.0998,40.4998,40.7998,3570,42.45338773,12756
2024-02-01,41.8498,43.9498,41.0998,43.7998,3388,42.4401878,13849
2024-02-02,42.8998,43.6498,41.9998,43.0498,2377,42.80348598,9821
2024-02-05,42.4498,42.4498,38.6998,38.9998,2660,40.17444913,9407
2024-02-06,39.5998,45.2998,39.1498,44.9998,3636,43.28858356,13657
2024-02-07,45.2998,45.7498,43.1998,44.0998,2337,44.35777821,11806
2024-02-08,44.2498,45.1498,42.5998,43.4998,2470,44.02582987,11176
2024-02-09,43.4998,44.6998,43.0498,43.6498,3758,43.91858041,15572
2024-02-12,43.7998,44.8498,41.3998,43.0498,4430,43.59878201,17592
2024-02-13,41.8498,42.2998,36.8998,37.9498,5725,38.64310678,16551
2024-02-14,39.5998,40.1998,38.2498,39.4498,2578,39.45880271,10006
2024-02-15,40.0498,42.2998,39.1498,40.6498,4301,40.65144674,15127
2024-02-16,40.6498,40.6498,37.6498,37.9498,4187,38.71810641,12511
2024-02-20,37.9498,38.3998,36.7498,38.0998,3500,37.67156164,14117
2024-02-21,37.9498,38.0998,35.6998,35.9998,3643,36.57326713,13257
2024-02-22,37.1998,37.1998,34.0498,34.4998,4888,35.14287429,14111
2024-02-23,34.4998,34.4998,32.2498,32.8498,4820,33.10693447,17801
2024-02-26,33.8998,35.0998,32.9998,33.5998,5054,33.78733106,17413
2024-02-27,34.7998,38.2498,33.5998,37.4998,6869,36.21536892,20275
2024-02-28,32.9998,35.6998,31.6498,35.6998,7874,33.41248294,21196
2024-02-29,36.4498,37.7998,34.6498,35.8498,4117,35.93712031,12973
2024-03-01,36.1498,36.2998,34.1998,34.9498,3613,35.34957325,12619
2024-03-04,35.2498,35.2498,33.2998,33.8998,3374,33.96988015,10030
2024-03-05,33.7498,35.6998,32.5498,32.8498,5124,33.8392308,13447
2024-03-06,33.2998,33.5998,30.8998,32.5498,5401,32.1199394,16611
2024-03-07,31.9498,32.3998,30.8998,31.0498,4670,31.400993,10964
2024-03-08,31.6498,33.2248,30.8998,31.0498,4150,31.79294104,13696
2024-03-11,31.0498,31.9498,28.7999,28.9499,6241,29.92815036,18644
2024-03-12,29.2499,29.6249,28.0499,28.7999,5232,28.81095595,13998
2024-03-13,28.7999,30.6748,28.0499,28.7999,4297,29.44950275,12811
2024-03-14,28.6499,28.7999,25.9499,26.4749,6473,27.17371413,13690
2024-03-15,27.1499,27.4499,24.9374,25.4999,7504,25.84547077,21753
2024-03-18,26.0999,28.1894,24.8999,25.9499,3910,26.47636762,10046
2024-03-19,25.7999,26.0999,25.1999,25.4999,3405,25.65212174,9692
2024-03-20,25.7999,27.2714,25.2374,26.8499,3697,26.15581922,8423
2024-03-21,27.1499,27.1499,26.3249,26.8499,2480,26.76616617,7545
2024-03-22,26.0999,26.2499,24.8999,25.6499,3195,25.40162299,8023
2024-03-25,25.6499,26.0999,24.4499,25.3499,3311,25.32437338,9201
2024-03-26,26.2499,28.4999,25.0499,25.3499,7113,26.40316798,13624
2024-03-27,25.4999,26.9999,25.1999,26.6999,4987,26.32366838,9496
2024-03-28,27.2999,29.6999,26.8499,29.5499,6322,28.51065745,12989
2024-04-01,30.2998,31.7998,29.3999,31.4998,6342,30.89324553,16187
2024-04-02,30.2998,30.8998,28.7249,28.9499,4171,29.82930085,11049
2024-04-03,28.4999,30.4498,28.1999,29.8499,3427,29.54340228,7658
2024-04-04,31.4998,33.1498,29.4749,30.1498,5121,31.31834341,13192
2024-04-05,29.6999,30.6073,29.2499,29.9999,2551,29.88285059,7002
2024-04-08,29.9999,30.7498,27.8999,28.1999,3684,28.72770636,9105
2024-04-09,28.1999,29.2499,27.7499,28.7999,2564,28.35690822,7730
2024-04-10,26.3999,26.9624,25.7999,26.3999,3916,26.30686847,9045
2024-04-11,26.3999,26.5499,18.5249,21.5999,13236,22.60533697,20337
2024-04-12,22.1999,22.1999,19.0499,19.4999,9433,20.03419983,15634
2024-04-15,20.3969,22.4999,19.1249,20.0249,6173,20.50219749,13331
2024-04-16,19.7999,20.6999,18.9749,19.9499,3323,19.87085065,8273
2024-04-17,20.2499,20.3999,18.2999,18.7499,4399,19.01075495,9399
2024-04-18,18.7499,20.6999,18.1499,18.8999,4534,19.27190364,10076
2024-04-19,18.7499,20.0999,18.7499,19.6499,3108,19.600102,8502
2024-04-22,20.0999,20.5499,18.5999,19.4999,3267,19.51220244,10362
2024-04-23,19.4999,23.0999,19.1999,21.8999,7516,21.54694227,17603
2024-04-24,23.3249,23.5499,20.6999,21.4499,3407,21.93379033,8568
2024-04-25,21.1499,21.5999,20.2499,20.5499,2703,20.65489673,7985
2024-04-26,20.9999,21.7499,20.6999,21.5999,2618,21.50659247,6873
2024-04-29,22.4999,24.2999,21.1499,21.8999,3206,22.26213869,7644
