date,open,high,low,close,volume,average,barCount
2025-02-20 04:00:00,7.2,7.2,6.82,6.88,30,6.916,14
2025-02-20 05:00:00,7.0,7.0,6.91,6.91,6,6.955,3
2025-02-20 06:00:00,7.02,7.05,7.02,7.05,7,7.037,5
2025-02-20 07:00:00,6.98,7.02,6.96,7.01,5,6.996,4
2025-02-20 08:00:00,7.0,7.7,6.9,6.98,199,7.042,27
2025-02-20 09:00:00,6.97,7.05,6.55,6.64,2539,6.709,486
2025-02-20 10:00:00,6.64,6.87,6.62,6.75,1152,6.758,323
2025-02-20 11:00:00,6.75,6.8,6.71,6.73,558,6.741,199
2025-02-20 12:00:00,6.74,6.81,6.72,6.74,335,6.772,123
2025-02-20 13:00:00,6.75,6.94,6.72,6.94,822,6.825,196
2025-02-20 14:00:00,6.94,7.05,6.9,6.95,706,6.981,274
2025-02-20 15:00:00,6.95,7.08,6.9,7.02,825,6.995,416
2025-02-20 16:00:00,7.01,7.1,7.0,7.05,303,7.014,9
2025-02-20 17:00:00,7.05,7.12,7.01,7.12,62,7.046,19
2025-02-20 18:00:00,7.01,7.1,7.01,7.1,2,7.053,2
2025-02-20 19:00:00,7.09,7.1,7.09,7.1,10,7.091,4
2025-02-21 04:00:00,7.04,7.04,7.01,7.01,3,7.018,3
2025-02-21 05:00:00,7.01,7.01,7.01,7.01,0,7.01,0
2025-02-21 06:00:00,7.01,7.01,7.01,7.01,0,7.01,0
2025-02-21 07:00:00,7.11,7.11,7.07,7.07,13,7.086,8
2025-02-21 08:00:00,7.07,7.14,7.03,7.1,77,7.112,16
2025-02-21 09:00:00,7.03,7.16,6.91,7.03,1256,7.063,295
2025-02-21 10:00:00,7.04,7.04,6.55,6.7,2968,6.708,782
2025-02-21 11:00:00,6.71,6.74,6.56,6.66,1888,6.653,435
2025-02-21 12:00:00,6.66,6.66,6.33,6.35,1858,6.482,718
2025-02-21 13:00:00,6.35,6.46,6.31,6.34,1162,6.396,406
2025-02-21 14:00:00,6.35,6.37,6.15,6.17,2232,6.272,755
2025-02-21 15:00:00,6.16,6.26,6.1,6.16,2005,6.182,856
2025-02-21 16:00:00,6.16,6.25,6.15,6.24,447,6.178,16
2025-02-21 17:00:00,6.24,6.45,6.24,6.25,44,6.362,9
2025-02-21 18:00:00,6.24,6.35,6.2,6.2,10,6.257,4
2025-02-21 19:00:00,6.16,6.23,6.16,6.23,3,6.184,2
2025-02-24 04:00:00,6.32,6.32,6.32,6.32,1,6.32,1
2025-02-24 05:00:00,6.32,6.32,6.32,6.32,0,6.32,0
2025-02-24 06:00:00,6.32,6.32,6.31,6.32,20,6.313,12
2025-02-24 07:00:00,6.31,6.31,6.26,6.29,61,6.297,22
2025-02-24 08:00:00,6.25,6.3,6.24,6.3,84,6.264,21
2025-02-24 09:00:00,6.25,6.28,5.67,5.78,3524,5.911,863
2025-02-24 10:00:00,5.78,5.82,5.6,5.61,2754,5.714,889
2025-02-24 11:00:00,5.61,5.77,5.61,5.67,1267,5.678,376
2025-02-24 12:00:00,5.68,5.75,5.67,5.71,624,5.709,223
2025-02-24 13:00:00,5.72,5.74,5.67,5.71,852,5.705,291
2025-02-24 14:00:00,5.69,5.8,5.56,5.58,1936,5.645,522
2025-02-24 15:00:00,5.58,5.62,5.54,5.54,1916,5.575,789
2025-02-24 16:00:00,5.54,5.6,5.54,5.6,442,5.543,14
2025-02-24 17:00:00,5.57,5.59,5.57,5.59,5,5.574,2
2025-02-24 18:00:00,5.57,5.57,5.55,5.55,8,5.557,3
2025-02-24 19:00:00,5.53,5.59,5.52,5.52,14,5.535,6
2025-02-25 04:00:00,5.58,5.61,5.55,5.55,29,5.583,11
2025-02-25 05:00:00,5.57,5.57,5.56,5.56,7,5.561,4
2025-02-25 06:00:00,5.57,5.57,5.57,5.57,1,5.57,1
2025-02-25 07:00:00,5.59,5.59,5.55,5.56,6,5.563,5
2025-02-25 08:00:00,5.55,5.6,5.54,5.57,78,5.581,18
2025-02-25 09:00:00,5.57,5.69,5.28,5.29,3368,5.45,805
2025-02-25 10:00:00,5.28,5.29,5.11,5.18,3367,5.207,1109
2025-02-25 11:00:00,5.17,5.24,5.11,5.2,3295,5.174,913
2025-02-25 12:00:00,5.19,5.26,5.15,5.25,2011,5.2,364
2025-02-25 13:00:00,5.25,5.33,5.21,5.25,937,5.252,306
2025-02-25 14:00:00,5.25,5.25,5.15,5.23,1166,5.192,354
2025-02-25 15:00:00,5.21,5.33,5.17,5.21,2617,5.246,784
2025-02-25 16:00:00,5.21,5.38,5.18,5.18,503,5.207,19
2025-02-25 17:00:00,5.18,5.22,5.18,5.19,33,5.2,10
2025-02-25 18:00:00,5.19,5.26,5.19,5.26,41,5.216,5
2025-02-25 19:00:00,5.22,5.26,5.22,5.26,19,5.241,4
2025-02-26 04:00:00,5.25,5.33,5.25,5.33,11,5.265,4
2025-02-26 05:00:00,5.32,5.32,5.32,5.32,1,5.32,1
2025-02-26 06:00:00,5.32,5.32,5.32,5.32,1,5.32,1
2025-02-26 07:00:00,5.33,5.37,5.33,5.37,22,5.336,10
2025-02-26 08:00:00,5.32,5.45,5.31,5.39,92,5.351,21
2025-02-26 09:00:00,5.36,5.46,5.26,5.41,1837,5.371,480
2025-02-26 10:00:00,5.41,5.55,5.36,5.37,1415,5.436,397
2025-02-26 11:00:00,5.38,5.47,5.38,5.4,564,5.426,155
2025-02-26 12:00:00,5.4,5.51,5.33,5.34,911,5.428,170
2025-02-26 13:00:00,5.34,5.35,5.23,5.25,980,5.296,279
2025-02-26 14:00:00,5.25,5.32,5.25,5.25,440,5.281,189
2025-02-26 15:00:00,5.25,5.32,5.21,5.32,1507,5.278,551
2025-02-26 16:00:00,5.32,5.46,5.31,5.46,623,5.317,9
2025-02-26 17:00:00,5.46,5.46,5.32,5.4,42,5.391,11
2025-02-26 18:00:00,5.34,5.35,5.34,5.35,11,5.348,4
2025-02-26 19:00:00,5.45,5.45,5.35,5.35,13,5.374,3
2025-02-27 04:00:00,5.33,5.33,5.33,5.33,1,5.33,1
2025-02-27 05:00:00,5.51,5.51,5.51,5.51,2,5.51,1
2025-02-27 06:00:00,5.59,5.59,5.45,5.45,6,5.533,4
2025-02-27 07:00:00,5.54,5.54,5.54,5.54,1,5.54,1
2025-02-27 08:00:00,5.53,5.55,5.5,5.5,61,5.532,19
2025-02-27 09:00:00,5.48,5.54,5.33,5.34,1422,5.448,327
2025-02-27 10:00:00,5.34,5.57,5.27,5.42,1456,5.436,484
2025-02-27 11:00:00,5.43,5.51,5.41,5.44,906,5.466,268
2025-02-27 12:00:00,5.45,5.45,5.32,5.36,1092,5.379,262
2025-02-27 13:00:00,5.37,5.42,5.37,5.38,281,5.392,139
2025-02-27 14:00:00,5.36,5.36,5.21,5.23,950,5.27,268
2025-02-27 15:00:00,5.23,5.23,5.12,5.15,2039,5.159,786
2025-02-27 16:00:00,5.14,5.4,5.14,5.2,540,5.143,10
2025-02-27 17:00:00,5.2,5.2,5.19,5.19,6,5.193,2
2025-02-27 18:00:00,5.19,5.19,5.19,5.19,0,5.19,0
2025-02-27 19:00:00,5.19,5.21,5.15,5.15,10,5.192,5
2025-02-28 04:00:00,5.15,5.16,5.15,5.16,6,5.157,4
2025-02-28 05:00:00,5.2,5.2,5.2,5.2,2,5.2,1
