date,open,high,low,close,volume,average,barCount
2023-12-20,61.77,62.27,59.9,60.01,4658,60.615,3189
2023-12-21,60.04,60.78,59.9,60.04,3819,60.114,2962
2023-12-22,59.65,60.78,57.1,59.82,12451,58.963,6908
2023-12-26,59.58,60.34,58.92,59.13,3471,59.399,2601
2023-12-27,59.13,59.49,57.81,58.7,3832,58.399,3185
2023-12-28,59.11,60.25,58.79,59.81,3710,59.514,2886
2023-12-29,60.5,60.52,59.14,60.17,3046,59.939,1746
2024-01-02,59.46,60.94,58.98,59.1,7188,59.63,4375
2024-01-03,59.21,59.38,57.0,57.93,5766,57.853,4591
2024-01-04,57.19,57.9,56.54,56.55,6965,57.034,5001
2024-01-05,56.18,56.74,55.01,56.44,6697,56.056,4410
2024-01-08,56.38,58.24,55.0,58.14,4830,57.03,2523
2024-01-09,57.64,59.18,57.28,59.12,4048,58.637,2081
2024-01-10,58.81,59.74,57.55,58.54,6095,58.246,3664
2024-01-11,58.41,59.12,57.47,59.05,3272,58.328,2653
2024-01-12,59.05,61.29,58.31,60.77,5908,60.725,4131
2024-01-16,60.24,60.91,59.23,60.35,8604,60.269,4482
2024-01-17,59.44,60.75,59.07,59.89,5174,60.088,4085
2024-01-18,60.22,60.22,55.8,57.03,10248,57.26,4369
2024-01-19,57.18,57.18,56.01,56.68,6383,56.664,2456
2024-01-22,56.46,57.73,55.38,56.2,8274,56.195,3547
2024-01-23,51.23,61.17,51.07,60.79,25113,57.24,12602
2024-01-24,61.85,61.85,58.69,60.1,6617,60.109,4011
2024-01-25,60.87,60.87,57.58,58.13,2974,58.389,2352
2024-01-26,57.68,57.78,56.21,56.55,11830,56.982,4069
2024-01-29,56.84,56.84,55.01,55.79,7228,55.806,4329
2024-01-30,55.15,55.93,54.1,55.57,6246,55.252,2911
2024-01-31,55.6,56.12,54.56,55.06,4660,55.07,3112
2024-02-01,55.23,56.26,54.59,56.22,3456,55.63,1950
2024-02-02,55.62,56.53,53.99,55.76,6722,55.661,4945
2024-02-05,56.19,58.52,55.37,58.46,4662,57.432,3639
2024-02-06,58.96,59.76,58.24,59.41,5496,59.156,3228
2024-02-07,59.12,59.3,58.02,58.62,6281,58.543,4894
2024-02-08,58.7,58.98,57.2,58.72,2540,58.263,1716
2024-02-09,58.96,61.17,58.77,60.97,4906,60.428,2594
2024-02-12,60.89,61.37,59.94,60.48,5735,60.184,2740
2024-02-13,59.51,60.58,58.33,58.67,3497,59.366,2407
2024-02-14,59.19,59.19,57.58,57.83,2245,58.302,1305
2024-02-15,58.46,58.46,56.76,57.05,4942,57.075,2401
2024-02-16,57.74,58.55,56.82,58.11,4415,57.573,2992
