date,open,high,low,close,volume,average,barCount
2024-01-02,3.26,3.39,3.24,3.34,451,3.31944,191
2024-01-03,3.36,3.36,3.1771,3.24,531,3.25104,164
2024-01-04,3.24,3.3,3.2138,3.3,268,3.25873,76
2024-01-05,3.27,3.3399,3.21,3.23,249,3.25212,124
2024-01-08,3.23,3.45,3.23,3.41,654,3.3601,209
2024-01-09,3.35,3.45,3.34,3.34,420,3.40393,213
2024-01-10,3.4,3.5924,3.4,3.52,1140,3.50273,333
2024-01-11,3.52,3.6,3.42,3.44,632,3.47193,157
2024-01-12,3.54,3.73,3.4882,3.57,1377,3.59953,329
2024-01-16,3.6,3.6437,3.43,3.5,610,3.55135,168
2024-01-17,3.44,3.44,3.21,3.28,1151,3.27454,321
2024-01-18,3.33,3.37,3.06,3.09,895,3.15807,282
2024-01-19,3.09,3.27,3.03,3.06,1306,3.12254,459
2024-01-22,3.08,3.35,3.0509,3.26,1127,3.2359,214
2024-01-23,3.28,3.35,3.1,3.17,522,3.21789,139
2024-01-24,3.18,3.19,3.11,3.12,153,3.13644,62
2024-01-25,3.19,3.19,3.09,3.1,273,3.13364,86
2024-01-26,3.14,3.17,3.05,3.05,415,3.09608,142
2024-01-29,3.07,3.13,3.01,3.08,291,3.07205,104
2024-01-30,3.07,3.1483,2.94,3.03,752,3.02521,245
2024-01-31,3.02,3.19,3.02,3.07,508,3.10018,146
2024-02-01,3.09,3.2499,3.09,3.16,445,3.17813,154
2024-02-02,3.25,3.25,3.02,3.13,745,3.13669,230
2024-02-05,3.15,3.22,2.98,3.04,598,3.06427,161
2024-02-06,3.02,3.06,2.8435,2.9,742,2.94564,219
2024-02-07,2.82,2.9,2.77,2.86,837,2.82344,256
2024-02-08,2.82,2.99,2.8,2.89,275,2.88346,106
2024-02-09,2.9,3.05,2.9,3.04,398,2.98648,124
2024-02-12,3.0,3.205,3.0,3.08,317,3.14065,133
2024-02-13,3.0,3.08,2.9,2.93,489,2.9698,199
2024-02-14,2.9,3.05,2.9,2.97,320,2.96902,126
2024-02-15,2.97,3.1869,2.97,3.11,450,3.07193,123
2024-02-16,3.1,3.115,3.01,3.01,252,3.07056,66
2024-02-20,2.95,3.0438,2.92,2.94,335,2.95869,98
2024-02-21,2.95,2.99,2.9,2.91,344,2.93912,88
2024-02-22,2.98,2.99,2.84,2.85,482,2.89263,112
2024-02-23,3.0,3.0,2.83,2.88,612,2.8896,193
2024-02-26,2.91,3.01,2.8812,2.98,381,2.93731,102
2024-02-27,2.86,2.9199,2.8,2.86,2034,2.85354,323
2024-02-28,2.87,2.95,2.75,2.78,1030,2.8407,217
2024-02-29,2.78,2.86,2.75,2.83,417,2.79164,145
2024-03-01,2.8,2.9,2.79,2.82,198,2.83666,69
2024-03-04,2.88,2.88,2.75,2.79,424,2.79932,109
2024-03-05,2.76,2.78,2.5,2.62,1111,2.66554,309
2024-03-06,2.63,2.74,2.63,2.72,331,2.69461,126
2024-03-07,2.73,2.93,2.6704,2.86,950,2.84003,208
2024-03-08,2.93,2.98,2.77,2.98,224,2.91356,68
2024-03-11,2.99,2.99,2.914,2.93,240,2.96149,62
2024-03-12,2.93,2.95,2.74,2.79,402,2.82811,173
2024-03-13,2.8,2.8699,2.7801,2.81,187,2.81945,56
2024-03-14,2.81,2.89,2.8046,2.87,295,2.84123,98
2024-03-15,2.85,2.85,2.78,2.84,256,2.81324,91
2024-03-18,2.86,3.3,2.811,3.2,3408,3.13075,801
2024-03-19,3.23,3.28,3.0,3.02,1121,3.10355,263
2024-03-20,3.05,3.105,2.97,3.02,522,3.0153,165
2024-03-21,3.1,3.1437,2.9,2.96,2169,3.01531,412
