date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,3.5,3.55,3.35,3.36,4354,3.41158,1755
2024-05-29 00:00:00,3.37,3.37,3.13,3.19,5663,3.20336,2147
2024-05-30 00:00:00,3.17,3.29,2.95,3.07,8562,3.0488,2862
2024-05-31 00:00:00,3.06,3.12,2.85,3.08,8383,2.99118,3285
2024-06-03 00:00:00,3.11,3.16,2.97,3.11,6427,3.07648,2368
2024-06-04 00:00:00,3.05,3.08,2.83,2.84,5882,2.92974,2237
2024-06-05 00:00:00,2.87,3.0,2.76,2.98,5733,2.89241,2180
2024-06-06 00:00:00,2.95,2.96,2.76,2.76,5553,2.82108,1785
2024-06-07 00:00:00,2.73,2.73,2.53,2.54,11443,2.60638,4098
2024-06-10 00:00:00,2.52,2.75,2.43,2.72,9920,2.60521,4292
2024-06-11 00:00:00,2.71,2.79,2.62,2.73,5797,2.71484,2305
2024-06-12 00:00:00,2.84,3.13,2.84,3.12,9353,3.04721,4105
2024-06-13 00:00:00,3.15,3.54,3.15,3.42,14041,3.40483,5083
2024-06-14 00:00:00,3.39,3.56,3.28,3.51,15387,3.48672,7070
2024-06-17 00:00:00,3.5,3.58,3.37,3.46,4142,3.44232,2015
2024-06-18 00:00:00,3.46,3.47,3.32,3.33,2579,3.3749,932
2024-06-20 00:00:00,3.3,3.31,3.03,3.06,5424,3.10823,2334
2024-06-21 00:00:00,3.07,3.1,2.99,3.08,6332,3.05218,2384
2024-06-24 00:00:00,3.08,3.2,3.01,3.07,4393,3.0883,1736
2024-06-25 00:00:00,3.06,3.1,3.0,3.04,2200,3.05135,1394
2024-06-26 00:00:00,3.0,3.13,2.97,3.07,3594,3.05594,1852
2024-06-27 00:00:00,3.08,3.1,2.95,3.0,3432,3.00574,1729
2024-06-28 00:00:00,3.0,3.06,2.9,2.99,6136,2.98265,2668
2024-07-01 00:00:00,2.99,3.03,2.86,2.9,2798,2.91566,1331
2024-07-02 00:00:00,2.92,3.02,2.9,2.95,2706,2.96342,1220
2024-07-03 00:00:00,3.0,3.09,2.95,2.99,1506,2.99279,665
2024-07-05 00:00:00,2.97,2.99,2.88,2.95,2296,2.94055,999
2024-07-08 00:00:00,2.96,3.07,2.95,3.03,2270,3.00933,1302
2024-07-09 00:00:00,3.01,3.07,2.94,3.06,3531,3.00587,1599
2024-07-10 00:00:00,3.09,3.2,3.01,3.2,2829,3.10819,1345
2024-07-11 00:00:00,3.22,3.57,3.22,3.52,8333,3.43682,4514
2024-07-12 00:00:00,3.56,3.79,3.54,3.69,6194,3.68232,2948
2024-07-15 00:00:00,3.69,3.74,3.55,3.69,4836,3.64979,2478
2024-07-16 00:00:00,3.74,4.16,3.7,4.15,8517,3.9828,3880
2024-07-17 00:00:00,4.1,4.19,3.89,3.98,7069,4.01661,2998
2024-07-18 00:00:00,3.96,4.02,3.69,3.78,6333,3.83238,2521
2024-07-19 00:00:00,3.78,3.78,3.51,3.52,3947,3.62859,1690
2024-07-22 00:00:00,3.54,3.56,3.38,3.53,2564,3.47706,1461
2024-07-23 00:00:00,3.59,3.84,3.52,3.8,4446,3.74591,2037
2024-07-24 00:00:00,3.74,3.83,3.56,3.57,2658,3.68605,1352
2024-07-25 00:00:00,3.54,3.82,3.51,3.73,3201,3.69383,1527
2024-07-26 00:00:00,3.82,3.86,3.65,3.75,2281,3.75346,1190
2024-07-29 00:00:00,3.8,3.8,3.36,3.41,4263,3.46605,1780
2024-07-30 00:00:00,3.43,3.5,3.3,3.41,2981,3.39035,1323
2024-07-31 00:00:00,3.5,3.64,3.39,3.46,2707,3.49638,1493
2024-08-01 00:00:00,3.45,3.48,3.12,3.16,4736,3.21367,2215
2024-08-02 00:00:00,3.1,3.11,2.86,2.89,8251,2.96991,3276
2024-08-05 00:00:00,2.66,2.92,2.56,2.82,7052,2.78549,3339
2024-08-06 00:00:00,2.91,2.94,2.74,2.82,6353,2.80613,3213
2024-08-07 00:00:00,2.83,2.92,2.69,2.75,4343,2.80609,2167
2024-08-08 00:00:00,2.83,2.83,2.71,2.74,5150,2.75224,2833
2024-08-09 00:00:00,2.74,2.88,2.7,2.78,3962,2.80618,2217
2024-08-12 00:00:00,2.85,2.85,2.5,2.53,11965,2.56037,4115
2024-08-13 00:00:00,2.58,2.81,2.53,2.77,5293,2.74946,2366
2024-08-14 00:00:00,2.8,2.86,2.62,2.66,3208,2.6891,1512
2024-08-15 00:00:00,2.8,2.9,2.7,2.79,3709,2.77556,1569
2024-08-16 00:00:00,2.8,2.89,2.75,2.77,4497,2.80489,1962
2024-08-19 00:00:00,2.77,2.78,2.58,2.65,4709,2.64526,2271
2024-08-20 00:00:00,2.65,2.7,2.52,2.57,3851,2.57415,2207
2024-08-21 00:00:00,2.57,2.74,2.52,2.74,4456,2.66187,2204
2024-08-22 00:00:00,2.7,2.79,2.67,2.68,3018,2.72217,1271
2024-08-23 00:00:00,2.69,2.92,2.69,2.89,3213,2.84908,1573
2024-08-26 00:00:00,2.92,2.97,2.82,2.91,4750,2.89824,2138
2024-08-27 00:00:00,2.89,2.94,2.8,2.87,3695,2.86554,1640
2024-08-28 00:00:00,2.86,2.9,2.78,2.85,3025,2.83295,1339
2024-08-29 00:00:00,2.87,3.06,2.85,2.92,3803,2.9704,1709
2024-08-30 00:00:00,2.95,3.03,2.88,2.95,2817,2.94456,1057
2024-09-03 00:00:00,2.98,2.98,2.68,2.71,3040,2.76213,961
2024-09-04 00:00:00,2.68,2.75,2.62,2.68,2612,2.6946,1205
2024-09-05 00:00:00,2.7,2.79,2.63,2.66,2079,2.682,1006
