date,open,high,low,close,volume,average,barCount
2024-05-28,3.655,3.781,3.174,3.42,179,3.4983,198
2024-05-29,3.455,3.59,3.18,3.184,138,3.2753,315
2024-05-30,3.43,3.43,3.17,3.29,60,3.2379,114
2024-05-31,3.33,3.39,3.2,3.294,76,3.2822,131
2024-06-03,3.4,3.4,3.101,3.158,75,3.1816,179
2024-06-04,3.387,3.9,3.158,3.473,402,3.5841,671
2024-06-05,3.388,3.68,3.201,3.311,267,3.3792,338
2024-06-06,3.486,3.5,3.201,3.33,51,3.3677,98
2024-06-07,3.2,3.536,3.111,3.265,145,3.2609,215
2024-06-10,3.27,3.508,3.15,3.16,46,3.2831,88
2024-06-11,3.35,3.84,3.347,3.782,572,3.6578,514
2024-06-12,3.837,4.999,3.798,4.29,1488,4.3602,1266
2024-06-13,4.296,4.4,3.398,3.7,321,3.7656,461
2024-06-14,3.42,3.849,3.3,3.63,122,3.6269,147
2024-06-17,3.308,3.784,3.308,3.6,25,3.4808,41
2024-06-18,3.42,4.2,3.42,3.82,163,3.8737,209
2024-06-20,3.623,3.79,3.521,3.641,119,3.6863,124
2024-06-21,3.592,4.387,3.551,4.195,457,4.0012,353
2024-06-24,4.1,4.3,3.952,3.952,125,4.1218,260
2024-06-25,4.083,4.331,3.9,3.96,164,4.0717,190
2024-06-26,4.15,4.15,4.0,4.006,32,4.0344,80
2024-06-27,3.91,4.105,3.91,4.09,14,4.0343,40
2024-06-28,4.005,4.084,3.8,3.801,39,3.9272,99
2024-07-01,3.8,4.138,3.675,3.763,67,3.8196,168
2024-07-02,3.803,3.99,3.803,3.835,34,3.8778,33
2024-07-03,3.8,3.999,3.752,3.97,18,3.9438,32
2024-07-05,4.0,4.0,3.4,3.637,176,3.6115,207
2024-07-08,3.636,3.837,3.636,3.7,43,3.66,44
2024-07-09,3.711,3.89,3.71,3.81,23,3.772,64
2024-07-10,3.721,3.979,3.657,3.913,39,3.8039,65
2024-07-11,3.781,3.885,3.651,3.771,52,3.7224,90
2024-07-12,3.8,3.899,3.549,3.629,57,3.6912,103
2024-07-15,3.411,3.65,3.411,3.553,36,3.5721,59
2024-07-16,3.35,3.679,3.3,3.569,225,3.4739,352
2024-07-17,3.629,3.629,3.426,3.511,33,3.4768,75
2024-07-18,3.457,3.546,3.419,3.513,19,3.4886,28
2024-07-19,3.45,3.672,3.327,3.579,35,3.4652,78
2024-07-22,3.535,3.535,3.0,3.235,339,3.162,464
2024-07-23,3.135,3.296,2.611,2.933,365,2.8904,455
2024-07-24,2.801,3.0,2.801,3.0,9,2.8985,37
2024-07-25,2.87,3.1,2.87,3.083,44,2.9585,90
2024-07-26,3.006,3.1,2.701,3.1,131,2.924,174
2024-07-29,2.996,3.15,2.85,3.068,141,2.978,126
2024-07-30,2.95,3.26,2.883,3.26,69,3.0874,116
2024-07-31,2.812,2.875,2.414,2.6,418,2.6594,688
2024-08-01,2.753,2.753,2.56,2.612,74,2.6259,217
2024-08-02,2.575,2.827,2.414,2.68,224,2.6195,471
2024-08-05,2.402,2.676,2.402,2.485,66,2.5281,171
2024-08-06,2.5,3.189,2.5,2.861,148,2.8903,230
2024-08-07,2.66,2.87,2.443,2.533,149,2.5849,159
2024-08-08,2.602,2.602,2.489,2.49,27,2.5084,58
2024-08-09,2.523,2.561,2.41,2.507,89,2.441,131
2024-08-12,2.554,2.554,2.328,2.441,83,2.3946,113
2024-08-13,2.354,2.538,2.353,2.5,82,2.4548,84
2024-08-14,2.465,2.5,2.431,2.463,49,2.4688,86
2024-08-15,2.398,2.486,2.312,2.426,47,2.3513,90
2024-08-16,2.478,2.479,2.366,2.469,45,2.3969,89
2024-08-19,2.47,2.499,2.111,2.427,154,2.3348,270
2024-08-20,2.405,2.578,2.306,2.563,221,2.4673,188
2024-08-21,2.42,2.699,2.373,2.552,85,2.4833,91
2024-08-22,2.5,2.699,2.5,2.52,196,2.604,148
2024-08-23,2.69,2.8,2.521,2.555,200,2.7227,297
2024-08-26,2.56,2.759,2.56,2.643,22,2.6277,38
2024-08-27,2.561,2.997,2.561,2.894,305,2.7921,413
2024-08-28,2.98,2.98,2.33,2.482,160,2.5862,243
2024-08-29,2.68,2.68,2.502,2.528,4,2.5633,13
2024-08-30,2.501,2.528,2.401,2.528,15,2.466,49
2024-09-03,2.467,2.468,2.321,2.434,48,2.3852,94
2024-09-04,2.4,2.553,2.39,2.49,3,2.4587,17
2024-09-05,2.391,2.44,2.391,2.417,11,2.4,16
2024-09-06,2.4,2.5,2.4,2.5,16,2.4032,20
2024-09-09,2.41,2.59,2.41,2.565,4,2.4972,21
2024-09-10,2.501,2.7,2.501,2.662,26,2.5536,60
2024-09-11,2.574,2.8,2.362,2.7,794,2.5992,1076
2024-09-12,2.6,2.653,2.472,2.545,38,2.5688,107
2024-09-13,2.332,2.58,2.25,2.29,137,2.3622,351
2024-09-16,2.23,2.45,2.2,2.3,145,2.3402,154
2024-09-17,2.32,2.32,2.241,2.305,35,2.2783,77
2024-09-18,2.232,2.34,2.111,2.29,101,2.2388,137
2024-09-19,2.351,2.351,2.202,2.331,168,2.2997,153
2024-09-20,2.266,2.32,2.266,2.302,17,2.3008,36
2024-09-23,2.48,2.48,2.2,2.3,27,2.2963,74
2024-09-24,2.301,2.374,2.299,2.311,40,2.3234,101
2024-09-25,2.311,2.598,2.3,2.53,228,2.4777,253
2024-09-26,2.573,2.922,2.54,2.8,620,2.7736,658
2024-09-27,2.611,3.1,2.58,2.65,714,2.8155,999
2024-09-30,3.15,4.22,3.15,4.11,6574,3.6513,2199
2024-10-01,3.86,4.0,3.31,3.45,841,3.5892,241
2024-10-02,3.46,3.78,3.3,3.77,676,3.50542,251
2024-10-03,3.77,3.77,3.41,3.46,177,3.57877,110
2024-10-04,3.66,3.92,3.51,3.57,517,3.7245,190
2024-10-07,3.57,4.3,3.57,4.05,1139,3.93508,494
2024-10-08,3.91,3.91,3.41,3.63,585,3.66791,237
2024-10-09,3.55,3.74,3.2,3.22,319,3.45465,130
2024-10-10,3.33,3.33,3.1,3.12,230,3.18192,90
2024-10-11,3.05,3.17,2.64,2.86,350,2.87506,128
2024-10-14,2.84,2.95,2.84,2.95,64,2.87926,26
2024-10-15,3.0,3.13,2.93,3.07,441,3.04251,181
2024-10-16,3.04,3.29,3.03,3.18,246,3.15918,88
2024-10-17,3.04,3.14,2.82,3.03,420,2.99226,204
2024-10-18,3.0,3.05,2.94,2.97,127,2.96983,81
2024-10-21,3.0,3.01,2.81,2.83,99,2.95248,22
2024-10-22,2.82,3.0,2.8,2.9,93,2.89851,39
2024-10-23,2.84,2.96,2.84,2.96,18,2.89255,14
2024-10-24,2.92,4.2,2.92,3.88,1477,3.58626,546
2024-10-25,3.97,4.25,3.58,4.07,763,3.91922,247
2024-10-28,4.22,4.22,3.22,3.27,843,3.64795,313
2024-10-29,3.43,3.44,3.13,3.19,99,3.29633,48
2024-10-30,3.12,3.17,3.02,3.15,66,3.12349,34
2024-10-31,3.1,3.32,3.01,3.11,155,3.14321,76
2024-11-01,3.12,3.12,2.95,2.96,65,3.03818,34
2024-11-04,2.9,2.91,2.62,2.63,218,2.70914,98
2024-11-05,2.62,2.68,2.4,2.41,359,2.52515,175
2024-11-06,2.47,2.5,2.3,2.32,206,2.3648,115
2024-11-07,2.49,2.65,2.3,2.56,199,2.49943,108
2024-11-08,2.51,2.56,2.41,2.47,66,2.46903,33
2024-11-11,2.47,2.52,2.42,2.49,31,2.48372,13
2024-11-12,2.67,2.71,2.51,2.58,64,2.58309,31
2024-11-13,2.58,2.75,2.38,2.45,182,2.48698,85
