date,open,high,low,close,volume,average,barCount
2024-01-02,9.29,9.54,9.29,9.34,1406,9.39664,999
2024-01-03,9.27,9.325,9.115,9.15,1994,9.20918,1154
2024-01-04,9.21,9.23,8.96,9.04,1707,9.0413,1058
2024-01-05,8.98,9.11,8.87,8.92,1398,8.95866,879
2024-01-08,8.84,9.095,8.78,9.05,2490,8.97474,1644
2024-01-09,8.99,9.05,8.47,8.49,2485,8.61717,1176
2024-01-10,8.42,8.49,8.27,8.35,2034,8.35146,1127
2024-01-11,8.27,8.294,8.04,8.08,3233,8.15104,1440
2024-01-12,8.27,8.27,7.86,7.92,2680,7.95118,1555
2024-01-16,7.82,7.83,7.625,7.69,2923,7.73547,1699
2024-01-17,7.56,7.645,7.465,7.6,3118,7.56475,1771
2024-01-18,7.61,7.67,7.45,7.66,2018,7.56935,1183
2024-01-19,7.62,7.64,7.3,7.61,3144,7.47861,1573
2024-01-22,7.63,7.755,7.525,7.73,1980,7.68566,1230
2024-01-23,7.92,8.155,7.92,8.07,3220,8.07143,1755
2024-01-24,8.21,8.235,7.955,8.06,3196,8.09636,1578
2024-01-25,8.17,8.28,7.925,8.07,2626,8.02836,1628
2024-01-26,8.14,8.2,8.005,8.13,2331,8.11707,1160
2024-01-29,8.17,8.33,7.99,8.33,1886,8.18644,1034
2024-01-30,8.2,8.385,8.19,8.3,1574,8.30104,920
2024-01-31,7.91,8.16,7.32,7.44,14628,7.61367,5652
2024-02-01,7.47,7.83,7.32,7.76,5464,7.6619,2660
2024-02-02,7.645,7.76,7.51,7.68,2910,7.65667,1414
2024-02-05,7.54,7.61,7.36,7.54,2801,7.51941,1313
2024-02-06,7.55,7.8099,7.485,7.7,2722,7.70043,1093
2024-02-07,7.74,7.74,7.57,7.65,2388,7.64484,1087
2024-02-08,7.65,7.7,7.48,7.65,3256,7.58237,1425
2024-02-09,7.66,7.79,7.61,7.74,2750,7.72623,1375
2024-02-12,7.73,8.12,7.73,8.0,3047,7.99144,1523
2024-02-13,7.77,7.86,7.6,7.73,3144,7.69199,1926
2024-02-14,7.8,7.82,7.63,7.75,2299,7.7272,1409
2024-02-15,7.81,8.125,7.81,8.08,2855,8.02908,1628
2024-02-16,8.01,8.16,7.97,8.03,2567,8.06802,1189
2024-02-20,7.93,8.04,7.69,7.7,2569,7.78982,1315
2024-02-21,7.7,7.79,7.625,7.77,1762,7.71116,1044
