date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,1.8,1.89,1.77,1.87,12152,1.8505,3218
2024-05-28 00:00:00,1.87,1.91,1.83,1.86,8009,1.86105,2103
2024-05-29 00:00:00,1.85,1.86,1.82,1.83,3521,1.83631,1086
2024-05-30 00:00:00,1.82,1.86,1.81,1.86,4098,1.83343,1232
2024-05-31 00:00:00,1.83,1.86,1.78,1.84,5838,1.81913,1601
2024-06-03 00:00:00,1.88,1.88,1.8,1.81,2577,1.81489,798
2024-06-04 00:00:00,1.8,1.82,1.79,1.81,1758,1.80198,720
2024-06-05 00:00:00,1.81,1.81,1.77,1.79,6079,1.78599,1461
2024-06-06 00:00:00,1.78,1.84,1.78,1.815,3643,1.81087,858
2024-06-07 00:00:00,1.82,1.82,1.77,1.78,4155,1.78511,1422
2024-06-10 00:00:00,1.77,1.78,1.74,1.75,3717,1.75321,1368
2024-06-11 00:00:00,1.74,1.75,1.73,1.745,2688,1.73934,880
2024-06-12 00:00:00,1.75,1.758,1.68,1.68,4957,1.71296,1940
2024-06-13 00:00:00,1.71,1.72,1.66,1.66,2619,1.67241,895
2024-06-14 00:00:00,1.67,1.678,1.645,1.655,6460,1.65752,1943
2024-06-17 00:00:00,1.65,1.69,1.64,1.68,3226,1.65992,1074
2024-06-18 00:00:00,1.68,1.69,1.66,1.69,3229,1.67943,826
2024-06-20 00:00:00,1.68,1.69,1.66,1.69,2791,1.67549,823
2024-06-21 00:00:00,1.67,1.73,1.67,1.72,5365,1.70407,2663
2024-06-24 00:00:00,1.72,1.72,1.69,1.7,2637,1.70356,764
2024-06-25 00:00:00,1.69,1.6914,1.64,1.66,4158,1.65848,1117
2024-06-26 00:00:00,1.66,1.68,1.64,1.67,2943,1.66585,822
2024-06-27 00:00:00,1.66,1.6693,1.64,1.65,1774,1.6469,615
2024-06-28 00:00:00,1.69,1.69,1.65,1.65,2117,1.65923,557
2024-07-01 00:00:00,1.64,1.67,1.64,1.66,1957,1.66083,710
2024-07-02 00:00:00,1.66,1.66,1.625,1.63,3051,1.6387,870
2024-07-03 00:00:00,1.64,1.66,1.59,1.66,5458,1.63228,1465
2024-07-05 00:00:00,1.67,1.67,1.62,1.63,5132,1.642,1378
2024-07-08 00:00:00,1.64,1.65,1.6,1.62,4556,1.61721,1142
2024-07-09 00:00:00,1.61,1.66,1.61,1.65,3046,1.63789,897
2024-07-10 00:00:00,1.65,1.7,1.65,1.695,3995,1.67413,961
2024-07-11 00:00:00,1.71,1.76,1.695,1.74,7047,1.73067,1105
2024-07-12 00:00:00,1.75,1.81,1.74,1.78,6444,1.77533,1383
2024-07-15 00:00:00,1.76,1.78,1.74,1.75,5233,1.7587,967
2024-07-16 00:00:00,1.74,1.79,1.7399,1.79,3822,1.77179,873
2024-07-17 00:00:00,1.77,1.8,1.75,1.77,4280,1.76816,1273
2024-07-18 00:00:00,1.77,1.78,1.66,1.71,5249,1.72242,1296
2024-07-19 00:00:00,1.71,1.74,1.7,1.72,1544,1.71308,561
2024-07-22 00:00:00,1.73,1.78,1.71,1.77,2363,1.75023,580
2024-07-23 00:00:00,1.76,1.78,1.7,1.76,8143,1.74363,2108
2024-07-24 00:00:00,1.76,1.77,1.73,1.73,2529,1.74263,1018
2024-07-25 00:00:00,1.73,1.78,1.71,1.755,3141,1.75508,866
