date,open,high,low,close,volume,average,barCount
2024-01-02,4.91,4.93,4.72,4.92,8493,4.8417,3090
2024-01-03,4.91,4.93,4.585,4.61,5999,4.75316,2955
2024-01-04,4.62,4.81,4.53,4.7,2685,4.69681,1699
2024-01-05,4.68,4.83,4.68,4.75,2474,4.76845,1275
2024-01-08,4.78,4.78,4.55,4.7,2719,4.68125,1231
2024-01-09,4.66,4.81,4.63,4.77,2089,4.75254,872
2024-01-10,4.76,5.0,4.74,4.94,3520,4.9366,1155
2024-01-11,4.97,4.99,4.65,4.7,3606,4.76015,1683
2024-01-12,4.81,4.81,4.6,4.65,1491,4.64534,654
2024-01-16,4.72,4.75,4.4,4.45,3152,4.5205,1477
2024-01-17,4.4,4.72,4.34,4.7,3001,4.54736,1265
2024-01-18,4.7,4.765,4.56,4.75,1822,4.67961,888
2024-01-19,4.76,4.795,4.56,4.7,2898,4.6767,1012
2024-01-22,4.69,4.711,4.53,4.68,1676,4.66564,883
2024-01-23,4.68,4.7799,4.55,4.57,1501,4.64244,785
2024-01-24,4.61,4.61,4.39,4.41,2528,4.47564,1373
2024-01-25,4.42,4.5,4.33,4.39,1983,4.39488,960
2024-01-26,4.39,4.45,4.3575,4.37,1531,4.39508,566
2024-01-29,4.36,4.44,4.31,4.37,1694,4.38563,629
2024-01-30,4.33,4.442,4.2,4.3,2529,4.30317,908
2024-01-31,4.27,4.41,4.24,4.31,1558,4.34721,729
2024-02-01,4.41,4.59,4.35,4.44,3188,4.44548,1425
2024-02-02,4.36,4.52,4.3501,4.41,1468,4.42379,653
2024-02-05,4.39,4.47,4.17,4.31,2330,4.31483,900
2024-02-06,4.25,4.48,4.2265,4.48,1765,4.38343,839
2024-02-07,4.47,4.61,4.41,4.44,1174,4.50042,485
2024-02-08,4.4,4.47,4.3,4.41,1800,4.36912,823
2024-02-09,4.31,4.47,4.31,4.4,2638,4.41771,834
2024-02-12,4.5,4.5286,4.3601,4.51,2923,4.47687,1299
2024-02-13,4.4,4.56,4.31,4.31,1824,4.43362,781
2024-02-14,4.36,4.4218,4.26,4.31,1316,4.31287,539
2024-02-15,4.31,4.36,4.26,4.32,2969,4.31655,984
2024-02-16,4.38,4.43,4.24,4.41,2189,4.33019,846
2024-02-20,4.45,4.65,4.45,4.53,1995,4.54611,1050
2024-02-21,4.51,4.86,4.4452,4.86,3135,4.7271,1328
2024-02-22,4.91,4.97,4.642,4.73,2772,4.81067,1154
2024-02-23,4.7,4.85,4.68,4.81,1335,4.78046,758
2024-02-26,4.76,4.98,4.752,4.95,1628,4.92293,817
2024-02-27,4.93,4.98,4.84,4.92,1251,4.9114,673
2024-02-28,4.93,4.98,4.85,4.91,1154,4.91539,422
2024-02-29,4.93,4.97,4.85,4.9,942,4.90987,418
2024-03-01,4.95,5.35,4.9,5.32,10323,5.13095,3653
2024-03-04,5.36,5.57,5.05,5.07,3443,5.21867,1198
2024-03-05,5.13,5.335,5.08,5.14,1699,5.19597,842
2024-03-06,5.2,5.25,5.135,5.19,3235,5.20014,1066
2024-03-07,5.25,5.25,5.05,5.12,872,5.14327,399
2024-03-08,5.15,5.16,4.9,4.99,1162,5.03864,493
2024-03-11,5.02,5.06,4.75,4.85,1416,4.91327,664
2024-03-12,4.89,5.13,4.8254,5.04,1218,5.01032,755
2024-03-13,5.05,5.18,4.99,5.15,990,5.07694,597
2024-03-14,5.11,5.19,4.9501,4.99,681,5.02555,344
2024-03-15,4.99,5.1,4.95,5.02,1029,5.04035,536
2024-03-18,5.08,5.2,4.91,4.99,1241,5.03045,509
2024-03-19,4.98,5.16,4.98,5.04,1781,5.07419,1032
2024-03-20,5.02,5.105,4.982,5.04,1768,5.03984,802
2024-03-21,5.06,5.06,4.89,4.9,1652,4.94914,832
2024-03-22,4.89,4.95,4.84,4.89,1191,4.88983,561
2024-03-25,4.86,5.01,4.82,4.93,1474,4.94255,812
2024-03-26,4.94,5.05,4.879,5.05,1676,4.96957,661
2024-03-27,5.07,5.07,4.93,4.94,3629,5.01582,948
2024-03-28,4.9,5.03,4.855,5.0,1598,4.98898,607
2024-04-01,5.05,5.2,4.93,4.99,2670,5.04556,913
2024-04-02,5.01,5.0666,4.91,4.93,1723,4.97049,822
2024-04-03,4.9,4.95,4.73,4.83,2353,4.81663,1011
2024-04-04,4.86,4.93,4.67,4.72,1542,4.77182,864
2024-04-05,4.72,4.82,4.7,4.74,1098,4.74147,612
2024-04-08,4.71,4.81,4.67,4.74,1315,4.7183,605
2024-04-09,4.76,4.83,4.6093,4.64,975,4.68151,526
2024-04-10,4.59,4.62,4.38,4.57,1356,4.55755,713
2024-04-11,4.59,4.71,4.545,4.7,1810,4.65874,1053
2024-04-12,4.73,4.83,4.62,4.76,1215,4.75187,747
2024-04-15,4.82,4.87,4.68,4.68,1439,4.7415,908
2024-04-16,4.67,4.73,4.6053,4.69,1063,4.67252,622
2024-04-17,4.77,4.79,4.51,4.78,1259,4.75425,610
2024-04-18,4.74,4.98,4.74,4.85,1230,4.8716,643
2024-04-19,4.83,5.11,4.83,5.11,3325,5.003,1140
2024-04-22,5.09,5.15,5.04,5.1,2104,5.10673,707
2024-04-23,4.82,5.22,4.75,5.15,2568,5.03715,883
2024-04-24,5.15,5.23,5.06,5.07,1692,5.12884,767
2024-04-25,5.23,5.7899,5.12,5.54,15237,5.53756,5232
2024-04-26,5.64,6.07,5.5501,6.0,7463,5.93712,2461
2024-04-29,6.0,6.005,5.78,5.89,1929,5.88472,901
2024-04-30,5.87,6.0,5.83,5.94,1190,5.91013,734
2024-05-01,5.91,6.01,5.8674,6.0,4072,5.98197,1493
2024-05-02,6.01,6.445,5.99,6.38,2974,6.20099,868
2024-05-03,6.48,6.8,6.28,6.65,3213,6.55213,1348
2024-05-06,6.69,6.81,6.5,6.65,5791,6.66748,1314
2024-05-07,6.67,6.78,6.58,6.58,1258,6.6557,609
2024-05-08,6.59,6.72,6.46,6.56,1743,6.55811,778
2024-05-09,6.57,6.65,6.34,6.42,2338,6.44195,1054
2024-05-10,6.45,6.57,6.25,6.42,1240,6.40002,597
2024-05-13,6.44,6.55,6.29,6.53,1291,6.45468,633
2024-05-14,6.55,6.63,6.36,6.43,2356,6.51151,749
2024-05-15,6.49,6.65,6.44,6.65,4111,6.53972,1679
2024-05-16,6.65,6.9447,6.645,6.89,2242,6.85193,983
