date,open,high,low,close,volume,average,barCount
2025-02-20 09:00:00,7.0,7.033,6.97,6.985,139,6.99404,29
2025-02-20 10:00:00,6.975,7.03,6.95,7.03,262,6.99419,78
2025-02-20 11:00:00,7.03,7.0411,6.9103,7.0411,444,6.96492,82
2025-02-20 12:00:00,7.0088,7.03,6.98,6.995,142,6.99812,48
2025-02-20 13:00:00,6.98,7.03,6.97,7.015,144,6.99716,39
2025-02-20 14:00:00,7.03,7.03,6.99,7.03,197,6.99894,56
2025-02-20 15:00:00,7.03,7.04,6.91,6.915,303,6.99003,151
2025-02-20 16:00:00,6.92,6.92,6.9,6.9,208,6.91971,3
2025-02-20 17:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-02-20 18:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-02-20 19:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-02-21 04:00:00,7.0,7.0,7.0,7.0,3,7.0,1
2025-02-21 05:00:00,7.0,7.0,7.0,7.0,0,7.0,0
2025-02-21 06:00:00,7.0,7.0,7.0,7.0,2,7.0,1
2025-02-21 07:00:00,7.0,7.0,7.0,7.0,0,7.0,0
2025-02-21 08:00:00,7.0,7.0,7.0,7.0,0,7.0,0
2025-02-21 09:00:00,7.0,7.05,6.72,6.75,455,6.84281,112
2025-02-21 10:00:00,6.75,6.82,6.68,6.68,566,6.73473,130
2025-02-21 11:00:00,6.69,6.705,6.57,6.68,501,6.65162,192
2025-02-21 12:00:00,6.6758,6.7,6.4714,6.4901,543,6.5541,181
2025-02-21 13:00:00,6.49,6.49,6.29,6.39,983,6.36386,356
2025-02-21 14:00:00,6.3908,6.3908,6.28,6.31,398,6.32884,131
2025-02-21 15:00:00,6.29,6.42,6.245,6.28,1226,6.33277,544
2025-02-21 16:00:00,6.29,6.6655,6.29,6.6655,276,6.29136,2
2025-02-21 17:00:00,6.6655,6.6655,6.6655,6.6655,0,6.6655,0
2025-02-21 18:00:00,6.6655,6.6655,6.6655,6.6655,0,6.6655,0
2025-02-21 19:00:00,6.6655,6.6655,6.6655,6.6655,0,6.6655,0
2025-02-24 07:00:00,6.16,6.16,6.16,6.16,1,6.16,1
2025-02-24 08:00:00,6.59,6.59,6.59,6.59,1,6.59,1
2025-02-24 09:00:00,6.27,6.4,6.09,6.09,289,6.23919,117
2025-02-24 10:00:00,6.07,6.1427,6.03,6.04,506,6.08511,195
2025-02-24 11:00:00,6.04,6.1462,6.04,6.125,376,6.07807,151
2025-02-24 12:00:00,6.11,6.235,6.06,6.08,952,6.12308,257
2025-02-24 13:00:00,6.08,6.08,5.91,5.92,742,6.02124,313
2025-02-24 14:00:00,5.9598,5.98,5.83,5.87,643,5.90378,323
2025-02-24 15:00:00,5.85,5.99,5.81,5.93,1979,5.92542,1216
2025-02-24 16:00:00,5.93,5.93,5.93,5.93,370,5.93,3
2025-02-24 17:00:00,5.93,5.93,5.93,5.93,0,5.93,0
2025-02-24 18:00:00,5.93,5.93,5.93,5.93,0,5.93,0
2025-02-24 19:00:00,6.2,6.2,6.2,6.2,2,6.2,2
2025-02-25 04:00:00,5.72,5.72,5.72,5.72,1,5.72,1
2025-02-25 05:00:00,5.72,5.72,5.72,5.72,0,5.72,0
2025-02-25 06:00:00,5.72,5.72,5.72,5.72,0,5.72,0
2025-02-25 07:00:00,5.72,5.72,5.72,5.72,0,5.72,0
2025-02-25 08:00:00,5.72,5.72,5.72,5.72,0,5.72,0
2025-02-25 09:00:00,5.94,6.24,5.93,6.04,529,6.04956,195
2025-02-25 10:00:00,6.02,6.05,5.865,5.9,667,5.95815,213
2025-02-25 11:00:00,5.9,6.05,5.86,6.03,845,5.92489,230
2025-02-25 12:00:00,6.03,6.0335,5.91,6.025,262,5.97088,163
2025-02-25 13:00:00,6.03,6.1,6.005,6.045,312,6.06493,179
2025-02-25 14:00:00,6.045,6.06,5.95,6.03,306,6.01198,187
2025-02-25 15:00:00,6.01,6.21,6.01,6.2,713,6.1301,414
2025-02-25 16:00:00,6.19,6.19,6.19,6.19,286,6.19,4
2025-02-25 17:00:00,6.19,6.19,6.19,6.19,0,6.19,0
2025-02-25 18:00:00,6.19,6.19,6.19,6.19,0,6.19,0
2025-02-25 19:00:00,6.19,6.19,6.19,6.19,0,6.19,0
2025-02-26 04:00:00,6.3,6.3,6.3,6.3,10,6.3,3
2025-02-26 05:00:00,6.3,6.3,6.3,6.3,0,6.3,0
2025-02-26 06:00:00,6.3,6.3,6.3,6.3,0,6.3,0
2025-02-26 07:00:00,6.3,6.3,6.3,6.3,0,6.3,0
2025-02-26 08:00:00,6.3,6.3,6.3,6.3,0,6.3,0
2025-02-26 09:00:00,6.2,6.26,6.18,6.195,32,6.20031,9
2025-02-26 10:00:00,6.19,6.27,6.19,6.25,107,6.23304,82
