date,open,high,low,close,volume,average,barCount
2023-12-20,0.75,0.7769,0.73,0.738,4539,0.74687,1286
2023-12-21,0.7496,0.7678,0.72,0.73,3943,0.72707,1105
2023-12-22,0.7326,0.7745,0.705,0.749,6875,0.73721,1993
2023-12-26,0.75,0.7777,0.7281,0.745,6692,0.74776,1246
2023-12-27,0.76,0.78,0.73,0.73,6657,0.75348,1610
2023-12-28,0.7594,0.7594,0.701,0.702,13495,0.72354,2385
2023-12-29,0.72,0.7499,0.695,0.7203,9326,0.7102,1945
2024-01-02,0.7464,0.8206,0.7307,0.799,5573,0.78104,957
2024-01-03,0.775,0.82,0.75,0.8124,1912,0.79495,653
2024-01-04,0.82,0.84,0.78,0.8109,2355,0.82184,908
2024-01-05,0.82,0.8373,0.7907,0.813,3730,0.81881,1150
2024-01-08,0.8318,0.91,0.82,0.8825,5610,0.87124,750
2024-01-09,0.88,0.899,0.8202,0.8464,2392,0.85719,761
2024-01-10,0.84,0.8849,0.8302,0.8849,3414,0.86287,667
2024-01-11,0.89,0.891,0.82,0.8552,2653,0.85896,557
2024-01-12,0.8437,0.9,0.8354,0.899,6202,0.8871,1001
2024-01-16,0.922,0.97,0.8626,0.922,6939,0.91867,1044
2024-01-17,0.93,0.93,0.8852,0.9174,2033,0.90922,623
2024-01-18,0.9174,0.9337,0.8955,0.9214,1919,0.90884,426
2024-01-19,0.91,0.92,0.87,0.9056,3044,0.89727,746
2024-01-22,0.8857,0.895,0.85,0.87,1912,0.87561,428
2024-01-23,0.87,0.9221,0.8501,0.882,1412,0.88899,347
2024-01-24,0.88,0.9288,0.8502,0.8996,3647,0.88401,1392
2024-01-25,0.905,0.905,0.8404,0.8572,3467,0.85968,1349
2024-01-26,0.87,0.9,0.8401,0.8401,2100,0.86156,656
2024-01-29,0.8572,0.865,0.8207,0.8347,2235,0.83772,606
2024-01-30,0.83,0.8488,0.8224,0.8327,1396,0.83167,427
2024-01-31,0.83,0.849,0.7965,0.811,2900,0.82561,906
2024-02-01,0.8,0.8988,0.7911,0.8743,5612,0.84234,1519
2024-02-02,0.91,0.915,0.831,0.839,4026,0.86443,735
2024-02-05,0.88,0.9426,0.86,0.935,11020,0.88994,1903
2024-02-06,0.935,1.1,0.9109,0.9986,14081,1.00999,1594
2024-02-07,0.982,1.0499,0.9251,0.93,4706,0.96085,1119
2024-02-08,0.9688,0.99,0.921,0.9398,4546,0.94024,788
2024-02-09,0.9403,0.9788,0.8994,0.9198,7911,0.92883,1510
2024-02-12,0.91,0.98,0.91,0.95,10229,0.94742,2537
2024-02-13,0.93,0.95,0.8501,0.87,9251,0.89,2434
2024-02-14,0.89,0.99,0.89,0.969,4541,0.9543,1374
2024-02-15,0.9508,1.02,0.9324,0.9751,3797,0.99506,1153
2024-02-16,0.97,0.9999,0.9204,0.9884,9310,0.94358,1902
2024-02-20,1.0,1.0,0.9027,0.9358,3703,0.94885,1058
2024-02-21,0.912,0.9939,0.8811,0.99,7607,0.94539,2209
2024-02-22,0.99,0.99,0.905,0.9158,2622,0.93082,655
2024-02-23,0.9268,0.97,0.9,0.95,3002,0.93709,570
2024-02-26,0.94,0.96,0.902,0.92,2239,0.93055,548
2024-02-27,0.928,0.9431,0.92,0.93,2801,0.9297,871
2024-02-28,0.9065,0.95,0.9065,0.9367,1416,0.92754,756
2024-02-29,0.94,0.94,0.9,0.9003,1135,0.9167,542
2024-03-01,0.92,0.9477,0.9,0.9401,2861,0.92984,1120
2024-03-04,0.9392,0.94,0.8648,0.9008,7470,0.89953,2347
2024-03-05,0.89,0.9199,0.87,0.9146,2654,0.90596,739
2024-03-06,0.92,0.92,0.88,0.8853,2552,0.90724,539
2024-03-07,0.88,0.9073,0.841,0.8763,2560,0.87309,503
2024-03-08,0.875,0.92,0.8727,0.9099,2593,0.90203,499
2024-03-11,0.9,0.9196,0.87,0.8832,2034,0.89888,442
2024-03-12,0.881,0.91,0.831,0.839,3105,0.87226,1071
2024-03-13,0.85,0.885,0.8431,0.8847,2457,0.86586,380
2024-03-14,0.8847,0.895,0.851,0.866,3015,0.87139,426
2024-03-15,0.8512,0.94,0.8512,0.9296,3573,0.90893,763
2024-03-18,0.96,1.04,0.9296,1.02,7481,1.00983,1504
2024-03-19,1.0,1.02,0.97,0.9811,4245,0.99823,1225
2024-03-20,0.97,0.98,0.88,0.9597,6908,0.91419,1332
2024-03-21,0.9629,0.995,0.94,0.9554,2197,0.96327,706
2024-03-22,0.97,1.2,0.94,1.15,17063,1.08141,3086
2024-03-25,1.22,1.25,1.05,1.09,10499,1.1546,2710
2024-03-26,1.1,1.245,1.1,1.14,8079,1.18549,1788
2024-03-27,1.15,1.27,1.1,1.265,8288,1.20996,1874
2024-03-28,1.28,1.33,1.22,1.33,6900,1.27056,1738
2024-04-01,1.38,1.4,1.2,1.315,16099,1.29511,4062
2024-04-02,1.3,1.35,1.29,1.31,4553,1.31987,1751
2024-04-03,1.28,1.4,1.23,1.33,9023,1.32984,3518
2024-04-04,1.37,1.4,1.1805,1.24,6190,1.30543,1898
2024-04-05,1.24,1.33,1.2201,1.295,4292,1.28869,1538
2024-04-08,1.33,1.34,1.26,1.3,3953,1.30103,1368
2024-04-09,1.29,1.34,1.27,1.31,2234,1.29838,793
2024-04-10,1.31,1.38,1.26,1.27,5704,1.32039,1715
2024-04-11,1.3,1.3,1.19,1.27,2593,1.24126,1009
2024-04-12,1.3,1.3,1.16,1.2,2435,1.19408,1006
2024-04-15,1.19,1.23,1.11,1.18,4163,1.18079,1423
2024-04-16,1.17,1.21,1.14,1.17,2132,1.17124,895
2024-04-17,1.16,1.19,1.15,1.16,1896,1.16901,778
2024-04-18,1.15,1.21,1.12,1.14,3850,1.15527,1207
2024-04-19,1.11,1.16,1.08,1.11,2361,1.11342,588
2024-04-22,1.1,1.13,1.06,1.08,2537,1.09638,1011
2024-04-23,1.08,1.16,1.07,1.09,4172,1.10861,1444
2024-04-24,1.11,1.11,1.06,1.09,1980,1.08844,864
2024-04-25,1.06,1.105,1.05,1.08,1971,1.08472,772
2024-04-26,1.07,1.1292,1.05,1.06,2599,1.08121,790
2024-04-29,1.05,1.08,1.02,1.045,2746,1.04981,692
2024-04-30,1.04,1.47,1.01,1.265,42556,1.24164,10824
2024-05-01,1.3,1.34,1.19,1.23,13191,1.24753,4604
2024-05-02,1.26,1.33,1.2,1.27,7557,1.28446,2698
2024-05-03,1.29,1.32,1.2,1.24,2501,1.24785,761
2024-05-06,1.24,1.31,1.24,1.25,1936,1.27628,991
2024-05-07,1.25,1.28,1.13,1.17,4576,1.17251,1781
2024-05-08,1.17,1.21,1.15,1.2,1654,1.18653,883
2024-05-09,1.21,1.25,1.12,1.19,3256,1.18716,1122
2024-05-10,1.18,1.22,1.13,1.14,2350,1.16876,1072
2024-05-13,1.13,1.17,1.1,1.1,3777,1.13267,1103
2024-05-14,1.09,1.15,1.09,1.1,3003,1.12637,1050
2024-05-15,1.13,1.14,1.02,1.06,2528,1.09567,1174
2024-05-16,1.07,1.19,1.04,1.1,8515,1.11741,3208
2024-05-17,1.12,1.16,1.0,1.0,8603,1.06413,2387
2024-05-20,1.01,1.03,0.89,0.96,8931,0.94906,2070
2024-05-21,0.9973,1.01,0.95,0.9537,3020,0.97256,782
2024-05-22,0.9554,0.96,0.894,0.9384,4762,0.91159,1495
2024-05-23,0.92,0.9301,0.8707,0.8799,4636,0.89665,1208
2024-05-24,0.88,0.91,0.86,0.8883,3153,0.88772,985
2024-05-28,0.9,0.99,0.9,0.944,13740,0.95291,3791
2024-05-29,0.96,1.02,0.9365,0.9517,4668,0.96343,1521
2024-05-30,0.96,0.9789,0.9401,0.96,7156,0.95601,2350
2024-05-31,0.971,1.02,0.9595,0.9892,5873,0.99001,1777
2024-06-03,1.02,1.05,0.9694,1.03,12933,1.01146,2292
2024-06-04,1.01,1.035,0.9933,1.01,5648,1.01042,1758
2024-06-05,1.02,1.04,0.99,0.9999,3645,1.01072,1248
2024-06-06,0.99,1.04,0.9698,0.9999,2923,1.00029,947
2024-06-07,0.9869,1.02,0.9745,1.0,4341,0.98962,1063
2024-06-10,1.01,1.1,0.9825,1.0,9631,1.01492,2968
2024-06-11,0.9802,1.02,0.9375,0.96,3347,0.96937,1298
2024-06-12,0.96,1.03,0.96,1.01,2658,1.01351,937
2024-06-13,0.99,1.05,0.9899,0.9928,2943,1.01088,1240
2024-06-14,1.05,1.055,0.993,1.0,3984,1.02524,1377
2024-06-17,1.02,1.06,1.0,1.03,4176,1.02195,977
2024-06-18,1.05,1.17,1.03,1.09,8057,1.09953,1744
2024-06-20,1.11,1.1496,1.09,1.12,5170,1.11918,1138
2024-06-21,1.12,1.15,1.1,1.125,2520,1.1277,758
2024-06-24,1.11,1.11,1.0,1.01,15272,1.02902,2872
2024-06-25,1.02,1.04,0.9505,0.9505,7946,0.99652,1286
2024-06-26,0.9757,1.07,0.9211,1.02,8602,0.99872,2311
2024-06-27,1.03,1.07,0.9928,1.0,4902,1.03358,2148
2024-06-28,1.0,1.05,0.935,1.04,14048,0.98704,4188
2024-07-01,1.05,1.15,1.03,1.12,12062,1.09613,3502
2024-07-02,1.11,1.18,1.07,1.1,5142,1.13363,1600
2024-07-03,1.11,1.125,1.07,1.09,927,1.08959,369
2024-07-05,1.08,1.09,1.01,1.03,3788,1.04293,1076
2024-07-08,1.05,1.12,1.045,1.09,3955,1.07436,1364
2024-07-09,1.09,1.1,1.02,1.02,5775,1.06502,1146
2024-07-10,1.01,1.04,0.97,0.9854,6785,0.99367,1331
2024-07-11,1.01,1.04,0.99,1.03,2320,1.0201,767
2024-07-12,1.04,1.05,1.0,1.035,4492,1.03297,1185
2024-07-15,1.02,1.03,0.9815,0.9929,5259,1.00105,1146
2024-07-16,1.02,1.04,1.0002,1.03,5741,1.02489,1802
2024-07-17,1.05,1.05,1.01,1.03,3449,1.0386,741
2024-07-18,1.02,1.05,0.965,0.9801,4722,1.00847,1033
2024-07-19,0.99,1.04,0.97,0.99,6444,1.01436,1101
2024-07-22,1.0,1.04,0.9425,1.03,6635,0.99684,1636
