date,open,high,low,close,volume,average,barCount
2025-02-19 09:00:00,7.67,7.68,7.47,7.61,774,7.58,542
2025-02-19 10:00:00,7.62,7.64,7.57,7.63,651,7.61,444
2025-02-19 11:00:00,7.63,7.66,7.58,7.64,1101,7.622,498
2025-02-19 12:00:00,7.64,7.65,7.59,7.64,418,7.623,319
2025-02-19 13:00:00,7.64,7.66,7.6,7.61,331,7.638,268
2025-02-19 14:00:00,7.61,7.66,7.58,7.65,1268,7.616,619
2025-02-19 15:00:00,7.65,7.65,7.59,7.6,3106,7.608,1524
2025-02-19 16:00:00,7.6,8.31,7.6,7.8,2948,7.671,60
2025-02-19 17:00:00,8.15,8.19,8.15,8.18,12,8.166,8
2025-02-19 18:00:00,8.25,8.33,8.2,8.33,23,8.26,6
2025-02-19 19:00:00,8.33,8.33,8.33,8.33,0,8.33,0
2025-02-20 08:00:00,8.42,8.57,8.42,8.56,6,8.496,4
2025-02-20 09:00:00,8.35,8.4,7.84,8.01,5171,8.078,2142
2025-02-20 10:00:00,8.02,8.05,7.78,7.81,4128,7.966,1998
2025-02-20 11:00:00,7.81,7.81,7.64,7.75,3089,7.737,1555
2025-02-20 12:00:00,7.74,7.8,7.72,7.79,1301,7.755,754
2025-02-20 13:00:00,7.79,7.8,7.68,7.71,2083,7.741,944
2025-02-20 14:00:00,7.71,7.79,7.63,7.64,2453,7.736,1585
2025-02-20 15:00:00,7.65,7.65,7.41,7.49,3304,7.493,1721
2025-02-20 16:00:00,7.48,7.48,7.48,7.48,2311,7.48,13
2025-02-20 17:00:00,7.5,7.5,7.5,7.5,4,7.5,3
2025-02-20 18:00:00,7.5,7.5,7.5,7.5,0,7.5,0
2025-02-20 19:00:00,7.91,7.92,7.7,7.89,177,7.816,10
2025-02-21 07:00:00,7.69,7.7,7.53,7.53,162,7.616,4
2025-02-21 08:00:00,7.53,7.53,7.53,7.53,0,7.53,0
2025-02-21 09:00:00,7.55,7.61,7.4,7.48,2031,7.501,684
2025-02-21 10:00:00,7.48,7.52,7.41,7.44,1604,7.446,1035
2025-02-21 11:00:00,7.44,7.44,7.25,7.31,838,7.315,602
2025-02-21 12:00:00,7.31,7.35,7.26,7.29,606,7.298,438
2025-02-21 13:00:00,7.29,7.32,7.24,7.26,936,7.278,586
2025-02-21 14:00:00,7.26,7.31,7.25,7.26,869,7.28,591
2025-02-21 15:00:00,7.26,7.36,7.23,7.26,6057,7.267,2295
2025-02-21 16:00:00,7.26,7.26,7.26,7.26,2071,7.26,4
2025-02-21 17:00:00,7.37,7.37,7.16,7.2,182,7.281,8
2025-02-21 18:00:00,7.2,7.2,7.2,7.2,0,7.2,0
2025-02-21 19:00:00,7.2,7.2,7.2,7.2,0,7.2,0
2025-02-24 04:00:00,7.04,7.04,7.04,7.04,2,7.04,2
2025-02-24 05:00:00,7.04,7.04,7.04,7.04,0,7.04,0
2025-02-24 06:00:00,7.04,7.04,7.04,7.04,0,7.04,0
2025-02-24 07:00:00,7.04,7.04,7.04,7.04,0,7.04,0
2025-02-24 08:00:00,7.04,7.04,7.04,7.04,0,7.04,0
2025-02-24 09:00:00,7.33,7.33,7.2,7.26,666,7.273,269
2025-02-24 10:00:00,7.26,7.35,7.25,7.35,1583,7.285,739
2025-02-24 11:00:00,7.34,7.46,7.34,7.4,1488,7.416,817
2025-02-24 12:00:00,7.4,7.43,7.36,7.41,1552,7.399,705
2025-02-24 13:00:00,7.41,7.43,7.39,7.39,1200,7.411,695
2025-02-24 14:00:00,7.39,7.47,7.37,7.4,1420,7.406,898
2025-02-24 15:00:00,7.4,7.48,7.38,7.47,5034,7.443,2210
2025-02-24 16:00:00,7.46,7.46,7.46,7.46,1872,7.46,7
2025-02-24 17:00:00,7.46,7.46,7.46,7.46,0,7.46,0
2025-02-24 18:00:00,7.46,7.46,7.46,7.46,0,7.46,0
2025-02-24 19:00:00,7.46,7.46,7.46,7.46,0,7.46,0
2025-02-25 09:00:00,7.54,7.57,7.46,7.53,315,7.531,198
2025-02-25 10:00:00,7.52,7.67,7.48,7.63,1137,7.601,576
2025-02-25 11:00:00,7.63,7.68,7.57,7.58,1156,7.613,667
2025-02-25 12:00:00,7.58,7.58,7.47,7.52,757,7.507,460
2025-02-25 13:00:00,7.52,7.56,7.49,7.51,1014,7.521,591
2025-02-25 14:00:00,7.5,7.53,7.47,7.48,1088,7.508,545
2025-02-25 15:00:00,7.48,7.54,7.46,7.53,5132,7.505,2389
2025-02-25 16:00:00,7.53,7.53,7.53,7.53,1853,7.53,10
2025-02-25 17:00:00,7.53,7.53,7.53,7.53,0,7.53,0
2025-02-25 18:00:00,7.53,7.53,7.53,7.53,0,7.53,0
2025-02-25 19:00:00,7.53,7.53,7.53,7.53,0,7.53,0
2025-02-26 04:00:00,7.5,7.5,7.5,7.5,1,7.5,1
2025-02-26 05:00:00,7.5,7.5,7.5,7.5,0,7.5,0
2025-02-26 06:00:00,7.5,7.5,7.5,7.5,0,7.5,0
2025-02-26 07:00:00,7.5,7.5,7.5,7.5,0,7.5,0
2025-02-26 08:00:00,7.33,7.33,7.33,7.33,1,7.33,1
2025-02-26 09:00:00,7.53,7.6,7.5,7.58,538,7.524,197
2025-02-26 10:00:00,7.58,7.59,7.53,7.55,596,7.561,447
2025-02-26 11:00:00,7.56,7.59,7.53,7.54,1449,7.564,663
2025-02-26 12:00:00,7.53,7.57,7.49,7.52,716,7.526,483
2025-02-26 13:00:00,7.52,7.52,7.5,7.51,534,7.511,385
2025-02-26 14:00:00,7.52,7.57,7.51,7.53,818,7.542,537
2025-02-26 15:00:00,7.53,7.7,7.52,7.55,8205,7.611,4099
2025-02-26 16:00:00,7.56,7.56,7.56,7.56,1473,7.56,6
2025-02-26 17:00:00,7.56,7.56,7.56,7.56,0,7.56,0
2025-02-26 18:00:00,7.56,7.56,7.56,7.56,0,7.56,0
2025-02-26 19:00:00,7.56,7.56,7.56,7.56,0,7.56,0
2025-02-27 09:00:00,7.51,7.61,7.49,7.58,315,7.541,200
2025-02-27 10:00:00,7.57,7.69,7.56,7.65,592,7.645,481
2025-02-27 11:00:00,7.66,7.69,7.65,7.67,938,7.664,461
2025-02-27 12:00:00,7.67,7.71,7.65,7.69,1114,7.666,579
2025-02-27 13:00:00,7.69,7.75,7.67,7.72,1206,7.699,511
2025-02-27 14:00:00,7.72,7.74,7.69,7.73,2496,7.716,870
2025-02-27 15:00:00,7.73,7.86,7.71,7.81,6620,7.778,2591
2025-02-27 16:00:00,7.82,7.82,7.82,7.82,2443,7.82,12
2025-02-27 17:00:00,7.82,7.82,7.82,7.82,0,7.82,0
2025-02-27 18:00:00,7.82,7.82,7.82,7.82,0,7.82,0
2025-02-27 19:00:00,7.82,7.82,7.82,7.82,0,7.82,0
2025-02-28 04:00:00,7.71,7.71,7.71,7.71,2,7.71,1
2025-02-28 05:00:00,7.71,7.71,7.71,7.71,0,7.71,0
2025-02-28 06:00:00,7.71,7.71,7.71,7.71,0,7.71,0
2025-02-28 07:00:00,7.76,7.76,7.76,7.76,6,7.76,2
2025-02-28 08:00:00,7.76,7.76,7.76,7.76,0,7.76,0
2025-02-28 09:00:00,7.81,8.04,7.8,7.98,882,7.948,373
2025-02-28 10:00:00,7.97,8.15,7.94,8.08,3249,8.071,2109
2025-02-28 11:00:00,8.07,8.23,8.06,8.17,2873,8.123,1663
2025-02-28 12:00:00,8.16,8.2,8.09,8.1,642,8.161,448
2025-02-28 13:00:00,8.1,8.18,8.04,8.17,981,8.1,620
2025-02-28 14:00:00,8.16,8.37,8.15,8.37,3294,8.261,1715
2025-02-28 15:00:00,8.37,8.51,8.36,8.5,9446,8.44,4439
2025-02-28 16:00:00,8.49,8.5,8.49,8.49,2642,8.49,4
2025-02-28 17:00:00,8.33,8.33,8.33,8.33,4,8.33,1
2025-02-28 18:00:00,8.33,8.33,8.33,8.33,0,8.33,0
2025-02-28 19:00:00,8.33,8.33,8.33,8.33,0,8.33,0
2025-03-03 04:00:00,8.44,8.44,8.44,8.44,1,8.44,1
2025-03-03 05:00:00,8.79,8.79,8.79,8.79,1,8.79,1
2025-03-03 06:00:00,8.51,8.51,8.44,8.45,3,8.467,3
2025-03-03 07:00:00,8.45,8.45,8.45,8.45,0,8.45,0
2025-03-03 08:00:00,8.6,8.6,8.17,8.17,2,8.405,2
2025-03-03 09:00:00,8.47,8.56,8.3,8.39,2297,8.35,334
2025-03-03 10:00:00,8.39,8.49,8.35,8.46,3372,8.417,1414
2025-03-03 11:00:00,8.46,8.52,8.45,8.49,1971,8.481,1165
2025-03-03 12:00:00,8.49,8.53,8.48,8.5,1437,8.502,680
2025-03-03 13:00:00,8.5,8.56,8.48,8.53,2675,8.51,1173
2025-03-03 14:00:00,8.52,8.53,8.43,8.44,3040,8.486,1561
2025-03-03 15:00:00,8.44,8.48,8.35,8.47,8264,8.441,3632
2025-03-03 16:00:00,8.47,8.47,8.47,8.47,2748,8.47,13
2025-03-03 17:00:00,8.47,8.47,8.47,8.47,0,8.47,0
2025-03-03 18:00:00,8.47,8.47,8.47,8.47,0,8.47,0
