date,open,high,low,close,volume,average,barCount
2024-01-02,31.76,32.75,31.49,31.94,1084,32.243,407
2024-01-03,31.62,31.62,30.22,30.25,723,30.783,531
2024-01-04,30.39,30.39,29.35,29.46,624,29.819,437
2024-01-05,29.14,29.71,28.51,28.64,1967,28.87,828
2024-01-08,28.64,29.14,28.54,28.64,525,28.792,365
2024-01-09,28.45,28.95,28.03,28.45,974,28.379,708
2024-01-10,28.39,29.78,28.14,29.1,2533,29.061,1451
2024-01-11,28.8,28.98,27.41,28.24,783,28.087,531
2024-01-12,28.66,29.25,27.89,27.97,509,28.284,330
2024-01-16,27.59,27.9,27.31,27.79,1391,27.673,908
2024-01-17,27.1,27.66,26.56,26.65,1542,26.931,1125
2024-01-18,26.88,27.58,25.97,27.48,1349,26.818,758
2024-01-19,27.71,28.34,27.14,28.26,1240,27.818,810
2024-01-22,28.8,30.94,28.8,30.88,1382,30.331,996
2024-01-23,31.53,31.53,30.06,30.58,982,30.489,681
2024-01-24,31.22,31.65,30.21,30.22,883,30.762,694
2024-01-25,30.91,31.25,30.25,30.75,600,30.698,259
2024-01-26,31.15,31.64,30.15,30.5,590,30.722,423
2024-01-29,30.49,32.0,30.09,31.89,820,31.487,670
2024-01-30,31.58,31.93,30.66,30.83,257,30.98,181
2024-01-31,30.71,30.85,29.2,29.21,816,29.758,613
2024-02-01,29.56,31.26,29.56,31.25,692,30.436,551
2024-02-02,30.91,31.61,30.75,31.25,583,31.271,465
2024-02-05,30.66,31.57,29.91,31.16,1110,30.939,799
2024-02-06,31.12,32.56,30.94,32.08,587,32.014,376
2024-02-07,32.13,32.25,31.22,31.59,699,31.606,489
2024-02-08,31.59,33.27,31.45,32.93,775,32.884,585
2024-02-09,33.06,33.93,32.95,33.53,631,33.375,449
2024-02-12,33.65,35.5,33.65,35.08,1166,35.061,843
2024-02-13,33.07,33.4,31.41,31.98,970,32.166,778
2024-02-14,32.76,33.42,32.23,33.01,373,32.926,291
2024-02-15,33.41,34.41,33.25,34.4,442,34.052,355
2024-02-16,33.9,34.7,33.53,33.68,553,34.022,275
2024-02-20,32.97,33.74,32.8,33.08,619,33.401,396
2024-02-21,32.96,33.17,32.51,32.91,611,32.881,447
2024-02-22,32.95,33.09,32.2,32.31,440,32.501,355
2024-02-23,32.3,33.21,31.75,32.29,512,32.371,410
2024-02-26,32.09,33.18,31.78,32.44,408,32.515,306
2024-02-27,32.83,33.33,32.73,33.05,595,33.015,407
2024-02-28,32.54,33.46,32.54,33.01,638,33.098,451
2024-02-29,37.75,42.15,36.53,41.38,4420,40.485,2789
2024-03-01,42.44,42.72,37.55,38.02,1825,39.029,1274
2024-03-04,38.45,38.61,37.8,37.82,1284,38.131,672
2024-03-05,37.3,37.64,36.08,36.1,646,36.57,509
2024-03-06,36.6,37.03,36.01,36.09,734,36.368,591
2024-03-07,36.61,37.41,36.61,37.03,792,36.939,579
2024-03-08,37.72,38.09,36.97,37.47,879,37.492,567
2024-03-11,37.99,41.77,37.8,41.33,2714,40.683,1449
2024-03-12,41.08,41.32,39.7,40.46,1939,40.396,1267
2024-03-13,40.15,40.5,38.9,39.63,996,39.76,811
2024-03-14,39.2,39.48,37.72,38.48,953,38.404,677
2024-03-15,38.11,38.48,37.45,37.6,1651,37.863,899
2024-03-18,37.54,37.54,36.3,36.47,1077,36.743,797
2024-03-19,36.21,38.29,36.2,38.21,1300,37.734,938
2024-03-20,37.82,39.48,37.57,38.96,867,38.424,578
2024-03-21,39.76,40.0,38.95,39.42,1091,39.56,697
2024-03-22,39.39,39.39,38.11,38.11,574,38.72,418
2024-03-25,38.11,39.03,37.57,37.7,644,38.087,508
2024-03-26,38.01,38.12,37.08,37.14,649,37.605,419
2024-03-27,37.6,38.61,37.6,38.37,593,38.237,390
2024-03-28,38.46,39.61,38.39,39.17,1177,39.137,819
2024-04-01,39.26,39.4,38.57,39.4,983,39.084,611
2024-04-02,39.86,45.16,38.71,43.97,3805,43.268,2213
2024-04-03,44.27,44.68,43.35,43.96,970,43.994,723
2024-04-04,44.71,45.0,43.7,43.89,1555,44.472,928
2024-04-05,43.66,45.04,43.46,44.36,789,44.332,565
2024-04-08,44.68,45.54,44.13,45.27,609,44.826,438
2024-04-09,45.28,45.28,44.01,45.14,647,44.649,433
2024-04-10,43.48,44.97,43.48,44.64,1476,44.526,956
2024-04-11,44.64,45.31,43.32,45.11,1035,44.489,663
2024-04-12,44.88,45.65,44.5,44.66,1185,44.957,913
2024-04-15,44.6,45.02,42.47,42.65,998,43.423,701
2024-04-16,42.35,42.64,41.56,41.95,327,42.124,269
2024-04-17,40.44,40.55,35.6,37.15,5415,37.188,2938
2024-04-18,39.05,42.16,38.0,41.92,14289,40.162,8120
2024-04-19,41.7,42.2,39.44,40.2,2798,40.547,1997
2024-04-22,40.33,40.67,38.63,39.04,2311,39.329,1649
2024-04-23,39.0,41.64,39.0,41.3,1245,40.989,841
2024-04-24,41.1,42.08,40.65,41.39,1038,41.322,766
2024-04-25,40.58,41.39,40.0,41.16,1015,40.958,601
2024-04-26,41.61,43.6,40.84,43.11,1614,42.97,1053
2024-04-29,43.27,43.59,42.59,43.26,1176,43.019,944
2024-04-30,42.86,43.72,42.56,43.42,1155,43.241,706
2024-05-01,43.34,43.91,42.44,43.1,1619,43.14,1099
2024-05-02,43.98,44.45,42.7,44.27,1525,43.917,1198
2024-05-03,45.0,45.68,43.93,44.51,1613,44.488,1097
2024-05-06,44.88,47.16,44.66,47.15,2825,46.228,1534
2024-05-07,47.15,47.94,46.84,47.57,1887,47.601,1423
2024-05-08,43.37,46.59,40.47,43.27,4786,42.426,3408
2024-05-09,43.24,43.6,42.16,43.07,2326,42.857,1712
2024-05-10,42.75,43.94,41.99,43.89,1755,43.136,1289
2024-05-13,44.1,44.45,42.93,44.07,1836,43.777,1341
2024-05-14,45.21,46.76,44.07,46.65,1445,46.232,1089
2024-05-15,47.39,49.15,47.12,47.46,1274,47.967,962
2024-05-16,47.41,48.6,47.01,47.54,1096,47.746,768
2024-05-17,47.5,48.13,47.08,47.99,697,47.725,487
2024-05-20,47.96,49.46,47.8,49.01,852,48.896,648
2024-05-21,48.7,49.97,48.3,49.82,1109,49.555,883
2024-05-22,49.8,49.91,47.03,47.51,1289,48.145,998
2024-05-23,47.8,47.8,45.85,47.15,1384,46.571,944
2024-05-24,47.72,48.59,47.17,48.56,522,48.111,369
2024-05-28,49.08,49.17,46.24,47.43,1348,47.232,838
2024-05-29,46.63,46.95,45.4,46.42,2112,46.212,1441
2024-05-30,47.19,47.5,45.74,46.12,2333,46.287,1413
2024-05-31,46.35,47.27,45.5,47.01,1158,46.443,663
2024-06-03,47.57,48.33,46.22,46.64,896,47.089,646
2024-06-04,46.35,46.38,43.81,43.97,859,44.585,688
2024-06-05,44.57,47.24,44.48,47.15,1208,46.256,874
2024-06-06,46.97,47.28,44.74,44.8,748,45.354,528
2024-06-07,44.21,44.85,43.75,43.89,824,44.121,619
2024-06-10,43.42,45.48,43.07,44.69,1087,44.436,842
2024-06-11,44.05,44.78,43.84,44.71,671,44.402,511
2024-06-12,46.54,48.45,46.2,47.01,1025,47.505,796
2024-06-13,47.0,47.8,46.32,47.37,817,47.0,591
2024-06-14,46.67,48.29,46.57,47.95,1347,47.527,967
2024-06-17,47.39,47.99,46.0,46.24,1053,46.685,743
2024-06-18,46.31,49.12,45.86,48.84,1404,47.82,966
2024-06-20,48.62,49.66,47.3,47.35,1013,48.241,726
2024-06-21,47.05,47.05,45.65,46.33,1129,46.495,508
2024-06-24,46.15,46.89,45.5,46.11,1099,46.26,801
2024-06-25,45.86,46.75,45.62,46.66,829,46.326,544
2024-06-26,46.47,48.11,46.11,47.87,1264,47.28,861
2024-06-27,48.02,49.24,45.31,46.02,2296,46.617,1725
2024-06-28,46.35,46.43,44.39,44.56,1132,45.059,889
2024-07-01,44.7,45.13,42.01,42.29,2013,42.994,1238
2024-07-02,42.19,42.38,40.28,40.69,1640,41.165,1204
2024-07-03,40.82,41.35,39.95,40.14,2607,40.45,1748
2024-07-05,40.1,40.77,39.75,40.29,1632,40.251,1136
2024-07-08,40.76,41.0,38.93,39.08,1104,39.579,795
2024-07-09,39.25,39.25,37.71,37.96,2041,38.252,1537
2024-07-10,38.22,38.81,36.87,36.99,2256,37.295,1610
2024-07-11,38.1,38.99,36.8,38.79,3877,37.769,2155
2024-07-12,39.55,39.55,37.4,37.46,1801,37.906,961
2024-07-15,38.0,39.99,37.33,38.34,1731,38.533,1320
2024-07-16,38.55,39.53,37.73,39.52,3284,38.642,1768
2024-07-17,38.93,40.72,38.67,39.14,2405,39.184,1745
2024-07-18,38.59,40.84,37.19,37.22,1405,38.698,785
2024-07-19,37.09,37.11,33.82,33.95,5123,34.937,2752
2024-07-22,34.29,35.3,33.27,33.43,4171,33.96,2956
2024-07-23,33.43,34.09,30.82,31.09,12647,31.879,7789
2024-07-24,31.0,31.64,29.77,30.55,5327,30.355,2945
2024-07-25,30.43,31.31,29.14,31.02,7720,30.459,3890
2024-07-26,31.57,32.25,30.84,31.67,2896,31.486,1875
2024-07-29,31.78,32.03,30.49,30.78,3088,31.301,2042
2024-07-30,30.96,31.4,29.58,30.56,2148,30.382,1545
2024-07-31,31.16,32.9,30.39,31.89,3243,31.898,1818
2024-08-01,31.64,31.75,29.75,30.43,1860,30.568,1351
2024-08-02,28.87,29.85,28.38,29.15,2870,29.354,1926
2024-08-05,27.07,27.75,26.5,26.98,1965,27.213,1348
2024-08-06,27.0,29.82,26.97,29.27,4194,28.896,2408
2024-08-07,30.08,31.87,27.76,29.32,5522,29.902,3781
2024-08-08,29.68,32.29,28.91,31.78,4379,31.102,2303
2024-08-09,31.75,33.21,31.09,32.46,2665,32.488,1738
2024-08-12,32.23,33.25,31.75,32.36,1735,32.409,1110
2024-08-13,32.55,32.96,31.72,32.45,1913,32.256,1238
2024-08-14,34.0,34.3,32.08,32.47,2276,32.751,1487
2024-08-15,33.32,33.71,32.35,32.48,1143,32.916,838
2024-08-16,32.25,33.04,32.0,32.97,1153,32.585,888
2024-08-19,32.93,33.39,32.37,33.2,1429,32.934,778
2024-08-20,33.15,33.37,32.13,33.09,1800,32.869,982
2024-08-21,33.34,34.12,32.95,34.09,1404,33.542,669
2024-08-22,34.17,34.26,31.76,31.91,2278,32.347,1526
2024-08-23,32.17,33.11,32.08,32.32,1782,32.551,1307
2024-08-26,32.58,34.56,32.15,34.36,2353,33.973,1533
2024-08-27,34.11,34.11,32.61,32.69,1188,33.046,793
2024-08-28,32.46,32.88,31.39,32.14,939,32.095,618
2024-08-29,32.56,32.9,31.74,32.53,957,32.385,690
