date,open,high,low,close,volume,average,barCount
2025-02-19 09:00:00,18.1,18.5,18.01,18.23,108,18.16,50
2025-02-19 10:00:00,18.18,18.23,17.52,17.55,288,17.805,192
2025-02-19 11:00:00,17.6,17.86,17.44,17.56,717,17.588,316
2025-02-19 12:00:00,17.6,17.98,17.57,17.74,199,17.734,130
2025-02-19 13:00:00,17.75,17.75,17.57,17.69,181,17.642,113
2025-02-19 14:00:00,17.71,17.94,17.65,17.86,190,17.79,131
2025-02-19 15:00:00,17.84,18.33,17.84,18.25,952,18.119,599
2025-02-19 16:00:00,18.25,18.25,18.25,18.25,616,18.25,2
2025-02-19 17:00:00,18.25,18.25,18.25,18.25,0,18.25,0
2025-02-19 18:00:00,18.25,18.25,18.25,18.25,0,18.25,0
2025-02-19 19:00:00,18.25,18.25,18.25,18.25,0,18.25,0
2025-02-20 09:00:00,18.32,18.62,18.0,18.11,286,18.21,122
2025-02-20 10:00:00,18.01,18.13,17.92,17.96,253,18.042,193
2025-02-20 11:00:00,17.96,18.19,17.96,18.11,142,18.108,95
2025-02-20 12:00:00,18.1,18.22,18.01,18.22,252,18.101,198
2025-02-20 13:00:00,18.23,18.53,18.22,18.53,181,18.392,122
2025-02-20 14:00:00,18.54,18.55,18.23,18.23,147,18.384,77
2025-02-20 15:00:00,18.22,18.25,17.96,18.05,1499,18.079,755
2025-02-20 16:00:00,18.05,18.05,18.05,18.05,479,18.05,3
2025-02-20 17:00:00,18.05,18.05,18.05,18.05,0,18.05,0
2025-02-20 18:00:00,18.05,18.05,18.05,18.05,0,18.05,0
2025-02-20 19:00:00,18.05,18.05,18.05,18.05,0,18.05,0
2025-02-21 09:00:00,18.42,18.9,17.95,18.0,249,18.301,88
2025-02-21 10:00:00,18.01,18.19,17.91,17.98,130,18.006,90
2025-02-21 11:00:00,17.96,18.11,17.73,17.92,271,17.904,184
2025-02-21 12:00:00,17.92,17.97,17.74,17.86,174,17.84,127
2025-02-21 13:00:00,17.86,17.86,17.64,17.72,201,17.73,157
2025-02-21 14:00:00,17.72,17.86,17.59,17.8,204,17.749,127
2025-02-21 15:00:00,17.84,17.92,17.7,17.75,471,17.78,314
2025-02-21 16:00:00,17.74,17.74,17.74,17.74,524,17.74,5
2025-02-21 17:00:00,17.74,17.74,17.74,17.74,0,17.74,0
2025-02-21 18:00:00,17.74,17.74,17.74,17.74,0,17.74,0
2025-02-21 19:00:00,17.74,17.74,17.74,17.74,0,17.74,0
2025-02-24 09:00:00,17.87,17.95,17.47,17.75,115,17.68,78
2025-02-24 10:00:00,17.75,18.08,17.55,17.88,303,17.834,212
2025-02-24 11:00:00,17.88,18.08,17.87,17.92,119,17.992,95
2025-02-24 12:00:00,17.95,18.17,17.95,18.07,104,18.053,78
2025-02-24 13:00:00,18.1,18.17,18.04,18.05,132,18.084,91
2025-02-24 14:00:00,18.1,18.13,17.98,18.04,101,18.046,82
2025-02-24 15:00:00,18.06,18.08,17.88,17.9,525,17.951,414
2025-02-24 16:00:00,17.9,17.9,17.9,17.9,462,17.9,5
2025-02-24 17:00:00,17.9,17.9,17.9,17.9,0,17.9,0
2025-02-24 18:00:00,17.9,17.9,17.9,17.9,0,17.9,0
2025-02-24 19:00:00,17.9,17.9,17.9,17.9,0,17.9,0
2025-02-25 04:00:00,20.0,20.0,19.0,19.0,2,19.5,2
2025-02-25 05:00:00,18.01,18.01,18.01,18.01,1,18.01,1
2025-02-25 06:00:00,18.01,18.01,18.01,18.01,0,18.01,0
2025-02-25 07:00:00,18.01,18.01,18.01,18.01,0,18.01,0
2025-02-25 08:00:00,18.91,18.91,18.91,18.91,1,18.91,1
2025-02-25 09:00:00,17.85,18.16,17.74,18.16,63,17.883,22
2025-02-25 10:00:00,17.79,18.12,17.67,17.94,341,17.853,221
2025-02-25 11:00:00,17.93,17.99,17.68,17.75,193,17.841,144
2025-02-25 12:00:00,17.77,17.78,17.49,17.68,154,17.632,110
