date,open,high,low,close,volume,average,barCount
2024-01-02,11.18,11.29,11.08,11.25,8016,11.198,2955
2024-01-03,11.11,11.14,10.87,11.04,9250,11.049,4552
2024-01-04,11.03,11.1,10.96,11.02,3629,11.032,1861
2024-01-05,10.98,11.25,10.95,11.13,7152,11.152,3307
2024-01-08,11.1,11.47,11.1,11.47,6938,11.332,2774
2024-01-09,11.34,11.47,11.3,11.42,5743,11.403,2506
2024-01-10,11.42,11.58,11.42,11.52,5208,11.499,2576
2024-01-11,11.47,11.48,11.25,11.46,6210,11.41,3131
2024-01-12,11.59,11.7,11.45,11.56,5993,11.556,3042
2024-01-16,11.46,11.49,11.31,11.48,5401,11.423,2921
2024-01-17,11.38,11.51,11.3,11.41,4423,11.405,2395
2024-01-18,11.4,11.5,11.21,11.38,4679,11.363,2373
2024-01-19,11.42,11.49,11.18,11.48,6285,11.353,2949
2024-01-22,11.58,11.67,11.41,11.47,3591,11.51,2091
2024-01-23,11.51,11.53,11.42,11.51,3127,11.486,1853
2024-01-24,11.64,11.64,11.29,11.3,5623,11.441,2783
2024-01-25,11.49,11.56,11.3,11.41,5035,11.39,2325
2024-01-26,11.46,11.62,11.42,11.54,7202,11.538,3115
2024-01-29,11.57,11.67,11.45,11.6,8399,11.558,3925
2024-01-30,11.56,11.61,11.37,11.42,5218,11.454,2252
2024-01-31,11.4,11.41,11.06,11.07,10750,11.278,4635
2024-02-01,11.15,11.32,10.98,11.3,8776,11.149,3827
2024-02-02,11.12,11.16,10.98,11.1,7588,11.09,3682
2024-02-05,10.96,11.05,10.76,10.99,6507,10.931,3431
2024-02-06,10.94,11.08,10.9,11.03,3408,10.995,2037
2024-02-07,11.05,11.08,10.65,10.67,5105,10.769,2355
2024-02-08,10.65,10.85,10.62,10.73,6191,10.726,2904
2024-02-09,10.76,10.83,10.63,10.79,6312,10.757,3056
2024-02-12,10.78,11.0,10.78,10.93,5378,10.936,2986
2024-02-13,10.79,10.8,10.41,10.53,7595,10.528,3948
