date,open,high,low,close,volume,average,barCount
2025-02-18 08:00:00,10.68,10.69,10.68,10.68,20,10.684,1
2025-02-18 09:00:00,10.69,10.73,10.6,10.62,1366,10.67,275
2025-02-18 10:00:00,10.61,10.62,10.55,10.57,2710,10.59,1080
2025-02-18 11:00:00,10.58,10.59,10.54,10.54,867,10.561,382
2025-02-18 12:00:00,10.54,10.56,10.46,10.47,1544,10.512,596
2025-02-18 13:00:00,10.47,10.49,10.37,10.4,4117,10.443,1380
2025-02-18 14:00:00,10.4,10.41,10.37,10.38,2352,10.388,781
2025-02-18 15:00:00,10.38,10.4,10.29,10.29,5368,10.337,1962
2025-02-18 16:00:00,10.3,10.37,10.3,10.32,2168,10.3,10
2025-02-18 17:00:00,10.3,10.35,10.3,10.35,15,10.332,5
2025-02-18 18:00:00,10.35,10.35,10.29,10.3,17,10.31,5
2025-02-18 19:00:00,10.33,10.33,10.31,10.32,25,10.321,7
2025-02-19 07:00:00,10.36,10.36,10.34,10.34,2,10.35,2
2025-02-19 08:00:00,10.34,10.5,9.9,10.35,373,10.143,105
2025-02-19 09:00:00,10.35,10.43,10.0,10.24,3180,10.278,888
2025-02-19 10:00:00,10.25,10.31,10.11,10.14,3112,10.193,930
2025-02-19 11:00:00,10.14,10.27,10.14,10.26,2249,10.199,791
2025-02-19 12:00:00,10.26,10.34,10.23,10.27,3279,10.284,900
2025-02-19 13:00:00,10.28,10.35,10.26,10.34,1396,10.301,647
2025-02-19 14:00:00,10.35,10.44,10.31,10.4,2217,10.398,624
2025-02-19 15:00:00,10.4,10.41,10.31,10.31,3206,10.366,1208
2025-02-19 16:00:00,10.32,10.44,10.32,10.4,1671,10.32,9
2025-02-19 17:00:00,10.4,10.4,10.4,10.4,0,10.4,0
2025-02-19 18:00:00,10.4,10.4,10.39,10.4,5,10.4,1
2025-02-19 19:00:00,10.4,10.4,10.39,10.4,0,10.4,0
2025-02-20 09:00:00,10.3,10.32,10.23,10.27,1007,10.284,221
2025-02-20 10:00:00,10.26,10.36,10.25,10.35,1576,10.293,716
2025-02-20 11:00:00,10.35,10.37,10.3,10.35,3243,10.338,759
2025-02-20 12:00:00,10.34,10.42,10.34,10.38,2419,10.376,721
2025-02-20 13:00:00,10.38,10.38,10.31,10.36,843,10.35,436
2025-02-20 14:00:00,10.36,10.42,10.35,10.41,1766,10.393,790
2025-02-20 15:00:00,10.41,10.44,10.33,10.34,3791,10.375,1633
2025-02-20 16:00:00,10.36,10.36,10.36,10.36,1429,10.36,6
2025-02-20 17:00:00,10.44,10.44,10.43,10.44,3,10.439,1
2025-02-20 18:00:00,10.44,10.44,10.44,10.44,0,10.44,0
2025-02-20 19:00:00,10.44,10.44,10.43,10.44,0,10.44,0
2025-02-21 08:00:00,10.55,10.55,10.54,10.55,1,10.547,1
2025-02-21 09:00:00,10.43,10.54,10.38,10.45,1217,10.461,264
2025-02-21 10:00:00,10.45,10.49,10.38,10.39,2866,10.425,691
2025-02-21 11:00:00,10.4,10.42,10.33,10.36,1255,10.364,358
2025-02-21 12:00:00,10.35,10.37,10.33,10.36,705,10.356,282
2025-02-21 13:00:00,10.36,10.36,10.28,10.29,1234,10.309,376
2025-02-21 14:00:00,10.29,10.33,10.22,10.28,2155,10.276,575
2025-02-21 15:00:00,10.28,10.34,10.27,10.29,2388,10.304,1041
2025-02-21 16:00:00,10.3,10.31,10.3,10.3,1129,10.3,6
2025-02-21 17:00:00,10.3,10.3,10.3,10.3,0,10.3,0
2025-02-21 18:00:00,10.28,10.28,10.28,10.28,5,10.28,1
2025-02-21 19:00:00,10.28,10.28,10.28,10.28,0,10.28,0
2025-02-24 08:00:00,10.3,10.49,10.3,10.3,18,10.373,4
2025-02-24 09:00:00,10.32,10.33,10.25,10.3,742,10.296,249
2025-02-24 10:00:00,10.31,10.36,10.3,10.3,1262,10.322,543
2025-02-24 11:00:00,10.3,10.36,10.3,10.34,843,10.336,297
2025-02-24 12:00:00,10.34,10.37,10.32,10.34,572,10.34,256
2025-02-24 13:00:00,10.35,10.4,10.34,10.37,289,10.37,175
2025-02-24 14:00:00,10.37,10.39,10.36,10.38,323,10.383,147
2025-02-24 15:00:00,10.38,10.39,10.31,10.33,2077,10.332,902
2025-02-24 16:00:00,10.33,10.34,10.33,10.34,1080,10.33,7
2025-02-24 17:00:00,10.26,10.26,10.25,10.26,1,10.255,1
2025-02-24 18:00:00,10.26,10.26,10.26,10.26,0,10.26,0
2025-02-24 19:00:00,10.26,10.26,10.25,10.26,0,10.26,0
2025-02-25 09:00:00,10.37,10.46,10.36,10.46,582,10.409,128
2025-02-25 10:00:00,10.45,10.5,10.44,10.5,1022,10.469,430
2025-02-25 11:00:00,10.5,10.52,10.48,10.5,1057,10.498,388
2025-02-25 12:00:00,10.5,10.58,10.47,10.54,1257,10.538,375
2025-02-25 13:00:00,10.54,10.58,10.53,10.54,650,10.555,273
2025-02-25 14:00:00,10.53,10.56,10.5,10.56,1439,10.528,581
2025-02-25 15:00:00,10.56,10.58,10.54,10.57,2428,10.558,1211
2025-02-25 16:00:00,10.56,10.57,10.56,10.57,1230,10.56,4
2025-02-25 17:00:00,10.57,10.57,10.57,10.57,0,10.57,0
2025-02-25 18:00:00,10.57,10.57,10.57,10.57,0,10.57,0
2025-02-25 19:00:00,10.57,10.57,10.57,10.57,0,10.57,0
2025-02-26 04:00:00,10.58,10.58,10.56,10.56,4,10.565,2
2025-02-26 05:00:00,10.56,10.56,10.56,10.56,0,10.56,0
2025-02-26 06:00:00,10.56,10.56,10.56,10.56,0,10.56,0
2025-02-26 07:00:00,10.58,10.58,10.58,10.58,2,10.58,1
2025-02-26 08:00:00,10.54,10.59,10.54,10.59,2,10.565,2
2025-02-26 09:00:00,10.58,10.61,10.56,10.59,516,10.587,187
2025-02-26 10:00:00,10.59,10.64,10.56,10.64,1316,10.598,483
2025-02-26 11:00:00,10.64,10.68,10.63,10.66,709,10.657,246
2025-02-26 12:00:00,10.66,10.68,10.56,10.57,248,10.629,147
2025-02-26 13:00:00,10.56,10.58,10.52,10.53,296,10.555,169
2025-02-26 14:00:00,10.54,10.56,10.49,10.54,991,10.527,428
2025-02-26 15:00:00,10.54,10.55,10.51,10.54,1392,10.531,625
2025-02-26 16:00:00,10.53,10.7,10.52,10.53,910,10.531,9
2025-02-26 17:00:00,10.53,10.53,10.53,10.53,0,10.53,0
2025-02-26 18:00:00,10.53,10.53,10.53,10.53,0,10.53,0
2025-02-26 19:00:00,10.53,10.53,10.53,10.53,0,10.53,0
2025-02-27 06:00:00,10.64,10.64,10.64,10.64,1,10.64,1
2025-02-27 07:00:00,10.64,10.64,10.64,10.64,1,10.64,1
2025-02-27 08:00:00,10.58,10.6,10.56,10.6,33,10.569,3
2025-02-27 09:00:00,10.5,10.53,10.47,10.51,397,10.507,128
2025-02-27 10:00:00,10.51,10.6,10.48,10.58,845,10.536,276
2025-02-27 11:00:00,10.58,10.63,10.56,10.58,577,10.593,261
2025-02-27 12:00:00,10.58,10.58,10.54,10.57,144,10.559,93
2025-02-27 13:00:00,10.57,10.62,10.56,10.62,213,10.596,102
2025-02-27 14:00:00,10.61,10.62,10.57,10.59,634,10.591,271
2025-02-27 15:00:00,10.58,10.6,10.55,10.58,1915,10.572,772
2025-02-27 16:00:00,10.58,10.58,10.58,10.58,1303,10.58,4
2025-02-27 17:00:00,10.65,10.65,10.65,10.65,1,10.65,1
