date,open,high,low,close,volume,average,barCount
2024-02-09,10.25,11.24,9.74,10.31,24530,10.48938,7672
2024-02-12,10.94,12.22,10.56,11.27,9944,11.55608,4428
2024-02-13,11.13,12.44,11.13,11.69,5017,11.91917,2546
2024-02-14,11.05,12.38,11.03,12.25,2338,12.01096,1269
2024-02-15,12.0,12.74,11.58,12.16,3423,12.26086,1619
2024-02-16,12.15,12.39,11.53,12.2,3093,12.10802,1738
2024-02-20,12.24,12.33,11.77,11.81,2232,12.02048,1219
2024-02-21,11.71,11.96,11.1,11.3,2076,11.44633,899
2024-02-22,11.55,12.03,11.4,11.71,1558,11.80785,719
2024-02-23,11.72,12.0,11.7,11.9,777,11.91109,453
2024-02-26,11.76,12.0,11.41,11.89,965,11.77657,529
2024-02-27,11.58,12.01,11.44,12.0,1066,11.88353,640
2024-02-28,11.87,12.1,11.3,11.52,801,11.81578,408
2024-02-29,11.64,11.86,11.34,11.86,247,11.69217,166
2024-03-01,11.76,12.13,11.76,12.0,1074,12.01567,757
2024-03-04,12.11,12.3,11.83,12.04,726,12.03985,396
2024-03-05,12.25,12.5,11.51,11.64,1804,11.97279,626
2024-03-06,12.0,12.07,11.64,12.0,1140,11.9225,627
2024-03-07,12.31,12.36,11.82,12.0,1200,12.01907,650
2024-03-08,12.0,12.1,11.54,11.78,1043,11.85016,563
2024-03-11,11.85,12.05,11.6,12.0,1630,11.91336,865
2024-03-12,12.1,12.1,11.39,11.44,687,11.63601,358
2024-03-13,11.26,11.76,10.69,11.08,726,11.00068,401
2024-03-14,11.22,11.22,10.6,10.72,572,10.77285,352
2024-03-15,10.73,11.13,9.87,10.14,857,10.20083,440
2024-03-18,10.02,11.41,10.02,11.07,587,10.93725,317
2024-03-19,10.91,11.67,10.9,11.35,506,11.38404,285
2024-03-20,11.45,11.57,10.78,10.88,344,11.22586,217
2024-03-21,10.78,11.34,10.78,11.31,372,11.2098,236
2024-03-22,11.31,11.41,11.07,11.41,547,11.27522,291
2024-03-25,11.35,11.86,11.03,11.15,528,11.42844,329
2024-03-26,11.12,11.41,10.96,11.32,752,11.20895,464
2024-03-27,11.19,11.8,10.92,11.09,878,11.3166,536
2024-03-28,11.0,11.13,10.48,10.55,983,10.74786,528
2024-04-01,10.85,10.93,10.5,10.82,787,10.77057,528
2024-04-02,10.79,10.8,10.15,10.26,453,10.50365,262
2024-04-03,10.3,10.94,10.25,10.49,566,10.62717,295
2024-04-04,10.64,10.94,10.05,10.09,435,10.55366,290
2024-04-05,10.1,10.57,9.82,9.83,541,10.07194,310
2024-04-08,9.95,10.31,9.5,9.84,633,9.82518,336
2024-04-09,9.94,10.5,9.94,10.42,289,10.27007,169
2024-04-10,10.23,10.37,9.28,9.4,572,9.70381,309
2024-04-11,9.46,10.14,9.36,9.44,423,9.68598,293
2024-04-12,9.35,9.67,8.69,8.96,625,9.12348,271
2024-04-15,8.72,9.0,8.29,8.54,703,8.69375,299
2024-04-16,8.45,8.84,8.12,8.27,629,8.39535,375
2024-04-17,8.28,8.86,8.1,8.25,1023,8.39023,562
2024-04-18,8.2,8.42,7.67,7.75,606,7.94683,344
2024-04-19,7.67,7.94,6.5,6.89,1315,7.13898,617
2024-04-22,6.79,7.05,6.63,6.68,743,6.82437,382
2024-04-23,6.59,7.26,6.5,7.03,270,6.96214,182
2024-04-24,7.07,7.21,6.68,6.75,970,6.95954,425
2024-04-25,6.61,7.01,6.51,6.74,3078,6.74873,664
2024-04-26,6.71,7.69,6.65,7.53,1022,7.02655,453
2024-04-29,7.5,8.4,7.5,8.1,886,8.05206,502
2024-04-30,8.3,8.3,6.98,7.02,566,7.5198,333
2024-05-01,7.03,7.47,7.0,7.04,719,7.12862,265
2024-05-02,6.34,6.34,5.5,6.17,8929,5.87036,1856
2024-05-03,6.27,6.69,6.22,6.32,540,6.40052,167
2024-05-06,6.58,6.85,6.22,6.47,421,6.47462,213
2024-05-07,6.56,6.83,6.23,6.46,1541,6.34687,278
2024-05-08,6.54,6.85,6.4,6.8,301,6.5509,152
2024-05-09,6.78,7.09,6.59,6.89,234,6.92676,156
2024-05-10,6.88,7.1,6.42,6.55,532,6.59428,241
2024-05-13,6.6,6.74,6.47,6.55,89,6.57767,55
2024-05-14,6.64,6.78,6.5,6.54,770,6.54786,330
2024-05-15,6.5,6.8,6.5,6.8,456,6.65749,269
2024-05-16,7.0,7.28,6.82,7.0,578,7.03471,273
2024-05-17,7.23,7.23,6.91,7.0,359,6.99921,233
2024-05-20,7.0,7.23,6.66,6.69,309,6.96551,169
2024-05-21,6.75,7.19,6.64,7.1,209,7.0237,144
2024-05-22,7.43,7.61,6.77,7.17,432,7.31649,278
2024-05-23,7.3,8.18,6.51,6.64,274,6.87282,156
2024-05-24,6.67,6.83,6.51,6.55,433,6.63893,202
2024-05-28,6.55,6.8,6.19,6.42,169,6.44189,140
2024-05-29,6.28,6.41,6.1,6.4,156,6.24787,123
2024-05-30,6.49,6.63,6.28,6.39,109,6.4299,33
2024-05-31,6.35,6.42,6.26,6.38,123,6.36228,77
2024-06-03,6.4,6.89,6.4,6.69,2377,6.63792,780
2024-06-04,6.69,6.7,6.51,6.56,114,6.59352,94
2024-06-05,6.6,6.72,6.55,6.55,62,6.59598,41
2024-06-06,6.64,6.75,6.57,6.63,69,6.62207,57
2024-06-07,6.66,6.67,6.08,6.08,461,6.36104,156
2024-06-10,6.08,6.44,6.08,6.44,139,6.34714,95
2024-06-11,6.44,6.61,6.39,6.41,204,6.44815,94
2024-06-12,6.51,6.9,6.05,6.05,82,6.33666,72
2024-06-13,6.05,6.59,5.93,6.0,417,6.1146,161
2024-06-14,6.0,6.25,5.4,5.55,453,5.89108,127
2024-06-17,5.49,5.63,4.2,4.21,1140,4.89576,620
2024-06-18,4.33,4.38,3.8,3.88,899,4.06738,499
2024-06-20,3.96,4.0,3.8,3.8,1177,3.90825,375
2024-06-21,3.81,3.98,3.34,3.58,1393,3.63155,498
2024-06-24,3.55,3.8,3.48,3.6,832,3.64296,338
2024-06-25,3.67,3.91,3.62,3.73,358,3.76265,142
2024-06-26,3.71,3.92,3.51,3.8,209,3.70777,124
2024-06-27,3.69,4.26,3.62,3.77,238,3.89527,127
2024-06-28,3.7,4.28,3.7,4.08,383,4.01861,230
2024-07-01,4.02,4.43,3.92,4.42,307,4.19921,205
2024-07-02,4.43,4.43,4.16,4.23,232,4.28473,121
2024-07-03,4.2,4.2,3.77,3.91,76,3.90921,49
2024-07-05,3.88,4.16,3.81,4.16,347,3.96375,114
2024-07-08,4.16,4.4,4.0,4.39,121,4.28826,83
2024-07-09,4.4,4.57,4.22,4.57,133,4.42789,65
2024-07-10,4.62,4.62,4.3,4.35,456,4.41116,236
2024-07-11,4.41,4.71,4.25,4.64,236,4.57722,93
2024-07-12,4.69,5.5,4.69,5.14,1324,5.13009,501
2024-07-15,5.22,5.49,4.84,4.93,431,5.11105,174
2024-07-16,4.87,5.33,4.87,5.25,190,5.19079,126
2024-07-17,5.22,5.38,5.12,5.18,127,5.2453,83
2024-07-18,5.17,5.37,4.65,4.77,187,4.88611,85
2024-07-19,4.76,4.96,4.46,4.76,1171,4.68588,368
2024-07-22,4.74,5.1,4.07,4.47,2241,4.31225,390
2024-07-23,4.48,4.65,4.48,4.65,113,4.57409,83
2024-07-24,4.46,4.7,4.46,4.63,92,4.65841,49
2024-07-25,4.66,4.78,4.61,4.67,126,4.67252,54
2024-07-26,4.76,4.76,4.33,4.47,344,4.4853,132
2024-07-29,4.42,4.47,4.14,4.33,228,4.31919,127
2024-07-30,4.31,4.35,3.95,4.0,744,4.08711,194
2024-07-31,3.99,4.08,3.84,3.88,554,3.91181,296
2024-08-01,3.85,3.93,3.43,3.5,1207,3.58271,307
2024-08-02,3.43,3.7,3.36,3.63,643,3.49927,113
2024-08-05,3.39,3.87,3.39,3.68,650,3.66598,229
2024-08-06,3.7,3.8,3.56,3.78,146,3.71176,93
2024-08-07,3.76,3.76,3.5,3.56,643,3.6248,200
2024-08-08,3.62,3.62,3.4,3.47,462,3.53234,91
2024-08-09,3.4,3.44,2.76,2.88,1510,3.12859,449
2024-08-12,3.09,3.17,2.84,2.94,422,2.91238,193
2024-08-13,3.08,3.31,3.0,3.25,784,3.22023,308
2024-08-14,3.4,3.4,3.07,3.1,1140,3.1999,276
2024-08-15,3.02,3.14,2.93,2.93,1865,3.02391,623
2024-08-16,2.97,3.05,2.8,2.82,712,2.9109,254
2024-08-19,2.8,3.19,2.8,3.15,2441,2.96098,753
2024-08-20,3.12,3.63,3.12,3.3,1616,3.38542,744
2024-08-21,3.3,3.4,3.22,3.32,415,3.32028,233
2024-08-22,3.37,3.44,3.04,3.06,604,3.18499,235
2024-08-23,3.12,3.28,3.08,3.22,601,3.19113,322
2024-08-26,3.24,3.35,3.11,3.25,395,3.22116,199
2024-08-27,3.22,3.43,3.11,3.17,296,3.1914,131
2024-08-28,3.1,3.13,2.91,3.01,280,3.01951,158
2024-08-29,3.05,3.07,2.9,2.98,213,2.98849,109
2024-08-30,3.03,3.1,2.83,2.97,530,2.96415,247
2024-09-03,2.95,3.0,2.83,2.89,219,2.91592,69
2024-09-04,2.9,2.97,2.63,2.8,610,2.7986,315
2024-09-05,2.8,2.99,2.8,2.9,553,2.90627,276
2024-09-06,2.84,2.95,2.72,2.72,424,2.82903,203
2024-09-09,2.76,3.0,2.76,2.9,913,2.8971,623
2024-09-10,2.87,2.99,2.65,2.75,954,2.77349,441
2024-09-11,2.77,2.89,2.66,2.78,629,2.77942,353
2024-09-12,2.8,2.94,2.67,2.69,758,2.77373,268
2024-09-13,2.69,2.9,2.65,2.7,807,2.7364,415
2024-09-16,2.7,2.87,2.65,2.74,852,2.7255,401
2024-09-17,2.77,2.95,2.68,2.75,1298,2.7606,706
2024-09-18,2.81,2.92,2.65,2.66,3101,2.75854,1276
2024-09-19,2.64,2.74,2.56,2.63,1473,2.67014,543
2024-09-20,2.63,2.71,2.41,2.45,3046,2.574,1226
2024-09-23,2.5,2.5,2.25,2.26,3465,2.32859,1194
2024-09-24,2.31,2.38,2.07,2.12,3759,2.27116,1146
2024-09-25,2.22,2.22,2.07,2.09,3315,2.14892,891
2024-09-26,2.14,2.17,1.99,2.04,8215,2.02424,1881
2024-09-27,2.08,2.26,1.99,2.22,4898,2.15436,1363
2024-09-30,2.23,2.45,2.14,2.17,1944,2.23862,685
2024-10-01,2.19,2.19,2.02,2.07,960,2.07866,311
2024-10-02,2.07,2.11,2.01,2.03,952,2.05391,319
2024-10-03,2.03,2.13,1.97,2.05,1713,2.05534,545
2024-10-04,2.1,2.1,1.985,2.02,1389,2.02879,422
2024-10-07,2.03,2.07,1.95,2.0,1858,1.99663,621
2024-10-08,1.98,2.03,1.92,2.01,2777,1.96795,684
2024-10-09,2.02,2.02,1.92,1.95,1505,1.98075,393
2024-10-10,1.94,1.9999,1.87,1.92,1731,1.91199,572
2024-10-11,1.89,1.98,1.85,1.96,2171,1.9407,725
2024-10-14,1.97,1.98,1.85,1.95,2006,1.9219,551
2024-10-15,1.93,1.995,1.91,1.97,1962,1.95503,564
2024-10-16,1.99,2.02,1.94,1.99,3505,1.98462,862
2024-10-17,2.01,2.06,1.91,1.99,2368,1.98098,528
2024-10-18,2.0,2.0,1.945,1.96,1881,1.96936,387
2024-10-21,1.94,1.97,1.88,1.92,2944,1.93141,568
2024-10-22,1.95,1.95,1.89,1.9,1415,1.91398,404
2024-10-23,1.91,1.97,1.89,1.91,2422,1.92098,797
2024-10-24,2.0,2.04,1.9,1.92,4627,1.98977,1204
2024-10-25,2.0,2.03,1.95,2.0,2456,1.99693,821
2024-10-28,2.0,2.06,1.95,2.0,4151,2.00257,1116
2024-10-29,2.0,2.03,1.96,1.99,1828,1.9839,701
2024-10-30,1.97,2.17,1.97,2.1,2544,2.07701,557
2024-10-31,2.09,2.11,1.92,1.97,1521,2.00357,397
2024-11-01,1.97,2.16,1.97,2.11,1009,2.06515,384
2024-11-04,2.1,2.2,2.07,2.1,3152,2.12506,1776
2024-11-05,2.09,2.14,2.02,2.11,2511,2.08909,1518
