date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,1.75,1.77,1.72,1.75,1944,1.74266,529
2024-05-24 00:00:00,1.76,1.76,1.71,1.71,728,1.72968,335
2024-05-28 00:00:00,1.75,1.75,1.64,1.65,1920,1.67882,544
2024-05-29 00:00:00,1.65,1.72,1.55,1.56,9867,1.58052,1419
2024-05-30 00:00:00,1.6,1.62,1.5,1.53,1536,1.54875,238
2024-05-31 00:00:00,1.58,1.58,1.46,1.5,1653,1.51198,390
2024-06-03 00:00:00,1.51,1.54,1.49,1.51,1055,1.51061,307
2024-06-04 00:00:00,1.5,1.52,1.455,1.52,2085,1.48089,468
2024-06-05 00:00:00,1.53,1.53,1.46,1.48,1678,1.48391,502
2024-06-06 00:00:00,1.46,1.485,1.46,1.48,676,1.47056,156
2024-06-07 00:00:00,1.5,1.5,1.45,1.46,1076,1.46526,223
2024-06-10 00:00:00,1.46,1.469,1.39,1.46,1431,1.4228,312
2024-06-11 00:00:00,1.41,1.45,1.4,1.44,1102,1.42502,243
2024-06-12 00:00:00,1.46,1.46,1.4,1.42,677,1.41798,211
2024-06-13 00:00:00,1.41,1.44,1.38,1.43,854,1.40839,186
2024-06-14 00:00:00,1.43,1.4366,1.36,1.41,766,1.39024,251
2024-06-17 00:00:00,1.39,1.42,1.39,1.39,583,1.39944,157
2024-06-18 00:00:00,1.44,1.44,1.37,1.39,1153,1.39728,303
2024-06-20 00:00:00,1.38,1.43,1.37,1.39,781,1.39348,184
2024-06-21 00:00:00,1.3999,1.41,1.37,1.38,410,1.38699,93
2024-06-24 00:00:00,1.4,1.4,1.36,1.39,946,1.37743,146
2024-06-25 00:00:00,1.36,1.39,1.22,1.29,2039,1.3046,376
2024-06-26 00:00:00,1.3,1.3799,1.2601,1.34,1487,1.31847,327
2024-06-27 00:00:00,1.32,1.338,1.27,1.29,448,1.29618,127
2024-06-28 00:00:00,1.28,1.34,1.28,1.32,375,1.30821,118
2024-07-01 00:00:00,1.37,1.39,1.32,1.34,603,1.35662,131
2024-07-02 00:00:00,1.34,1.37,1.12,1.35,871,1.27613,229
2024-07-03 00:00:00,1.34,1.34,1.3001,1.325,323,1.31655,74
2024-07-05 00:00:00,1.34,1.35,1.29,1.33,764,1.32191,158
2024-07-08 00:00:00,1.31,1.3799,1.31,1.36,429,1.35404,132
2024-07-09 00:00:00,1.35,1.45,1.35,1.45,1598,1.41153,231
2024-07-10 00:00:00,1.44,1.53,1.41,1.455,751,1.47425,223
2024-07-11 00:00:00,1.49,1.53,1.46,1.51,1087,1.4871,248
2024-07-12 00:00:00,1.59,1.6,1.48,1.56,2212,1.56456,547
2024-07-15 00:00:00,1.51,1.59,1.495,1.585,579,1.55063,185
2024-07-16 00:00:00,1.63,1.69,1.5883,1.65,1717,1.65068,342
2024-07-17 00:00:00,1.69,1.7,1.48,1.55,3410,1.59471,647
2024-07-18 00:00:00,1.59,1.61,1.5,1.55,942,1.57792,191
2024-07-19 00:00:00,1.54,1.54,1.47,1.48,595,1.49451,165
2024-07-22 00:00:00,1.49,1.525,1.46,1.52,1049,1.50037,186
2024-07-23 00:00:00,1.53,1.53,1.45,1.49,1301,1.48775,261
2024-07-24 00:00:00,1.49,1.5,1.47,1.48,304,1.48456,79
2024-07-25 00:00:00,1.5121,1.5121,1.461,1.49,569,1.49009,132
2024-07-26 00:00:00,1.52,1.52,1.4819,1.51,312,1.49767,103
2024-07-29 00:00:00,1.49,1.52,1.47,1.48,636,1.49567,213
2024-07-30 00:00:00,1.47,1.4974,1.4301,1.47,488,1.46841,187
2024-07-31 00:00:00,1.4724,1.4724,1.44,1.44,526,1.45197,164
2024-08-01 00:00:00,1.46,1.46,1.36,1.39,723,1.40217,208
2024-08-02 00:00:00,1.393,1.393,1.33,1.34,853,1.35221,237
2024-08-05 00:00:00,1.31,1.34,1.2691,1.29,1666,1.31317,342
2024-08-06 00:00:00,1.32,1.3793,1.31,1.34,682,1.33145,166
2024-08-07 00:00:00,1.37,1.42,1.27,1.33,1051,1.32008,259
2024-08-08 00:00:00,1.36,1.445,1.3399,1.41,1393,1.37676,297
2024-08-09 00:00:00,1.43,1.43,1.38,1.41,282,1.40282,83
2024-08-12 00:00:00,1.43,1.46,1.4,1.41,280,1.42065,100
2024-08-13 00:00:00,1.41,1.44,1.3801,1.41,698,1.409,174
2024-08-14 00:00:00,1.43,1.46,1.39,1.41,1136,1.42632,214
2024-08-15 00:00:00,1.42,1.4499,1.35,1.35,939,1.38956,170
2024-08-16 00:00:00,1.34,1.38,1.29,1.34,1714,1.33337,216
2024-08-19 00:00:00,1.32,1.4255,1.31,1.36,1618,1.38231,221
2024-08-20 00:00:00,1.37,1.44,1.36,1.37,394,1.39009,87
2024-08-21 00:00:00,1.3848,1.4,1.37,1.4,302,1.39463,81
2024-08-22 00:00:00,1.46,1.5199,1.44,1.44,2842,1.47819,535
2024-08-23 00:00:00,1.47,1.49,1.46,1.47,935,1.46956,211
2024-08-26 00:00:00,1.48,1.509,1.45,1.5,1000,1.47796,180
2024-08-27 00:00:00,1.5,1.5,1.43,1.47,547,1.46467,85
2024-08-28 00:00:00,1.49,1.5,1.4466,1.45,606,1.46853,91
2024-08-29 00:00:00,1.46,1.47,1.36,1.42,1761,1.3944,195
2024-08-30 00:00:00,1.45,1.45,1.39,1.42,363,1.41271,69
2024-09-03 00:00:00,1.44,1.44,1.36,1.39,624,1.38355,150
2024-09-04 00:00:00,1.41,1.55,1.39,1.49,2297,1.49472,493
2024-09-05 00:00:00,1.52,1.52,1.4,1.46,1617,1.45832,241
2024-09-06 00:00:00,1.47,1.51,1.41,1.46,2232,1.48483,409
2024-09-09 00:00:00,1.54,1.54,1.42,1.44,2349,1.49086,409
2024-09-10 00:00:00,1.47,1.5,1.44,1.48,2618,1.47245,451
2024-09-11 00:00:00,1.49,1.49,1.43,1.45,1058,1.45243,265
2024-09-12 00:00:00,1.47,1.49,1.44,1.47,527,1.4615,205
2024-09-13 00:00:00,1.48,1.54,1.462,1.52,2016,1.50843,583
2024-09-16 00:00:00,1.52,1.5397,1.47,1.52,445,1.50581,139
2024-09-17 00:00:00,1.49,1.55,1.49,1.53,1556,1.52917,291
2024-09-18 00:00:00,1.56,1.56,1.51,1.55,932,1.53152,181
2024-09-19 00:00:00,1.56,1.57,1.51,1.55,2179,1.54392,485
2024-09-20 00:00:00,1.55,1.55,1.51,1.55,789,1.53335,302
2024-09-23 00:00:00,1.55,1.5699,1.48,1.535,786,1.51645,214
2024-09-24 00:00:00,1.52,1.568,1.5,1.54,648,1.53449,234
2024-09-25 00:00:00,1.514,1.5499,1.49,1.51,519,1.51017,116
2024-09-26 00:00:00,1.53,1.53,1.49,1.51,451,1.5093,131
2024-09-27 00:00:00,1.525,1.5468,1.5,1.53,564,1.51885,105
2024-09-30 00:00:00,1.54,1.55,1.5,1.52,608,1.52214,95
2024-10-01 00:00:00,1.51,1.53,1.49,1.5,494,1.49787,115
2024-10-02 00:00:00,1.51,1.52,1.47,1.5,259,1.49216,82
2024-10-03 00:00:00,1.52,1.53,1.48,1.5,428,1.50048,114
2024-10-04 00:00:00,1.5095,1.55,1.495,1.5,942,1.51407,187
2024-10-07 00:00:00,1.52,1.54,1.49,1.52,916,1.50898,217
2024-10-08 00:00:00,1.65,1.65,1.51,1.53,2087,1.55336,344
